"tokenization","scope","position_type","length","position","observations","unique_tokens","entropy_bits","normalized_entropy"
"sign_tokens","real_series_d_513_all_lengths","length_position","4","3","39","11","2.340213","0.676473"
"sign_tokens","real_series_d_513_all_lengths","length_position","5","0","20","15","3.784184","0.968592"
"sign_tokens","real_series_d_513_all_lengths","length_position","5","1","20","16","3.821928","0.955482"
"sign_tokens","real_series_d_513_all_lengths","length_position","5","2","20","11","3.346439","0.967338"
"sign_tokens","real_series_d_513_all_lengths","length_position","5","3","20","10","2.946439","0.886967"
"sign_tokens","real_series_d_513_all_lengths","length_position","5","4","20","8","2.521928","0.840643"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","0","49","32","4.843803","0.968761"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","1","49","28","4.540645","0.94452"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","2","49","23","4.08541","0.90314"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","3","49","24","4.19667","0.915312"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","4","49","19","3.876398","0.912539"
"sign_tokens","real_series_d_513_all_lengths","length_position","6","5","49","12","2.652291","0.739838"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","0","72","36","4.867861","0.941573"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","1","72","40","5.112439","0.960637"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","2","72","31","4.54869","0.918149"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","3","72","28","4.533141","0.942959"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","4","72","26","4.402806","0.93668"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","5","72","22","3.546089","0.795188"
"sign_tokens","real_series_d_513_all_lengths","length_position","7","6","72","16","2.785654","0.696414"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","0","86","40","4.958908","0.931788"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","1","86","40","4.983089","0.936331"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","2","86","37","4.903082","0.941189"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","3","86","34","4.769247","0.937451"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","4","86","34","4.707803","0.925373"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","5","86","26","4.037555","0.858974"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","6","86","17","3.08868","0.755647"
"sign_tokens","real_series_d_513_all_lengths","length_position","8","7","86","13","2.879349","0.77811"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","0","63","27","4.395964","0.924515"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","1","63","34","4.798886","0.943277"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","2","63","29","4.492744","0.924817"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","3","63","27","4.451675","0.936231"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","4","63","27","4.392384","0.923762"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","5","63","23","4.024378","0.889648"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","6","63","18","3.068786","0.735933"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","7","63","14","2.587408","0.679582"
"sign_tokens","real_series_d_513_all_lengths","length_position","9","8","63","13","3.042246","0.822131"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","0","40","27","4.392897","0.92387"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","1","40","24","4.446439","0.969788"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","2","40","28","4.646439","0.966527"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","3","40","19","4.006198","0.943095"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","4","40","24","4.381687","0.955665"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","5","40","21","4.203056","0.956911"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","6","40","16","3.631287","0.907822"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","7","40","9","2.335475","0.73676"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","8","40","9","2.484184","0.783673"
"sign_tokens","real_series_d_513_all_lengths","length_position","10","9","40","9","2.8904","0.91182"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","0","40","25","4.258695","0.91706"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","1","40","24","4.365312","0.952093"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","2","40","25","4.372574","0.941583"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","3","40","23","4.325071","0.956121"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","4","40","23","4.296439","0.949791"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","5","40","25","4.239823","0.912996"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","6","40","20","4.065957","0.940774"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","7","40","17","3.749582","0.917337"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","8","40","13","3.093796","0.836062"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","9","40","11","2.697516","0.779757"
"sign_tokens","real_series_d_513_all_lengths","length_position","11","10","40","9","2.547012","0.803493"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","0","23","18","4.001823","0.959687"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","1","23","17","3.882045","0.949744"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","2","23","17","3.93618","0.962989"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","3","23","14","3.653997","0.959721"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","4","23","12","3.468577","0.967535"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","5","23","17","4.001823","0.979048"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","6","23","15","3.708132","0.949126"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","7","23","14","3.588354","0.94248"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","8","23","11","2.902509","0.839013"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","9","23","7","2.331981","0.830668"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","10","23","8","2.466911","0.822304"
"sign_tokens","real_series_d_513_all_lengths","length_position","12","11","23","7","2.440251","0.869235"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","0","19","16","3.932138","0.983035"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","1","19","17","3.99767","0.978032"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","2","19","16","3.932138","0.983035"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","3","19","16","3.892407","0.973102"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","4","19","13","3.576618","0.966539"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","5","19","13","3.511085","0.948829"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","6","19","11","3.010571","0.87025"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","7","19","13","3.511085","0.948829"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","8","19","11","3.260828","0.942591"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","9","19","11","2.879506","0.832364"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","10","19","7","2.268473","0.808046"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","11","19","4","1.77983","0.889915"
"sign_tokens","real_series_d_513_all_lengths","length_position","13","12","19","4","1.871019","0.93551"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","0","15","12","3.456565","0.964184"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","1","15","13","3.640224","0.983727"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","2","15","8","2.606239","0.868746"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","3","15","9","2.596792","0.819197"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","4","15","8","2.463458","0.821153"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","5","15","9","2.596792","0.819197"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","6","15","7","2.279799","0.812081"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","7","15","8","2.306891","0.768964"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","8","15","9","2.596792","0.819197"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","9","15","7","2.330125","0.830007"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","10","15","6","2.063458","0.798255"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","11","15","5","1.773557","0.76383"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","12","15","5","1.773557","0.76383"
"sign_tokens","real_series_d_513_all_lengths","length_position","14","13","15","5","1.856565","0.799579"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","0","7","6","2.521641","0.975504"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","1","7","7","2.807355","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","2","7","6","2.521641","0.975504"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","3","7","7","2.807355","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","4","7","5","2.235926","0.962961"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","5","7","6","2.521641","0.975504"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","6","7","5","2.128085","0.916516"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","7","7","5","2.128085","0.916516"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","8","7","4","1.842371","0.921185"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","9","7","4","1.842371","0.921185"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","10","7","3","1.378783","0.869916"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","11","7","6","2.521641","0.975504"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","12","7","5","2.235926","0.962961"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","13","7","5","2.235926","0.962961"
"sign_tokens","real_series_d_513_all_lengths","length_position","15","14","7","5","2.235926","0.962961"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","0","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","1","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","2","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","3","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","4","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","5","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","6","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","7","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","8","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","9","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","10","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","11","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","12","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","13","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","14","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","16","15","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","0","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","1","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","2","3","3","1.584963","1"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","3","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","4","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","5","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","6","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","7","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","8","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","9","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","10","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","11","3","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","12","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","13","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","14","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","15","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","17","16","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","0","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","1","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","2","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","3","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","4","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","5","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","6","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","7","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","8","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","9","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","10","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","11","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","12","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","13","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","14","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","15","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","16","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","17","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","18","1","1","0","0"
"sign_tokens","real_series_d_513_all_lengths","length_position","20","19","1","1","0","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","0","299","55","5.241197","0.906568"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","1","299","62","5.434159","0.91266"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","2","296","52","4.868242","0.854012"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","3","266","48","4.911118","0.879347"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","4","227","49","4.948211","0.881294"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","5","207","37","4.046035","0.776672"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","6","158","22","3.144384","0.705109"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","7","86","13","2.879349","0.77811"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","2","0","3","3","1.584963","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","2","1","3","2","0.918296","0.918296"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","0","30","15","3.628073","0.928634"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","1","30","15","3.669577","0.939258"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","2","30","8","2.140336","0.713445"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","0","39","20","4.041061","0.935013"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","1","39","21","4.16042","0.947204"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","2","39","13","3.266708","0.882789"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","3","39","11","2.340213","0.676473"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","0","20","15","3.784184","0.968592"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","1","20","16","3.821928","0.955482"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","2","20","11","3.346439","0.967338"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","3","20","10","2.946439","0.886967"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","4","20","8","2.521928","0.840643"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","0","49","32","4.843803","0.968761"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","1","49","28","4.540645","0.94452"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","2","49","23","4.08541","0.90314"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","3","49","24","4.19667","0.915312"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","4","49","19","3.876398","0.912539"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","6","5","49","12","2.652291","0.739838"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","0","72","36","4.867861","0.941573"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","1","72","40","5.112439","0.960637"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","2","72","31","4.54869","0.918149"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","3","72","28","4.533141","0.942959"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","4","72","26","4.402806","0.93668"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","5","72","22","3.546089","0.795188"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","7","6","72","16","2.785654","0.696414"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","0","86","40","4.958908","0.931788"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","1","86","40","4.983089","0.936331"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","2","86","37","4.903082","0.941189"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","3","86","34","4.769247","0.937451"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","4","86","34","4.707803","0.925373"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","5","86","26","4.037555","0.858974"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","6","86","17","3.08868","0.755647"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_position","8","7","86","13","2.879349","0.77811"
"word_tokens","real_series_d_513_all_lengths","absolute","","0","513","371","8.298198","0.972224"
"word_tokens","real_series_d_513_all_lengths","absolute","","1","485","72","5.08327","0.823879"
"word_tokens","real_series_d_513_all_lengths","absolute","","2","409","41","2.816492","0.525705"
"word_tokens","real_series_d_513_all_lengths","absolute","","3","297","18","2.290726","0.549345"
"word_tokens","real_series_d_513_all_lengths","absolute","","4","163","13","3.033167","0.819677"
"word_tokens","real_series_d_513_all_lengths","absolute","","5","44","9","2.624093","0.827809"
"word_tokens","real_series_d_513_all_lengths","absolute","","6","11","6","2.368523","0.91627"
"word_tokens","real_series_d_513_all_lengths","absolute","","7","5","2","0.970951","0.970951"
"word_tokens","real_series_d_513_all_lengths","absolute","","8","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","1","0","28","26","4.664498","0.992353"
"word_tokens","real_series_d_513_all_lengths","length_position","2","0","76","54","5.565371","0.967069"
"word_tokens","real_series_d_513_all_lengths","length_position","2","1","76","22","2.600516","0.58315"
"word_tokens","real_series_d_513_all_lengths","length_position","3","0","112","101","6.604186","0.991886"
"word_tokens","real_series_d_513_all_lengths","length_position","3","1","112","37","4.750618","0.911923"
"word_tokens","real_series_d_513_all_lengths","length_position","3","2","112","14","1.452396","0.381471"
"word_tokens","real_series_d_513_all_lengths","length_position","4","0","134","123","6.886985","0.992001"
"word_tokens","real_series_d_513_all_lengths","length_position","4","1","134","41","4.885729","0.911933"
"word_tokens","real_series_d_513_all_lengths","length_position","4","2","134","23","2.652271","0.586323"
"word_tokens","real_series_d_513_all_lengths","length_position","4","3","134","11","2.39849","0.693319"
"word_tokens","real_series_d_513_all_lengths","length_position","5","0","119","110","6.743557","0.994426"
"word_tokens","real_series_d_513_all_lengths","length_position","5","1","119","31","4.54972","0.918357"
"word_tokens","real_series_d_513_all_lengths","length_position","5","2","119","18","2.432829","0.583423"
"word_tokens","real_series_d_513_all_lengths","length_position","5","3","119","9","1.780905","0.561813"
"word_tokens","real_series_d_513_all_lengths","length_position","5","4","119","10","2.763077","0.831769"
"word_tokens","real_series_d_513_all_lengths","length_position","6","0","33","32","4.983788","0.996758"
"word_tokens","real_series_d_513_all_lengths","length_position","6","1","33","18","3.983196","0.95522"
"word_tokens","real_series_d_513_all_lengths","length_position","6","2","33","14","3.516928","0.92372"
"word_tokens","real_series_d_513_all_lengths","length_position","6","3","33","6","1.658078","0.641432"
"word_tokens","real_series_d_513_all_lengths","length_position","6","4","33","7","1.868543","0.665588"
"word_tokens","real_series_d_513_all_lengths","length_position","6","5","33","8","2.135303","0.711768"
"word_tokens","real_series_d_513_all_lengths","length_position","7","0","6","6","2.584963","1"
"word_tokens","real_series_d_513_all_lengths","length_position","7","1","6","4","1.792481","0.896241"
"word_tokens","real_series_d_513_all_lengths","length_position","7","2","6","4","1.792481","0.896241"
"word_tokens","real_series_d_513_all_lengths","length_position","7","3","6","2","0.650022","0.650022"
"word_tokens","real_series_d_513_all_lengths","length_position","7","4","6","2","0.650022","0.650022"
"word_tokens","real_series_d_513_all_lengths","length_position","7","5","6","3","1.251629","0.78969"
"word_tokens","real_series_d_513_all_lengths","length_position","7","6","6","3","1.251629","0.78969"
"word_tokens","real_series_d_513_all_lengths","length_position","8","0","4","4","2","1"
"word_tokens","real_series_d_513_all_lengths","length_position","8","1","4","3","1.5","0.946395"
"word_tokens","real_series_d_513_all_lengths","length_position","8","2","4","3","1.5","0.946395"
"word_tokens","real_series_d_513_all_lengths","length_position","8","3","4","2","0.811278","0.811278"
"word_tokens","real_series_d_513_all_lengths","length_position","8","4","4","2","0.811278","0.811278"
"word_tokens","real_series_d_513_all_lengths","length_position","8","5","4","3","1.5","0.946395"
"word_tokens","real_series_d_513_all_lengths","length_position","8","6","4","3","1.5","0.946395"
"word_tokens","real_series_d_513_all_lengths","length_position","8","7","4","2","1","1"
"word_tokens","real_series_d_513_all_lengths","length_position","9","0","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","1","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","2","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","3","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","4","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","5","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","6","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","7","1","1","0","0"
"word_tokens","real_series_d_513_all_lengths","length_position","9","8","1","1","0","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","0","299","219","7.545383","0.970494"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","1","271","50","4.49799","0.796971"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","2","198","16","1.39202","0.348005"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","3","97","11","2.225055","0.643185"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","4","27","10","2.976517","0.896021"
"word_tokens","real_series_d_513_ivc_p95_length_cap","absolute","","5","1","1","0","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","1","0","28","26","4.664498","0.992353"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","2","0","73","53","5.534012","0.966147"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","2","1","73","19","2.39252","0.56322"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","0","101","92","6.47252","0.992176"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","1","101","33","4.59916","0.911737"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","3","2","101","9","1.128127","0.355884"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","0","70","65","5.986426","0.994032"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","1","70","28","4.316285","0.89785"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","2","70","7","1.260725","0.449079"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","4","3","70","8","2.129044","0.709681"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","0","26","23","4.46967","0.988086"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","1","26","14","3.594483","0.944089"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","2","26","4","1.14511","0.572555"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_position","5","3","26","5","1.476842","0.636041"
