checked_date,cisi,row_id,site,type,shape,symbol,cult,head,branch,predicted_class,tail,terminal,hit,is_390_head,prev_before_002,local_context,exact_sequence,text
2026-05-31,L-5,1987.1,Lothal,SEAL:S,square,Bull1:J,RAF,455,692,close_terminal,416,false,false,false,000,760-552-000-002-455-692-416,740 760 552 000 002 455 692 416,+740-760-552/000-002-455-692-416+
2026-05-31,L-112,2061.1,Lothal,SEAL:R,rectangular,None,None,540,590,open_continue,<END>,true,false,false,605,740-760-605-002-540-590,740 760 605 002 540 590,+740-760-605-002-540-590+
2026-05-31,M-1692,2226.1,Mohenjo-daro,SEAL:S,square,Bull1:L,SAN,190,125,open_continue,632 032,false,true,false,617,390-600-617-002-190-125-632-032,390 600 617 002 190 125 632 032,+390-600-617-002-190-125-632-032+
2026-05-31,M-1668,2270.1,Mohenjo-daro,SEAL:S,square,Bull1:S,SAN,320,705,close_terminal,125,false,false,false,803,773-233-803-002-320-705-125,740 773 233 803 002 320 705 125,+740-773-233-803-002-320-705-125+
2026-05-31,M-1901,2402.1,Mohenjo-daro,SEAL:S,square,Zebu,None,252,692,close_terminal,<END>,true,true,false,156,151-061-156-002-252-692,151 061 156 002 252 692,+151-061/156-002-252-692+
2026-05-31,M-1665,2473.1,Mohenjo-daro,SEAL:S,square,Bull1:W,SAN,610,125,open_continue,032,false,true,false,240,705-233-240-002-610-125-032,520 033 705 233 240 002 610 125 032,+520-033-705-233-240-002-610-125-032+
2026-05-31,M-24,2552.1,Mohenjo-daro,SEAL:S,square,Bull1:W,HAF,906,140,close_terminal,<END>,true,true,false,235,740-240-235-002-906-140,090 740 240 235 002 906 140,+090-740-240-235-002-906-140+
2026-05-31,M-38,2566.1,Mohenjo-daro,SEAL:S,square,Bull1:J,SAN,390,125,open_continue,632 032,false,true,true,235,032-240-235-002-390-125-632-032,740 690 435 255 220 032 240 235 002 390 125 632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2026-05-31,M-41,2569.1,Mohenjo-daro,SEAL:S,square,Bull1:W,SAN,405,125,open_continue,820,false,true,false,235,240-233-235-002-405-125-820,740 636 240 233 235 002 405 125 820,+740-636-240-233-235-002-405-125-820+
2026-05-31,M-70,2598.1,Mohenjo-daro,SEAL:S,square,Bull1:T,SAF,390,692,close_terminal,<END>,true,true,true,032,226-032-002-390-692,226 032 002 390 692,+226-032-002-390-692+
2026-05-31,M-71,2599.1,Mohenjo-daro,SEAL:S,square,Bull1:J,SAN,390,095,close_terminal,<END>,true,true,true,142,151-279-142-002-390-095,151 279 142 002 390 095,+151-279-142-002-390-095+
2026-05-31,M-109,2636.1,Mohenjo-daro,SEAL:S,square,Bull1:S,SAN,287,140,close_terminal,<END>,true,true,false,415,879-220-415-002-287-140,740 879 220 415 002 287 140,+740-879-220-415-002-287-140+
2026-05-31,M-119,2646.1,Mohenjo-daro,SEAL:S,square,Bull1:S,SAN,390,125,open_continue,632 032 900 563,false,true,true,484,151-337-484-002-390-125-632-032-900-563,151 337 484 002 390 125 632 032 900 563,+151-337-484-002-390-125-632-032-900-563+
2026-05-31,M-213,2737.1,Mohenjo-daro,SEAL:S,square,Bull1:J,RAF,390,346,close_terminal,<END>,true,true,true,384,740-384-002-390-346,740 384 002 390 346,+740-384-002-390-346+
2026-05-31,M-232,2756.1,Mohenjo-daro,SEAL:S,square,Bull2,SAF,390,707,close_terminal,<END>,true,true,true,236,236-002-390-707,236 002 390 707,+236-002-390-707+
2026-05-31,M-248,2771.1,Mohenjo-daro,SEAL:S,square,Gaur,Trough,705,590,open_continue,<END>,true,false,false,415,740-100-415-002-705-590,740 100 415 002 705 590,+740-100-415-002-705-590+
2026-05-31,M-354,2850.1,Mohenjo-daro,SEAL:R,cuboid-convex,None,None,906,125,open_continue,<END>,true,false,false,236,407-845-236-002-906-125,740 729 407 845 236 002 906 125,+740-729-407-845-236-002-906-125+
2026-05-31,M-623,3074.1,Mohenjo-daro,SEAL:S,square,Bull1:W,S,299,530,open_continue,820,false,true,false,798,220-415-798-002-299-530-820,740 760 175 176 220 415 798 002 299 530 820,+740-760-175-176-220-415-798-002-299-530-820+
2026-05-31,M-708,3134.1,Mohenjo-daro,SEAL:S,square,Bull1:W,S,390,140,close_terminal,<END>,true,true,true,061,740-061-002-390-140,740 061 002 390 140,+740-061-002-390-140+
2026-05-31,M-735,3159.1,Mohenjo-daro,SEAL:S,square,Bull1:U,HAF,390,125,open_continue,195,false,true,true,235,740-760-235-002-390-125-195,740 760 235 002 390 125 195,+740-760-235-002-390-125-195+
2026-05-31,-:3335.1,3335.1,Unknown,SEAL:S,square,Bull1:J,RAF,390,590,open_continue,032,false,true,true,032,740-205-032-002-390-590-032,740 205 032 002 390 590 032,+740-205-032-002-390-590-032+
2026-05-31,M-1155,3516.1,Mohenjo-daro,SEAL:S,square,Elep,None,033,705,close_terminal,<END>,true,true,false,335,740-760-335-002-033-705,740 760 335 002 033 705,+740-760-335-002-033-705+
2026-05-31,M-1319,3624.1,Mohenjo-daro,SEAL:R,cuboid-convex,None,None,904,346,close_terminal,<END>,true,true,false,806,798-806-002-904-346,798 806 002 904 346,]798-806-002-904-346+
2026-05-31,Sktd-1,3875.1,Surkotada,SEAL:S,square,Bull1,RAN,390,125,open_continue,820,false,true,true,004,390-004-002-390-125-820,390 004 002 390 125 820,+390-004-002-390-125-820+
2026-05-31,?-3,3892.1,Unknown,SEAL:S,square,None,None,368,590,open_continue,900,false,true,false,<START>,002-368-590-900,002 368 590 900,+002-368-590-900+
2026-05-31,M-1825,3992.1,Mohenjo-daro,SEAL:S,square,Bull1,S,390,705,close_terminal,<END>,true,true,true,031,157-031-002-390-705,157 031 002 390 705,+157-031-002-390-705+
2026-05-31,M-2055,4030.1,Mohenjo-daro,TAB:C,rectangular,None,None,407,125,open_continue,590 831,false,true,false,<START>,002-407-125-590-831,002 407 125 590 831,+002-407-125-590-831+
2026-05-31,-:4182.1,4182.1,Dholavira,SEAL:S,-,Bull1,-,705,530,open_continue,904,false,true,false,231,390-590-231-002-705-530-904,740 390 590 231 002 705 530 904,+740-390-590-231-002-705-530-904+
2026-05-31,-:4237.1,4237.1,Dholavira,SEAL:S,square,Bull1:I,RB,390,705,close_terminal,<END>,true,true,true,388,151-032-388-002-390-705,151 032 388 002 390 705,+151-032-388-002-390-705+
