"prev","site","type","total","known_next","damaged_or_open_count","exact_triplet_count","source_hint_occurrence_count","dominant_next","dominant_next_count","dominant_next_share","next_dist","examples"
"240","Chanhu-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","62.1"
"240","Farmana","SEAL:S","1","0","0","0","0","","0",,"","149.1"
"240","Harappa","TAB:I","1","0","0","0","0","","0",,"","217.1"
"240","Mohenjo-daro","SEAL","1","1","0","0","0","002","1","1","002:1","2277.1"
"241","Harappa","SEAL:S","1","1","0","0","0","032","1","1","032:1","1434.1"
"241","Mohenjo-daro","POT:T:g","1","1","0","0","0","235","1","1","235:1","3800.1"
"255","Mohenjo-daro","SEAL:S","3","3","0","0","0","032","2","0.666667","032:2;063:1","2475.1;2490.1;2566.1"
"255","Harappa","SEAL:S","1","1","0","0","0","032","1","1","032:1","1080.1"
"260","Mohenjo-daro","SEAL:S","1","1","0","0","0","255","1","1","255:1","2475.1"
"286","Mohenjo-daro","SEAL:S","1","1","0","0","0","031","1","1","031:1","2231.1"
"318","Harappa","TAB:B","11","11","0","0","0","415","11","1","415:11","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1"
"320","Mohenjo-daro","SEAL:S","2","2","1","0","0","415","2","1","415:2","3186.1;3311.1"
"320","Mohenjo-daro","SEAL","1","0","1","0","0","","0",,"","3434.1"
"335","Mohenjo-daro","SEAL:S","1","1","0","0","0","032","1","1","032:1","2745.1"
"335","Shikarpur","SEAL:S","1","1","0","0","0","098","1","1","098:1","5451.1"
"368","Banawali","SEAL:S","1","1","1","0","0","031","1","1","031:1","5567.1"
"371","Mohenjo-daro","SEAL:R","1","1","0","0","0","415","1","1","415:1","3651.1"
"388","Harappa","POT:T:g","1","0","1","0","0","","0",,"","185.1"
"388","Lothal","TAG","1","1","0","0","0","004","1","1","004:1","2085.1"
"388","Mohenjo-daro","SEAL:S","1","1","1","0","0","235","1","1","235:1","2279.1"
"400","Mohenjo-daro","SEAL:S","1","1","0","1","0","428","1","1","428:1","2742.1"
"407","Mohenjo-daro","SEAL:R","1","0","1","0","0","","0",,"","3649.1"
"416","Khirsara","SEAL:R","1","1","1","0","0","415","1","1","415:1","4895.1"
"416","Pabumath","SEAL:S","1","1","1","0","0","415","1","1","415:1","3861.1"
"440","Mohenjo-daro","SEAL:S","4","2","1","0","0","032","1","0.5","032:1;705:1","3078.1;3169.1;3360.1;3431.1"
"440","Harappa","TAB:B","2","0","0","0","0","","0",,"","220.1;1653.2"
"440","Harappa","SEAL:S","1","0","1","0","0","","0",,"","741.1"
"440","Mohenjo-daro","BNGL","1","1","0","1","0","413","1","1","413:1","3826.1"
"440","Mohenjo-daro","SEAL:R","1","1","0","0","0","032","1","1","032:1","3582.1"
"455","Harappa","TAB:I","1","1","0","0","0","032","1","1","032:1","1830.1"
"495","Harappa","POT:T:g","1","0","1","0","0","","0",,"","707.1"
"510","Mohenjo-daro","SEAL:S","1","1","0","0","0","065","1","1","065:1","2507.1"
"518","Harappa","SEAL:S","1","1","0","0","0","416","1","1","416:1","1148.1"
