"control","iteration","rows","tokens","unique_signs_or_glyphs","masked_tokens","masked_top1_accuracy","masked_top5_accuracy","masked_mrr","masked_mean_effective_candidates"
"row_internal_shuffle","18","1798","8716","358","1500","0.046","0.142","0.110224","34.310013"
"row_internal_shuffle","19","1798","8716","358","1500","0.04","0.156667","0.108551","34.11913"
"row_internal_shuffle","20","1798","8716","358","1500","0.048667","0.156","0.11686","33.466887"
"row_internal_shuffle","21","1798","8716","358","1500","0.042","0.143333","0.107219","34.662456"
"row_internal_shuffle","22","1798","8716","358","1500","0.042","0.146","0.111425","32.408326"
"row_internal_shuffle","23","1798","8716","358","1500","0.042667","0.142","0.108728","32.414198"
"row_internal_shuffle","24","1798","8716","358","1500","0.052667","0.159333","0.122544","32.70342"
"row_internal_shuffle","25","1798","8716","358","1500","0.05","0.168","0.119759","34.479317"
"row_internal_shuffle","26","1798","8716","358","1500","0.040667","0.148","0.109063","32.799033"
"row_internal_shuffle","27","1798","8716","358","1500","0.030667","0.137333","0.101521","33.608523"
"row_internal_shuffle","28","1798","8716","358","1500","0.052667","0.156667","0.117654","33.747098"
"row_internal_shuffle","29","1798","8716","358","1500","0.04","0.14","0.10547","33.720021"
"row_internal_shuffle","30","1798","8716","358","1500","0.038667","0.144667","0.105332","34.222489"
"row_internal_shuffle","31","1798","8716","358","1500","0.037333","0.134","0.100823","33.334372"
"row_internal_shuffle","32","1798","8716","358","1500","0.044667","0.147333","0.113061","34.747682"
"row_internal_shuffle","33","1798","8716","358","1500","0.041333","0.151333","0.108322","33.928189"
"row_internal_shuffle","34","1798","8716","358","1500","0.046","0.137333","0.107933","34.517782"
"row_internal_shuffle","35","1798","8716","358","1500","0.037333","0.15","0.10739","33.509173"
"row_internal_shuffle","36","1798","8716","358","1500","0.044667","0.154667","0.113551","32.628107"
"row_internal_shuffle","37","1798","8716","358","1500","0.039333","0.146667","0.107213","33.459517"
"row_internal_shuffle","38","1798","8716","358","1500","0.048","0.140667","0.110644","33.041671"
"row_internal_shuffle","39","1798","8716","358","1500","0.040667","0.152667","0.110621","34.700882"
"position_slot_shuffle","0","1798","8716","358","1500","0.051333","0.16","0.117727","28.049438"
"position_slot_shuffle","1","1798","8716","358","1500","0.040667","0.142667","0.109772","27.703969"
"position_slot_shuffle","2","1798","8716","358","1500","0.048","0.137333","0.11385","27.590342"
"position_slot_shuffle","3","1798","8716","358","1500","0.044667","0.146667","0.110778","28.217134"
"position_slot_shuffle","4","1798","8716","358","1500","0.047333","0.147333","0.11447","27.919846"
"position_slot_shuffle","5","1798","8716","358","1500","0.039333","0.155333","0.111038","27.232524"
"position_slot_shuffle","6","1798","8716","358","1500","0.052667","0.157333","0.118718","27.685334"
"position_slot_shuffle","7","1798","8716","358","1500","0.062667","0.156","0.123541","26.724617"
"position_slot_shuffle","8","1798","8716","358","1500","0.05","0.143333","0.11242","27.517644"
"position_slot_shuffle","9","1798","8716","358","1500","0.042667","0.152667","0.111227","27.649255"
"position_slot_shuffle","10","1798","8716","358","1500","0.040667","0.138","0.10608","26.541531"
"position_slot_shuffle","11","1798","8716","358","1500","0.051333","0.136667","0.113803","27.855748"
"position_slot_shuffle","12","1798","8716","358","1500","0.052","0.157333","0.118867","27.942806"
"position_slot_shuffle","13","1798","8716","358","1500","0.045333","0.147333","0.113707","26.953908"
"position_slot_shuffle","14","1798","8716","358","1500","0.048667","0.158667","0.115995","27.996852"
"position_slot_shuffle","15","1798","8716","358","1500","0.041333","0.152","0.111359","27.473104"
"position_slot_shuffle","16","1798","8716","358","1500","0.038","0.132667","0.102736","28.093787"
"position_slot_shuffle","17","1798","8716","358","1500","0.037333","0.139333","0.102299","27.09219"
"position_slot_shuffle","18","1798","8716","358","1500","0.041333","0.142","0.109935","27.221606"
"position_slot_shuffle","19","1798","8716","358","1500","0.056","0.162","0.123908","27.937192"
"position_slot_shuffle","20","1798","8716","358","1500","0.056667","0.167333","0.126482","28.618728"
"position_slot_shuffle","21","1798","8716","358","1500","0.045333","0.142667","0.111923","27.205885"
"position_slot_shuffle","22","1798","8716","358","1500","0.047333","0.152667","0.117046","27.032536"
"position_slot_shuffle","23","1798","8716","358","1500","0.037333","0.158667","0.110226","27.826008"
"position_slot_shuffle","24","1798","8716","358","1500","0.048667","0.149333","0.114871","28.328964"
"position_slot_shuffle","25","1798","8716","358","1500","0.038667","0.137333","0.106778","27.716689"
"position_slot_shuffle","26","1798","8716","358","1500","0.047333","0.146667","0.11262","27.352469"
"position_slot_shuffle","27","1798","8716","358","1500","0.040667","0.158667","0.113238","27.701463"
"position_slot_shuffle","28","1798","8716","358","1500","0.047333","0.148667","0.113366","27.830218"
"position_slot_shuffle","29","1798","8716","358","1500","0.059333","0.161333","0.124566","27.76346"
"position_slot_shuffle","30","1798","8716","358","1500","0.047333","0.157333","0.116359","27.256055"
"position_slot_shuffle","31","1798","8716","358","1500","0.050667","0.158","0.118185","26.648028"
"position_slot_shuffle","32","1798","8716","358","1500","0.046667","0.149333","0.114041","27.384161"
"position_slot_shuffle","33","1798","8716","358","1500","0.048","0.154","0.114633","27.637494"
"position_slot_shuffle","34","1798","8716","358","1500","0.054667","0.172667","0.124731","28.064139"
"position_slot_shuffle","35","1798","8716","358","1500","0.041333","0.163333","0.113416","28.617183"
"position_slot_shuffle","36","1798","8716","358","1500","0.046","0.152","0.114507","28.039289"
"position_slot_shuffle","37","1798","8716","358","1500","0.048667","0.160667","0.118782","27.447215"
"position_slot_shuffle","38","1798","8716","358","1500","0.048","0.157333","0.117215","27.151882"
"position_slot_shuffle","39","1798","8716","358","1500","0.054","0.162","0.122116","26.977006"
"edge_frame_shuffle","0","1798","8716","358","1500","0.044","0.147333","0.109543","28.485808"
"edge_frame_shuffle","1","1798","8716","358","1500","0.047333","0.151333","0.114583","28.986811"
"edge_frame_shuffle","2","1798","8716","358","1500","0.052667","0.142","0.111233","28.410493"
"edge_frame_shuffle","3","1798","8716","358","1500","0.052","0.161333","0.120815","28.592039"
"edge_frame_shuffle","4","1798","8716","358","1500","0.044667","0.139333","0.108315","28.598119"
"edge_frame_shuffle","5","1798","8716","358","1500","0.044","0.136667","0.107679","27.788939"
"edge_frame_shuffle","6","1798","8716","358","1500","0.042667","0.140667","0.106319","29.063687"
"edge_frame_shuffle","7","1798","8716","358","1500","0.051333","0.148","0.114023","29.617002"
"edge_frame_shuffle","8","1798","8716","358","1500","0.046667","0.145333","0.111881","28.674497"
"edge_frame_shuffle","9","1798","8716","358","1500","0.049333","0.143333","0.113835","28.773918"
"edge_frame_shuffle","10","1798","8716","358","1500","0.058667","0.173333","0.127905","29.377843"
"edge_frame_shuffle","11","1798","8716","358","1500","0.04","0.133333","0.103638","29.218027"
"edge_frame_shuffle","12","1798","8716","358","1500","0.042","0.143333","0.106889","29.29383"
"edge_frame_shuffle","13","1798","8716","358","1500","0.052667","0.149333","0.11423","29.336918"
"edge_frame_shuffle","14","1798","8716","358","1500","0.054667","0.155333","0.118294","28.346215"
"edge_frame_shuffle","15","1798","8716","358","1500","0.041333","0.148","0.108668","29.255776"
"edge_frame_shuffle","16","1798","8716","358","1500","0.046667","0.147333","0.112865","29.081747"
"edge_frame_shuffle","17","1798","8716","358","1500","0.04","0.144","0.106704","29.444561"
"edge_frame_shuffle","18","1798","8716","358","1500","0.046667","0.134","0.107792","29.824433"
"edge_frame_shuffle","19","1798","8716","358","1500","0.041333","0.144667","0.107858","28.665598"
"edge_frame_shuffle","20","1798","8716","358","1500","0.038","0.146667","0.108032","28.384254"
"edge_frame_shuffle","21","1798","8716","358","1500","0.05","0.132667","0.111076","28.496683"
"edge_frame_shuffle","22","1798","8716","358","1500","0.045333","0.159333","0.114099","29.606186"
"edge_frame_shuffle","23","1798","8716","358","1500","0.049333","0.144667","0.112534","28.670524"
"edge_frame_shuffle","24","1798","8716","358","1500","0.053333","0.141333","0.114248","28.877088"
"edge_frame_shuffle","25","1798","8716","358","1500","0.042667","0.144667","0.109139","28.021475"
"edge_frame_shuffle","26","1798","8716","358","1500","0.044","0.13","0.108641","27.506568"
"edge_frame_shuffle","27","1798","8716","358","1500","0.045333","0.151333","0.11043","29.037391"
"edge_frame_shuffle","28","1798","8716","358","1500","0.043333","0.155333","0.110043","29.611234"
"edge_frame_shuffle","29","1798","8716","358","1500","0.048667","0.144667","0.114773","28.652983"
"edge_frame_shuffle","30","1798","8716","358","1500","0.044667","0.16","0.11383","28.303097"
"edge_frame_shuffle","31","1798","8716","358","1500","0.05","0.142","0.110828","29.112393"
"edge_frame_shuffle","32","1798","8716","358","1500","0.048","0.146667","0.112316","27.753328"
"edge_frame_shuffle","33","1798","8716","358","1500","0.040667","0.148667","0.108532","29.061549"
"edge_frame_shuffle","34","1798","8716","358","1500","0.058","0.166667","0.124383","28.497638"
"edge_frame_shuffle","35","1798","8716","358","1500","0.052667","0.156667","0.115611","28.340054"
"edge_frame_shuffle","36","1798","8716","358","1500","0.058","0.156667","0.120497","28.448432"
"edge_frame_shuffle","37","1798","8716","358","1500","0.046","0.144","0.110721","27.95562"
"edge_frame_shuffle","38","1798","8716","358","1500","0.039333","0.134667","0.103037","29.461975"
"edge_frame_shuffle","39","1798","8716","358","1500","0.046","0.140667","0.109805","28.267219"
"period_genre_position_shuffle","0","1798","8716","358","1500","0.047333","0.157333","0.117998","27.374188"
"period_genre_position_shuffle","1","1798","8716","358","1500","0.059333","0.161333","0.127233","28.466196"
"period_genre_position_shuffle","2","1798","8716","358","1500","0.046","0.147333","0.112851","28.151181"
"period_genre_position_shuffle","3","1798","8716","358","1500","0.052667","0.166667","0.123468","26.782392"
"period_genre_position_shuffle","4","1798","8716","358","1500","0.057333","0.157333","0.122684","27.124198"
"period_genre_position_shuffle","5","1798","8716","358","1500","0.049333","0.154667","0.11547","27.640001"
"period_genre_position_shuffle","6","1798","8716","358","1500","0.049333","0.166","0.118596","27.603134"
"period_genre_position_shuffle","7","1798","8716","358","1500","0.049333","0.142667","0.114569","27.288294"
"period_genre_position_shuffle","8","1798","8716","358","1500","0.042","0.150667","0.108563","26.965433"
"period_genre_position_shuffle","9","1798","8716","358","1500","0.041333","0.154667","0.113889","27.437851"
"period_genre_position_shuffle","10","1798","8716","358","1500","0.052","0.167333","0.123023","26.65742"
"period_genre_position_shuffle","11","1798","8716","358","1500","0.052","0.167333","0.123987","28.067504"
"period_genre_position_shuffle","12","1798","8716","358","1500","0.045333","0.154667","0.115047","27.559028"
"period_genre_position_shuffle","13","1798","8716","358","1500","0.049333","0.162","0.11789","27.849397"
"period_genre_position_shuffle","14","1798","8716","358","1500","0.048","0.160667","0.11675","27.458012"
"period_genre_position_shuffle","15","1798","8716","358","1500","0.048","0.156667","0.117164","27.562828"
"period_genre_position_shuffle","16","1798","8716","358","1500","0.056667","0.162667","0.122711","27.279953"
"period_genre_position_shuffle","17","1798","8716","358","1500","0.056667","0.157333","0.122289","27.589597"
"period_genre_position_shuffle","18","1798","8716","358","1500","0.05","0.146667","0.113461","27.77442"
"period_genre_position_shuffle","19","1798","8716","358","1500","0.042","0.149333","0.111373","27.33478"
"period_genre_position_shuffle","20","1798","8716","358","1500","0.043333","0.141333","0.107892","26.786045"
"period_genre_position_shuffle","21","1798","8716","358","1500","0.045333","0.162","0.117404","27.454196"
"period_genre_position_shuffle","22","1798","8716","358","1500","0.053333","0.158667","0.119337","27.364468"
"period_genre_position_shuffle","23","1798","8716","358","1500","0.04","0.145333","0.108885","27.775071"
"period_genre_position_shuffle","24","1798","8716","358","1500","0.053333","0.161333","0.122322","27.933881"
"period_genre_position_shuffle","25","1798","8716","358","1500","0.047333","0.166","0.117626","26.89564"
"period_genre_position_shuffle","26","1798","8716","358","1500","0.052","0.164667","0.121544","27.984404"
"period_genre_position_shuffle","27","1798","8716","358","1500","0.046","0.16","0.116606","27.001399"
"period_genre_position_shuffle","28","1798","8716","358","1500","0.051333","0.150667","0.116714","27.400178"
"period_genre_position_shuffle","29","1798","8716","358","1500","0.057333","0.160667","0.123578","27.515812"
"period_genre_position_shuffle","30","1798","8716","358","1500","0.045333","0.152667","0.112541","27.322897"
"period_genre_position_shuffle","31","1798","8716","358","1500","0.058667","0.173333","0.131145","26.380311"
"period_genre_position_shuffle","32","1798","8716","358","1500","0.044667","0.132667","0.106337","27.127937"
"period_genre_position_shuffle","33","1798","8716","358","1500","0.050667","0.15","0.117629","27.133033"
"period_genre_position_shuffle","34","1798","8716","358","1500","0.042","0.152667","0.112576","28.715572"
"period_genre_position_shuffle","35","1798","8716","358","1500","0.053333","0.162","0.120418","27.174713"
"period_genre_position_shuffle","36","1798","8716","358","1500","0.044","0.146","0.1123","27.587746"
"period_genre_position_shuffle","37","1798","8716","358","1500","0.056","0.176667","0.126197","27.708537"
"period_genre_position_shuffle","38","1798","8716","358","1500","0.048","0.162","0.117781","28.149524"
"period_genre_position_shuffle","39","1798","8716","358","1500","0.054667","0.174","0.125315","27.447344"
