first_sign,carrier_class,observed,expected,first_sign_total,class_total,log2_lift,mi_contribution_bits
256,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
324,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
160,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
361,round_cylinder_seal,1,0.0105623751070511,1,37,6.5649219071731135,0.0018740856143799926
790,rect_copper_SEALR_TABC,5,2.027976020553811,16,444,1.3018875013393194,0.0018582465049091057
240,tablet_account_TAB_BI,6,2.838995147016843,13,765,1.0795821178021128,0.0018491272357444126
806,tag,2,0.21752783328575506,6,127,3.2007280853087408,0.0018274211163623985
002,pottery_graffiti_POT,6,2.9026548672566372,31,328,1.0475894585182601,0.001794329646334445
220,pottery_graffiti_POT,6,2.9962888952326576,32,328,1.0017857689051355,0.0017158762813105377
035,pottery_graffiti_POT,3,0.7490722238081644,8,328,2.0017857689051355,0.0017143469331188715
742,pottery_graffiti_POT,3,0.7490722238081644,8,328,2.0017857689051355,0.0017143469331188715
900,rect_copper_SEALR_TABC,2,0.25349700256922636,2,444,2.979959406451957,0.0017013756245800498
749,rect_copper_SEALR_TABC,2,0.25349700256922636,2,444,2.979959406451957,0.0017013756245800498
806,rect_copper_SEALR_TABC,3,0.7604910077076791,6,444,1.979959406451957,0.001695654644406472
842,square_seal_SEALS,5,2.205252640593777,5,1545,1.180984150010326,0.0016856753497149959
232,square_seal_SEALS,5,2.205252640593777,5,1545,1.180984150010326,0.0016856753497149959
565,square_seal_SEALS,8,4.8515558093063085,11,1545,0.7215525313730289,0.0016478504855792838
236,square_seal_SEALS,7,3.9694547530687982,9,1545,0.8184140706256177,0.0016354263472393158
140,other,3,0.8070225520982015,11,257,1.894281605692044,0.0016222794225167377
002,other,5,2.274336283185841,31,257,1.1364825081086718,0.0016221560207089235
016,pottery_graffiti_POT,2,0.28090208392806165,3,328,2.831860767462823,0.0016168203068585914
540,pottery_graffiti_POT,2,0.28090208392806165,3,328,2.831860767462823,0.0016168203068585914
877,pottery_graffiti_POT,2,0.28090208392806165,3,328,2.831860767462823,0.0016168203068585914
530,pottery_graffiti_POT,2,0.28090208392806165,3,328,2.831860767462823,0.0016168203068585914
036,pottery_graffiti_POT,2,0.28090208392806165,3,328,2.831860767462823,0.0016168203068585914
093,round_cylinder_seal,1,0.0211247502141022,2,37,5.5649219071731135,0.001588616016892125
145,round_cylinder_seal,1,0.0211247502141022,2,37,5.5649219071731135,0.001588616016892125
515,other,2,0.2934627462175278,4,257,2.7687507236081847,0.0015807883092253412
002,round_cylinder_seal,2,0.3274336283185841,31,37,2.6107255967862377,0.0014905655705316802
033,tablet_account_TAB_BI,9,6.114758778190123,28,765,0.557629414606757,0.001432676200816675
055,round_cylinder_seal,1,0.031687125321153295,3,37,4.979959406451957,0.0014216270072657598
000,round_cylinder_seal,7,4.309449043676849,408,37,0.6998514872592215,0.0013985042565842279
904,other,2,0.3668284327719098,5,257,2.4468226287208226,0.0013969869418902785
422,rect_copper_SEALR_TABC,2,0.38024550385383954,3,444,2.394996905730801,0.00136739760532732
394,tag,1,0.03625463888095918,1,127,4.785690586029897,0.0013661691652954318
