"cisi","site","type","material","shape","sides","horizontal_mm","vertical_mm","thickness_mm","area","aspect","block_key","short_tokens","short_texts"
"H-1123","Harappa","TAB:B","Faience","rectangular","2","19.1","8.4","","160.44000000000003","2.2738095238095237","TAB:B|Harappa|rectangular|Faience|2","032;700","2:+700-032+"
"H-1321","Harappa","TAB:B","Steatite","notched oval","2","16.5","10.2","","168.29999999999998","1.6176470588235294","TAB:B|Harappa|notched oval|Steatite|2","032;700","2:+700-032+"
"H-1771","Harappa","TAB:B","Faience","rectangular","2","16","7.5","","120","2.1333333333333333","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1924","Harappa","TAB:B","Faience","circular","2","","","2.7","","","TAB:B|Harappa|circular|Faience|2","033;700","1:+033-700+"
"H-1881","Harappa","TAB:B","Faience","rectangular","2","16","8.3","3","132.8","1.9277108433734937","TAB:B|Harappa|rectangular|Faience|2","036;700","1:+700-036+"
"H-1878","Harappa","TAB:B","Faience","rectangular","2","12","12","1.7","144","1","TAB:B|Harappa|rectangular|Faience|2","167;705","2:+167-705+"
"H-1894","Harappa","TAB:B","Faience","rectangular","2","14.4","7","2.7","100.8","2.0571428571428574","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1773","Harappa","TAB:B","Faience","rectangular","2","16.3","7","1.6","114.10000000000001","2.3285714285714287","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1853","Harappa","TAB:B","Faience","rectangular","2","20.5","10.5","2.5","215.25","1.9523809523809523","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1874","Harappa","TAB:B","Faience","rectangular","2","14.8","9","3.4","133.20000000000002","1.6444444444444446","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1858","Harappa","TAB:B","Faience","rectangular","2","14.4","7.4","4","106.56","1.9459459459459458","TAB:B|Harappa|rectangular|Faience|2","033;137;400;700","1:+033-700+|2:+400-137+"
"H-1981","Harappa","TAB:B","Clay","rectangular","2","26.5","10","8","265","2.65","TAB:B|Harappa|rectangular|Clay|2","034;700","1:+700-034+"
"H-1987","Harappa","TAB:B","Clay","rectangular","2","23.2","9.2","7","213.43999999999997","2.5217391304347827","TAB:B|Harappa|rectangular|Clay|2","034;700","1:+700-034+"
"H-1877","Harappa","TAB:B","Faience","rectangular","2","14.5","8.2","1.8","118.89999999999999","1.7682926829268295","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+034-700+"
"H-2141","Harappa","TAB:I","Steatite","rectangular","2","14","7.8","2.8","109.2","1.794871794871795","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-1772","Harappa","TAB:B","Faience","rectangular","2","17","8.8","2.1","149.60000000000002","1.9318181818181817","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1895","Harappa","TAB:B","Faience","oval","2","13.5","8.8","2","118.80000000000001","1.534090909090909","TAB:B|Harappa|oval|Faience|2","034;700","1:+700-034+"
"H-2213","Harappa","TAB:I","Steatite","prism","3","16.7","7.3","","121.91","2.287671232876712","TAB:I|Harappa|prism|Steatite|3","033;700","1:+700-033+"
"H-1942","Harappa","TAB:B","Faience","prism","2","16.3","8.1","","132.03","2.0123456790123457","TAB:B|Harappa|prism|Faience|2","032;700","1:+032-700+"
"H-1897","Harappa","TAB:B","Faience","isosceles trapezoid","2","15.5","7","2.1","108.5","2.2142857142857144","TAB:B|Harappa|isosceles trapezoid|Faience|2","033;700","1:+033-700+"
"H-1865","Harappa","TAB:B","Faience","rectangular","2","13","8","2","104","1.625","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1915","Harappa","TAB:B","Faience","rectangular","2","18.3","7.3","4.4","133.59","2.5068493150684934","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+700-033+"
"H-1832","Harappa","TAB:B","Faience","rectangular","2","24","9","3.5","216","2.6666666666666665","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-2140","Harappa","TAB:I","Steatite","rectangular","2","14","8","2.5","112","1.75","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-1898","Harappa","TAB:B","Faience","isosceles trapezoid","2","15","6.8","2.7","102","2.2058823529411766","TAB:B|Harappa|isosceles trapezoid|Faience|2","033;700","1:+700-033+"
"H-1943","Harappa","TAB:B","Faience","prism","2","12.8","6.6","","84.48","1.9393939393939397","TAB:B|Harappa|prism|Faience|2","034;700","1:+700-034+"
"H-1845","Harappa","TAB:B","Faience","rectangular","2","23.6","11.5","3","271.40000000000003","2.0521739130434784","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-2125","Harappa","TAB:I","Steatite","rectangular","2","18.3","9","2.5","164.70000000000002","2.033333333333333","TAB:I|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-1854","Harappa","TAB:B","Faience","rectangular","2","15.3","8.3","","126.99000000000002","1.8433734939759034","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1905","Harappa","TAB:B","Faience","notched oval","2","14.5","9.3","","134.85000000000002","1.5591397849462365","TAB:B|Harappa|notched oval|Faience|2","033;700;740;843","1:+740-843+|2:+700-033+"
"H-1912","Harappa","TAB:B","Faience","leaf","2","13.6","11.7","3","159.11999999999998","1.1623931623931625","TAB:B|Harappa|leaf|Faience|2","033;240;520;700","1:+033-700+|2:+520-240+"
"H-1909","Harappa","TAB:B","Faience","semi-circular","2","16.4","7.4","2.2","121.36","2.216216216216216","TAB:B|Harappa|semi-circular|Faience|2","032;700","1:+700-032+"
"H-1940","Harappa","TAB:B","Faience","prism","2","15","7.5","","112.5","2","TAB:B|Harappa|prism|Faience|2","033;700","1:+700-033+"
"H-1919","Harappa","TAB:B","Faience","prism","2","7","7","","49","1","TAB:B|Harappa|prism|Faience|2","031;700;740;892","1:+700-031+|2:+740-892+"
"H-1882","Harappa","TAB:B","Faience","rectangular","2","12","7","3.2","84","1.7142857142857142","TAB:B|Harappa|rectangular|Faience|2","002;003;820;861","1:+002-820+|2:+861-003+"
"H-1825","Harappa","TAB:B","Faience","rectangular","2","14","7.7","2.5","107.8","1.8181818181818181","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1876","Harappa","TAB:B","Faience","rectangular","2","15","9","3","135","1.6666666666666667","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+034-700+"
"H-2215","Harappa","TAB:I","Steatite","prism","3","7.5","10","","75","0.75","TAB:I|Harappa|prism|Steatite|3","033;700","1:+700-033+"
"H-2094","Harappa","TAB:I","Steatite","rectangular","2","12.6","7","2.5","88.2","1.8","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-1804","Harappa","TAB:B","Faience","rectangular","2","15","9","3.3","135","1.6666666666666667","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1850","Harappa","TAB:B","Faience","rectangular","2","17","9","","153","1.8888888888888888","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-2246","Harappa","TAB:I","Steatite","rectangular","3","14.5","5.5","3.1","79.75","2.6363636363636362","TAB:I|Harappa|rectangular|Steatite|3","034;700","1:+700-034+"
"H-2097","Harappa","TAB:I","Steatite","rectangular","2","14.5","7.8","3.5","113.1","1.858974358974359","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+034-700+"
"H-2184","Harappa","TAB:I","Steatite","rectangular-round","2","19","10","3","190","1.9","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","1:+700-032+"
"H-1836","Harappa","TAB:B","Faience","rectangular","2","14","8","2.3","112","1.75","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1932","Harappa","TAB:B","-","prism","2","17.5","9","","157.5","1.9444444444444444","TAB:B|Harappa|prism|-|2","032;700","1:+032-700+"
"H-1867","Harappa","TAB:B","Faience","rectangular","2","16","8","","128","2","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1869","Harappa","TAB:B","Faience","rectangular","2","15.5","7","","108.5","2.2142857142857144","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1868","Harappa","TAB:B","Faience","rectangular","2","15.5","7","","108.5","2.2142857142857144","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1916","Harappa","TAB:B","Faience","triangular","2","16","16","","256","1","TAB:B|Harappa|triangular|Faience|2","004;700","1:+700-004+"
"H-1908","Harappa","TAB:B","Faience","semi-circular","2","14","6","","84","2.3333333333333335","TAB:B|Harappa|semi-circular|Faience|2","033;240;520;700","1:+700-033+|2:+520-240+"
"H-1938","Harappa","TAB:B","-","prism","2","18","10.5","","189","1.7142857142857142","TAB:B|Harappa|prism|-|2","033;700","1:+033-700+"
"H-2095","Harappa","TAB:I","-","rectangular","2","17","7.5","","127.5","2.2666666666666666","TAB:I|Harappa|rectangular|-|2","034;700","1:+700-034+"
"H-2186","Harappa","TAB:I","Steatite","rectangular-round","2","15","8.8","","132","1.7045454545454544","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","1:+700-032+"
"H-2115","Harappa","TAB:I","Steatite","rectangular","2","17","10","3.5","170","1.7","TAB:I|Harappa|rectangular|Steatite|2","033;700","1:+700-033+"
"H-1931","Harappa","TAB:B","Faience","prism","2","18.5","8.8","","162.8","2.102272727272727","TAB:B|Harappa|prism|Faience|2","032;700","1:+700-032+"
"H-2208","Harappa","TAB:I","Steatite","prism","2","14.5","7.5","","108.75","1.9333333333333333","TAB:I|Harappa|prism|Steatite|2","034;700","1:+034-700+"
"H-1822","Harappa","TAB:B","Faience","cuboid","2","17.5","10.5","3.5","183.75","1.6666666666666667","TAB:B|Harappa|cuboid|Faience|2","033;700","1:+700-033+"
"H-1906","Harappa","TAB:B","Faience","heart","2","","","4.8","","","TAB:B|Harappa|heart|Faience|2","032;700","1:+700-032+"
"H-1855","Harappa","TAB:B","Faience","rectangular","2","17.7","9.6","5.8","169.92","1.84375","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+032-700+"
"H-1873","Harappa","TAB:B","Faience","rectangular","2","13.7","8.3","3.3","113.71000000000001","1.650602409638554","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+700-033+"
"H-1923","Harappa","TAB:B","Faience","circular","2","","","3.5","","","TAB:B|Harappa|circular|Faience|2","032;700","1:+700-032+"
"H-1922","Harappa","TAB:B","Faience","circular","2","","","3","","","TAB:B|Harappa|circular|Faience|2","032;700","1:+700-032+"
"H-1797","Harappa","TAB:B","Faience","rectangular","2","19.5","9.2","3.9","179.39999999999998","2.1195652173913047","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+032-700+"
"H-2197","Harappa","TAB:I","Steatite","circular","2","","","3.6","","","TAB:I|Harappa|circular|Steatite|2","033;700","1:+700-033+"
"H-1839","Harappa","TAB:B","Faience","rectangular","2","18.5","9.8","3.9","181.3","1.887755102040816","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+700-033+"
"H-1892","Harappa","TAB:B","Faience","rectangular","2","25","11.5","6.2","287.5","2.1739130434782608","TAB:B|Harappa|rectangular|Faience|2","400;698","2:+400-698+"
"H-2139","Harappa","TAB:I","Steatite","rectangular","2","15","8.6","3.6","129","1.744186046511628","TAB:I|Harappa|rectangular|Steatite|2","032;700","1:+700-032+"
"H-1859","Harappa","TAB:B","Faience","rectangular","2","13.5","7.4","4.8","99.9","1.8243243243243243","TAB:B|Harappa|rectangular|Faience|2","033;137;400;700","1:+033-700+|2:+400-137+"
"H-1864","Harappa","TAB:B","Faience","rectangular","2","18.5","10.4","4.6","192.4","1.7788461538461537","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+032-700+"
"H-1817","Harappa","TAB:B","Faience","rectangular","2","13.5","8","3.3","108","1.6875","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1917","Harappa","TAB:B","Faience","triangular","2","15","15","4.3","225","1","TAB:B|Harappa|triangular|Faience|2","004;700","1:+700-004+"
"H-1842","Harappa","TAB:B","Faience","rectangular","2","18.4","9.2","4.9","169.27999999999997","2","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+033-700+"
"H-1860","Harappa","TAB:B","Faience","rectangular","2","13.5","8","4","108","1.6875","TAB:B|Harappa|rectangular|Faience|2","034;097;400;700","1:+700-034+|2:+400-097+"
"H-2209","Harappa","TAB:I","Steatite","prism","2","16","7","","112","2.2857142857142856","TAB:I|Harappa|prism|Steatite|2","033;700","1:+700-033+"
"H-2108","Harappa","TAB:I","Steatite","rectangular","2","18","9","2.5","162","2","TAB:I|Harappa|rectangular|Steatite|2","681;690","1:+690-681+"
"H-2105","Harappa","TAB:I","Steatite","rectangular","2","11.5","7.5","3","86.25","1.5333333333333334","TAB:I|Harappa|rectangular|Steatite|2","034;700","2:+700-034+"
"H-2198","Harappa","TAB:I","Steatite","circular","2","","","2","","","TAB:I|Harappa|circular|Steatite|2","032;700","2:+700-032+"
"H-1824","Harappa","TAB:B","Faience","rectangular","2","15.7","7.3","4.3","114.60999999999999","2.1506849315068495","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1823","Harappa","TAB:B","Faience","rectangular","2","13.5","7.5","3.2","101.25","1.8","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1841","Harappa","TAB:B","Faience","rectangular","2","","8","3.8","","","TAB:B|Harappa|rectangular|Faience|2","032;700","1:+700-032+"
"H-1863","Harappa","TAB:B","Faience","rectangular","2","15","11","4.2","165","1.3636363636363635","TAB:B|Harappa|rectangular|Faience|2","091;368","2:+368-091+"
"H-1946","Harappa","TAB:B","Faience","prism","3","16.5","7.5","","123.75","2.2","TAB:B|Harappa|prism|Faience|3","014;125;700","1:+700-014+|3:+700-125+"
"H-2204","Harappa","TAB:I","Steatite","prism","2","19","7.3","","138.7","2.6027397260273974","TAB:I|Harappa|prism|Steatite|2","034;700","1:+700-034+"
"H-2096","Harappa","TAB:I","-","rectangular","2","13.5","8","","108","1.6875","TAB:I|Harappa|rectangular|-|2","034;700","1:+700-034+"
"H-2214","Harappa","TAB:I","Steatite","prism","3","14.5","6.5","","94.25","2.230769230769231","TAB:I|Harappa|prism|Steatite|3","033;700","1:+700-033+"
"H-2129","Harappa","TAB:I","Steatite","rectangular","2","","8","2.7","","","TAB:I|Harappa|rectangular|Steatite|2","032;700","1:+700-032+"
"H-1903","Harappa","TAB:B","Faience","hexagonal","2","20.3","10.7","2.8","217.20999999999998","1.897196261682243","TAB:B|Harappa|hexagonal|Faience|2","033;700","1:+033-700+"
"H-2217","Harappa","TAB:I","Steatite","prism","3","18.5","9.2","","170.2","2.0108695652173916","TAB:I|Harappa|prism|Steatite|3","032;257;360;700","1:+700-032+|3:+257-360+"
"H-1146","Harappa","TAB:B","-","circular","2","","","","","","TAB:B|Harappa|circular|-|2","032;700","1:+700-032+"
"H-1846","Harappa","TAB:B","Faience","rectangular","2","23.5","11","5","258.5","2.1363636363636362","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1982","Harappa","TAB:B","Clay","cylindrical","2","28.1","","8","","","TAB:B|Harappa|cylindrical|Clay|2","034;700","1:+700-034+"
"H-2238","Harappa","TAB:I","Steatite","prism","3","11","6.9","","75.9","1.5942028985507246","TAB:I|Harappa|prism|Steatite|3","003;033;156;700;861","1:+700-033+|2:+861-003+|3:+156-003+"
"H-2131","Harappa","TAB:I","Steatite","rectangular","2","14","8.2","2.6","114.79999999999998","1.707317073170732","TAB:I|Harappa|rectangular|Steatite|2","033;368;700;900","1:+700-033+|2:+368-900+"
"H-1907","Harappa","TAB:B","Faience","heart","2","11","8","2.5","88","1.375","TAB:B|Harappa|heart|Faience|2","034;240;520;700","1:+520-240+|2:+700-034+"
"H-1993","Harappa","TAB:B","Clay","rectangular","2","29.2","10.7","6.2","312.44","2.7289719626168227","TAB:B|Harappa|rectangular|Clay|2","033;700","1:+700-033+"
"H-2183","Harappa","TAB:I","Steatite","rectangular-round","2","18.8","10.4","2.2","195.52","1.8076923076923077","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","1:+700-032+"
"H-1872","Harappa","TAB:B","Faience","rectangular","2","13.9","8","4.2","111.2","1.7375","TAB:B|Harappa|rectangular|Faience|2","033;700","1:+700-033+"
"H-2143","Harappa","TAB:I","-","rectangular","2","13.5","6.5","","87.75","2.076923076923077","TAB:I|Harappa|rectangular|-|2","034;700","1:+700-034+"
"H-2201","Harappa","TAB:I","Steatite","prism","2","15.8","4.8","","75.84","3.291666666666667","TAB:I|Harappa|prism|Steatite|2","032;700","1:+700-032+"
"H-1947","Harappa","TAB:B","Faience","prism","3","19","8","","152","2.375","TAB:B|Harappa|prism|Faience|3","033;700","1:+700-033+"
"H-1768","Harappa","TAB:B","Faience","square","2","11.2","11.2","2","125.43999999999998","1","TAB:B|Harappa|square|Faience|2","033;700","2:+700-033+"
"H-1936","Harappa","TAB:B","Faience","prism","2","15.4","7","","107.8","2.2","TAB:B|Harappa|prism|Faience|2","032;700","1:+700-032+"
"H-2239","Harappa","TAB:I","Steatite","prism","3","9.5","6.2","","58.9","1.532258064516129","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-1831","Harappa","TAB:B","Faience","rectangular","2","12.5","6","","75","2.0833333333333335","TAB:B|Harappa|rectangular|Faience|2","034;156;176;700","1:+700-034+|2:+156-176+"
"H-1830","Harappa","TAB:B","Faience","rectangular","2","11.2","6.5","5","72.8","1.723076923076923","TAB:B|Harappa|rectangular|Faience|2","034;156;176;700","1:+700-034+|2:+156-176+"
"H-1861","Harappa","TAB:B","Faience","rectangular","2","13.2","7.2","3.8","95.03999999999999","1.8333333333333333","TAB:B|Harappa|rectangular|Faience|2","033;091;368;700","1:+700-033+|2:+368-091+"
"H-1844","Harappa","TAB:B","Faience","rectangular","2","12.6","7.5","3","94.5","1.68","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-1871","Harappa","TAB:B","Faience","rectangular","2","13","7.2","","93.60000000000001","1.8055555555555556","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+700-034+"
"H-2099","Harappa","TAB:I","Steatite","rectangular","2","13","7","2.6","91","1.8571428571428572","TAB:I|Harappa|rectangular|Steatite|2","033;255","1:+255-033+"
"H-2237","Harappa","TAB:I","Steatite","prism","3","10","6.5","","65","1.5384615384615385","TAB:I|Harappa|prism|Steatite|3","003;034;154;700;861","1:+700-034+|2:+861-003+|3:+154-003+"
"H-2173","Harappa","TAB:I","Steatite","oval","2","12.8","7","3","89.60000000000001","1.8285714285714287","TAB:I|Harappa|oval|Steatite|2","032;700","1:+700-032+"
"H-2189","Harappa","TAB:B","Steatite","heart","2","14.2","9.4","2.7","133.48","1.5106382978723403","TAB:B|Harappa|heart|Steatite|2","700;824","1:+824-700+"
"H-2155","Harappa","TAB:I","Steatite","rectangular","2","9.2","7.1","2.7","65.32","1.295774647887324","TAB:I|Harappa|rectangular|Steatite|2","034;236;400;700","1:+700-034+|2:+400-236+"
"H-2154","Harappa","TAB:I","Steatite","rectangular","2","14","6","3.4","84","2.3333333333333335","TAB:I|Harappa|rectangular|Steatite|2","034;226;400;700","1:+034-700+|2:+400-226+"
"H-2240","Harappa","TAB:I","Steatite","rectangular","2","12","6","5","72","2","TAB:I|Harappa|rectangular|Steatite|2","575;869","2:+869-575+"
"H-2130","Harappa","TAB:I","Steatite","rectangular","2","14.2","8.4","2.8","119.28","1.6904761904761902","TAB:I|Harappa|rectangular|Steatite|2","034;365;700;900","1:+700-034+|2:+365-900+"
"H-2211","Harappa","TAB:I","Steatite","prism","2","13.7","6","","82.19999999999999","2.283333333333333","TAB:I|Harappa|prism|Steatite|2","032;700","1:+700-032+"
"H-2104","Harappa","TAB:I","Steatite","rectangular","2","15","9.4","3","141","1.5957446808510638","TAB:I|Harappa|rectangular|Steatite|2","137;400","2:+400-137+"
"H-1880","Harappa","TAB:B","Faience","rectangular","2","13.3","8","2.7","106.4","1.6625","TAB:B|Harappa|rectangular|Faience|2","034;700","1:+034-700+"
"H-2229","Harappa","TAB:I","Steatite","prism","3","10","6","","60","1.6666666666666667","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2185","Harappa","TAB:I","Steatite","rectangular-round","2","14.4","8.1","3.2","116.64","1.777777777777778","TAB:I|Harappa|rectangular-round|Steatite|2","032;700","1:+700-032+"
"H-2190","Harappa","TAB:I","Steatite","heart","2","13.7","9","3","123.3","1.5222222222222221","TAB:I|Harappa|heart|Steatite|2","003;861","2:+861-003+"
"H-2123","Harappa","TAB:I","Steatite","rectangular","2","12.4","8.1","2.9","100.44","1.5308641975308643","TAB:I|Harappa|rectangular|Steatite|2","003;861","2:+861-003+"
"H-2146","Harappa","TAB:I","Steatite","rectangular","2","11","6.8","2.5","74.8","1.6176470588235294","TAB:I|Harappa|rectangular|Steatite|2","032;700","2:+700-032+"
"H-2221","Harappa","TAB:I","Steatite","prism","3","12.2","7.2","","87.84","1.6944444444444442","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2222","Harappa","TAB:I","Steatite","prism","3","12.2","7.2","","87.84","1.6944444444444442","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2223","Harappa","TAB:I","Steatite","prism","3","11.2","7.5","","84","1.4933333333333332","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2236","Harappa","TAB:I","steatite","prism","3","9","5.9","","53.1","1.5254237288135593","TAB:I|Harappa|prism|steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2230","Harappa","TAB:I","Steatite","prism","3","10","7.2","","72","1.3888888888888888","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2220","Harappa","TAB:I","Steatite","prism","3","12","8.2","","98.39999999999999","1.4634146341463417","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2226","Harappa","TAB:I","Steatite","prism","3","11","7","","77","1.5714285714285714","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2227","Harappa","TAB:I","Steatite","prism","3","12.5","7.2","","90","1.7361111111111112","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2225","Harappa","TAB:I","Steatite","prism","3","12","7.5","","90","1.6","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2228","Harappa","TAB:I","Steatite","prism","3","11.8","6.5","","76.7","1.8153846153846156","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+700-034+|2:+861-003+|3:+156-003+"
"H-2219","Harappa","TAB:I","Steatite","prism","3","12","7.5","","90","1.6","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2224","Harappa","TAB:I","Steatite","prism","3","12","7","","84","1.7142857142857142","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2218","Harappa","TAB:I","Steatite","prism","3","12.5","8","","100","1.5625","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2231","Harappa","TAB:I","Steatite","prism","3","10","7","","70","1.4285714285714286","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2232","Harappa","TAB:I","Steatite","prism","3","9.2","5.8","","53.35999999999999","1.586206896551724","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2234","Harappa","TAB:I","Steatite","prism","3","9","6.5","","58.5","1.3846153846153846","TAB:I|Harappa|prism|Steatite|3","003;034;156;700;861","1:+861-003+|2:+700-034+|3:+156-003+"
"H-2070","Harappa","TAB:I","Steatite","rectangular","2","13.2","8","2.4","105.6","1.65","TAB:I|Harappa|rectangular|Steatite|2","034;700","1:+700-034+"
"H-1896","Harappa","TAB:B","Faience","oval","2","16","11","3.2","176","1.4545454545454546","TAB:B|Harappa|oval|Faience|2","033;700","1:+700-033+"
