"start_pair","count","third_values","sites","types","examples"
"740-585","23","000;017;220;231;240;798;803;900","Dholavira;Harappa;Kalibangan;Mohenjo-daro;Rupar;Unknown","SEAL:R;SEAL:S;TAB:B;TAG;TAG:L","1064.1;1293.1;1296.1;1398.1;1436.1;1459.1;1878.1;1888.1"
"032-700","21","100;601","Dholavira;Harappa","TAB:B;TAB:I;TAG","409.1;504.1;557.1;570.1;599.1;771.1;923.1;1049.2"
"390-004","21","002;104;155;260;455;491;741;817","Banawali;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro;Surkotada;Tell Umma","SEAL:S;TAB:B;TAB:I;TAG:L","33.1;394.2;401.1;519.2;951.1;1114.1;1668.2;1669.2"
"400-000","21","000;220;480;692;705;706;740","Harappa;Lothal;Mohenjo-daro","MDLN;ROD;SEAL:R;SEAL:S;TAB:B;TAB:I","558.1;575.2;733.2;779.2;813.2;817.1;879.2;1722.1"
"740-904","21","000;002;032;033;176;220;231;235;240;690","Allahdino;Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:R;SEAL:S;TAB:B;TAG;TAG:P","8.1;280.1;316.1;939.1;1265.1;1496.1;1592.1;1602.1"
"000-700","19","000;032;033;700","Harappa;Kalibangan;Lothal;Mohenjo-daro","POT:T:g;POT:T:s;TAB:B;TAB:I;TAG","184.2;230.1;267.2;387.1;441.1;473.1;474.1;562.1"
"400-158","19","003;460;592;690;806;854;904","Harappa;Mohenjo-daro","ROD;SEAL:S;TAB:B;TAB:I","227.1;439.1;745.1;834.2;1022.1;1222.1;1239.1;1253.1"
"520-233","19","002;031;049;060;220;240;741;803","Chanhu-daro;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B;TAG","87.1;297.1;920.1;1004.1;1077.1;1274.2;1479.1;1594.1"
"740-384","18","000;002;031;032;090;233;741","Dholavira;Harappa;Mohenjo-daro;Nausharo","SEAL:R;SEAL:S;TAB:B;TAB:C","422.2;1181.1;2442.1;2737.1;2981.1;2982.1;3059.2;3154.1"
"740-388","18","002;031;220;231;233;235;585;807;900","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:C;TAG","559.1;1086.1;1179.1;1858.1;2085.1;2129.2;2279.1;2347.1"
"740-407","18","000;220;590","Harappa;Hulas;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:C;TAG:P","291.1;1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1"
"740-840","18","000;002;013;416;645","Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","MISC;POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:I","285.1;302.1;885.1;1188.1;1275.1;1348.1;1730.1;1804.1"
"740-048","17","002;232;741","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAB:I;TAG:B","300.1;742.1;1236.1;1772.1;2093.1;2094.1;2095.1;2096.1"
"740-061","17","001;002;060;877","Banawali;Harappa;Lakhanjo-daro;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I","32.1;513.1;604.1;1128.1;1497.1;2190.1;2399.1;2440.1"
"740-630","17","000;098;155;240","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","369.2;405.2;573.2;755.3;1168.2;2246.1;2790.1;2944.1"
"000-033","16","000;032;033;605;705;706","Harappa;Kalibangan;Mohenjo-daro","POT:T:g;SEAL;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG:L","214.1;285.2;286.1;629.2;944.1;1050.2;1561.1;1817.2"
"002-861","16","000;096;416;698","Harappa;Lothal;Mohenjo-daro;Shikarpur","POT:T:g;POT:T:p;ROD;SEAL:S;TAB:I;TAG","323.1;476.2;488.2;518.2;621.1;665.2;1792.1;2076.1"
"400-520","16","000;033;220;231;233;400;550;897","Harappa;Mohenjo-daro;Rakhigarhi","POT:T:g;SEAL;SEAL:S;TAB:B;TAB:I","258.1;368.1;526.1;754.2;917.2;1244.1;1245.1;1268.1"
"154-806","15","000;467;468;469;470;471;472;474","Dholavira;Harappa;Mohenjo-daro","POT:T:s;SEAL:R;SEAL:S;TAB:B","805.1;809.1;1087.1;1173.1;1184.1;1187.1;1193.1;1195.1"
"740-803","15","002;060;220;231;233;235;741;892","Banawali;Chanhu-daro;Harappa;Jhukar;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","39.1;96.1;760.1;1024.2;1667.1;1875.1;2292.1;2476.1"
"000-032","14","000;002;515;705;840","Dholavira;Harappa;Juna Khatiya;Lothal;Nausharo","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG","163.1;507.1;1357.1;1485.1;4179.1;4268.1;4304.2;4346.1"
"034-700","14","","Harappa","TAB:B;TAB:I","396.1;468.1;488.1;549.1;762.1;815.1;831.1;938.1"
"400-090","14","000;740","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","237.1;239.1;417.1;554.2;578.2;750.1;811.1;883.1"
"400-156","14","118;140;384;435","Harappa","SEAL:CY;TAB:B;TAB:I","234.2;264.1;390.2;647.1;671.2;1243.1;1321.2;1346.1"
"407-321","14","407","Mohenjo-daro","TAB:C","3006.1;3007.1;3008.1;3009.1;3010.1;3011.1;3013.1;3014.1"
"527-555","14","002;033;055;231;233;235;240;407;740","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","1400.1;1449.1;2020.1;2043.1;2243.1;2359.1;2437.1;2608.1"
"740-255","14","000;032;061;704;705;706;920","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","643.1;840.1;1327.2;1420.1;1676.2;1679.1;1801.2;2487.1"
"740-405","14","000;590","Chanhu-daro;Harappa;Lakhanjo-daro;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C;TAG:P","57.1;1020.1;1175.1;1402.1;1467.1;1505.1;2327.1;2855.1"
"390-016","13","002;013;060;140","Dholavira;Harappa;Khirsara;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","136.1;1130.1;2004.1;2353.1;2545.1;2684.1;2704.1;3235.1"
"520-070","13","002;033;219;220;233;253;255;495;503;921","Gola Dhoro (Bagasra);Harappa;Lothal;Mohenjo-daro;Unknown","SEAL:R;SEAL:S;TAB:B;TAG:L","510.2;1123.1;1147.1;2046.1;2080.1;2342.1;2403.1;3118.1"
"740-615","12","104;495;503;703;920","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:C","1143.1;1552.1;1724.1;2276.1;2320.1;2363.1;2522.1;2792.1"
"740-717","12","000;220;233;240;415;790","Harappa;Kalibangan;Mohenjo-daro","SEAL;SEAL:S;TAB:B","1509.1;1544.1;1656.2;1657.1;1886.1;2401.1;2466.1;3095.1"
"824-892","12","413","Harappa","TAB:B;TAB:I","295.1;438.2;459.1;472.2;556.1;685.3;1323.1;1677.1"
"000-176","11","000;002;142;421;790","Harappa;Lothal;Mohenjo-daro;Unknown","SEAL:S;TAB:B;TAB:C;TAB:I","184.1;564.1;565.1;933.1;1251.1;1452.1;3018.1;4629.1"
"156-031","11","060;133;240","Harappa;Kalibangan;Lothal;Mohenjo-daro","MISC;POT:T:g;SEAL:S;TAB:I;TAG:L","919.1;1493.1;1936.1;2149.1;2325.1;2713.1;2753.1;3383.1"
"407-061","11","002;231;740;845","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","1572.1;2483.1;2696.1;2904.1;3038.1;3039.1;3040.1;3770.1"
"740-222","11","002;220;233;235","Mohenjo-daro;Nausharo;Unknown","SEAL:R;SEAL:S;TAB:C","2609.1;2725.1;3042.1;3043.1;3044.2;3596.1;3773.1;3774.1"
"740-400","11","061;142;920","Chanhu-daro;Ganweriwala;Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I;TAG","103.1;668.1;783.1;929.1;1441.1;1458.1;1671.1;2297.1"
"000-002","10","000;520;690;735;817;820;824;861;870","Banawali;Dholavira;Harappa;Kalibangan;Lothal;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAG","38.1;146.1;1100.1;1917.1;2127.1;2374.1;2936.1;3128.1"
"002-817","10","000","Banawali;Dholavira;Harappa;Kalibangan;Mohenjo-daro","SEAL:S;TAB:I;TAG","30.1;31.1;36.1;1314.1;1315.1;1769.1;1901.1;3238.1"
"151-740","10","000;100;221;222;231;235;760","Chanhu-daro;Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG","77.1;506.2;508.2;509.2;784.2;2082.1;2108.1;2733.1"
"220-000","10","000;002;700;740","Allahdino;Chandigarh;Chanhu-daro;Dholavira;Harappa","MISC;POT:T:g;POT:T:p;SEAL;TAB:B;TAG","4.1;53.1;115.1;595.1;824.2;925.2;928.1;1159.1"
"407-004","10","001;002;060","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:C","789.1;1422.1;1495.1;1580.1;2881.1;3437.1;3569.1;3615.1"
"679-740","10","176;220;233;235;240;575","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1423.1;2176.1;2176.2;2484.1;2889.1;3080.1;3084.1;3096.1"
"740-142","10","000;061;062;066;067;480","Allahdino;Dholavira;Harappa;Mohenjo-daro;Nausharo","POT:T:g;SEAL:S;TAB:B;TAG","12.1;181.1;599.2;2162.1;2690.1;3142.1;3249.1;3365.1"
"000-240","9","000;002;031;032;235;741","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:S;TAB:B;TAB:I;TAG","492.2;1297.1;1426.1;1464.2;1550.1;2121.1;2333.1;4338.1"
"000-590","9","165;220;231;233;820;832","Dholavira;Harappa;Mohenjo-daro;Rupar;Shikarpur","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:I;TAG:P","431.1;674.2;2744.1;2831.1;3636.1;3871.1;4264.1;4438.1"
"407-032","9","520","Mohenjo-daro","TAB:C","2284.2;3019.1;3020.1;3021.1;3791.1;3792.1;3793.1;3794.1"
"407-845","9","140;220;233","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","1574.1;2189.1;2536.1;2983.1;2984.1;3600.1;3635.1;3733.1"
"520-000","9","000;002;235;255","Dholavira;Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B;TAG","290.2;2110.2;2376.1;3518.1;4156.1;4216.1;4314.1;4314.2"
"740-055","9","000;002;033;220;232;240;527;806","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","205.1;2557.1;2877.1;2895.1;3220.1;3259.1;3428.1;3572.1"
"740-220","9","000;003;032;233","Dholavira;Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B;TAB:C;TAG","1584.1;2814.1;3069.1;3720.1;3722.1;3723.1;3724.1;3729.1"
"740-337","9","176;484;692","Harappa;Kalibangan;Mohenjo-daro","SEAL:S;TAB:B","1247.1;1248.1;1431.1;1691.1;1910.1;2373.1;3160.1;3178.1"
"740-460","9","503;510;741","Mohenjo-daro","SEAL:R;SEAL:S","2460.1;2507.1;2586.1;2802.1;3147.1;3280.1;3332.1;3612.1"
"740-575","9","000;017","Harappa;Khirsara;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAG:R","1429.1;1536.1;1969.1;2055.1;2694.1;3152.1;3268.1;3679.1"
"740-636","9","000;240","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","81.1;380.2;457.1;1379.2;1712.2;1799.2;2282.1;2569.1"
"740-773","9","060;156;220;231;233;240","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:C","1176.1;2270.1;2534.1;3041.1;3133.1;3173.1;3194.1;3372.1"
"000-003","8","000;001;002;070;741;742","Harappa;Kalibangan;Lothal;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:B;TAB:C;TAG:O","998.1;1504.1;1634.1;1887.1;2034.1;3099.1;3686.1;3744.1"
"000-004","8","002;033;067;455;480;745","Allahdino;Harappa;Mohenjo-daro;Nausharo","POT:T:g;POT:T:s;ROD;SEAL:S;TAB:B","14.1;393.2;2166.1;2330.1;2444.1;3123.1;5377.1;5532.1"
"000-100","8","001;140;240;415","Chanhu-daro;Dholavira;Harappa;Mohenjo-daro;Rakhigarhi","BNGL;SEAL:R;SEAL:S;TAB:B;TAG","62.1;438.1;2477.1;3363.1;3493.1;3594.1;4349.1;5560.1"
"032-031","8","151;390;740;850","Chanhu-daro;Kalibangan","POT:T:g;SEAL:S;TAB:B","70.1;71.1;72.1;73.1;74.1;112.1;116.1;5290.1"
"167-705","8","000;368","Harappa;Mohenjo-daro","TAB:B;TAB:I","250.2;377.2;389.1;1209.1;2367.1;2367.2;3689.1;3689.2"
"400-525","8","550;554","Harappa;Mohenjo-daro","TAB:B","512.2;624.2;635.1;653.1;867.1;916.1;1666.1;3684.1"
"400-892","8","000;081;829;831;865","Harappa;Mohenjo-daro;Nausharo","POT:T:g;SEAL:S;TAB:B;TAB:I","249.1;863.2;1353.1;1355.1;1702.1;2233.1;3973.1;5365.1"
"520-235","8","220;803;806","Chanhu-daro;Dholavira;Harappa;Mohenjo-daro;Tarkhanewala-dera","POT:T:g;SEAL;SEAL:S;TAB:B;TAG","92.1;613.1;2969.1;2970.1;3122.1;3219.1;4232.1;5456.1"
"740-772","8","002;033;235;240","Harappa;Mohenjo-daro","SEAL;SEAL:S","1075.1;2348.1;2645.1;2679.1;3132.1;3308.1;3353.1;3508.1"
"740-861","8","032;125;140;383;877","Harappa;Lothal;Mohenjo-daro;Nausharo;Unknown","POT:T:g;SEAL:R;SEAL:S;TAB:I","1363.1;2027.1;2471.1;2885.1;3288.1;3650.1;5369.1;5574.1"
"740-920","8","318;320;323;324","Desalpur;Harappa;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:I","123.1;894.1;1082.1;1105.1;2638.1;2894.1;3330.1;3815.1"
"740-927","8","032;033;220;231;240;741","Mohenjo-daro","SEAL:S;TAB:B","2364.1;2459.1;3296.1;3346.1;3367.1;3535.1;3537.1;4016.2"
"790-740","8","000;055;100","Chanhu-daro;Harappa;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:C","86.1;1583.1;3015.1;3016.1;3017.1;3552.1;3734.2;3758.1"
"892-890","8","417","Kalibangan","TAG","1927.1;1928.1;1929.1;1930.1;1931.1;1932.1;1933.1;5281.1"
"000-235","7","002;806;870","Chanhu-daro;Harappa;Mohenjo-daro","SEAL;SEAL:R;SEAL:S;TAB:I","102.1;1525.1;1582.1;1789.1;2239.1;3438.1;3456.1"
"000-741","7","000;060;615","Dholavira;Harappa;Mohenjo-daro;Naru-Waro-dharo;Nausharo;Surkotada","POT:T:g;POT:T:p;SEAL:S;TAB:I;TAG","741.1;900.2;3233.1;3851.1;3879.1;4354.1;5376.1"
"151-097","7","031;232;700","Harappa;Mohenjo-daro","ROD;SEAL:S","1506.1;1507.1;2273.1;2328.1;2524.1;2527.1;3312.1"
"156-176","7","518;741","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","257.1;772.2;773.2;890.1;895.1;1148.1;2848.2"
"158-806","7","000;465;468","Harappa","SEAL:S;TAB:B","1117.1;1223.1;1626.1;1628.1;1629.1;3965.1;3966.1"
"165-900","7","000;700","Mohenjo-daro","MISC;TAB:C","2985.1;2986.1;2987.1;2988.1;3735.2;3736.2;3844.1"
"226-032","7","002;060;231;741;798;803","Harappa;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","2349.1;2585.1;2590.1;2598.1;2883.1;3224.1;4090.1"
"368-900","7","000;066","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I;TAG","732.2;1329.1;1807.2;1808.2;1809.2;3203.1;4299.1"
"390-000","7","000;742","Harappa;Mohenjo-daro","POT:T:g;SEAL;TAB:B;TAB:I","611.1;690.2;767.1;1358.1;1359.1;3407.1;3432.1"
"400-137","7","","Harappa","TAB:B;TAB:I","392.2;598.2;644.1;830.2;1246.2;1853.1;5396.1"
"400-154","7","440;690;806;896","Harappa","SEAL:R;TAB:B","220.1;592.1;780.2;1201.1;1653.2;1683.1;1684.1"
"400-236","7","220;233","Harappa","POT:T:g;TAB:B;TAB:I","197.1;560.2;751.2;812.2;927.2;1827.1;3969.1"
"405-004","7","001;002;013;104;745","Harappa;Mohenjo-daro;Ra's al-Junayz","POT:T:g;SEAL:R;SEAL:S;TAB:B","233.1;430.1;787.1;1622.1;2882.1;3865.1;3926.1"
"565-740","7","176;220;235;240;626;798","Harappa;Mohenjo-daro","SEAL:S;TAB:I","397.2;418.2;2185.1;2654.1;2760.1;2789.1;3478.1"
"740-031","7","001;226;504;904","Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:B;TAB:I","228.1;229.1;371.2;383.2;400.2;1404.1;3801.1"
"740-416","7","002;621;741","Dholavira;Harappa;Mohenjo-daro","SEAL:S;TAB:I","132.1;892.2;1462.1;3333.1;3364.1;3506.1;3845.1"
"740-440","7","220;231;233;240;503;741;920","Allahdino;Harappa;Mohenjo-daro","MISC;SEAL:S;TAB:B","13.1;475.2;1415.1;2192.1;3105.1;3169.1;4001.1"
"000-550","6","003;033;231;556","Harappa;Lothal;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAB:I","188.1;1833.2;2062.1;2360.1;3319.1;3555.1"
"000-705","6","000;002;590;632;803;906","Dholavira;Harappa;Mohenjo-daro","ROD;SEAL:S;TAB:B;TAG","661.2;3211.1;3275.1;4330.1;4345.1;5406.1"
"000-798","6","000;701;746","Dholavira;Kalibangan;Lothal;Mohenjo-daro","POT:T:g;SEAL:R;SEAL:S;TAG","1991.1;2091.1;2130.1;3638.1;4231.1;5336.1"
"002-000","6","090;861","Harappa;Mohenjo-daro;Unknown","MISC;POT:T:g;SEAL;SEAL:C;SEAL:S","989.1;1474.1;3448.1;3948.1;5226.1;5262.1"
"035-171","6","142;158","Dholavira;Harappa;Mohenjo-daro","POT:T:g;SEAL:S;TAB:I;TAG;TAG:C","1848.1;2159.1;2235.1;3536.1;3552.2;5580.1"
"151-000","6","002;060","Mohenjo-daro;Nippur","SEAL:S","219.1;2588.1;3201.1;3323.1;3408.1;3860.1"
"151-390","6","590","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1214.1;1214.2;2344.1;3246.1;3463.1;3924.1"
"220-032","6","002;176;817","Farmana;Harappa;Mohenjo-daro","POT:T:g;POT:T:s;SEAL:R;SEAL:S","151.1;175.1;538.1;1555.1;2400.1;3950.1"
"236-002","6","308;390;820;861","Banawali;Bhirrana;Lothal;Mohenjo-daro","SEAL:S;TAG","37.1;52.1;2073.1;2074.1;2122.2;2756.1"
"390-005","6","002;140","Mohenjo-daro","SEAL:R;SEAL:S","2397.1;2472.1;2482.1;2548.1;3217.1;3470.1"
"390-844","6","060;140;240;741","Chanhu-daro;Mohenjo-daro","SEAL:S","66.1;2241.1;2291.1;2642.1;2691.1;3309.1"
"400-097","6","700","Harappa;Mohenjo-daro","SEAL:S;TAB:B","637.2;2962.1;2963.1;2964.1;3242.1;3710.1"
