sign,outgoing_exact_cells,successor_branches,large_cap_branch_count,large_cap_exact_cells,large_cap_terminal_cells,large_cap_branches,medium_cap_branch_count,medium_cap_exact_cells,medium_cap_terminal_cells,medium_cap_branches
564,3,3,0,0,0,,0,0,0,
578,3,1,0,0,0,,0,0,0,
643,3,2,0,0,0,,0,0,0,
703,3,3,0,0,0,,0,0,0,
704,3,3,0,0,0,,0,0,0,
711,3,1,0,0,0,,0,0,0,
791,3,3,0,0,0,,0,0,0,
865,3,3,0,0,0,,0,0,0,
871,3,3,0,0,0,,0,0,0,
930,3,3,0,0,0,,0,0,0,
006,2,2,0,0,0,,0,0,0,
042,2,2,0,0,0,,0,0,0,
049,2,1,0,0,0,,0,0,0,
062,2,2,0,0,0,,0,0,0,
092,2,2,0,0,0,,0,0,0,
098,2,2,0,0,0,,0,0,0,
099,2,2,0,0,0,,0,0,0,
105,2,2,0,0,0,,0,0,0,
128,2,2,0,0,0,,0,0,0,
132,2,2,0,0,0,,0,0,0,
157,2,2,0,0,0,,0,0,0,
160,2,2,0,0,0,,0,0,0,
177,2,2,0,0,0,,0,0,0,
192,2,2,0,0,0,,0,0,0,
200,2,2,0,0,0,,0,0,0,
205,2,1,0,0,0,,0,0,0,
219,2,1,0,0,0,,0,0,0,
278,2,2,0,0,0,,0,0,0,
285,2,2,0,0,0,,0,0,0,
286,2,2,0,0,0,,0,0,0,
287,2,2,0,0,0,,0,0,0,
294,2,2,0,0,0,,0,0,0,
299,2,2,0,0,0,,0,0,0,
300,2,2,0,0,0,,0,0,0,
301,2,2,0,0,0,,0,0,0,
302,2,2,0,0,0,,0,0,0,
304,2,2,0,0,0,,0,0,0,
307,2,2,0,0,0,,0,0,0,
310,2,1,0,0,0,,0,0,0,
318,2,2,0,0,0,,0,0,0,
319,2,2,0,0,0,,0,0,0,
321,2,1,0,0,0,,0,0,0,
323,2,2,0,0,0,,0,0,0,
324,2,2,0,0,0,,0,0,0,
346,2,2,0,0,0,,0,0,0,
352,2,2,0,0,0,,0,0,0,
362,2,2,0,0,0,,0,0,0,
367,2,2,0,0,0,,0,0,0,
370,2,2,0,0,0,,0,0,0,
380,2,2,0,0,0,,0,0,0,
417,2,1,0,0,0,,0,0,0,
450,2,2,0,0,0,,0,0,0,
456,2,2,0,0,0,,0,0,0,
468,2,2,0,0,0,,0,0,0,
483,2,2,0,0,0,,0,0,0,
491,2,2,0,0,0,,0,0,0,
501,2,2,0,0,0,,0,0,0,
502,2,1,0,0,0,,0,0,0,
533,2,1,0,0,0,,0,0,0,
534,2,2,0,0,0,,0,0,0,
560,2,2,0,0,0,,0,0,0,
561,2,2,0,0,0,,0,0,0,
610,2,1,0,0,0,,0,0,0,
625,2,2,0,0,0,,0,0,0,
637,2,1,0,0,0,,0,0,0,
680,2,2,0,0,0,,0,0,0,
710,2,2,0,0,0,,0,0,0,
712,2,1,0,0,0,,0,0,0,
721,2,2,0,0,0,,0,0,0,
746,2,2,0,0,0,,0,0,0,
770,2,1,0,0,0,,0,0,0,
785,2,2,0,0,0,,0,0,0,
786,2,2,0,0,0,,0,0,0,
805,2,2,0,0,0,,0,0,0,
807,2,2,0,0,0,,0,0,0,
813,2,2,0,0,0,,0,0,0,
814,2,2,0,0,0,,0,0,0,
868,2,2,0,0,0,,0,0,0,
880,2,2,0,0,0,,0,0,0,
893,2,2,0,0,0,,0,0,0,
898,2,2,0,0,0,,0,0,0,
903,2,2,0,0,0,,0,0,0,
908,2,1,0,0,0,,0,0,0,
909,2,2,0,0,0,,0,0,0,
919,2,1,0,0,0,,0,0,0,
940,2,2,0,0,0,,0,0,0,
012,1,1,0,0,0,,0,0,0,
019,1,1,0,0,0,,0,0,0,
026,1,1,0,0,0,,0,0,0,
029,1,1,0,0,0,,0,0,0,
041,1,1,0,0,0,,0,0,0,
045,1,1,0,0,0,,0,0,0,
046,1,1,0,0,0,,0,0,0,
050,1,1,0,0,0,,0,0,0,
071,1,1,0,0,0,,0,0,0,
074,1,1,0,0,0,,0,0,0,
082,1,1,0,0,0,,0,0,0,
083,1,1,0,0,0,,0,0,0,
091,1,1,0,0,0,,0,0,0,
094,1,1,0,0,0,,0,0,0,
106,1,1,0,0,0,,0,0,0,
116,1,1,0,0,0,,0,0,0,
121,1,1,0,0,0,,0,0,0,
122,1,1,0,0,0,,0,0,0,
127,1,1,0,0,0,,0,0,0,
129,1,1,0,0,0,,0,0,0,
134,1,1,0,0,0,,0,0,0,
138,1,1,0,0,0,,0,0,0,
139,1,1,0,0,0,,0,0,0,
152,1,1,0,0,0,,0,0,0,
170,1,1,0,0,0,,0,0,0,
172,1,1,0,0,0,,0,0,0,
173,1,1,0,0,0,,0,0,0,
179,1,1,0,0,0,,0,0,0,
191,1,1,0,0,0,,0,0,0,
193,1,1,0,0,0,,0,0,0,
194,1,1,0,0,0,,0,0,0,
203,1,1,0,0,0,,0,0,0,
207,1,1,0,0,0,,0,0,0,
223,1,1,0,0,0,,0,0,0,
224,1,1,0,0,0,,0,0,0,
228,1,1,0,0,0,,0,0,0,
242,1,1,0,0,0,,0,0,0,
251,1,1,0,0,0,,0,0,0,
253,1,1,0,0,0,,0,0,0,
256,1,1,0,0,0,,0,0,0,
263,1,1,0,0,0,,0,0,0,
264,1,1,0,0,0,,0,0,0,
266,1,1,0,0,0,,0,0,0,
270,1,1,0,0,0,,0,0,0,
272,1,1,0,0,0,,0,0,0,
277,1,1,0,0,0,,0,0,0,
279,1,1,0,0,0,,0,0,0,
280,1,1,0,0,0,,0,0,0,
290,1,1,0,0,0,,0,0,0,
291,1,1,0,0,0,,0,0,0,
293,1,1,0,0,0,,0,0,0,
295,1,1,0,0,0,,0,0,0,
296,1,1,0,0,0,,0,0,0,
305,1,1,0,0,0,,0,0,0,
306,1,1,0,0,0,,0,0,0,
309,1,1,0,0,0,,0,0,0,
311,1,1,0,0,0,,0,0,0,
322,1,1,0,0,0,,0,0,0,
326,1,1,0,0,0,,0,0,0,
328,1,1,0,0,0,,0,0,0,
330,1,1,0,0,0,,0,0,0,
338,1,1,0,0,0,,0,0,0,
340,1,1,0,0,0,,0,0,0,
342,1,1,0,0,0,,0,0,0,
343,1,1,0,0,0,,0,0,0,
344,1,1,0,0,0,,0,0,0,
345,1,1,0,0,0,,0,0,0,
347,1,1,0,0,0,,0,0,0,
351,1,1,0,0,0,,0,0,0,
353,1,1,0,0,0,,0,0,0,
372,1,1,0,0,0,,0,0,0,
373,1,1,0,0,0,,0,0,0,
375,1,1,0,0,0,,0,0,0,
381,1,1,0,0,0,,0,0,0,
383,1,1,0,0,0,,0,0,0,
385,1,1,0,0,0,,0,0,0,
394,1,1,0,0,0,,0,0,0,
402,1,1,0,0,0,,0,0,0,
410,1,1,0,0,0,,0,0,0,
421,1,1,0,0,0,,0,0,0,
424,1,1,0,0,0,,0,0,0,
427,1,1,0,0,0,,0,0,0,
429,1,1,0,0,0,,0,0,0,
430,1,1,0,0,0,,0,0,0,
441,1,1,0,0,0,,0,0,0,
442,1,1,0,0,0,,0,0,0,
444,1,1,0,0,0,,0,0,0,
452,1,1,0,0,0,,0,0,0,
453,1,1,0,0,0,,0,0,0,
457,1,1,0,0,0,,0,0,0,
461,1,1,0,0,0,,0,0,0,
465,1,1,0,0,0,,0,0,0,
466,1,1,0,0,0,,0,0,0,
469,1,1,0,0,0,,0,0,0,
470,1,1,0,0,0,,0,0,0,
471,1,1,0,0,0,,0,0,0,
474,1,1,0,0,0,,0,0,0,
475,1,1,0,0,0,,0,0,0,
481,1,1,0,0,0,,0,0,0,
492,1,1,0,0,0,,0,0,0,
494,1,1,0,0,0,,0,0,0,
506,1,1,0,0,0,,0,0,0,
513,1,1,0,0,0,,0,0,0,
516,1,1,0,0,0,,0,0,0,
535,1,1,0,0,0,,0,0,0,
542,1,1,0,0,0,,0,0,0,
544,1,1,0,0,0,,0,0,0,
556,1,1,0,0,0,,0,0,0,
576,1,1,0,0,0,,0,0,0,
596,1,1,0,0,0,,0,0,0,
599,1,1,0,0,0,,0,0,0,
603,1,1,0,0,0,,0,0,0,
604,1,1,0,0,0,,0,0,0,
606,1,1,0,0,0,,0,0,0,
622,1,1,0,0,0,,0,0,0,
627,1,1,0,0,0,,0,0,0,
628,1,1,0,0,0,,0,0,0,
629,1,1,0,0,0,,0,0,0,
633,1,1,0,0,0,,0,0,0,
639,1,1,0,0,0,,0,0,0,
646,1,1,0,0,0,,0,0,0,
647,1,1,0,0,0,,0,0,0,
682,1,1,0,0,0,,0,0,0,
685,1,1,0,0,0,,0,0,0,
686,1,1,0,0,0,,0,0,0,
688,1,1,0,0,0,,0,0,0,
714,1,1,0,0,0,,0,0,0,
718,1,1,0,0,0,,0,0,0,
720,1,1,0,0,0,,0,0,0,
723,1,1,0,0,0,,0,0,0,
727,1,1,0,0,0,,0,0,0,
729,1,1,0,0,0,,0,0,0,
732,1,1,0,0,0,,0,0,0,
734,1,1,0,0,0,,0,0,0,
743,1,1,0,0,0,,0,0,0,
744,1,1,0,0,0,,0,0,0,
747,1,1,0,0,0,,0,0,0,
748,1,1,0,0,0,,0,0,0,
749,1,1,0,0,0,,0,0,0,
750,1,1,0,0,0,,0,0,0,
761,1,1,0,0,0,,0,0,0,
762,1,1,0,0,0,,0,0,0,
765,1,1,0,0,0,,0,0,0,
767,1,1,0,0,0,,0,0,0,
775,1,1,0,0,0,,0,0,0,
778,1,1,0,0,0,,0,0,0,
783,1,1,0,0,0,,0,0,0,
793,1,1,0,0,0,,0,0,0,
795,1,1,0,0,0,,0,0,0,
797,1,1,0,0,0,,0,0,0,
808,1,1,0,0,0,,0,0,0,
809,1,1,0,0,0,,0,0,0,
810,1,1,0,0,0,,0,0,0,
811,1,1,0,0,0,,0,0,0,
822,1,1,0,0,0,,0,0,0,
830,1,1,0,0,0,,0,0,0,
833,1,1,0,0,0,,0,0,0,
836,1,1,0,0,0,,0,0,0,
849,1,1,0,0,0,,0,0,0,
851,1,1,0,0,0,,0,0,0,
853,1,1,0,0,0,,0,0,0,
854,1,1,0,0,0,,0,0,0,
855,1,1,0,0,0,,0,0,0,
857,1,1,0,0,0,,0,0,0,
858,1,1,0,0,0,,0,0,0,
862,1,1,0,0,0,,0,0,0,
866,1,1,0,0,0,,0,0,0,
872,1,1,0,0,0,,0,0,0,
874,1,1,0,0,0,,0,0,0,
875,1,1,0,0,0,,0,0,0,
876,1,1,0,0,0,,0,0,0,
894,1,1,0,0,0,,0,0,0,
895,1,1,0,0,0,,0,0,0,
899,1,1,0,0,0,,0,0,0,
901,1,1,0,0,0,,0,0,0,
