"site","second","count","top_thirds","types","examples"
"Harappa","175","1","<END>:1","SEAL:S","1481.1"
"Harappa","219","1","002:1","SEAL:S","1141.1"
"Harappa","235","1","<END>:1","POT:T:g","613.1"
"Kalibangan","231","2","<END>:1;002:1","SEAL:S","1899.1;1967.1"
"Kalibangan","033","1","002:1","TAG:L","1940.1"
"Kalibangan","220","1","006:1","SEAL:S","5277.1"
"Kalibangan","233","1","240:1","SEAL:S","1880.1"
"Kanmer","031","1","<END>:1","SEAL:S","5421.1"
"Lothal","033","2","705:2","SEAL:S;TAG:O","1989.1;2088.1"
"Lothal","070","2","002:1;255:1","SEAL:R;TAG:L","2046.1;2080.1"
"Lothal","000","1","<END>:1","TAG","2110.2"
"Lothal","220","1","415:1","SEAL:R","2052.1"
"Lothal","233","1","220:1","TAG","2077.1"
"Lothal","315","1","002:1","SEAL:S","2012.1"
"Miri Qalat","013","1","<END>:1","SEAL:S","5444.1"
"Mohenjo-daro","033","30","705:22;706:8","SEAL;SEAL:R;SEAL:S;TAB:B","2178.1;2245.1;2326.1;2473.1;2478.1;2526.1"
"Mohenjo-daro","220","28","415:8;240:3;<END>:2;002:2;003:2","SEAL:R;SEAL:S","2265.1;2420.1;2441.1;2485.1;2506.1;2510.1"
"Mohenjo-daro","233","8","<END>:2;240:2;031:1;060:1;741:1","SEAL:S","2262.1;2426.1;2612.1;2656.1;2708.1;3232.1"
"Mohenjo-daro","240","8","<END>:3;031:1;220:1;740:1;741:1","SEAL;SEAL:S","2312.1;2414.1;2711.1;2732.1;2763.1;3098.1"
"Mohenjo-daro","070","6","033:1;219:1;220:1;233:1;503:1","SEAL:R;SEAL:S","2342.1;2403.1;3228.1;3378.1;3579.1;3984.1"
"Mohenjo-daro","235","4","<END>:2;803:1;806:1","SEAL;SEAL:S;TAB:B","2969.1;2970.1;3122.1;3219.1"
"Mohenjo-daro","231","3","002:2;235:1","SEAL:S","2782.1;2821.1;3480.1"
"Mohenjo-daro","400","3","350:2;354:1","SEAL:R;SEAL:S","2451.1;3156.1;3616.1"
"Mohenjo-daro","<END>","2","<END>:2","SEAL:S","3125.1;3426.1"
"Mohenjo-daro","000","2","000:1;235:1","SEAL:S","2376.1;3518.1"
"Mohenjo-daro","072","2","233:1;921:1","SEAL:S","2389.1;2512.1"
"Mohenjo-daro","175","2","<END>:1;002:1","SEAL:S","2319.1;2707.1"
"Mohenjo-daro","382","2","032:1;878:1","SEAL:S","2236.1;3230.1"
"Mohenjo-daro","460","2","<END>:1;495:1","SEAL:S","3222.1;3331.1"
"Mohenjo-daro","515","2","240:1;921:1","POT:T:g;SEAL:S","3193.1;3816.1"
"Mohenjo-daro","920","2","320:2","SEAL:S","3186.1;3311.1"
"Mohenjo-daro","075","1","235:1","SEAL:S","3847.1"
"Mohenjo-daro","442","1","425:1","SEAL:S","2315.1"
"Mohenjo-daro","552","1","060:1","SEAL:S","2653.1"
"Nausharo","220","1","742:1","SEAL:S","5360.1"
"Nausharo","240","1","060:1","SEAL:S","3854.1"
"Rahman-deri","031","1","<END>:1","SEAL","5269.1"
"Rakhigarhi","073","1","<END>:1","SEAL:S","4153.1"
"Tarkhanewala-dera","235","1","220:1","TAG","5456.1"
"Unknown","033","1","033:1","SEAL:S","5573.1"
"Unknown","070","1","255:1","SEAL:S","3118.1"
