"prev","total_occurrences","known_next_count","end_after_220_count","damaged_or_open_count","dominant_next","dominant_next_count","dominant_next_share","next_415_count","p_next_415","top2_next","top2_share","distinct_next_count","next_entropy_bits","site_count","sites","types","examples"
"845","6","5","1","2","415","5","1","5","1","415:5","1","1","0","1","Mohenjo-daro","SEAL:R;TAB:C","2983.1;2984.1;3600.1;3635.1;3733.1;3734.1"
"904","5","5","0","2","032","4","0.8","1","0.2","032:4;415:1","1","2","0.7219","3","Harappa;Lothal;Mohenjo-daro","SEAL;SEAL:R;SEAL:S","1407.1;2032.5;2063.1;2381.1;2430.1"
"231","4","4","0","0","032","2","0.5","0","0","032:2;002:1","0.75","3","1.5","3","Chanhu-daro;Kalibangan;Mohenjo-daro","SEAL:S","98.1;2589.1;3278.1;5273.1"
"255","4","4","0","0","032","3","0.75","0","0","032:3;063:1","1","2","0.8113","2","Harappa;Mohenjo-daro","SEAL:S","1080.1;2475.1;2490.1;2566.1"
"440","9","4","5","2","032","2","0.5","0","0","032:2;413:1","0.75","3","1.5","2","Harappa;Mohenjo-daro","BNGL;SEAL:R;SEAL:S;TAB:B","220.1;741.1;1653.2;3078.1;3169.1;3360.1;3431.1;3582.1;3826.1"
"717","4","4","0","0","415","3","0.75","3","0.75","415:3;240:1","1","2","0.8113","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1169.1;2401.1;2480.1;3095.1"
"798","5","4","1","0","032","1","0.25","1","0.25","032:1;060:1","0.5","4","2","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1095.1;2427.1;2432.2;2618.1;3100.1"
"140","3","3","0","0","001","1","0.3333","1","0.3333","001:1;415:1","0.6667","3","1.585","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1548.1;2332.1;2908.1"
"803","4","3","1","0","032","1","0.3333","0","0","032:1;240:1","0.6667","3","1.585","3","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:S;TAB:B","116.1;1073.1;2292.1;2798.1"
"923","3","3","0","0","032","3","1","0","0","032:3","1","1","0","1","Mohenjo-daro","SEAL:S","2651.1;2699.1;3144.1"
"032","7","2","5","1","002","1","0.5","1","0.5","002:1;415:1","1","2","1","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B;TAB:I","485.1;586.1;632.1;902.2;904.2;2292.1;2580.1"
"055","2","2","0","0","032","1","0.5","1","0.5","032:1;415:1","1","2","1","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1294.1;2877.1"
"060","2","2","0","0","004","1","0.5","0","0","004:1;065:1","1","2","1","1","Mohenjo-daro","SEAL:S","2592.1;3268.1"
"070","2","2","0","1","032","2","1","0","0","032:2","1","1","0","1","Mohenjo-daro","SEAL:R;SEAL:S","2403.1;3661.1"
"100","4","2","2","0","002","1","0.5","0","0","002:1;032:1","1","2","1","2","Lothal;Mohenjo-daro","SEAL:S;TAB:B","2011.1;2735.1;2958.1;3092.1"
"236","5","2","3","0","032","1","0.5","0","0","032:1;741:1","1","2","1","3","Harappa;Lothal;Mohenjo-daro","SEAL:S;TAB:B","751.2;927.2;2016.1;3150.1;3969.1"
"241","2","2","0","0","032","1","0.5","0","0","032:1;235:1","1","2","1","2","Harappa;Mohenjo-daro","POT:T:g;SEAL:S","1434.1;3800.1"
"320","3","2","1","2","415","2","1","2","1","415:2","1","1","0","1","Mohenjo-daro","SEAL;SEAL:S","3186.1;3311.1;3434.1"
"335","2","2","0","0","032","1","0.5","0","0","032:1;098:1","1","2","1","2","Mohenjo-daro;Shikarpur","SEAL:S","2745.1;5451.1"
"388","3","2","1","2","004","1","0.5","0","0","004:1;235:1","1","2","1","3","Harappa;Lothal;Mohenjo-daro","POT:T:g;SEAL:S;TAG","185.1;2085.1;2279.1"
"416","2","2","0","2","415","2","1","2","1","415:2","1","1","0","2","Khirsara;Pabumath","SEAL:R;SEAL:S","3861.1;4895.1"
"585","3","2","1","1","000","1","0.5","0","0","000:1;002:1","1","2","1","2","Harappa;Mohenjo-daro","SEAL:S","1531.1;3483.1;3492.1"
"630","2","2","0","0","002","1","0.5","0","0","002:1;032:1","1","2","1","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1190.1;2564.1"
"706","3","2","1","1","415","2","1","2","1","415:2","1","1","0","2","Mohenjo-daro;Rakhigarhi","SEAL:R;SEAL:S;Unknown","2360.1;3113.1;5559.1"
"820","2","2","0","0","063","1","0.5","0","0","063:1;065:1","1","2","1","1","Mohenjo-daro","SEAL:S","2635.1;3995.1"
"840","3","2","1","1","000","1","0.5","0","0","000:1;002:1","1","2","1","2","Dholavira;Mohenjo-daro","TAB:B;TAG:PC","2432.1;2938.1;4335.2"
"879","2","2","0","0","415","1","0.5","1","0.5","415:1;416:1","1","2","1","2","Dholavira;Mohenjo-daro","SEAL:S","130.1;2636.1"
"892","2","2","0","0","920","2","1","0","0","920:2","1","1","0","1","Harappa","TAB:B","1216.1;1217.1"
"013","1","1","0","0","455","1","1","0","0","455:1","1","1","0","1","Dholavira","SEAL:R","4194.1"
"016","1","1","0","0","382","1","1","0","0","382:1","1","1","0","1","Harappa","POT:T:s","715.1"
"017","3","1","2","0","415","1","1","1","1","415:1","1","1","0","2","Harappa;Mohenjo-daro","SEAL:S;TAB:C","1536.1;2284.2;3061.2"
"029","1","1","0","1","000","1","1","0","0","000:1","1","1","0","1","Ra's al-Junayz","POT:T:g","3864.1"
"031","1","1","0","0","000","1","1","0","0","000:1","1","1","0","1","Kot-Diji","POT:T:g","1972.1"
"033","1","1","0","1","520","1","1","0","0","520:1","1","1","0","1","Kalibangan","POT:T:g","1950.1"
"036","1","1","0","0","415","1","1","1","1","415:1","1","1","0","1","Mohenjo-daro","TAB:B","3711.1"
"074","1","1","0","0","415","1","1","1","1","415:1","1","1","0","1","Harappa","TAB:I","827.2"
"091","1","1","0","0","055","1","1","0","0","055:1","1","1","0","1","Saar","SEAL:C","5229.1"
"094","1","1","0","0","032","1","1","0","0","032:1","1","1","0","1","Mohenjo-daro","SEAL:S","2657.1"
"125","1","1","0","0","235","1","1","0","0","235:1","1","1","0","1","Gonur Depe","SEAL:S","4155.1"
"151","2","1","1","0","016","1","1","0","0","016:1","1","1","0","2","Harappa;Mohenjo-daro","SEAL:S","1491.1;3155.1"
"153","1","1","0","0","032","1","1","0","0","032:1","1","1","0","1","Dholavira","TAB:I","4286.1"
"175","1","1","0","0","255","1","1","0","0","255:1","1","1","0","1","Dholavira","SEAL:S","4236.1"
"222","1","1","0","0","235","1","1","0","0","235:1","1","1","0","1","Mohenjo-daro","TAB:C","3773.1"
"227","1","1","0","1","000","1","1","0","0","000:1","1","1","0","1","Mohenjo-daro","SEAL:R","4017.1"
"232","1","1","0","0","032","1","1","0","0","032:1","1","1","0","1","Mohenjo-daro","SEAL:S","3519.1"
"234","1","1","0","1","002","1","1","0","0","002:1","1","1","0","1","Lothal","TAG","2127.2"
"260","1","1","0","0","255","1","1","0","0","255:1","1","1","0","1","Mohenjo-daro","SEAL:S","2475.1"
"286","1","1","0","0","031","1","1","0","0","031:1","1","1","0","1","Mohenjo-daro","SEAL:S","2231.1"
"368","1","1","0","1","031","1","1","0","0","031:1","1","1","0","1","Banawali","SEAL:S","5567.1"
"371","1","1","0","0","415","1","1","1","1","415:1","1","1","0","1","Mohenjo-daro","SEAL:R","3651.1"
"400","1","1","0","0","428","1","1","0","0","428:1","1","1","0","1","Mohenjo-daro","SEAL:S","2742.1"
"455","1","1","0","0","032","1","1","0","0","032:1","1","1","0","1","Harappa","TAB:I","1830.1"
"510","1","1","0","0","065","1","1","0","0","065:1","1","1","0","1","Mohenjo-daro","SEAL:S","2507.1"
"518","1","1","0","0","416","1","1","0","0","416:1","1","1","0","1","Harappa","SEAL:S","1148.1"
"554","1","1","0","0","415","1","1","1","1","415:1","1","1","0","1","Harappa","SEAL:R","1174.1"
"626","1","1","0","1","016","1","1","0","0","016:1","1","1","0","1","Mohenjo-daro","SEAL:S","2760.1"
"679","1","1","0","1","240","1","1","0","0","240:1","1","1","0","1","Harappa","SEAL:S","1094.1"
"700","1","1","0","0","004","1","1","0","0","004:1","1","1","0","1","Harappa","TAB:I","311.2"
"767","1","1","0","0","416","1","1","0","0","416:1","1","1","0","1","Harappa","TAB:I","311.1"
"773","1","1","0","0","032","1","1","0","0","032:1","1","1","0","1","Mohenjo-daro","TAB:C","3041.1"
"776","1","1","0","0","016","1","1","0","0","016:1","1","1","0","1","Chanhu-daro","IMPL","121.1"
"785","1","1","0","0","335","1","1","0","0","335:1","1","1","0","1","Kalibangan","SEAL:S","1890.1"
"790","1","1","0","0","415","1","1","1","1","415:1","1","1","0","1","Mohenjo-daro","SEAL:R","2234.1"
"804","1","1","0","0","060","1","1","0","0","060:1","1","1","0","1","Mohenjo-daro","SEAL:S","2779.1"
"817","1","1","0","0","632","1","1","0","0","632:1","1","1","0","1","Nindowari-damb","SEAL:S","3858.1"
"832","1","1","0","0","003","1","1","0","0","003:1","1","1","0","1","Unknown","SEAL:S","3118.1"
"924","1","1","0","0","528","1","1","0","0","528:1","1","1","0","1","Ur","SEAL:C","3897.1"
"927","1","1","0","1","235","1","1","0","0","235:1","1","1","0","1","Mohenjo-daro","SEAL:S","2459.1"
"958","1","1","0","0","278","1","1","0","0","278:1","1","1","0","1","Mohenjo-daro","SEAL:S","2403.1"
"081","1","0","1","0","<NONE>","0",,"0",,"",,"0","0","1","Mohenjo-daro","SEAL:S","2728.1"
"142","2","0","2","0","<NONE>","0",,"0",,"",,"0","0","1","Harappa","TAB:I","491.1;589.1"
"407","1","0","1","1","<NONE>","0",,"0",,"",,"0","0","1","Mohenjo-daro","SEAL:R","3649.1"
"495","1","0","1","1","<NONE>","0",,"0",,"",,"0","0","1","Harappa","POT:T:g","707.1"
"550","3","0","3","0","<NONE>","0",,"0",,"",,"0","0","1","Harappa","TAB:B;TAB:I","313.1;1364.1;1378.1"
"794","1","0","1","1","<NONE>","0",,"0",,"",,"0","0","1","Dholavira","TAG","4291.1"
