target,qualified_governor_count,qualified_governor_cells,qualified_terminal_cells,qualified_governors,total_incoming_exact_cells,incoming_branches
519,0,0,0,,9,5
773,0,0,0,,9,1
794,0,0,0,,9,5
844,0,0,0,,9,3
906,0,0,0,,9,8
927,0,0,0,,9,2
063,0,0,0,,8,4
101,0,0,0,,8,3
130,0,0,0,,8,7
154,0,0,0,,8,3
260,0,0,0,,8,6
315,0,0,0,,8,7
336,0,0,0,,8,3
365,0,0,0,,8,4
371,0,0,0,,8,8
467,0,0,0,,8,2
545,0,0,0,,8,7
554,0,0,0,,8,4
605,0,0,0,,8,4
703,0,0,0,,8,5
772,0,0,0,,8,1
792,0,0,0,,8,4
824,0,0,0,,8,3
999,0,0,0,,8,5
015,0,0,0,,7,6
048,0,0,0,,7,1
066,0,0,0,,7,6
219,0,0,0,,7,5
252,0,0,0,,7,4
269,0,0,0,,7,4
360,0,0,0,,7,7
812,0,0,0,,7,6
880,0,0,0,,7,5
905,0,0,0,,7,3
014,0,0,0,,6,5
018,0,0,0,,6,4
111,0,0,0,,6,4
221,0,0,0,,6,5
250,0,0,0,,6,5
263,0,0,0,,6,5
370,0,0,0,,6,5
406,0,0,0,,6,5
468,0,0,0,,6,1
518,0,0,0,,6,6
527,0,0,0,,6,5
702,0,0,0,,6,6
776,0,0,0,,6,4
924,0,0,0,,6,6
067,0,0,0,,5,3
093,0,0,0,,5,5
137,0,0,0,,5,2
150,0,0,0,,5,5
201,0,0,0,,5,1
232,0,0,0,,5,5
257,0,0,0,,5,5
323,0,0,0,,5,3
352,0,0,0,,5,4
380,0,0,0,,5,5
456,0,0,0,,5,5
472,0,0,0,,5,1
501,0,0,0,,5,3
521,0,0,0,,5,5
525,0,0,0,,5,1
531,0,0,0,,5,2
556,0,0,0,,5,5
564,0,0,0,,5,4
572,0,0,0,,5,2
621,0,0,0,,5,4
626,0,0,0,,5,5
791,0,0,0,,5,5
825,0,0,0,,5,5
890,0,0,0,,5,4
006,0,0,0,,4,4
036,0,0,0,,4,3
049,0,0,0,,4,3
056,0,0,0,,4,3
098,0,0,0,,4,3
132,0,0,0,,4,4
267,0,0,0,,4,4
272,0,0,0,,4,3
279,0,0,0,,4,4
298,0,0,0,,4,2
322,0,0,0,,4,3
346,0,0,0,,4,4
353,0,0,0,,4,4
354,0,0,0,,4,4
362,0,0,0,,4,2
391,0,0,0,,4,2
408,0,0,0,,4,3
420,0,0,0,,4,2
436,0,0,0,,4,1
443,0,0,0,,4,1
502,0,0,0,,4,3
504,0,0,0,,4,3
511,0,0,0,,4,3
597,0,0,0,,4,1
603,0,0,0,,4,2
611,0,0,0,,4,4
625,0,0,0,,4,4
637,0,0,0,,4,2
642,0,0,0,,4,2
698,0,0,0,,4,4
704,0,0,0,,4,4
746,0,0,0,,4,3
808,0,0,0,,4,4
903,0,0,0,,4,4
910,0,0,0,,4,2
007,0,0,0,,3,1
012,0,0,0,,3,3
019,0,0,0,,3,3
025,0,0,0,,3,1
064,0,0,0,,3,3
081,0,0,0,,3,2
103,0,0,0,,3,2
143,0,0,0,,3,3
146,0,0,0,,3,3
155,0,0,0,,3,3
168,0,0,0,,3,3
177,0,0,0,,3,1
193,0,0,0,,3,3
202,0,0,0,,3,3
204,0,0,0,,3,3
215,0,0,0,,3,2
216,0,0,0,,3,2
234,0,0,0,,3,2
268,0,0,0,,3,2
278,0,0,0,,3,3
285,0,0,0,,3,2
308,0,0,0,,3,3
317,0,0,0,,3,2
319,0,0,0,,3,3
321,0,0,0,,3,2
326,0,0,0,,3,3
345,0,0,0,,3,2
411,0,0,0,,3,2
417,0,0,0,,3,2
470,0,0,0,,3,2
515,0,0,0,,3,2
543,0,0,0,,3,2
552,0,0,0,,3,2
560,0,0,0,,3,2
565,0,0,0,,3,3
578,0,0,0,,3,1
592,0,0,0,,3,3
634,0,0,0,,3,2
643,0,0,0,,3,1
679,0,0,0,,3,2
711,0,0,0,,3,1
720,0,0,0,,3,3
786,0,0,0,,3,2
797,0,0,0,,3,2
799,0,0,0,,3,1
804,0,0,0,,3,2
805,0,0,0,,3,3
879,0,0,0,,3,1
893,0,0,0,,3,3
912,0,0,0,,3,1
922,0,0,0,,3,2
027,0,0,0,,2,1
028,0,0,0,,2,1
029,0,0,0,,2,1
042,0,0,0,,2,1
046,0,0,0,,2,2
059,0,0,0,,2,1
062,0,0,0,,2,2
071,0,0,0,,2,2
073,0,0,0,,2,2
082,0,0,0,,2,2
092,0,0,0,,2,2
096,0,0,0,,2,2
099,0,0,0,,2,2
112,0,0,0,,2,1
118,0,0,0,,2,2
121,0,0,0,,2,2
126,0,0,0,,2,2
128,0,0,0,,2,2
136,0,0,0,,2,2
139,0,0,0,,2,2
159,0,0,0,,2,1
160,0,0,0,,2,2
167,0,0,0,,2,2
191,0,0,0,,2,2
192,0,0,0,,2,2
195,0,0,0,,2,2
205,0,0,0,,2,1
229,0,0,0,,2,1
241,0,0,0,,2,2
244,0,0,0,,2,2
262,0,0,0,,2,2
287,0,0,0,,2,2
292,0,0,0,,2,2
299,0,0,0,,2,2
300,0,0,0,,2,2
301,0,0,0,,2,1
302,0,0,0,,2,2
304,0,0,0,,2,2
309,0,0,0,,2,2
310,0,0,0,,2,2
318,0,0,0,,2,1
324,0,0,0,,2,2
330,0,0,0,,2,2
347,0,0,0,,2,2
351,0,0,0,,2,2
361,0,0,0,,2,1
373,0,0,0,,2,2
381,0,0,0,,2,2
392,0,0,0,,2,2
421,0,0,0,,2,2
422,0,0,0,,2,1
465,0,0,0,,2,2
475,0,0,0,,2,2
483,0,0,0,,2,1
513,0,0,0,,2,2
528,0,0,0,,2,2
533,0,0,0,,2,1
534,0,0,0,,2,2
544,0,0,0,,2,2
561,0,0,0,,2,2
579,0,0,0,,2,1
600,0,0,0,,2,2
604,0,0,0,,2,2
610,0,0,0,,2,1
681,0,0,0,,2,2
683,0,0,0,,2,2
687,0,0,0,,2,2
697,0,0,0,,2,2
710,0,0,0,,2,1
721,0,0,0,,2,2
732,0,0,0,,2,1
736,0,0,0,,2,1
744,0,0,0,,2,2
767,0,0,0,,2,2
770,0,0,0,,2,2
775,0,0,0,,2,2
785,0,0,0,,2,2
807,0,0,0,,2,2
813,0,0,0,,2,2
814,0,0,0,,2,1
829,0,0,0,,2,2
843,0,0,0,,2,2
851,0,0,0,,2,1
852,0,0,0,,2,2
871,0,0,0,,2,2
891,0,0,0,,2,1
898,0,0,0,,2,2
899,0,0,0,,2,2
901,0,0,0,,2,2
908,0,0,0,,2,2
919,0,0,0,,2,1
933,0,0,0,,2,2
940,0,0,0,,2,1
950,0,0,0,,2,2
026,0,0,0,,1,1
041,0,0,0,,1,1
050,0,0,0,,1,1
051,0,0,0,,1,1
057,0,0,0,,1,1
058,0,0,0,,1,1
069,0,0,0,,1,1
083,0,0,0,,1,1
084,0,0,0,,1,1
094,0,0,0,,1,1
102,0,0,0,,1,1
105,0,0,0,,1,1
107,0,0,0,,1,1
117,0,0,0,,1,1
119,0,0,0,,1,1
122,0,0,0,,1,1
123,0,0,0,,1,1
127,0,0,0,,1,1
131,0,0,0,,1,1
133,0,0,0,,1,1
134,0,0,0,,1,1
141,0,0,0,,1,1
144,0,0,0,,1,1
145,0,0,0,,1,1
152,0,0,0,,1,1
153,0,0,0,,1,1
161,0,0,0,,1,1
166,0,0,0,,1,1
170,0,0,0,,1,1
172,0,0,0,,1,1
178,0,0,0,,1,1
179,0,0,0,,1,1
180,0,0,0,,1,1
194,0,0,0,,1,1
200,0,0,0,,1,1
207,0,0,0,,1,1
208,0,0,0,,1,1
209,0,0,0,,1,1
223,0,0,0,,1,1
225,0,0,0,,1,1
228,0,0,0,,1,1
230,0,0,0,,1,1
242,0,0,0,,1,1
251,0,0,0,,1,1
253,0,0,0,,1,1
261,0,0,0,,1,1
264,0,0,0,,1,1
266,0,0,0,,1,1
270,0,0,0,,1,1
276,0,0,0,,1,1
277,0,0,0,,1,1
280,0,0,0,,1,1
281,0,0,0,,1,1
286,0,0,0,,1,1
290,0,0,0,,1,1
291,0,0,0,,1,1
293,0,0,0,,1,1
295,0,0,0,,1,1
296,0,0,0,,1,1
305,0,0,0,,1,1
306,0,0,0,,1,1
311,0,0,0,,1,1
316,0,0,0,,1,1
325,0,0,0,,1,1
327,0,0,0,,1,1
328,0,0,0,,1,1
329,0,0,0,,1,1
338,0,0,0,,1,1
340,0,0,0,,1,1
342,0,0,0,,1,1
343,0,0,0,,1,1
344,0,0,0,,1,1
363,0,0,0,,1,1
367,0,0,0,,1,1
372,0,0,0,,1,1
376,0,0,0,,1,1
383,0,0,0,,1,1
385,0,0,0,,1,1
386,0,0,0,,1,1
389,0,0,0,,1,1
393,0,0,0,,1,1
401,0,0,0,,1,1
403,0,0,0,,1,1
412,0,0,0,,1,1
423,0,0,0,,1,1
424,0,0,0,,1,1
426,0,0,0,,1,1
428,0,0,0,,1,1
441,0,0,0,,1,1
442,0,0,0,,1,1
444,0,0,0,,1,1
445,0,0,0,,1,1
450,0,0,0,,1,1
451,0,0,0,,1,1
452,0,0,0,,1,1
453,0,0,0,,1,1
457,0,0,0,,1,1
458,0,0,0,,1,1
466,0,0,0,,1,1
469,0,0,0,,1,1
471,0,0,0,,1,1
473,0,0,0,,1,1
474,0,0,0,,1,1
479,0,0,0,,1,1
490,0,0,0,,1,1
492,0,0,0,,1,1
493,0,0,0,,1,1
494,0,0,0,,1,1
505,0,0,0,,1,1
514,0,0,0,,1,1
516,0,0,0,,1,1
535,0,0,0,,1,1
541,0,0,0,,1,1
542,0,0,0,,1,1
546,0,0,0,,1,1
547,0,0,0,,1,1
551,0,0,0,,1,1
563,0,0,0,,1,1
570,0,0,0,,1,1
571,0,0,0,,1,1
573,0,0,0,,1,1
576,0,0,0,,1,1
577,0,0,0,,1,1
586,0,0,0,,1,1
596,0,0,0,,1,1
599,0,0,0,,1,1
601,0,0,0,,1,1
606,0,0,0,,1,1
620,0,0,0,,1,1
627,0,0,0,,1,1
628,0,0,0,,1,1
629,0,0,0,,1,1
631,0,0,0,,1,1
633,0,0,0,,1,1
635,0,0,0,,1,1
639,0,0,0,,1,1
640,0,0,0,,1,1
641,0,0,0,,1,1
646,0,0,0,,1,1
647,0,0,0,,1,1
678,0,0,0,,1,1
680,0,0,0,,1,1
684,0,0,0,,1,1
685,0,0,0,,1,1
686,0,0,0,,1,1
688,0,0,0,,1,1
689,0,0,0,,1,1
693,0,0,0,,1,1
694,0,0,0,,1,1
707,0,0,0,,1,1
713,0,0,0,,1,1
714,0,0,0,,1,1
716,0,0,0,,1,1
722,0,0,0,,1,1
727,0,0,0,,1,1
728,0,0,0,,1,1
729,0,0,0,,1,1
731,0,0,0,,1,1
734,0,0,0,,1,1
743,0,0,0,,1,1
747,0,0,0,,1,1
750,0,0,0,,1,1
751,0,0,0,,1,1
759,0,0,0,,1,1
761,0,0,0,,1,1
762,0,0,0,,1,1
764,0,0,0,,1,1
765,0,0,0,,1,1
768,0,0,0,,1,1
777,0,0,0,,1,1
778,0,0,0,,1,1
783,0,0,0,,1,1
793,0,0,0,,1,1
795,0,0,0,,1,1
796,0,0,0,,1,1
809,0,0,0,,1,1
810,0,0,0,,1,1
811,0,0,0,,1,1
815,0,0,0,,1,1
818,0,0,0,,1,1
826,0,0,0,,1,1
827,0,0,0,,1,1
828,0,0,0,,1,1
830,0,0,0,,1,1
833,0,0,0,,1,1
834,0,0,0,,1,1
836,0,0,0,,1,1
849,0,0,0,,1,1
854,0,0,0,,1,1
856,0,0,0,,1,1
857,0,0,0,,1,1
859,0,0,0,,1,1
862,0,0,0,,1,1
863,0,0,0,,1,1
864,0,0,0,,1,1
865,0,0,0,,1,1
869,0,0,0,,1,1
870,0,0,0,,1,1
878,0,0,0,,1,1
894,0,0,0,,1,1
895,0,0,0,,1,1
896,0,0,0,,1,1
897,0,0,0,,1,1
902,0,0,0,,1,1
909,0,0,0,,1,1
914,0,0,0,,1,1
918,0,0,0,,1,1
926,0,0,0,,1,1
928,0,0,0,,1,1
942,0,0,0,,1,1
944,0,0,0,,1,1
947,0,0,0,,1,1
952,0,0,0,,1,1
956,0,0,0,,1,1
958,0,0,0,,1,1
