"sign","edge_rank","total_count","initial_count","terminal_count","single_sign_count","edge_count","edge_share_of_total"
"554","167","10","0","3","0","3","0.3"
"243","168","9","1","2","0","3","0.333333"
"927","169","8","0","3","0","3","0.375"
"130","170","7","3","0","0","3","0.428571"
"018","171","6","0","3","0","3","0.5"
"066","172","6","1","2","0","3","0.5"
"354","173","6","1","2","0","3","0.5"
"374","174","6","0","3","0","3","0.5"
"510","175","6","0","3","0","3","0.5"
"603","176","6","0","3","0","3","0.5"
"014","177","5","0","3","0","3","0.6"
"221","178","5","0","3","0","3","0.6"
"511","179","5","2","1","0","3","0.6"
"518","180","5","0","3","0","3","0.6"
"272","181","4","0","3","0","3","0.75"
"326","182","4","0","3","0","3","0.75"
"352","183","4","0","3","0","3","0.75"
"380","184","4","0","3","0","3","0.75"
"391","185","4","1","2","0","3","0.75"
"869","186","4","3","0","0","3","0.75"
"025","187","3","0","3","0","3","1"
"139","188","3","1","2","0","3","1"
"216","189","3","0","3","0","3","1"
"229","190","3","0","3","0","3","1"
"353","191","3","0","3","0","3","1"
"634","192","3","0","3","0","3","1"
"681","193","3","0","3","0","3","1"
"687","194","3","0","3","0","3","1"
"829","195","3","0","3","0","3","1"
"922","196","3","0","3","0","3","1"
"760","197","81","1","1","0","2","0.024691"
"555","198","18","1","1","0","2","0.111111"
"645","199","16","1","1","0","2","0.125"
"222","200","11","0","2","0","2","0.181818"
"101","201","8","0","2","0","2","0.25"
"365","202","8","2","0","0","2","0.25"
"794","203","8","0","2","0","2","0.25"
"063","204","7","1","1","0","2","0.285714"
"315","205","7","0","2","0","2","0.285714"
"530","206","7","0","2","0","2","0.285714"
"540","207","7","0","2","0","2","0.285714"
"844","208","7","0","2","0","2","0.285714"
"906","209","7","0","2","0","2","0.285714"
"924","210","7","1","1","0","2","0.285714"
"111","211","6","1","1","0","2","0.333333"
"531","212","5","0","2","0","2","0.4"
"704","213","5","0","2","0","2","0.4"
"049","214","4","0","2","0","2","0.5"
"155","215","4","2","0","0","2","0.5"
"159","216","4","2","0","0","2","0.5"
"456","217","4","0","2","0","2","0.5"
"472","218","4","0","2","0","2","0.5"
"502","219","4","0","2","0","2","0.5"
"521","220","4","1","1","0","2","0.5"
"564","221","4","0","2","0","2","0.5"
"903","222","4","0","2","0","2","0.5"
"103","223","3","1","1","0","2","0.666667"
"136","224","3","2","0","0","2","0.666667"
"153","225","3","2","0","0","2","0.666667"
"193","226","3","0","2","0","2","0.666667"
"244","227","3","1","1","0","2","0.666667"
"322","228","3","0","2","0","2","0.666667"
"345","229","3","0","2","0","2","0.666667"
"411","230","3","2","0","0","2","0.666667"
"470","231","3","0","2","0","2","0.666667"
"625","232","3","0","2","0","2","0.666667"
"637","233","3","0","2","0","2","0.666667"
"710","234","3","1","1","0","2","0.666667"
"720","235","3","0","2","0","2","0.666667"
"744","236","3","0","2","0","2","0.666667"
"797","237","3","0","2","0","2","0.666667"
"912","238","3","0","2","0","2","0.666667"
"041","239","2","1","1","0","2","1"
"046","240","2","1","1","0","2","1"
"059","241","2","0","2","0","2","1"
"096","242","2","0","2","0","2","1"
"112","243","2","0","2","0","2","1"
"118","244","2","0","2","0","2","1"
"126","245","2","0","2","0","2","1"
"146","246","2","0","2","0","2","1"
"157","247","2","2","0","0","2","1"
"178","248","2","0","2","0","2","1"
"195","249","2","0","2","0","2","1"
"262","250","2","0","2","0","2","1"
"361","251","2","0","2","0","2","1"
"410","252","2","2","0","0","2","1"
"424","253","2","1","1","0","2","1"
"494","254","2","1","1","0","2","1"
"516","255","2","0","2","0","2","1"
"579","256","2","0","2","0","2","1"
"678","257","2","0","2","0","2","1"
"683","258","2","0","2","0","2","1"
"747","259","2","1","1","0","2","1"
"795","260","2","1","1","0","2","1"
"843","261","2","0","2","0","2","1"
"891","262","2","0","2","0","2","1"
"896","263","2","0","2","0","2","1"
"060","264","155","0","1","0","1","0.006452"
"752","265","45","0","1","0","1","0.022222"
"585","266","40","1","0","0","1","0.025"
"460","267","25","0","1","0","1","0.04"
"048","268","17","1","0","0","1","0.058824"
"321","269","15","0","1","0","1","0.066667"
"436","270","13","1","0","0","1","0.076923"
"297","271","11","0","1","0","1","0.090909"
"056","272","10","0","1","0","1","0.1"
"065","273","10","1","0","0","1","0.1"
"337","274","10","0","1","0","1","0.1"
"525","275","10","1","0","0","1","0.1"
"773","276","8","0","1","0","1","0.125"
"812","277","8","1","0","0","1","0.125"
"269","278","7","1","0","0","1","0.142857"
"267","279","5","1","0","0","1","0.2"
"626","280","5","0","1","0","1","0.2"
"204","281","4","1","0","0","1","0.25"
"257","282","4","1","0","0","1","0.25"
"515","283","4","1","0","0","1","0.25"
"572","284","4","0","1","0","1","0.25"
"702","285","4","0","1","0","1","0.25"
"825","286","4","0","1","0","1","0.25"
"067","287","3","0","1","0","1","0.333333"
"132","288","3","0","1","0","1","0.333333"
"177","289","3","0","1","0","1","0.333333"
"362","290","3","0","1","0","1","0.333333"
"746","291","3","0","1","0","1","0.333333"
"805","292","3","0","1","0","1","0.333333"
"006","293","2","0","1","0","1","0.5"
"012","294","2","0","1","0","1","0.5"
"019","295","2","0","1","0","1","0.5"
"082","296","2","0","1","0","1","0.5"
"143","297","2","1","0","0","1","0.5"
"191","298","2","0","1","0","1","0.5"
"278","299","2","0","1","0","1","0.5"
"279","300","2","0","1","0","1","0.5"
"285","301","2","0","1","0","1","0.5"
"286","302","2","1","0","0","1","0.5"
"324","303","2","1","0","0","1","0.5"
"346","304","2","0","1","0","1","0.5"
"351","305","2","0","1","0","1","0.5"
"367","306","2","1","0","0","1","0.5"
"373","307","2","0","1","0","1","0.5"
"381","308","2","0","1","0","1","0.5"
"392","309","2","0","1","0","1","0.5"
"475","310","2","0","1","0","1","0.5"
"534","311","2","1","0","0","1","0.5"
"560","312","2","0","1","0","1","0.5"
"561","313","2","0","1","0","1","0.5"
"600","314","2","1","0","0","1","0.5"
"680","315","2","1","0","0","1","0.5"
"732","316","2","0","1","0","1","0.5"
"767","317","2","0","1","0","1","0.5"
"786","318","2","0","1","0","1","0.5"
"791","319","2","0","1","0","1","0.5"
"893","320","2","0","1","0","1","0.5"
"898","321","2","0","1","0","1","0.5"
"901","322","2","0","1","0","1","0.5"
"950","323","2","0","1","0","1","0.5"
"029","324","1","0","1","0","1","1"
"045","325","1","1","0","0","1","1"
"051","326","1","0","1","0","1","1"
"057","327","1","0","1","0","1","1"
"058","328","1","0","1","0","1","1"
"069","329","1","0","1","0","1","1"
"084","330","1","0","1","0","1","1"
"102","331","1","0","1","0","1","1"
"105","332","1","1","0","0","1","1"
"106","333","1","1","0","0","1","1"
"107","334","1","0","1","0","1","1"
"116","335","1","1","0","0","1","1"
"119","336","1","0","1","0","1","1"
"121","337","1","0","1","0","1","1"
"127","338","1","1","0","0","1","1"
"131","339","1","0","1","0","1","1"
"133","340","1","0","1","0","1","1"
"138","341","1","1","0","0","1","1"
"141","342","1","0","1","0","1","1"
"144","343","1","0","1","0","1","1"
"145","344","1","0","1","0","1","1"
"166","345","1","0","1","0","1","1"
"173","346","1","1","0","0","1","1"
"180","347","1","0","1","0","1","1"
"200","348","1","1","0","0","1","1"
"203","349","1","1","0","0","1","1"
"208","350","1","0","1","0","1","1"
"209","351","1","0","1","0","1","1"
"224","352","1","1","0","0","1","1"
"230","353","1","0","1","0","1","1"
"256","354","1","1","0","0","1","1"
"266","355","1","0","1","0","1","1"
"276","356","1","0","1","0","1","1"
"294","357","1","1","0","0","1","1"
"307","358","1","1","0","0","1","1"
"309","359","1","0","1","0","1","1"
"316","360","1","0","1","0","1","1"
"319","361","1","0","1","0","1","1"
"325","362","1","0","1","0","1","1"
"327","363","1","0","1","0","1","1"
"329","364","1","0","1","0","1","1"
"363","365","1","0","1","0","1","1"
"375","366","1","1","0","0","1","1"
"376","367","1","0","1","0","1","1"
"386","368","1","0","1","0","1","1"
"389","369","1","0","1","0","1","1"
"393","370","1","0","1","0","1","1"
"402","371","1","1","0","0","1","1"
"412","372","1","0","1","0","1","1"
"427","373","1","1","0","0","1","1"
"428","374","1","0","1","0","1","1"
"429","375","1","1","0","0","1","1"
"430","376","1","1","0","0","1","1"
"461","377","1","1","0","0","1","1"
"473","378","1","0","1","0","1","1"
"479","379","1","0","1","0","1","1"
"481","380","1","1","0","0","1","1"
"490","381","1","0","1","0","1","1"
"493","382","1","0","1","0","1","1"
"505","383","1","0","1","0","1","1"
"506","384","1","1","0","0","1","1"
"513","385","1","0","1","0","1","1"
"528","386","1","0","1","0","1","1"
"541","387","1","0","1","0","1","1"
"544","388","1","0","1","0","1","1"
"563","389","1","0","1","0","1","1"
"570","390","1","0","1","0","1","1"
"571","391","1","0","1","0","1","1"
"573","392","1","0","1","0","1","1"
"577","393","1","0","1","0","1","1"
"586","394","1","0","1","0","1","1"
"601","395","1","0","1","0","1","1"
"620","396","1","0","1","0","1","1"
"635","397","1","0","1","0","1","1"
"640","398","1","0","1","0","1","1"
"684","399","1","0","1","0","1","1"
"688","400","1","0","1","0","1","1"
"689","401","1","0","1","0","1","1"
"693","402","1","0","1","0","1","1"
"694","403","1","0","1","0","1","1"
"707","404","1","0","1","0","1","1"
"716","405","1","0","1","0","1","1"
"718","406","1","1","0","0","1","1"
"723","407","1","1","0","0","1","1"
"728","408","1","0","1","0","1","1"
"731","409","1","0","1","0","1","1"
"748","410","1","1","0","0","1","1"
"749","411","1","1","0","0","1","1"
"751","412","1","0","1","0","1","1"
"759","413","1","0","1","0","1","1"
"764","414","1","0","1","0","1","1"
"768","415","1","0","1","0","1","1"
"777","416","1","0","1","0","1","1"
"796","417","1","0","1","0","1","1"
"815","418","1","0","1","0","1","1"
"818","419","1","0","1","0","1","1"
"822","420","1","1","0","0","1","1"
"826","421","1","0","1","0","1","1"
"828","422","1","0","1","0","1","1"
"842","423","1","1","0","0","1","1"
"849","424","1","0","1","0","1","1"
"852","425","1","0","1","0","1","1"
"855","426","1","1","0","0","1","1"
"859","427","1","0","1","0","1","1"
"863","428","1","0","1","0","1","1"
"864","429","1","0","1","0","1","1"
"866","430","1","1","0","0","1","1"
"870","431","1","0","1","0","1","1"
"871","432","1","0","1","0","1","1"
"872","433","1","1","0","0","1","1"
"875","434","1","1","0","0","1","1"
"876","435","1","1","0","0","1","1"
"878","436","1","0","1","0","1","1"
"897","437","1","0","1","0","1","1"
"902","438","1","0","1","0","1","1"
"914","439","1","0","1","0","1","1"
"918","440","1","0","1","0","1","1"
"926","441","1","0","1","0","1","1"
"930","442","1","1","0","0","1","1"
"932","443","1","1","0","0","1","1"
"933","444","1","0","1","0","1","1"
"956","445","1","0","1","0","1","1"
"845","446","47","0","0","0","0","0"
"335","447","24","0","0","0","0","0"
"500","448","17","0","0","0","0","0"
"636","449","15","0","0","0","0","0"
"318","450","11","0","0","0","0","0"
"711","451","11","0","0","0","0","0"
"890","452","11","0","0","0","0","0"
"463","453","9","0","0","0","0","0"
"336","454","8","0","0","0","0","0"
"417","455","8","0","0","0","0","0"
"772","456","8","0","0","0","0","0"
"597","457","7","0","0","0","0","0"
"642","458","6","0","0","0","0","0"
"578","459","5","0","0","0","0","0"
"776","460","5","0","0","0","0","0"
"093","461","4","0","0","0","0","0"
"150","462","4","0","0","0","0","0"
"202","463","4","0","0","0","0","0"
"252","464","4","0","0","0","0","0"
"420","465","4","0","0","0","0","0"
"443","466","4","0","0","0","0","0"
"007","467","3","0","0","0","0","0"
"081","468","3","0","0","0","0","0"
"168","469","3","0","0","0","0","0"
"268","470","3","0","0","0","0","0"
"421","471","3","0","0","0","0","0"
"552","472","3","0","0","0","0","0"
"611","473","3","0","0","0","0","0"
"042","474","2","0","0","0","0","0"
"062","475","2","0","0","0","0","0"
"071","476","2","0","0","0","0","0"
"287","477","2","0","0","0","0","0"
"292","478","2","0","0","0","0","0"
"300","479","2","0","0","0","0","0"
"301","480","2","0","0","0","0","0"
"302","481","2","0","0","0","0","0"
"304","482","2","0","0","0","0","0"
"330","483","2","0","0","0","0","0"
"483","484","2","0","0","0","0","0"
"533","485","2","0","0","0","0","0"
"610","486","2","0","0","0","0","0"
"643","487","2","0","0","0","0","0"
"697","488","2","0","0","0","0","0"
"721","489","2","0","0","0","0","0"
"770","490","2","0","0","0","0","0"
"775","491","2","0","0","0","0","0"
"783","492","2","0","0","0","0","0"
"807","493","2","0","0","0","0","0"
"813","494","2","0","0","0","0","0"
"814","495","2","0","0","0","0","0"
"879","496","2","0","0","0","0","0"
"908","497","2","0","0","0","0","0"
"919","498","2","0","0","0","0","0"
"940","499","2","0","0","0","0","0"
"050","500","1","0","0","0","0","0"
"083","501","1","0","0","0","0","0"
"092","502","1","0","0","0","0","0"
"094","503","1","0","0","0","0","0"
"122","504","1","0","0","0","0","0"
"134","505","1","0","0","0","0","0"
"152","506","1","0","0","0","0","0"
"160","507","1","0","0","0","0","0"
"170","508","1","0","0","0","0","0"
"172","509","1","0","0","0","0","0"
"179","510","1","0","0","0","0","0"
"192","511","1","0","0","0","0","0"
"205","512","1","0","0","0","0","0"
"207","513","1","0","0","0","0","0"
"223","514","1","0","0","0","0","0"
"228","515","1","0","0","0","0","0"
"242","516","1","0","0","0","0","0"
"253","517","1","0","0","0","0","0"
"264","518","1","0","0","0","0","0"
"277","519","1","0","0","0","0","0"
"280","520","1","0","0","0","0","0"
"291","521","1","0","0","0","0","0"
"293","522","1","0","0","0","0","0"
"295","523","1","0","0","0","0","0"
"299","524","1","0","0","0","0","0"
"305","525","1","0","0","0","0","0"
"306","526","1","0","0","0","0","0"
"308","527","1","0","0","0","0","0"
"311","528","1","0","0","0","0","0"
"338","529","1","0","0","0","0","0"
"342","530","1","0","0","0","0","0"
"343","531","1","0","0","0","0","0"
"344","532","1","0","0","0","0","0"
"372","533","1","0","0","0","0","0"
"383","534","1","0","0","0","0","0"
"385","535","1","0","0","0","0","0"
"441","536","1","0","0","0","0","0"
"444","537","1","0","0","0","0","0"
"450","538","1","0","0","0","0","0"
"469","539","1","0","0","0","0","0"
"471","540","1","0","0","0","0","0"
"474","541","1","0","0","0","0","0"
"542","542","1","0","0","0","0","0"
"576","543","1","0","0","0","0","0"
"596","544","1","0","0","0","0","0"
"604","545","1","0","0","0","0","0"
"606","546","1","0","0","0","0","0"
"627","547","1","0","0","0","0","0"
"639","548","1","0","0","0","0","0"
"647","549","1","0","0","0","0","0"
"686","550","1","0","0","0","0","0"
"714","551","1","0","0","0","0","0"
"727","552","1","0","0","0","0","0"
"729","553","1","0","0","0","0","0"
"734","554","1","0","0","0","0","0"
"750","555","1","0","0","0","0","0"
"761","556","1","0","0","0","0","0"
"765","557","1","0","0","0","0","0"
"778","558","1","0","0","0","0","0"
"793","559","1","0","0","0","0","0"
"810","560","1","0","0","0","0","0"
"811","561","1","0","0","0","0","0"
"830","562","1","0","0","0","0","0"
"833","563","1","0","0","0","0","0"
"836","564","1","0","0","0","0","0"
"854","565","1","0","0","0","0","0"
"862","566","1","0","0","0","0","0"
"894","567","1","0","0","0","0","0"
"909","568","1","0","0","0","0","0"
"942","569","1","0","0","0","0","0"
"944","570","1","0","0","0","0","0"
"958","571","1","0","0","0","0","0"
