"prev","next","frame","companion_class","row_count","dedup_text_units","sites","types","examples"
"000","004","000-220-004","700_033_branch","1","1","Harappa","TAB:B","744.2"
"000","032","000-220-032","no_companion_side","2","2","Mohenjo-daro","SEAL:S","2501.1;3989.1"
"000","390","000-220-390","one_sign_or_contains_110","1","1","Tello","SEAL:S","3885.1"
"000","415","000-220-415","no_companion_side","3","2","Harappa;Mohenjo-daro","ROD;TAB:I","1849.1;4042.1;4044.1"
"000","741","000-220-741","no_companion_side","1","1","Kalibangan","SEAL:S","1889.1"
"002","065","002-220-065","no_companion_side","3","3","Kalibangan;Mohenjo-daro","SEAL:S","1899.1;2574.1;2667.1"
"002","455","002-220-455","no_companion_side","4","4","Harappa;Mohenjo-daro","SEAL:S","1139.1;1293.1;2557.1;2674.1"
"002","455","002-220-455","700_034_branch","1","1","Harappa","TAB:B","388.2"
"002","627","002-220-627","no_companion_side","1","1","Mohenjo-daro","TAG:O","3712.1"
"002","880","002-220-880","no_companion_side","1","1","Mohenjo-daro","SEAL:S","3097.1"
"176","032","176-220-032","700_other_branch","2","1","Mohenjo-daro","TAB:C","2987.2;2988.2"
"176","235","176-220-235","longer_other","7","1","Harappa","TAB:B","729.1;937.1;1695.2;1696.2;1697.2;3970.2;3971.2"
"176","415","176-220-415","no_companion_side","2","2","Mohenjo-daro","SEAL:S","3074.1;3338.1"
"176","803","176-220-803","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2772.1"
"233","002","233-220-002","longer_other","1","1","Mohenjo-daro","SEAL:S","2357.3"
"233","032","233-220-032","no_companion_side","4","4","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S","1416.1;1544.1;2041.1;2871.1"
"233","240","233-220-240","no_companion_side","1","1","Lothal","TAG","2077.1"
"233","415","233-220-415","no_companion_side","1","1","Mohenjo-daro","SEAL:S","3305.1"
"235","031","235-220-031","no_companion_side","1","1","Harappa","SEAL:R","1170.1"
"235","032","235-220-032","no_companion_side","3","3","Harappa;Mohenjo-daro","SEAL:S","1020.1;3085.1;3147.1"
"235","032","235-220-032","one_sign_or_contains_110","1","1","Tarkhanewala-dera","TAG","5456.1"
"240","002","240-220-002","no_companion_side","1","1","Mohenjo-daro","SEAL","2277.1"
"240","032","240-220-032","no_companion_side","9","9","Chanhu-daro;Harappa;Mohenjo-daro","SEAL:R;SEAL:S","62.1;920.1;2417.1;2577.1;2763.1;2837.1;3081.1;3146.1;3572.1"
"240","255","240-220-255","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2660.1"
"240","415","240-220-415","no_companion_side","1","1","Mohenjo-daro","SEAL:R","2865.1"
"318","415","318-220-415","no_companion_side","10","1","Harappa","TAB:B","1300.1;1301.1;1302.1;1303.1;1304.1;1305.1;1306.1;1754.1;1755.1;1756.1"
"318","415","318-220-415","one_sign_or_contains_110","1","1","Harappa","TAB:B","291.1"
"520","001","520-220-001","no_companion_side","1","1","Mohenjo-daro","SEAL:S","3995.1"
"520","002","520-220-002","no_companion_side","3","3","Mohenjo-daro","SEAL:S","2268.1;2827.1;3509.1"
"520","003","520-220-003","no_companion_side","2","2","Mohenjo-daro","SEAL:S","2441.1;2516.1"
"520","004","520-220-004","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2603.1"
"520","006","520-220-006","no_companion_side","1","1","Kalibangan","SEAL:S","5277.1"
"520","016","520-220-016","700_033_branch","3","2","Harappa","TAB:B;TAB:I","258.1;1680.1;1822.1"
"520","016","520-220-016","no_companion_side","2","2","Harappa;Mohenjo-daro","SEAL:S","1153.1;2510.1"
"520","031","520-220-031","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2593.1"
"520","032","520-220-032","no_companion_side","1","1","Mohenjo-daro","SEAL:S","3421.1"
"520","034","520-220-034","longer_other","1","1","Mohenjo-daro","SEAL:S","3556.1"
"520","060","520-220-060","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2816.1"
"520","235","520-220-235","no_companion_side","3","3","Mohenjo-daro","SEAL:S","2551.1;2757.1;3464.1"
"520","240","520-220-240","no_companion_side","4","4","Harappa;Mohenjo-daro","SEAL:S","199.1;2265.1;2506.1;3357.1"
"520","240","520-220-240","700_033_branch","1","1","Harappa","TAB:B","1258.1"
"520","368","520-220-368","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2485.1"
"520","415","520-220-415","no_companion_side","11","9","Harappa;Lothal;Mohenjo-daro","SEAL:R;SEAL:S;TAB:I","221.1;479.1;1383.1;2052.1;2420.1;2565.1;2689.1;2800.1;2841.1;2891.1"
"520","415","520-220-415","700_034_branch","4","1","Harappa","TAB:I","1341.1;1818.1;1819.2;4069.1"
"520","415","520-220-415","longer_other","3","1","Harappa","TAB:B;TAB:I","848.1;1677.2;1821.2"
"520","415","520-220-415","700_032_branch","2","2","Harappa","TAB:B;TAB:I","485.2;841.1"
"520","415","520-220-415","companion_starts_520_220","2","1","Harappa","TAB:B","913.1;913.2"
"520","415","520-220-415","one_sign_or_contains_110","2","1","Harappa","TAB:I","481.1;1820.1"
"520","415","520-220-415","700_other_branch","1","1","Harappa","TAB:I","1366.1"
"520","415","520-220-415","two_sign_other","1","1","Harappa","TAB:I","816.1"
"520","621","520-220-621","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2681.1"
"520","742","520-220-742","no_companion_side","1","1","Nausharo","SEAL:S","5360.1"
"520","803","520-220-803","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2513.1"
"590","003","590-220-003","no_companion_side","2","2","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1175.1;2621.1"
"590","003","590-220-003","one_sign_or_contains_110","1","1","Kish","SEAL:S","1971.1"
"590","003","590-220-003","one_sign_other","1","1","Mohenjo-daro","TAB:C","3066.2"
"590","032","590-220-032","no_companion_side","1","1","Mohenjo-daro","SEAL:R","2888.1"
"590","033","590-220-033","one_sign_or_contains_110","1","1","Rupar","POT:T:g","3871.1"
"590","235","590-220-235","no_companion_side","1","1","Mohenjo-daro","SEAL:R","2855.1"
"590","463","590-220-463","one_sign_or_contains_110","1","1","Dholavira","SEAL:S","4229.1"
"740","000","740-220-000","no_companion_side","2","2","Harappa;Mohenjo-daro","SEAL:S;TAB:C","576.1;3069.1"
"740","002","740-220-002","no_companion_side","1","1","Banawali","SEAL:S","27.1"
"740","003","740-220-003","no_companion_side","10","6","Harappa;Kalibangan;Mohenjo-daro","SEAL:R;SEAL:S;TAB:B","237.1;1127.1;1884.1;2814.1;3149.1;3713.1;3720.1;3722.1;3723.1;3724.1"
"740","014","740-220-014","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2783.1"
"740","016","740-220-016","no_companion_side","3","3","Mohenjo-daro;Nausharo","SEAL:S","2581.1;2663.1;3853.1"
"740","032","740-220-032","no_companion_side","4","4","Harappa;Mohenjo-daro","SEAL:R;SEAL:S","1480.1;1584.1;2313.1;3427.1"
"740","055","740-220-055","no_companion_side","7","1","Lothal","TAG;TAG:L;TAG:W","2068.1;2069.1;2070.1;2071.1;2072.1;2125.1;5388.1"
"740","055","740-220-055","longer_other","4","1","Lothal","TAG","2112.1;2113.1;2115.1;2117.1"
"740","060","740-220-060","no_companion_side","1","1","Mohenjo-daro","SEAL:S","3318.1"
"740","233","740-220-233","no_companion_side","1","1","Mohenjo-daro","TAB:C","3729.1"
"740","235","740-220-235","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2631.1"
"740","415","740-220-415","no_companion_side","5","2","Harappa;Mohenjo-daro","SEAL:S;TAB:B","1234.1;1641.1;2953.1;2954.1;3084.1"
"740","415","740-220-415","700_033_branch","1","1","Harappa","TAB:B","1659.1"
"740","416","740-220-416","700_other_branch","1","1","Harappa","TAB:I","1324.2"
"740","741","740-220-741","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2654.1"
"740","742","740-220-742","no_companion_side","1","1","Mohenjo-daro","SEAL:S","2823.1"
"845","415","845-220-415","no_companion_side","3","1","Mohenjo-daro","TAB:C","2983.1;2984.1;3733.1"
"845","415","845-220-415","longer_other","1","1","Mohenjo-daro","TAB:C","3734.1"
"904","032","904-220-032","no_companion_side","2","2","Lothal;Mohenjo-daro","SEAL:R;SEAL:S","2063.1;2381.1"
"904","032","904-220-032","longer_other","1","1","Lothal","SEAL:S","2032.5"
