"policy","stratum_kind","stratum_value","model","evaluated_rows","label_count","labels","majority_label","majority_share","accuracy","macro_f1","macro_recall"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:I","majority","102","3","MT;SC;SS","SC","0.45098","0.45098","0.207207","0.333333"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:I","length","102","3","MT;SC;SS","SC","0.45098","0.54902","0.389572","0.427908"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:I","edge_frame","102","3","MT;SC;SS","SC","0.45098","0.578431","0.49477","0.486731"
"top10_edge_removed_exact_sequence_collapsed","type","TAB:I","token_nb","102","3","MT;SC;SS","SC","0.45098","0.705882","0.693459","0.694133"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","majority","90","6","IT;LC;LP;MT;SC;SS","LP","0.188889","0","0","0"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","length","90","6","IT;LC;LP;MT;SC;SS","LP","0.188889","0.422222","0.395854","0.435109"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","edge_frame","90","6","IT;LC;LP;MT;SC;SS","LP","0.188889","0.422222","0.395854","0.435109"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:R@Mohenjo-daro","token_nb","90","6","IT;LC;LP;MT;SC;SS","LP","0.188889","0.366667","0.336579","0.353331"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Harappa","majority","154","6","IT;LP;MT;SC;SP;SS","LP","0.220779","0.220779","0.060284","0.166667"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Harappa","length","154","6","IT;LP;MT;SC;SP;SS","LP","0.220779","0.396104","0.30244","0.329453"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Harappa","edge_frame","154","6","IT;LP;MT;SC;SP;SS","LP","0.220779","0.409091","0.333877","0.34612"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Harappa","token_nb","154","6","IT;LP;MT;SC;SP;SS","LP","0.220779","0.344156","0.267146","0.285059"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","majority","647","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.208655","0.208655","0.038363","0.111111"
"top10_edge_removed_exact_sequence_collapsed","type_site","SEAL:S@Mohenjo-daro","length","647","9","IM;IT;LC;LP;MS;MT;SC;SP;SS","IT","0.208655","0.36476","0.194684","0.254957"
