object,site,region,type,material,shape,symbol,condition,complete,has_407,has_806,has_both,first_407_position,first_806_position,opener_before_closer,closer_before_opener,text
M-358,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,4,false,false,+003-001-520-240-806-002-502-031+
M-368,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,false,2,,false,false,+527-555-407-844-055-000+
M-369,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,7,false,false,+740-690-435-255-240-220-415-806-742-060-920+
M-370,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,7,false,false,+832-904-740-444-388-233-798-806+
M-371,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,5,false,false,+617-142-384-032-154-806-467+
M-378,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,Y,true,false,false,0,,false,false,+407-005-001-746-740-590+
M-385,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,false,0,,false,false,+407-004-002-820+
M-392,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,5,false,false,+740-405-590-220-032-806+
M-393,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,5,false,false,+679-740-575-017-240-806-002-540+
M-403,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,true,false,false,0,,false,false,+407-063-520-095+
M-405,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,Y,false,true,false,,4,false,false,+740-923-240-235-806+
M-408,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,true,false,false,0,,false,false,+407-061-002-817+
M-409,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid,NA,Good,Y,false,true,false,,2,false,false,+045-740-806+
M-1449,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,false,true,false,,3,false,false,+740-176-233-806+
M-1550,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,false,true,false,,3,false,false,+740-384-233-806+
M-1457,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Loop,Fair,Y,true,false,false,0,,false,false,+407-845-220-415+
M-515,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,false,0,,false,false,+407-585-233+
M-524,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Poor,Y,true,false,false,0,,false,false,+407-071-032+
M-1547,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,false,false,0,,false,false,+407-321-407-845-033-705-235+
-:5587.1,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Buff,Fair,Y,true,false,false,0,,false,false,+407-032-520-095-585-017-231+
M-1517,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Tigr,Fair,Y,true,false,false,0,,false,false,+407-061-845-240-798+
M-577,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,true,false,false,5,,false,false,+617-142-597-032-905/407-004-002-365-460-495+
M-603,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Poor,Y,true,true,true,3,5,true,false,+740-900-850-407-845-806+
M-1052,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Poor,Y,false,true,false,,4,false,false,+679-740-220-032-806-001-595-575-001-095+
M-1262,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,false,0,,false,false,+407-004-001-745-561-586+
M-1265,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,false,true,false,,5,false,false,+740-055-240-220-032-806+
M-1284,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Poor,Y,false,true,false,,4,false,false,+416-001-520-240-806-002-502-031+
M-1287,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,false,true,false,,3,false,false,]000-900-003-806-231-235[
M-1295,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,N,true,false,false,0,,false,false,+407-845-220-415-798-000[
M-1296,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,true,false,false,0,,false,false,+407-370[
M-1297,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,false,true,false,,0,false,false,]806-002-824+
M-1301,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,N,true,false,false,1,,false,false,+740-407-590-000[
M-1306,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,false,true,false,,3,false,false,+740-405-590-806-002-820+
M-1308,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,false,4,,false,false,+740-032-055-001-407-004+
M-1310,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fair,Y,true,false,false,0,,false,false,+407-004-001-740-407-590-235+
M-1314,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,Y,true,false,false,0,,false,false,+407-016-001-740-923+
M-1319,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Poor,?,false,true,false,,1,false,false,]798-806-002-904-346+
M-1323,Mohenjo-daro,Lower Indus,SEAL:R,NA,cuboid-convex,NA,Fair,Y,false,true,false,,6,false,false,+740-798-405-590-033-706-806+
M-1324,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,N,false,true,false,,1,false,false,+155-806-000[
M-1325,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,N,true,false,false,0,,false,false,+407-063-444-388-231-000[
M-1330,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Poor,?,true,false,false,0,,false,false,+407-845-220[
M-1334,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Fair,N,false,true,false,,1,false,false,+154-806-468-001-000[
M-1337,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,cuboid-convex,NA,Good,?,true,false,false,0,,false,false,+407-063-740[
M-1344,Mohenjo-daro,Lower Indus,SEAL:R,Steatite,rectangular,NA,Good,?,true,false,false,1,,false,false,+740-407-220[
M-1452,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,Othr,Poor,Y,false,true,false,,3,false,false,+740-176-231-806+
M-1458,Mohenjo-daro,Lower Indus,TAB:C,Copper,square,NA,Poor,Y,true,false,false,0,,false,false,+407-004-001-617-142+
M-1532,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Othr,Poor,Y,true,false,false,0,,false,false,+407-004-002-365-460-495+
M-1962,Mohenjo-daro,Lower Indus,SEAL:R,NA,rectangular,NA,Fair,Y,false,true,false,,1,false,false,+155-806-468+
M-2048,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,Gaur,Poor,N,true,false,false,0,,false,false,+407-061-845-000-000+
M-2055,Mohenjo-daro,Lower Indus,TAB:C,Copper,rectangular,NA,Good,Y,true,false,false,1,,false,false,+002-407-125-590-831+
-:4194.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Good,Y,false,true,false,,1,false,false,+154-806-472-013-220-455-806+
-:4270.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Poor,?,false,true,false,,0,false,false,]806-002-808+
-:4284.1,Dholavira,Gujarat/Kutch,SEAL:R,NA,rectangular,NA,Fair,Y,true,false,false,1,,false,false,+590-407-790-001-746+
Ns-60,Nausharo,Lower Indus,SEAL:R,Steatite,rectangular,NA,Fine,Y,true,false,false,0,,false,false,+407-063-740-176-236-798-002-297-350-125-413+
