scope,id,cisi,site,type,symbol,frame_kind,text,idx_002,y_after_002,y_class,tail_len,tail_next1,tail_next2,tail_full,tail_has_032,tail_has_002
all_002_strict_dedup,2626.1,M-99,Mohenjo-daro,SEAL:S,Bull1:S,,+740-215-002-368-119+,2,368,branch_head,1,119,119,119,false,false
all_002_strict_dedup,2830.1,M-311,Mohenjo-daro,SEAL:S,Comp,,+401-002-368-165+,1,368,branch_head,1,165,165,165,false,false
all_002_strict_dedup,2540.1,M-12,Mohenjo-daro,SEAL:S,Bull1:W,,+740-390-590-233-002-368-202-892-371+,4,368,branch_head,3,202,202 892,202 892 371,false,false
all_002_strict_dedup,1543.1,H-600,Harappa,SEAL:S,Bull1:I,,+002-368-260+,0,368,branch_head,1,260,260,260,false,false
all_002_strict_dedup,2366.1,M-1789,Mohenjo-daro,SEAL:S,Bull1:I,,+740-455-002-368-260+,2,368,branch_head,1,260,260,260,false,false
all_002_strict_dedup,2776.1,M-253,Mohenjo-daro,SEAL:S,Gaur,,+527-550-803-002-368-518+,3,368,branch_head,1,518,518,518,false,false
all_002_strict_dedup,27.1,B-1,Banawali,SEAL:S,Bull1:O,,+090-740-220-002-368-550-821+,3,368,branch_head,2,550,550 821,550 821,false,false
all_002_strict_dedup,3892.1,?-3,Unknown,SEAL:S,None,,+002-368-590-900+,0,368,branch_head,2,590,590 900,590 900,false,false
all_002_strict_dedup,20.1,Blk-2,Bala-kot,SEAL:S,Bull1,,+390-717-061-002-368-634+,3,368,branch_head,1,634,634,634,false,false
all_002_strict_dedup,1885.1,K-10,Kalibangan,SEAL:S,Bull1:I,,+740-690-435-255-002-368-861-590-032-368+,4,368,branch_head,4,861,861 590,861 590 032 368,true,false
all_002_strict_dedup,2564.1,M-36,Mohenjo-daro,SEAL:S,Bull1:S,,+740-794-630-220-032-002-368-906-329+,5,368,branch_head,2,906,906 329,906 329,false,false
all_002_strict_dedup,1127.1,H-68,Harappa,SEAL:S,Bull1:I,,+090-740-220-003-002-390-072+,4,390,branch_head,1,072,072,072,false,false
all_002_strict_dedup,2599.1,M-71,Mohenjo-daro,SEAL:S,Bull1:J,,+151-279-142-002-390-095+,3,390,branch_head,1,095,095,095,false,false
all_002_strict_dedup,2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,,+151-337-484-002-390-125-632-032-900-563+,3,390,branch_head,5,125,125 632,125 632 032 900 563,true,false
all_002_strict_dedup,2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,,+740-690-435-255-220-032-240-235-002-390-125-632-032+,8,390,branch_head,3,125,125 632,125 632 032,true,false
all_002_strict_dedup,3159.1,M-735,Mohenjo-daro,SEAL:S,Bull1:U,,+740-760-235-002-390-125-195+,3,390,branch_head,2,125,125 195,125 195,false,false
all_002_strict_dedup,3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,,+390-004-002-390-125-820+,2,390,branch_head,2,125,125 820,125 820,false,false
all_002_strict_dedup,3134.1,M-708,Mohenjo-daro,SEAL:S,Bull1:W,,+740-061-002-390-140+,2,390,branch_head,1,140,140,140,false,false
all_002_strict_dedup,2737.1,M-213,Mohenjo-daro,SEAL:S,Bull1:J,,+740-384-002-390-346+,2,390,branch_head,1,346,346,346,false,false
all_002_strict_dedup,1665.1,H-773,Harappa,TAB:B,None,,+740-798-803-002-390-530-741+,3,390,branch_head,2,530,530 741,530 741,false,false
all_002_strict_dedup,3335.1,-,Unknown,SEAL:S,Bull1:J,,+740-205-032-002-390-590-032+,3,390,branch_head,2,590,590 032,590 032,true,false
all_002_strict_dedup,2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,,+226-032-002-390-692+,2,390,branch_head,1,692,692,692,false,false
all_002_strict_dedup,4237.1,-,Dholavira,SEAL:S,Bull1:I,,+151-032-388-002-390-705+,3,390,branch_head,1,705,705,705,false,false
all_002_strict_dedup,3992.1,M-1825,Mohenjo-daro,SEAL:S,Bull1,,+157-031-002-390-705+,2,390,branch_head,1,705,705,705,false,false
all_002_strict_dedup,2756.1,M-232,Mohenjo-daro,SEAL:S,Bull2,,+236-002-390-707+,1,390,branch_head,1,707,707,707,false,false
all_002_strict_dedup,3353.1,M-958,Mohenjo-daro,SEAL:S,Bull1:J,,+740-772-240-002-900-003-590+,3,900,branch_head,2,003,003 590,003 590,false,false
all_002_strict_dedup,3657.1,M-1358,Mohenjo-daro,SEAL:R,None,,+032-002-900-285+,1,900,branch_head,1,285,285,285,false,false
all_002_strict_dedup,3332.1,M-937,Mohenjo-daro,SEAL:S,Bull1:J,,+740-460-503-031-002-900-615+,4,900,branch_head,1,615,615,615,false,false
all_002_strict_dedup,4302.1,-,Dholavira,TAB:B,Scene,,+740-519-002-900-630+,2,900,branch_head,1,630,630,630,false,false
all_002_strict_dedup,3089.1,M-644,Mohenjo-daro,SEAL:S,Bull1:W,,+740-585-017-740-240-002-817-090-370+,5,817,hard_closure,2,090,090 370,090 370,false,false
all_002_strict_dedup,3267.1,M-855,Mohenjo-daro,SEAL:S,Bull1,,+861-260-832-390-590-002-817-690-544+,5,817,hard_closure,2,690,690 544,690 544,false,false
all_002_strict_dedup,1446.1,H-456,Harappa,SEAL:S,Bull1:I,,+520-033-706-002-817-808+,3,817,hard_closure,1,808,808,808,false,false
all_002_strict_dedup,2236.1,M-1677,Mohenjo-daro,SEAL:S,Bull1:W,,+520-382-032-002-820-001-440-012+,3,820,leaky_closure,3,001,001 440,001 440 012,false,false
all_002_strict_dedup,1897.1,K-23,Kalibangan,SEAL:S,Bull1:I,,+740-441-002-820-033+,2,820,leaky_closure,1,033,033,033,false,false
all_002_strict_dedup,2613.1,M-86,Mohenjo-daro,SEAL:S,Bull1:S,,+520-033-705-231-002-820-700+,4,820,leaky_closure,1,700,700,700,false,false
all_002_strict_dedup,3490.1,M-1119,Mohenjo-daro,SEAL:S,Zebu,,+740-803-002-820-741+,2,820,leaky_closure,1,741,741,741,false,false
all_002_strict_dedup,2686.1,M-160,Mohenjo-daro,SEAL:S,Bull1:W,,+151-243-031-002-820-741+,3,820,leaky_closure,1,741,741,741,false,false
all_002_strict_dedup,3133.1,M-706,Mohenjo-daro,SEAL:S,Bull1:W,,+740-773-240-002-861-031+,3,861,leaky_closure,1,031,031,031,false,false
all_002_strict_dedup,2342.1,M-1661,Mohenjo-daro,SEAL:S,Bull1:W,,+520-070-219-002-861-032-520-919-140+,3,861,leaky_closure,4,032,032 520,032 520 919 140,true,false
all_002_strict_dedup,2548.1,M-20,Mohenjo-daro,SEAL:S,Bull1:W,,+390-005-002-861-036-460-513+,2,861,leaky_closure,3,036,036 460,036 460 513,false,false
all_002_strict_dedup,2318.1,M-2089,Mohenjo-daro,ROD,None,,+002-861-096+,0,861,leaky_closure,1,096,096,096,false,false
all_002_strict_dedup,1114.1,H-55,Harappa,SEAL:S,Bull1:X,,+390-004-002-861-125+,2,861,leaky_closure,1,125,125,125,false,false
all_002_strict_dedup,1436.1,H-446,Harappa,SEAL:S,Bull1:J,,+740-585-798-002-861-216+,3,861,leaky_closure,1,216,216,216,false,false
all_002_strict_dedup,1170.1,H-129,Harappa,SEAL:R,None,,+409-061-740-235-220-031-002-861-244-165+,6,861,leaky_closure,2,244,244 165,244 165,false,false
all_002_strict_dedup,2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,,+740-100-798-220-032-002-861-255-416+,5,861,leaky_closure,2,255,255 416,255 416,false,false
all_002_strict_dedup,2851.1,M-355,Mohenjo-daro,SEAL:R,None,,+740-877-032-033-705-231-235-002-861-360-520-919-140+,7,861,leaky_closure,4,360,360 520,360 520 919 140,false,false
all_002_strict_dedup,2017.1,L-46,Lothal,SEAL:S,Gaur,,+527-388-233-740-176-002-861-392+,5,861,leaky_closure,1,392,392,392,false,false
all_002_strict_dedup,476.2,H-2094,Harappa,TAB:I,None,,+002-861-416+,0,861,leaky_closure,1,416,416,416,false,false
all_002_strict_dedup,2872.1,M-376,Mohenjo-daro,SEAL:R,None,,+740-100-176-002-861-533-717+,3,861,leaky_closure,2,533,533 717,533 717,false,false
all_002_strict_dedup,2887.1,M-391,Mohenjo-daro,SEAL:R,None,,+405-845-686-740-793-003-233-805-002-861-533-717+,8,861,leaky_closure,2,533,533 717,533 717,false,false
all_002_strict_dedup,3580.1,M-1273,Mohenjo-daro,SEAL:R,None,,+740-055-002-861-603+,2,861,leaky_closure,1,603,603,603,false,false
all_002_strict_dedup,2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,,+520-240-220-032-002-861-603+,4,861,leaky_closure,1,603,603,603,false,false
all_002_strict_dedup,3139.1,M-714,Mohenjo-daro,SEAL:S,Bull1:W,,+740-585-017-033-705-233-798-803-002-861-603+,8,861,leaky_closure,1,603,603,603,false,false
all_002_strict_dedup,2012.1,L-39,Lothal,SEAL:S,Bull1,,+520-315-002-861-626+,2,861,leaky_closure,1,626,626,626,false,false
all_002_strict_dedup,2240.1,M-1674,Mohenjo-daro,SEAL:S,Bull1:J,,+090-740-222-231-002-861-683+,4,861,leaky_closure,1,683,683,683,false,false
all_002_strict_dedup,2847.1,M-329,Mohenjo-daro,SEAL:S,None,,+002-861-698+,0,861,leaky_closure,1,698,698,698,false,false
all_002_strict_dedup,1908.1,K-40,Kalibangan,SEAL:S,Elep,,+760-031-002-861-791-440-717+,2,861,leaky_closure,3,791,791 440,791 440 717,false,false
all_002_strict_dedup,3909.1,M-1698,Mohenjo-daro,SEAL:S,Bull1:W,,+740-482-033-705-002-861-803+,4,861,leaky_closure,1,803,803,803,false,false
all_002_strict_dedup,1594.1,H-688,Harappa,SEAL,None,,+520-233-002-861-831-165+,2,861,leaky_closure,2,831,831 165,831 165,false,false
all_002_strict_dedup,2389.1,M-1681,Mohenjo-daro,SEAL:S,Bull1:W,,+520-072-233-740-798-002-861-832+,5,861,leaky_closure,1,832,832,832,false,false
all_002_strict_dedup,3115.1,M-677,Mohenjo-daro,SEAL:S,Bull1:L,,+740-923-070-032-033-706-231-242-002-861-901+,8,861,leaky_closure,1,901,901,901,false,false
all_002_strict_dedup,4894.1,Ns-56,Nausharo,SEAL:S,Bull1:I,,+111-002-001-250+,1,001,other,1,250,250,250,false,false
all_002_strict_dedup,3898.1,-,Ur,SEAL:C,Gaur,,+002-004-328-001-803-415+,0,004,other,4,328,328 001,328 001 803 415,false,false
all_002_strict_dedup,3516.1,M-1155,Mohenjo-daro,SEAL:S,Elep,,+740-760-335-002-033-705+,3,033,other,1,705,705,705,false,false
all_002_strict_dedup,3882.1,-,Susa,SEAL:CY,Gaur,,+416-150-002-055-031-319-001-924+,2,055,other,4,031,031 319,031 319 001 924,false,false
all_002_strict_dedup,2571.1,M-43,Mohenjo-daro,SEAL:S,Bull1:W,,+740-798-231-002-055-373+,3,055,other,1,373,373,373,false,false
all_002_strict_dedup,1927.1,K-69,Kalibangan,TAG,Bull1,,+892-890-417-002-056-091+,3,056,other,1,091,091,091,false,false
all_002_strict_dedup,2255.1,M-1765,Mohenjo-daro,SEAL:S,Bull1:W,,+215-031-480-140-632-705-002-093-033+,6,093,other,1,033,033,033,false,false
all_002_strict_dedup,2622.1,M-95,Mohenjo-daro,SEAL:S,Bull1:S,,+390-003-002-111-165+,2,111,other,1,165,165,165,false,false
all_002_strict_dedup,2774.1,M-251,Mohenjo-daro,SEAL:S,Gaur,,+390-003-002-125-350+,2,125,other,1,350,350,350,false,false
all_002_strict_dedup,1551.1,H-611,Harappa,SEAL:S,None,,+527-550-002-125-590+,2,125,other,1,590,590,590,false,false
all_002_strict_dedup,3126.1,M-699,Mohenjo-daro,SEAL:S,Bull1:W,,+740-100-415-002-130-035-171+,3,130,other,2,035,035 171,035 171,false,false
all_002_strict_dedup,2310.1,M-1810,Mohenjo-daro,SEAL:S,Bull1:J,,+740-100-140-003-002-156-920+,4,156,other,1,920,920,920,false,false
all_002_strict_dedup,3519.1,M-1159,Mohenjo-daro,SEAL:S,Elep,,+232-220-032-002-168-032+,3,168,other,1,032,032,032,true,false
all_002_strict_dedup,1445.1,H-455,Harappa,SEAL:S,Bull1:J,,+520-033-705-002-172-032+,3,172,other,1,032,032,032,true,false
all_002_strict_dedup,2226.1,M-1692,Mohenjo-daro,SEAL:S,Bull1:L,,+390-600-617-002-190-125-632-032+,3,190,other,3,125,125 632,125 632 032,true,false
all_002_strict_dedup,3088.1,M-639,Mohenjo-daro,SEAL:S,Bull1,,+226-415-002-190-751+,2,190,other,1,751,751,751,false,false
all_002_strict_dedup,2609.1,M-82,Mohenjo-daro,SEAL:S,Bull1:I,,+740-222-002-207-550-390+,2,207,other,2,550,550 390,550 390,false,false
all_002_strict_dedup,1182.1,H-141,Harappa,SEAL:R,None,,+405-032-900-003-070-002-233-235+,5,233,other,1,235,235,235,false,false
all_002_strict_dedup,1898.1,K-24,Kalibangan,SEAL:S,Bull1,,+740-760-093-002-252-575+,3,252,other,1,575,575,575,false,false
all_002_strict_dedup,2670.1,M-143,Mohenjo-daro,SEAL:S,Bull1:J,,+740-205-032-002-252-840+,3,252,other,1,840,840,840,false,false
all_002_strict_dedup,2681.1,M-154,Mohenjo-daro,SEAL:S,Bull1:J,,+520-220-621-415-002-257-898+,4,257,other,1,898,898,898,false,false
all_002_strict_dedup,2539.1,M-10,Mohenjo-daro,SEAL:S,Bull1:W,,+405-061-070-032-033-706-235-806-002-267-455+,8,267,other,1,455,455,455,false,false
all_002_strict_dedup,2193.1,M-1766,Mohenjo-daro,SEAL:S,Bull1:W,,+740-032-845-240-002-269-892-810-033+,4,269,other,3,892,892 810,892 810 033,false,false
all_002_strict_dedup,4173.1,-,Salut,SEAL:S,Gaur,,+392-004-002-278-595+,2,278,other,1,595,595,595,false,false
all_002_strict_dedup,1902.1,K-28,Kalibangan,SEAL:S,Gaur,,+440-411-740-335-002-285-491+,4,285,other,1,491,491,491,false,false
all_002_strict_dedup,2231.1,M-1688,Mohenjo-daro,SEAL:S,Bull1:S,,+125-435-255-002-286-220-031-012-031-455-033-590+,3,286,other,7,220,220 031,220 031 012 031 455 033 590,false,false
all_002_strict_dedup,2636.1,M-109,Mohenjo-daro,SEAL:S,Bull1:S,,+740-879-220-415-002-287-140+,4,287,other,1,140,140,140,false,false
all_002_strict_dedup,3079.1,M-628,Mohenjo-daro,SEAL:S,Bull1:W,,+740-560-233-002-291-690-564+,3,291,other,2,690,690 564,690 564,false,false
all_002_strict_dedup,623.1,H-1706,Harappa,SEAL:R,None,,+405-003-002-293-360+,2,293,other,1,360,360,360,false,false
all_002_strict_dedup,2707.1,M-181,Mohenjo-daro,SEAL:S,Bull1:J,,+520-175-002-295-502+,2,295,other,1,502,502,502,false,false
all_002_strict_dedup,2581.1,M-53,Mohenjo-daro,SEAL:S,Bull1:W,,+090-740-220-016-002-297-190-920-140+,4,297,other,3,190,190 920,190 920 140,false,false
all_002_strict_dedup,19.1,Blk-1,Bala-kot,SEAL:S,Bull1,,+226-003-002-297-350-125-413+,2,297,other,3,350,350 125,350 125 413,false,false
all_002_strict_dedup,5361.1,Ns-60,Nausharo,SEAL:R,None,,+407-063-740-176-236-798-002-297-350-125-413+,6,297,other,3,350,350 125,350 125 413,false,false
all_002_strict_dedup,2641.1,M-114,Mohenjo-daro,SEAL:S,Bull1:S,,+740-760-440-002-297-416+,3,297,other,1,416,416,416,false,false
all_002_strict_dedup,3119.1,M-683,Mohenjo-daro,SEAL:S,Bull1,,+740-798-231-002-298-460-032+,3,298,other,2,460,460 032,460 032,true,false
all_002_strict_dedup,5572.1,-,Unknown,SEAL:S,Bull:i:J,,+136-002-298-741+,1,298,other,1,741,741,741,false,false
all_002_strict_dedup,93.1,C-5,Chanhu-daro,SEAL:S,Bull1:I,,+740-140-717-002-298-741+,3,298,other,1,741,741,741,false,false
all_002_strict_dedup,3074.1,M-623,Mohenjo-daro,SEAL:S,Bull1:W,,+740-760-175-176-220-415-798-002-299-530-820+,7,299,other,2,530,530 820,530 820,false,false
all_002_strict_dedup,2642.1,M-115,Mohenjo-daro,SEAL:S,Bull1,,+390-844-140-176-803-002-301-190+,5,301,other,1,190,190,190,false,false
all_002_strict_dedup,2765.1,M-242,Mohenjo-daro,SEAL:S,Gaur,,+740-721-002-301-350+,2,301,other,1,350,350,350,false,false
all_002_strict_dedup,1296.1,H-272,Harappa,SEAL:S,Bull1,,+740-585-017-240-002-305-032-904+,4,305,other,2,032,032 904,032 904,true,false
all_002_strict_dedup,37.1,B-17,Banawali,SEAL:S,Htgr,,+236-002-308-072+,1,308,other,1,072,072,072,false,false
all_002_strict_dedup,3394.1,M-1002,Mohenjo-daro,SEAL:S,Bull1,,+740-373-031-002-315-850+,3,315,other,1,850,850,850,false,false
all_002_strict_dedup,2270.1,M-1668,Mohenjo-daro,SEAL:S,Bull1:S,,+740-773-233-803-002-320-705-125+,4,320,other,2,705,705 125,705 125,false,false
all_002_strict_dedup,1944.1,K-89,Kalibangan,TAG:L,Bull1,,+090-740-362-002-360-832+,3,360,other,1,832,832,832,false,false
all_002_strict_dedup,89.1,C-1,Chanhu-daro,SEAL:S,Bull1,,+031-840-140-740-101-002-365-287-034+,5,365,other,2,287,287 034,287 034,false,false
all_002_strict_dedup,3782.1,M-1532,Mohenjo-daro,TAB:C,Othr,,+407-004-002-365-460-495+,2,365,other,2,460,460 495,460 495,false,false
all_002_strict_dedup,4196.1,-,Dholavira,SEAL:S,Bull1:J,,+391-002-365-550+,1,365,other,1,550,550,550,false,false
all_002_strict_dedup,2833.1,M-315,Mohenjo-daro,SEAL:S,None,,+390-034-002-374-228-741+,2,374,other,2,228,228 741,228 741,false,false
all_002_strict_dedup,2594.1,M-66,Mohenjo-daro,SEAL:S,Bull1:J,,+740-390-590-235-002-374-309-350+,4,374,other,2,309,309 350,309 350,false,false
all_002_strict_dedup,3463.1,M-1089,Mohenjo-daro,SEAL:S,Gaur,,+151-390-590-002-374-840+,3,374,other,1,840,840,840,false,false
all_002_strict_dedup,3343.1,M-948,Mohenjo-daro,SEAL:S,Bull1,,+426-003-002-388-031+,2,388,other,1,031,031,031,false,false
all_002_strict_dedup,2855.1,M-359,Mohenjo-daro,SEAL:R,None,,+740-405-590-220-235-803-002-388-385-705-632+,6,388,other,3,385,385 705,385 705 632,false,false
all_002_strict_dedup,1981.1,Lh-1,Lohumjo-daro,SEAL:S,Bull1:S,,+740-760-615-104-717-235-002-392-590-125+,6,392,other,2,590,590 125,590 125,false,false
all_002_strict_dedup,3502.1,M-1135,Mohenjo-daro,SEAL:S,Rhin,,+740-061-002-400-703+,2,400,other,1,703,703,703,false,false
all_002_strict_dedup,2569.1,M-41,Mohenjo-daro,SEAL:S,Bull1:W,,+740-636-240-233-235-002-405-125-820+,5,405,other,2,125,125 820,125 820,false,false
all_002_strict_dedup,1082.1,H-22,Harappa,SEAL:S,Bull1:W,,+740-920-320-233-806-002-405-321+,5,405,other,1,321,321,321,false,false
all_002_strict_dedup,2562.1,M-34,Mohenjo-daro,SEAL:S,Bull1:W,,+740-336-176-002-405-372-374+,3,405,other,2,372,372 374,372 374,false,false
all_002_strict_dedup,1277.1,H-252,Harappa,TAB:B,Bull1:I,,+520-240-002-405-501+,2,405,other,1,501,501,501,false,false
all_002_strict_dedup,4030.1,M-2055,Mohenjo-daro,TAB:C,None,,+002-407-125-590-831+,0,407,other,3,125,125 590,125 590 831,false,false
all_002_strict_dedup,4001.1,M-1894,Mohenjo-daro,SEAL:S,Zebu,,+740-440-233-002-413-368-031+,3,413,other,2,368,368 031,368 031,false,false
all_002_strict_dedup,1541.2,H-598,Harappa,SEAL:S,Bull1:W,,+740-639-240-002-435-255-777+,3,435,other,2,255,255 777,255 777,false,false
all_002_strict_dedup,513.1,H-1671,Harappa,SEAL:S,Bull1:S,,+740-061-002-455-420-032+,2,455,other,2,420,420 032,420 032,true,false
all_002_strict_dedup,2482.1,M-1907,Mohenjo-daro,SEAL:S,Rhin,,+390-005-002-455-511+,2,455,other,1,511,511,511,false,false
all_002_strict_dedup,3589.1,M-1284,Mohenjo-daro,SEAL:R,None,,+416-001-520-240-806-002-502-031+,5,502,other,1,031,031,031,false,false
all_002_strict_dedup,2854.1,M-358,Mohenjo-daro,SEAL:R,None,,+003-001-520-240-806-002-502-031+,5,502,other,1,031,031,031,false,false
all_002_strict_dedup,2580.1,M-52,Mohenjo-daro,SEAL:S,Bull1:W,,+740-904-032-220-415-235-803-002-504-717+,7,504,other,1,717,717,717,false,false
all_002_strict_dedup,2568.1,M-40,Mohenjo-daro,SEAL:S,Bull1:J,,+391-002-527-475-005+,1,527,other,2,475,475 005,475 005,false,false
all_002_strict_dedup,2061.1,L-112,Lothal,SEAL:R,None,,+740-760-605-002-540-590+,3,540,other,1,590,590,590,false,false
all_002_strict_dedup,3261.1,M-849,Mohenjo-daro,SEAL:S,Bull1:J,,+151-350-002-550-615+,2,550,other,1,615,615,615,false,false
all_002_strict_dedup,2533.1,M-4,Mohenjo-daro,SEAL:S,Bull1:W,,+298-465-033-705-231-002-564-617-033+,5,564,other,2,617,617 033,617 033,false,false
all_002_strict_dedup,1986.1,L-4,Lothal,SEAL:S,Bull1,,+090-740-100-233-002-575-031+,4,575,other,1,031,031,031,false,false
all_002_strict_dedup,4002.1,M-1909,Mohenjo-daro,SEAL:S,Rhin,,+368-005-002-590-455+,2,590,other,1,455,455,455,false,false
all_002_strict_dedup,3646.1,M-1341,Mohenjo-daro,SEAL:R,None,,+016-002-595-342-632+,1,595,other,2,342,342 632,342 632,false,false
all_002_strict_dedup,2224.1,M-1676,Mohenjo-daro,SEAL:S,Bull1:S,,+740-760-070-255-832-240-002-595-504-803+,6,595,other,2,504,504 803,504 803,false,false
all_002_strict_dedup,1171.1,H-130,Harappa,SEAL:R,None,,+409-032-845-033-705-231-806-002-595-812-125-717+,7,595,other,3,812,812 125,812 125 717,false,false
all_002_strict_dedup,3222.1,M-809,Mohenjo-daro,SEAL:S,Bull1,,+520-460-495-002-595-906+,3,595,other,1,906,906,906,false,false
all_002_strict_dedup,1132.1,H-74,Harappa,SEAL:S,Bull1:J,,+002-610-125-032+,0,610,other,2,125,125 032,125 032,true,false
all_002_strict_dedup,2473.1,M-1665,Mohenjo-daro,SEAL:S,Bull1:W,,+520-033-705-233-240-002-610-125-032+,5,610,other,2,125,125 032,125 032,true,false
all_002_strict_dedup,1064.1,H-3,Harappa,SEAL:S,Bull1:W,,+740-585-017-002-611-615-703+,3,611,other,2,615,615 703,615 703,false,false
all_002_strict_dedup,2608.1,M-81,Mohenjo-daro,SEAL:S,Bull1:S,,+527-555-240-002-617-070+,3,617,other,1,070,070,070,false,false
all_002_strict_dedup,4209.1,-,Dholavira,SEAL:S,Gaur,,+740-384-002-629-279+,2,629,other,1,279,279,279,false,false
all_002_strict_dedup,1020.1,H-1657,Harappa,SEAL:S,Bull1:W,,+740-405-590-032-900-003-806-235-220-032-002-690-921+,10,690,other,1,921,921,921,false,false
all_002_strict_dedup,1069.1,H-8,Harappa,SEAL:S,Bull1:W,,+354-001-740-405-590-033-706-002-690-921+,7,690,other,1,921,921,921,false,false
all_002_strict_dedup,1413.1,H-408,Harappa,SEAL:S,Bull1:W,,+740-176-240-002-702-503+,3,702,other,1,503,503,503,false,false
all_002_strict_dedup,3884.1,-,Tell Umma,TAG:L,Bull1,,+390-004-002-705-127+,2,705,other,1,127,127,127,false,false
all_002_strict_dedup,4182.1,-,Dholavira,SEAL:S,Bull1,,+740-390-590-231-002-705-530-904+,4,705,other,2,530,530 904,530 904,false,false
all_002_strict_dedup,2771.1,M-248,Mohenjo-daro,SEAL:S,Gaur,,+740-100-415-002-705-590+,3,705,other,1,590,590,590,false,false
all_002_strict_dedup,2490.1,M-1667,Mohenjo-daro,SEAL:S,Bull1:W,,+740-690-435-255-220-032-002-717-820+,6,717,other,1,820,820,820,false,false
all_002_strict_dedup,2827.1,M-308,Mohenjo-daro,SEAL:S,T-M-T,,+520-220-002-727-317+,2,727,other,1,317,317,317,false,false
all_002_strict_dedup,1879.1,K-4,Kalibangan,SEAL:S,Bull1:W,,+036-269-140-002-741-060-920+,3,741,other,2,060,060 920,060 920,false,false
all_002_strict_dedup,3485.1,M-1114,Mohenjo-daro,SEAL:S,Zebu,,+740-140-002-741-060-920+,2,741,other,2,060,060 920,060 920,false,false
all_002_strict_dedup,1893.1,K-18,Kalibangan,SEAL:S,Bull1:X,,+307-002-762-463-140+,1,762,other,2,463,463 140,463 140,false,false
