checked_date,sign,raw_occurrences,canonical_occurrences,terminal,terminal_share,continuing,square_or_rect_seal,outside_square_or_rect_seal,outside_square_or_rect_seal_share,tablet_pot_tag_rod_impl,tablet_pot_tag_rod_impl_share,prev_390,prev_520,prev_595,prev_status_stems_390_520_595,prev_status_stems_share,prev_520_or_595_share,in_002_390_frame,nonframe_prev390,top_prev,top_prev_count,top_prev_share,prev_entropy_bits,top_next,top_next_count,top_next_share,next_entropy_bits,raw_top_exact_sequence_count,raw_top_exact_sequence_share,top_prevs,top_nexts,top_raw_exact_sequences,focus_count_window
2026-05-31,831,18,16,8,0.500000,8,8,8,0.500000,4,0.250000,1,0,0,1,0.062500,0.000000,0,1,585,2,0.125000,3.500000,<END>,8,0.500000,2.375000,2,0.111111,585:2;617:2;741:2;892:2;<START>:1;055:1;233:1;368:1,<END>:8;165:2;013:1;031:1;091:1;413:1;518:1;820:1,400 892 831:2;892 831:2;002 407 125 590 831:1;055 099 121 055 831 031 071:1;161 233 220 032 741 831:1,12-32
2026-05-31,906,16,16,5,0.312500,11,9,7,0.437500,5,0.312500,0,0,1,1,0.062500,0.062500,0,0,002,3,0.187500,3.452820,<END>,5,0.312500,2.977217,1,0.062500,002:3;<START>:2;705:2;000:1;055:1;368:1;590:1;595:1,<END>:5;388:3;000:1;003:1;090:1;125:1;140:1;200:1,000 000 000 000 861 002 906 003:1;000 002 520 000 000 000 906 388:1;000 229 705 906:1;000 705 906 550:1;002 820 906 000:1,12-32
2026-05-31,530,19,18,5,0.277778,13,8,10,0.555556,8,0.444444,1,0,0,1,0.055556,0.000000,1,0,<START>,3,0.166667,3.641604,<END>,5,0.277778,2.858278,2,0.105263,<START>:3;000:3;031:1;032:1;220:1;252:1;296:1;299:1,<END>:5;000:4;741:2;820:2;323:1;740:1;742:1;786:1,530:2;000 000 530 000:1;000 061 032 000 031 530 742:1;000 390 000 003 000 530 820:1;000 530:1,12-32
2026-05-31,752,53,21,1,0.047619,20,9,12,0.571429,10,0.476190,0,0,1,1,0.047619,0.047619,0,0,740,19,0.904762,0.548954,175,3,0.142857,3.880180,29,0.547170,740:19;031:1;595:1,175:3;000:2;001:2;482:2;<END>:1;006:1;017:1;033:1,740 752 615 503:29;740 752 482 240:5;138 001 595 752 455:1;158 806 468 740 752 231 235:1;740 407 590 031 752 033 705 220 415 798 002 861:1,12-32
2026-05-31,463,28,24,2,0.083333,22,13,11,0.458333,8,0.333333,0,1,0,1,0.041667,0.041667,0,0,798,7,0.291667,2.949082,000,3,0.125000,3.542481,2,0.071429,798:7;740:5;<START>:4;002:1;031:1;220:1;520:1;752:1,000:3;350:3;495:3;510:3;<END>:2;503:2;513:2;060:1,463:2;463 513 390 017 002 463 575:2;740 463 503:2;740 798 463 000:2;740 798 463 354:2,12-32
2026-05-31,035,37,26,6,0.230769,20,10,16,0.615385,13,0.500000,1,0,0,1,0.038462,0.000000,0,1,<START>,8,0.307692,2.701433,171,12,0.461538,2.295466,7,0.189189,<START>:8;130:5;740:5;000:3;368:1;390:1;405:1;415:1,171:12;<END>:6;032:2;705:2;000:1;002:1;033:1;140:1,035:7;035 171:4;090 740 035 171 061:2;415 035 171:2;000 035 032:1,12-32
2026-05-31,630,40,28,10,0.357143,18,9,19,0.678571,13,0.464286,1,0,0,1,0.035714,0.000000,0,1,740,7,0.250000,3.792842,<END>,10,0.357143,2.965076,12,0.300000,740:7;794:3;000:2;741:2;<START>:1;002:1;064:1;175:1,<END>:10;000:5;240:3;220:2;032:1;098:1;155:1;233:1,740 630:12;204 630 233 832 904 794 630 235 060 550:2;740 690 630 240:2;000 630:1;000 630 000:1,12-32
2026-05-31,063,13,13,1,0.076923,12,4,9,0.692308,2,0.153846,0,0,0,0,0.000000,0.000000,0,0,407,5,0.384615,2.038160,740,3,0.230769,3.180833,1,0.076923,407:5;220:4;<START>:2;001:1;032:1,740:3;315:2;<END>:1;051:1;444:1;520:1;615:1;700:1,063 700 176 000:1;063 740 918:1;220 063 051:1;220 063 706 000:1;390 700 790 032 063:1,12-32
2026-05-31,064,14,14,2,0.142857,12,4,10,0.714286,3,0.214286,0,0,0,0,0.000000,0.000000,0,0,<START>,8,0.571429,2.093069,<END>,2,0.142857,3.378783,1,0.071429,<START>:8;000:1;003:1;066:1;360:1;453:1;820:1,<END>:2;002:2;706:2;001:1;003:1;004:1;031:1;104:1,000 064 845 527 555 000:1;000 066 064:1;000 480 003 064 002 003 861:1;064 002:1;064 003:1,12-32
2026-05-31,065,15,15,1,0.066667,14,12,3,0.200000,1,0.066667,0,0,0,0,0.000000,0.000000,0,0,220,8,0.533333,2.173557,<END>,1,0.066667,3.906891,1,0.066667,220:8;<START>:2;002:1;060:1;401:1;741:1;880:1,<END>:1;123:1;132:1;215:1;244:1;374:1;393:1;405:1,000 235 002 065 834:1;065 599 798 706 928:1;065 826:1;220 065 615 066:1;220 065 864:1,12-32
2026-05-31,066,18,17,6,0.352941,11,9,8,0.470588,7,0.411765,0,0,0,0,0.000000,0.000000,0,0,455,2,0.117647,3.734522,<END>,6,0.352941,3.057476,2,0.111111,455:2;741:2;900:2;<START>:1;000:1;060:1;142:1;223:1,<END>:6;942:2;000:1;016:1;033:1;064:1;090:1;415:1,000 455 066 942 090 000:2;000 000 235 060 066 016:1;000 066 064:1;066 033:1;090 740 103 741 066:1,12-32
2026-05-31,091,28,16,12,0.750000,4,4,12,0.750000,5,0.312500,0,0,0,0,0.000000,0.000000,0,0,000,3,0.187500,3.452820,<END>,12,0.750000,1.311278,8,0.285714,000:3;368:2;500:2;<START>:1;001:1;031:1;032:1;056:1,<END>:12;001:1;031:1;190:1;220:1,892 890 417 002 056 091:8;091:5;368 091:2;000 091:1;000 603 091 190:1,12-32
2026-05-31,097,20,13,5,0.384615,8,9,4,0.307692,4,0.307692,0,0,0,0,0.000000,0.000000,0,0,151,7,0.538462,1.669180,<END>,5,0.384615,2.653544,4,0.200000,151:7;161:3;400:2;159:1,<END>:5;700:2;001:1;002:1;031:1;232:1;520:1;741:1,151 097:4;400 097 700 004:4;400 097:2;000 151 097:1;000 151 097 001 820:1,12-32
2026-05-31,104,26,20,11,0.550000,9,8,12,0.600000,6,0.300000,0,0,0,0,0.000000,0.000000,0,0,<START>,5,0.250000,3.541446,<END>,11,0.550000,2.181496,7,0.269231,<START>:5;004:2;615:2;000:1;031:1;034:1;064:1;105:1,<END>:11;002:3;000:1;013:1;033:1;717:1;745:1;892:1,090 740 240 235 590 645 104:7;000 034 104:1;031 820 104 013 817:1;104:1;104 000 000 406:1,12-32
2026-05-31,130,16,14,1,0.071429,13,10,4,0.285714,1,0.071429,0,0,0,0,0.000000,0.000000,0,0,002,3,0.214286,3.182006,035,5,0.357143,2.692381,2,0.125000,002:3;<START>:2;920:2;000:1;005:1;060:1;269:1;400:1,035:5;032:2;511:2;<END>:1;090:1;190:1;741:1;746:1,130 032 820:2;920 130 511:2;000 798 000 354 002 130 035:1;130 032 905:1;269 130 190:1,12-32
2026-05-31,158,39,29,2,0.068966,27,5,24,0.827586,23,0.793103,0,0,0,0,0.000000,0.000000,0,0,400,13,0.448276,1.646765,806,11,0.379310,3.243890,5,0.128205,400:13;<START>:12;000:2;171:1;740:1,806:11;003:3;<END>:2;900:2;000:1;032:1;221:1;460:1,158 806 465:5;400 158 904 736:4;400 158:2;400 158 592:2;400 158 806 472:2,12-32
2026-05-31,161,13,13,2,0.153846,11,12,1,0.076923,1,0.076923,0,0,0,0,0.000000,0.000000,0,0,<START>,12,0.923077,0.391244,097,3,0.230769,2.873141,1,0.076923,<START>:12;907:1,097:3;<END>:2;055:2;390:2;233:1;740:1;803:1;924:1,161:1;161 055:1;161 055 240 220 032 002 820:1;161 097:1;161 097 002 817:1,12-32
2026-05-31,165,31,27,6,0.222222,21,13,14,0.518519,6,0.222222,0,0,0,0,0.000000,0.000000,0,0,<START>,7,0.259259,3.730758,<END>,6,0.222222,3.281760,4,0.129032,<START>:7;244:2;590:2;740:2;831:2;000:1;001:1;031:1,<END>:6;900:6;000:3;740:2;741:2;012:1;032:1;060:1,165 900:4;165 900 700 003:2;000 137 060 165 763:1;000 165 832 000:1;000 590 165 741 545:1,12-32
2026-05-31,171,29,22,11,0.500000,11,13,9,0.409091,8,0.363636,0,0,0,0,0.000000,0.000000,0,0,035,12,0.545455,1.885378,<END>,11,0.500000,2.422675,4,0.137931,035:12;032:5;000:2;<START>:1;033:1;705:1,<END>:11;061:3;000:2;031:1;067:1;142:1;158:1;360:1,035 171:4;400 740 636 240 031 032 171:3;000 000 171 031 032 171:2;090 740 035 171 061:2;415 035 171:2,12-32
2026-05-31,222,17,12,2,0.166667,10,7,5,0.416667,4,0.333333,0,0,0,0,0.000000,0.000000,0,0,740,12,1.000000,0.000000,002,3,0.250000,2.688722,4,0.235294,740:12,002:3;<END>:2;233:2;235:2;176:1;220:1;231:1,740 222 233 235:4;032 031 740 222 235 002 861:2;151 740 222:2;090 740 222 231 002 861 683:1;740 222:1,12-32
2026-05-31,236,26,20,3,0.150000,17,14,6,0.300000,5,0.250000,0,0,0,0,0.000000,0.000000,0,0,<START>,9,0.450000,2.557717,002,5,0.250000,3.165957,3,0.115385,<START>:9;400:3;705:2;140:1;176:1;440:1;503:1;832:1,002:5;<END>:3;220:3;806:2;140:1;231:1;233:1;240:1,236 002 861:3;400 236:3;400 236 220:3;031 850 140 236 220 032 803 002 820:1;033 832 236 741 361:1,12-32
2026-05-31,241,12,12,0,0.000000,12,11,1,0.083333,1,0.083333,0,0,0,0,0.000000,0.000000,0,0,<START>,9,0.750000,1.207519,002,2,0.166667,3.084963,1,0.083333,<START>:9;220:1;400:1;900:1,002:2;220:2;803:2;031:1;156:1;235:1;368:1;742:1,000 220 241 002 000:1;241 002 880:1;241 156 590 706 794 732:1;241 220 032 002 861:1;241 220 235 803:1,12-32
2026-05-31,297,15,15,1,0.066667,14,14,1,0.066667,1,0.066667,0,0,0,0,0.000000,0.000000,0,0,002,5,0.333333,2.815922,000,2,0.133333,3.506891,1,0.066667,002:5;060:3;001:1;391:1;400:1;532:1;680:1;820:1,000:2;190:2;350:2;<END>:1;352:1;368:1;416:1;630:1,000 532 297 000:1;090 740 220 016 002 297 190 920 140:1;226 003 002 297 350 125 413:1;400 297 352 892 590 740 176:1;407 063 740 176 236 798 002 297 350 125 413:1,12-32
2026-05-31,317,13,12,4,0.333333,8,4,8,0.666667,5,0.416667,0,0,0,0,0.000000,0.000000,0,0,<START>,5,0.416667,2.054585,<END>,4,0.333333,2.918296,2,0.153846,<START>:5;920:3;000:2;727:1;892:1,<END>:4;000:1;272:1;590:1;625:1;688:1;740:1;817:1,317 740 335 740 176 002 920 491:2;000 000 000 002 920 317:1;000 317 000:1;317 272 637:1;317 590 111:1,12-32
2026-05-31,320,20,17,3,0.176471,14,10,7,0.411765,6,0.352941,0,0,0,0,0.000000,0.000000,0,0,920,11,0.647059,1.731360,233,5,0.294118,2.889549,2,0.100000,920:11;<START>:2;002:1;032:1;100:1;900:1,233:5;<END>:3;220:2;235:2;001:1;705:1;706:1;798:1,400 740 920 320 233 240 798:2;520 920 320 220 415:2;740 920 320:2;000 000 000 798 002 817 032 320:1;090 740 100 320 001 300 632:1,12-32
2026-05-31,335,43,26,2,0.076923,24,8,18,0.692308,16,0.615385,0,0,0,0,0.000000,0.000000,0,0,740,9,0.346154,2.217927,575,7,0.269231,3.348084,10,0.232558,740:9;760:7;711:5;000:3;<START>:1;220:1,575:7;000:3;002:3;<END>:2;220:2;235:2;003:1;233:1,700 033 711 335 575 413:10;000 711 335 575 413:4;033 711 335 575 413:2;317 740 335 740 176 002 920 491:2;700 032 740 335 575 413:2,12-32
2026-05-31,337,14,12,2,0.166667,10,8,4,0.333333,4,0.333333,0,0,0,0,0.000000,0.000000,0,0,740,9,0.750000,1.207519,484,5,0.416667,2.054585,3,0.214286,740:9;<START>:1;151:1;503:1,484:5;176:3;<END>:2;000:1;692:1,740 337 484:3;151 337 484 002 390 125 632 032 900 563:1;337:1;400 456 503 337 484 920 140:1;400 740 337:1,12-32
2026-05-31,354,15,14,2,0.142857,12,5,9,0.642857,4,0.285714,0,0,0,0,0.000000,0.000000,0,0,<START>,5,0.357143,2.835238,001,3,0.214286,2.842371,2,0.133333,<START>:5;740:2;000:1;002:1;301:1;304:1;400:1;463:1,001:3;002:3;<END>:2;000:2;004:1;125:1;794:1;850:1,740 798 463 354:2;000 220 002 595 632 354 850:1;000 798 000 354 002 130 035:1;001 304 354 125 812 033:1;301 354 000:1,12-32
2026-05-31,365,18,17,2,0.117647,15,6,11,0.647059,9,0.529412,0,0,0,0,0.000000,0.000000,0,0,<START>,5,0.294118,2.486329,000,3,0.176471,3.572469,2,0.111111,<START>:5;002:5;690:2;798:2;090:1;706:1;740:1,000:3;<END>:2;460:2;263:1;278:1;287:1;374:1;415:1,740 706 365 000:2;031 840 140 740 101 002 365 287 034:1;365:1;365 000:1;365 527:1,12-32
2026-05-31,374,16,16,3,0.187500,13,14,2,0.125000,1,0.062500,0,0,0,0,0.000000,0.000000,0,0,002,5,0.312500,3.149397,<END>,3,0.187500,3.405639,1,0.062500,002:5;<START>:2;000:1;065:1;365:1;368:1;372:1;741:1,<END>:3;000:3;125:1;132:1;228:1;308:1;309:1;310:1,000 374 000 820:1;046 031 033 705 233 001 920 374:1;090 095 741 374 132:1;151 390 590 002 374 840:1;368 374 590 000:1,12-32
2026-05-31,384,33,25,4,0.160000,21,13,12,0.480000,7,0.280000,0,0,0,0,0.000000,0.000000,0,0,740,16,0.640000,1.923856,032,5,0.200000,3.269275,4,0.121212,740:16;<START>:2;156:2;133:1;142:1;193:1;440:1;700:1,032:5;<END>:4;031:4;002:3;233:2;000:1;033:1;090:1,740 384:4;740 384 233 806:3;384:2;400 156 384 031:2;740 384 000 000:2,12-32
2026-05-31,413,57,29,15,0.517241,14,8,21,0.724138,17,0.586207,0,0,0,0,0.000000,0.000000,0,0,575,8,0.275862,3.119830,<END>,15,0.517241,2.768210,11,0.192982,575:8;<START>:7;892:3;125:2;002:1;033:1;060:1;090:1,<END>:15;840:2;000:1;031:1;033:1;346:1;368:1;530:1,824 892 413:11;700 033 711 335 575 413:10;000 711 335 575 413:4;413:4;033 711 335 575 413:2,12-32
2026-05-31,482,41,26,4,0.153846,22,15,11,0.423077,11,0.423077,0,0,0,0,0.000000,0.000000,0,0,740,17,0.653846,1.691141,<END>,4,0.153846,3.671406,7,0.170732,740:17;<START>:3;752:2;760:2;335:1;900:1,<END>:4;240:4;235:3;033:2;055:2;060:2;000:1;001:1,740 482 240 002 861:7;740 752 482 240:5;740 482 235:3;482 240:2;740 482:2,12-32
2026-05-31,484,14,12,3,0.250000,9,7,5,0.416667,4,0.333333,0,0,0,0,0.000000,0.000000,0,0,337,5,0.416667,2.617492,<END>,3,0.250000,3.022055,3,0.214286,337:5;<START>:1;000:1;380:1;400:1;482:1;626:1;899:1,<END>:3;900:2;000:1;002:1;031:1;140:1;380:1;741:1,740 337 484:3;000 484 000:1;151 337 484 002 390 125 632 032 900 563:1;400 456 503 337 484 920 140:1;400 484:1,12-32
2026-05-31,491,18,14,10,0.714286,4,6,8,0.571429,7,0.500000,0,0,0,0,0.000000,0.000000,0,0,000,2,0.142857,3.235926,<END>,10,0.714286,1.291692,3,0.166667,000:2;003:2;817:2;920:2;004:1;226:1;285:1;460:1,<END>:10;002:2;000:1;742:1,400 740 817 491:3;317 740 335 740 176 002 920 491:2;740 817 491:2;000 491:1;000 491 000 000 000:1,12-32
2026-05-31,495,30,26,12,0.461538,14,12,14,0.538462,13,0.500000,0,0,0,0,0.000000,0.000000,0,0,460,4,0.153846,3.748329,<END>,12,0.461538,2.555269,3,0.100000,460:4;615:4;463:3;000:2;776:2;<START>:1;017:1;033:1,<END>:12;002:4;240:3;000:1;220:1;235:1;368:1;520:1,776 495:3;400 740 776 495:2;520 460 495:2;000 495:1;000 495 002 861:1,12-32
2026-05-31,500,24,14,3,0.214286,11,8,6,0.428571,5,0.357143,0,0,0,0,0.000000,0.000000,0,0,741,5,0.357143,2.692381,<END>,3,0.214286,3.182006,11,0.458333,741:5;<START>:2;740:2;031:1;220:1;706:1;812:1;820:1,<END>:3;091:2;705:2;000:1;060:1;209:1;520:1;541:1,090 740 220 055 001 741 500 705:11;064 706 500:1;106 741 500 209:1;151 062 820 500 706:1;220 500 520 002 862 032:1,12-32
2026-05-31,510,13,12,7,0.583333,5,9,3,0.250000,2,0.166667,0,0,0,0,0.000000,0.000000,0,0,460,6,0.500000,1.896241,<END>,7,0.583333,1.947339,2,0.153846,460:6;463:3;165:1;346:1;697:1,<END>:7;001:1;220:1;235:1;250:1;741:1,697 510:2;000 760 463 510 001 692:1;156 460 510:1;255 346 510:1;303 353 165 510:1,12-32
2026-05-31,519,17,14,7,0.500000,7,6,8,0.571429,7,0.500000,0,0,0,0,0.000000,0.000000,0,0,740,6,0.428571,2.270942,<END>,7,0.500000,1.832249,3,0.176471,740:6;<START>:2;176:2;415:2;177:1;760:1,<END>:7;002:4;240:1;741:1;742:1,519 742 849:3;740 519:2;000 000 740 519:1;176 519:1;400 740 176 519:1,12-32
2026-05-31,540,22,14,5,0.357143,9,3,11,0.785714,8,0.571429,0,0,0,0,0.000000,0.000000,0,0,740,4,0.285714,2.610577,<END>,5,0.357143,2.549523,7,0.318182,740:4;<START>:3;002:2;540:2;000:1;060:1;909:1,<END>:5;000:2;002:2;540:2;204:1;590:1;920:1,540:7;540 540:4;909 540 540:2;000 540 000:1;103 740 803 060 540:1,12-32
2026-05-31,554,15,13,2,0.153846,11,6,7,0.538462,4,0.307692,0,0,0,0,0.000000,0.000000,0,0,527,6,0.461538,1.987773,<END>,2,0.153846,3.085055,2,0.133333,527:6;740:3;526:2;233:1;525:1,<END>:2;000:2;001:2;002:2;031:1;104:1;220:1;298:1,526 554 002 820:2;740 554:2;233 554 435:1;400 525 554:1;526 554 002 880:1,12-32
2026-05-31,555,24,23,1,0.043478,22,17,6,0.260870,1,0.043478,0,0,0,0,0.000000,0.000000,0,0,527,18,0.782609,0.966452,235,5,0.217391,3.257500,2,0.083333,527:18;526:3;<START>:2,235:5;233:4;000:3;231:3;<END>:1;002:1;033:1;055:1,526 555 235:2;000 064 845 527 555 000:1;400 527 555 233 235:1;405 061 527 555 233 235 806 002 817:1;526 555 060 550:1,12-32
2026-05-31,565,15,14,2,0.142857,12,12,2,0.142857,2,0.142857,0,0,0,0,0.000000,0.000000,0,0,<START>,11,0.785714,1.089230,740,7,0.500000,2.260820,2,0.133333,<START>:11;001:1;400:1;740:1,740:7;<END>:2;031:1;233:1;235:1;741:1;806:1,565 740 176 231:2;400 565:1;416 001 565 740 220 032 002 861:1;565:1;565 031 416 140 220 001:1,12-32
2026-05-31,621,22,22,3,0.136364,19,21,1,0.045455,1,0.045455,0,0,0,0,0.000000,0.000000,0,0,<START>,17,0.772727,1.210029,740,6,0.272727,2.867634,1,0.045455,<START>:17;740:2;220:1;416:1;705:1,740:6;520:4;<END>:3;390:3;090:2;002:1;046:1;226:1,520 220 621 415 002 257 898:1;621 046:1;621 090 740 002 861:1;621 090 740 231 740 560 534:1;621 226:1,12-32
2026-05-31,636,22,13,2,0.153846,11,6,7,0.538462,7,0.538462,0,0,0,0,0.000000,0.000000,0,0,740,9,0.692308,1.505876,240,9,0.692308,1.198184,3,0.136364,740:9;<START>:1;242:1;255:1;690:1,240:9;<END>:2;000:2,400 740 636 240:3;400 740 636 240 031 032 171:3;740 636 240:3;740 690 636 240:3;740 636 240 060 692:2,12-32
2026-05-31,645,28,21,4,0.190476,17,6,15,0.714286,13,0.619048,0,0,0,0,0.000000,0.000000,0,0,<START>,5,0.238095,3.553763,<END>,4,0.190476,3.439936,7,0.250000,<START>:5;000:2;031:2;999:2;003:1;017:1;032:1;233:1,<END>:4;003:4;000:2;031:2;001:1;002:1;032:1;104:1,090 740 240 235 590 645 104:7;031 645 645 031:2;590 032 645 003:2;645 999 645:2;000 000 368 999 645 003 900:1,12-32
2026-05-31,679,19,17,3,0.176471,14,15,2,0.117647,1,0.058824,0,0,0,0,0.000000,0.000000,0,0,<START>,15,0.882353,0.640206,740,10,0.588235,1.853688,3,0.157895,<START>:15;002:1;840:1,740:10;<END>:3;000:1;060:1;220:1;850:1,740 032 840 679:3;679:1;679 000 000:1;679 060 550:1;679 220 240 803 000:1,12-32
2026-05-31,745,36,30,13,0.433333,17,15,15,0.500000,9,0.300000,0,0,0,0,0.000000,0.000000,0,0,235,4,0.133333,4.281728,<END>,13,0.433333,3.078204,4,0.111111,235:4;000:3;<START>:2;004:2;798:2;001:1;013:1;049:1,<END>:13;060:3;000:2;001:1;031:1;055:1;440:1;450:1,700 745:4;000 000 000 745:3;000 745:2;000 004 745 590:1;000 745 000:1,12-32
2026-05-31,794,13,13,3,0.230769,10,5,8,0.615385,5,0.384615,0,0,0,0,0.000000,0.000000,0,0,740,3,0.230769,3.026987,<END>,3,0.230769,2.815072,1,0.076923,740:3;706:2;741:2;<START>:1;148:1;354:1;575:1;590:1,<END>:3;630:3;732:2;000:1;220:1;324:1;734:1;892:1,148 794 220:1;204 630 233 832 904 794 630 235 060 550:1;241 156 590 706 794 732:1;354 794 892:1;405 061 033 706 794 630 220 002 820:1,12-32
2026-05-31,824,32,19,13,0.684211,6,8,11,0.578947,9,0.473684,0,0,0,0,0.000000,0.000000,0,0,002,9,0.473684,1.712095,<END>,13,0.684211,1.610785,11,0.343750,002:9;<START>:7;000:1;368:1;892:1,<END>:13;892:2;000:1;032:1;700:1;852:1,824 892 413:11;824 032 578 415:4;000 002 824:1;000 824:1;224 740 061 002 824:1,12-32
2026-05-31,838,19,15,5,0.333333,10,9,6,0.400000,4,0.266667,0,0,0,0,0.000000,0.000000,0,0,798,3,0.200000,3.456565,<END>,5,0.333333,2.549255,2,0.105263,798:3;<START>:2;158:1;176:1;220:1;240:1;482:1;585:1,<END>:5;741:3;002:2;240:2;001:1;033:1;470:1,390 697 151 740 176 798 838:2;400 740 585 838 240:2;740 482 838:2;838:2;000 220 838 033 705 240:1,12-32
2026-05-31,845,55,21,0,0.000000,21,5,16,0.761905,7,0.333333,0,0,0,0,0.000000,0.000000,0,0,407,10,0.476190,2.488786,220,3,0.142857,3.653757,14,0.254545,407:10;061:3;032:2;<START>:1;000:1;063:1;064:1;405:1,220:3;240:3;033:2;140:2;806:2;000:1;233:1;235:1,407 321 407 845 033 705 235:14;740 900 850 407 061 845 806:14;407 061 845 240 798:6;407 845 220 415:4;000 064 845 527 555 000:1,12-32
