"id","cisi","type","site","side_index","sides","direction","token_count","text","token_string","orientation_class","companion","order","unordered_pair","interpretation_status"
"1024.1","H-1851","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"386.1","H-1853","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"427.1","H-1854","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"557.1","H-1855","TAB:B","Harappa","1","2","R/L","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"392.1","H-1858","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"392.2","H-1858","TAB:B","Harappa","2","2","R/L","2","+400-137+","400;137","non_700_short_mark","","","137-400","orientation_audit_only_no_reading"
"598.1","H-1859","TAB:B","Harappa","1","2","R/L","2","+033-700+","033;700","two_token_700_companion","033","700_last","033-700","orientation_audit_only_no_reading"
"598.2","H-1859","TAB:B","Harappa","2","2","R/L","2","+400-137+","400;137","non_700_short_mark","","","137-400","orientation_audit_only_no_reading"
"637.1","H-1860","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"637.2","H-1860","TAB:B","Harappa","2","2","R/L","2","+400-097+","400;097","non_700_short_mark","","","097-400","orientation_audit_only_no_reading"
"774.1","H-1861","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"774.2","H-1861","TAB:B","Harappa","2","2","R/L","2","+368-091+","368;091","non_700_short_mark","","","091-368","orientation_audit_only_no_reading"
"654.2","H-1863","TAB:B","Harappa","2","2","L/R","2","+368-091+","368;091","non_700_short_mark","","","091-368","orientation_audit_only_no_reading"
"599.1","H-1864","TAB:B","Harappa","1","2","R/L","2","+032-700+","032;700","two_token_700_companion","032","700_last","032-700","orientation_audit_only_no_reading"
"411.1","H-1865","TAB:B","Harappa","1","2","R/L","2","+700-032+","700;032","two_token_700_companion","032","700_first","032-700","orientation_audit_only_no_reading"
"506.1","H-1867","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"509.1","H-1868","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"508.1","H-1869","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"901.1","H-1870","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"901.2","H-1870","TAB:B","Harappa","2","2","R/L","2","+158-221+","158;221","non_700_short_mark","","","158-221","orientation_audit_only_no_reading"
"784.1","H-1871","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"751.1","H-1872","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"560.1","H-1873","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"388.1","H-1874","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"468.1","H-1876","TAB:B","Harappa","1","2","R/L","2","+034-700+","034;700","two_token_700_companion","034","700_last","034-700","orientation_audit_only_no_reading"
"396.1","H-1877","TAB:B","Harappa","1","2","R/L","2","+034-700+","034;700","two_token_700_companion","034","700_last","034-700","orientation_audit_only_no_reading"
"377.2","H-1878","TAB:B","Harappa","2","2","R/L","2","+167-705+","167;705","non_700_short_mark","","","167-705","orientation_audit_only_no_reading"
"831.1","H-1880","TAB:B","Harappa","1","2","R/L","2","+034-700+","034;700","two_token_700_companion","034","700_last","034-700","orientation_audit_only_no_reading"
"375.1","H-1881","TAB:B","Harappa","1","2","R/L","2","+700-036+","700;036","two_token_700_companion","036","700_first","036-700","orientation_audit_only_no_reading"
"466.1","H-1882","TAB:B","Harappa","1","2","R/L","2","+002-820+","002;820","non_700_short_mark","","","002-820","orientation_audit_only_no_reading"
"466.2","H-1882","TAB:B","Harappa","2","2","R/L","2","+861-003+","861;003","non_700_short_mark","","","003-861","orientation_audit_only_no_reading"
"930.1","H-1883","TAB:B","Harappa","1","2","R/L","2","+700-033+","700;033","two_token_700_companion","033","700_first","033-700","orientation_audit_only_no_reading"
"595.2","H-1892","TAB:B","Harappa","2","2","R/L","2","+400-698+","400;698","non_700_short_mark","","","400-698","orientation_audit_only_no_reading"
"382.1","H-1894","TAB:B","Harappa","1","2","R/L","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
"406.1","H-1895","TAB:B","Harappa","1","2","L/R","2","+700-034+","700;034","two_token_700_companion","034","700_first","034-700","orientation_audit_only_no_reading"
