id,object,site,type,symbol,cult,shape,material,prev,head,branch,terminal,tail,text
1746.1,H-863,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1747.1,H-864,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1748.1,H-865,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1749.1,H-866,Harappa,TAB:B,Bull1:U,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1750.1,H-867,Harappa,TAB:B,Bull1:U,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1751.1,H-868,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1752.1,H-869,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1753.1,H-870,Harappa,TAB:B,Bull1:I,NA,cylindrical,NA,240,405,501,true,<END>,+520-240-002-405-501+
1791.1,H-909,Harappa,TAB:I,NA,NA,rectangular,NA,<START>,820,000,true,<END>,+002-820-000[
1792.1,H-910,Harappa,TAB:I,NA,NA,rectangular,Steatite,<START>,861,416,true,<END>,+002-861-416+
1879.1,K-4,Kalibangan,SEAL:S,Bull1:W,SAF,square,Steatite,140,741,060,false,920,+036-269-140-002-741-060-920+
1885.1,K-10,Kalibangan,SEAL:S,Bull1:I,RAN,square,Steatite,255,368,861,false,590 032 368,+740-690-435-255-002-368-861-590-032-368+
1893.1,K-18,Kalibangan,SEAL:S,Bull1:X,RAF,square,Steatite,307,762,463,false,140,+307-002-762-463-140+
1897.1,K-23,Kalibangan,SEAL:S,Bull1:I,RAN,square,Steatite,441,820,033,true,<END>,+740-441-002-820-033+
1898.1,K-24,Kalibangan,SEAL:S,Bull1,R,square,Steatite,093,252,575,true,<END>,+740-760-093-002-252-575+
1899.1,K-25,Kalibangan,SEAL:S,Bull1,NA,square,Steatite,231,220,065,false,132 082,+520-231-002-220-065-132-082+
1902.1,K-28,Kalibangan,SEAL:S,Gaur,NA,square,Steatite,335,285,491,true,<END>,+440-411-740-335-002-285-491+
1908.1,K-40,Kalibangan,SEAL:S,Elep,NA,square,Steatite,031,861,791,false,440 717,+760-031-002-861-791-440-717+
1910.1,K-44,Kalibangan,SEAL:S,NA,NA,square,Steatite,176,000,000,true,<END>,+740-337-176-002-000-000[
1927.1,K-69,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1928.1,K-70,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1929.1,K-71,Kalibangan,TAG,NA,NA,NA,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1930.1,K-72,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1931.1,K-73,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1932.1,K-74,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1933.1,K-75,Kalibangan,TAG,Bull1,NA,rectangular,Terracotta,417,056,091,true,<END>,+892-890-417-002-056-091+
1944.1,K-89,Kalibangan,TAG:L,Bull1,SAN,NA,NA,362,360,832,true,<END>,+090-740-362-002-360-832+
1944.3,K-89,Kalibangan,TAG:L,Bull1,SAN,NA,NA,350,595,390,false,000,+001-350-002-595-390-000+
1981.1,Lh-1,Lohumjo-daro,SEAL:S,Bull1:S,SAN,square,NA,235,392,590,false,125,+740-760-615-104-717-235-002-392-590-125+
1984.1,L-1,Lothal,SEAL:S,Bull1:W,SAF,square,Steatite,233,812,095,true,<END>,+527-550-233-002-812-095+
1986.1,L-4,Lothal,SEAL:S,Bull1,SAN,square,Steatite,233,575,031,true,<END>,+090-740-100-233-002-575-031+
1987.1,L-5,Lothal,SEAL:S,Bull1:J,RAF,square,Steatite,000,455,692,false,416,+740-760-552/000-002-455-692-416+
1991.1,L-12,Lothal,SEAL:S,Bull1:L,SAN,square,Steatite,354,130,035,true,<END>,+000-798-000-354-002-130-035[
2012.1,L-39,Lothal,SEAL:S,Bull1,SAN,square,Steatite,315,861,626,true,<END>,+520-315-002-861-626+
2017.1,L-46,Lothal,SEAL:S,Gaur,Trough,square,Steatite,176,861,392,true,<END>,+527-388-233-740-176-002-861-392+
2018.1,L-47,Lothal,SEAL:S,Bull1,NA,square,Steatite,190,798,055,true,<END>,+409-190-002-798-055+
2061.1,L-112,Lothal,SEAL:R,NA,NA,rectangular,Clay,605,540,590,true,<END>,+740-760-605-002-540-590+
2112.2,L-190,Lothal,TAG,NA,NA,NA,Clay,000,920,317,true,<END>,+000-000-000-002-920-317[
2131.1,L-213,Lothal,TAG,NA,NA,NA,Clay,220,368,840,false,900,]220-002-368-840-900+
2193.1,M-1766,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,240,269,892,false,810 033,+740-032-845-240-002-269-892-810-033+
2202.1,M-2005,Mohenjo-daro,POT:T:g,NA,NA,NA,Clay,033,000,031,true,<END>,+808-033-002-000-031+
2208.1,M-2090,Mohenjo-daro,ROD,Bult,NA,NA,Ivory,<START>,861,096,true,<END>,+002-861-096[
2224.1,M-1676,Mohenjo-daro,SEAL:S,Bull1:S,NA,square,Steatite,240,595,504,false,803,+740-760-070-255-832-240-002-595-504-803+
2226.1,M-1692,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,Steatite,617,190,125,false,632 032,+390-600-617-002-190-125-632-032+
2231.1,M-1688,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,255,286,220,false,031 012 031 455 033 590,+125-435-255-002-286-220-031-012-031-455-033-590+
2236.1,M-1677,Mohenjo-daro,SEAL:S,Bull1:W,NA,square,Steatite,032,820,001,false,440 012,+520-382-032-002-820-001-440-012+
2240.1,M-1674,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,231,861,683,true,<END>,+090-740-222-231-002-861-683+
2255.1,M-1765,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,705,093,033,true,<END>,+215-031-480-140-632-705-002-093-033+
2270.1,M-1668,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,803,320,705,false,125,+740-773-233-803-002-320-705-125+
2290.1,M-1791,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,268,840,032,true,<END>,+740-760-268-002-840-032+
2297.1,M-1772,Mohenjo-daro,SEAL:S,Bull1:I,SAF,square,Steatite,061,798,435,false,255 705,+740-400-142-061-002-798-435-255-705+
2310.1,M-1810,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,003,156,920,true,<END>,+740-100-140-003-002-156-920+
2315.1,M-1783,Mohenjo-daro,SEAL:S,Bull1,?,square,Steatite,003,000,215,true,<END>,+520-442/425-003-002-000-215+
2318.1,M-2089,Mohenjo-daro,ROD,NA,NA,NA,Ivory,<START>,861,096,true,<END>,+002-861-096+
2342.1,M-1661,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,219,861,032,false,520 919 140,+520-070-219-002-861-032-520-919-140+
2366.1,M-1789,Mohenjo-daro,SEAL:S,Bull1:I,RAF,square,Faience,455,368,260,true,<END>,+740-455-002-368-260+
2389.1,M-1681,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,798,861,832,true,<END>,+520-072-233-740-798-002-861-832+
2393.1,M-1745,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,Steatite,031,031,892,true,<END>,+368-821-055-031-002-031-892+
2399.1,M-1787,Mohenjo-daro,SEAL:S,Bull1:I,RAN,square,Steatite,061,703,000,true,<END>,+740-061-002-703-000+
2402.1,M-1901,Mohenjo-daro,SEAL:S,Zebu,NA,square,Steatite,156,252,692,true,<END>,+151-061/156-002-252-692+
2473.1,M-1665,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,240,610,125,false,032,+520-033-705-233-240-002-610-125-032+
2482.1,M-1907,Mohenjo-daro,SEAL:S,Rhin,Trough,square,Steatite,005,455,511,true,<END>,+390-005-002-455-511+
2490.1,M-1667,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,032,717,820,true,<END>,+740-690-435-255-220-032-002-717-820+
2510.1,M-1884,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,016,416,000,true,<END>,+520-220-016-002-416-000+
2526.1,M-1662,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,233,817,192,false,000,+520-033-706-233-002-817-192-000+
2533.1,M-4,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,231,564,617,false,033,+298-465-033-705-231-002-564-617-033+
2539.1,M-10,Mohenjo-daro,SEAL:S,Bull1:W,NA,square,Steatite,806,267,455,true,<END>,+405-061-070-032-033-706-235-806-002-267-455+
2540.1,M-12,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,233,368,202,false,892 371,+740-390-590-233-002-368-202-892-371+
2545.1,M-17,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,016,814,560,true,<END>,+390-016-002-814-560+
2548.1,M-20,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,005,861,036,false,460 513,+390-005-002-861-036-460-513+
2552.1,M-24,Mohenjo-daro,SEAL:S,Bull1:W,HAF,square,Steatite,235,906,140,true,<END>,+090-740-240-235-002-906-140+
2557.1,M-29,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,806,220,455,false,503,+740-055-240-235-806-002-220-455-503+
2562.1,M-34,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,176,405,372,false,374,+740-336-176-002-405-372-374+
2564.1,M-36,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,032,368,906,false,329,+740-794-630-220-032-002-368-906-329+
2566.1,M-38,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,235,390,125,false,632 032,+740-690-435-255-220-032-240-235-002-390-125-632-032+
2568.1,M-40,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,391,527,475,false,005,+391-002-527-475-005+
2569.1,M-41,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,235,405,125,false,820,+740-636-240-233-235-002-405-125-820+
2571.1,M-43,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,231,055,373,true,<END>,+740-798-231-002-055-373+
2572.1,M-44,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,803,920,317,true,<END>,+740-760-033-705-803-002-920-317+
2574.1,M-46,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,235,220,065,false,215,+740-798-240-235-002-220-065-215+
2577.1,M-49,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,032,300,350,false,032 190,+527-550-240-220-032-002-300-350-032-190+
2580.1,M-52,Mohenjo-daro,SEAL:S,Bull1:W,SAF,square,Steatite,803,504,717,true,<END>,+740-904-032-220-415-235-803-002-504-717+
2581.1,M-53,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,016,297,190,false,920 140,+090-740-220-016-002-297-190-920-140+
2594.1,M-66,Mohenjo-daro,SEAL:S,Bull1:J,RBF,square,Steatite,235,374,309,false,350,+740-390-590-235-002-374-309-350+
2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,SAF,square,Steatite,032,390,692,true,<END>,+226-032-002-390-692+
2599.1,M-71,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,142,390,095,true,<END>,+151-279-142-002-390-095+
2608.1,M-81,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,240,617,070,true,<END>,+527-555-240-002-617-070+
2609.1,M-82,Mohenjo-daro,SEAL:S,Bull1:I,SAN,square,Steatite,222,207,550,false,390,+740-222-002-207-550-390+
2613.1,M-86,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,231,820,700,true,<END>,+520-033-705-231-002-820-700+
2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,032,861,255,false,416,+740-100-798-220-032-002-861-255-416+
2619.1,M-92,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,350,814,084,true,<END>,+740-798-460-350-002-814-084+
2622.1,M-95,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,003,111,165,true,<END>,+390-003-002-111-165+
2626.1,M-99,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,215,368,119,true,<END>,+740-215-002-368-119+
2633.1,M-106,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,000,000,350,true,<END>,+740-760-000-002-000-350+
2634.1,M-107,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,233,940,260,true,<END>,+740-565-233-002-940-260+
2636.1,M-109,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,415,287,140,true,<END>,+740-879-220-415-002-287-140+
2641.1,M-114,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,440,297,416,true,<END>,+740-760-440-002-297-416+
2642.1,M-115,Mohenjo-daro,SEAL:S,Bull1,SAN,square,Steatite,803,301,190,true,<END>,+390-844-140-176-803-002-301-190+
2646.1,M-119,Mohenjo-daro,SEAL:S,Bull1:S,SAN,square,Steatite,484,390,125,false,632 032 900 563,+151-337-484-002-390-125-632-032-900-563+
2667.1,M-140,Mohenjo-daro,SEAL:S,Bull1:S,RAF,square,Faience,336,220,065,false,440 455,+740-336-002-220-065-440-455+
2668.1,M-141,Mohenjo-daro,SEAL:S,Bull1:J,RAN,square,Steatite,240,031,000,true,<END>,+817-255-636/000-000-000-240-002-031-000+
2670.1,M-143,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,032,252,840,true,<END>,+740-205-032-002-252-840+
2674.1,M-147,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,803,220,455,false,520,+226-803-002-220-455-520+
2681.1,M-154,Mohenjo-daro,SEAL:S,Bull1:J,RBF,square,Steatite,415,257,898,true,<END>,+520-220-621-415-002-257-898+
2686.1,M-160,Mohenjo-daro,SEAL:S,Bull1:W,SAN,square,Steatite,031,820,741,true,<END>,+151-243-031-002-820-741+
2707.1,M-181,Mohenjo-daro,SEAL:S,Bull1:J,SAN,square,Steatite,175,295,502,true,<END>,+520-175-002-295-502+
2735.1,M-211,Mohenjo-daro,SEAL:S,Bull1:S,RAF,square,Steatite,220,031,165,true,<END>,+090-740-100-220-002-031-165+
2737.1,M-213,Mohenjo-daro,SEAL:S,Bull1:J,RAF,square,Steatite,384,390,346,true,<END>,+740-384-002-390-346+
2756.1,M-232,Mohenjo-daro,SEAL:S,Bull2,SAF,square,Steatite,236,390,707,true,<END>,+236-002-390-707+
2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,032,861,603,true,<END>,+520-240-220-032-002-861-603+
2765.1,M-242,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,721,301,350,true,<END>,+740-721-002-301-350+
2771.1,M-248,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,415,705,590,true,<END>,+740-100-415-002-705-590+
2774.1,M-251,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,003,125,350,true,<END>,+390-003-002-125-350+
2776.1,M-253,Mohenjo-daro,SEAL:S,Gaur,Trough,square,Steatite,803,368,518,true,<END>,+527-550-803-002-368-518+
2800.1,M-279,Mohenjo-daro,SEAL:S,Elep,NA,square,Steatite,415,700,000,true,<END>,+520-220-415-002-700-000+
2801.1,M-280,Mohenjo-daro,SEAL:S,Elep,NA,square,Steatite,240,944,920,false,140,+740-482-240-002-944-920-140+
2827.1,M-308,Mohenjo-daro,SEAL:S,T-M-T,NA,square,Steatite,220,727,317,true,<END>,+520-220-002-727-317+
2830.1,M-311,Mohenjo-daro,SEAL:S,Comp,NA,square,Steatite,401,368,165,true,<END>,+401-002-368-165+
2833.1,M-315,Mohenjo-daro,SEAL:S,NA,NA,square,Steatite,034,374,228,false,741,+390-034-002-374-228-741+
2836.2,M-318,Mohenjo-daro,SEAL:S,Zebu,NA,square,Steatite,003,031,575,true,<END>,+390-003-002-031-575+
2843.1,M-325,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,Steatite,803,850,493,true,<END>,+241-803-002-850-493+
2843.2,M-325,Mohenjo-daro,SEAL:S,Bull1:L,SAN,square,Steatite,803,850,491,true,<END>,+241-803-002-850-491+
2847.1,M-329,Mohenjo-daro,SEAL:S,NA,NA,square,Steatite,<START>,861,698,true,<END>,+002-861-698+
