"checked_date","variant_family","adjacent_pattern","exact_text_class","cisi_prefix","is_h2218_h2239","site","type","shape","material","has_companion_861_003","has_companion_156_003","has_companion_154_003","has_companion_400_740_176","row_count","accepted_decipherment_claim"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:B","prism","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","3","0"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:I","rectangular","-","0","0","0","1","1","0"
"2026-05-25","033_vs_034","034_700","+034-700+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","6","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","SEAL:CY","cylindrical","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","SEAL:R","prism","Steatite","0","0","0","1","2","0"
"2026-05-25","033_vs_034","700_033","+700-033+","-","0","Harappa","TAB:B","circular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","circular","Faience","0","0","0","0","4","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","crescent","Faience","0","0","0","1","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","cuboid","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","cylindrical","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","cylindrical","Clay","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_033","+700-033+","-","0","Harappa","TAB:B","cylindrical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","cylindrical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","cylindrical","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","elliptical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","fish","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","isosceles trapezoid","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","notched oval","Faience","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","oval","Faience","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","plano-convex","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","plano-convex","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","prism","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","prism","Faience","0","0","0","0","7","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","rectangular","-","0","0","0","0","5","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","rectangular","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","13","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","rectangular","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","semi-circular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","square","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:B","triangular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","circular","Steatite","0","0","0","0","4","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","fish","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","-","0","Harappa","TAB:I","fish","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","notched oval","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","oval","-","0","0","0","1","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","-","0","Harappa","TAB:I","oval","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","oval","Steatite","0","0","0","1","3","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","oval","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","prism","-","0","0","0","1","5","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","7","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","1","Harappa","TAB:I","prism","Steatite","1","1","0","0","1","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","1","7","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","rectangular","-","0","0","0","0","4","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","20","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","1","3","0"
"2026-05-25","033_vs_034","700_033","+700-033+","H","0","Harappa","TAB:I","rectangular-rounded","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_033","+700-033+","-","0","Rajanpur","TAB:B","rectangular","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","-","0","Harappa","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","-","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","circular","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","plano-convex","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","-","0","Harappa","TAB:B","rectangular","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","Clay","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","11","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_033","non_exact_or_longer","M","0","Mohenjo-daro","POT:T:s","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","SEAL:R","prism","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","cylindrical","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","heart","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","heart","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","oval","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","prism","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","rectangular","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","rectangular","Clay","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","26","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:B","rectangular","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","elliptical","Steatite","0","0","0","1","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","oval","Steatite","0","0","0","1","4","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","oval","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","prism","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","1","Harappa","TAB:I","prism","steatite","1","1","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","-","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","5","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","1","Harappa","TAB:I","prism","Steatite","1","1","0","0","19","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","1","Harappa","TAB:I","prism","Steatite","1","0","1","0","1","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","rectangular","-","0","0","0","0","7","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","22","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","1","3","0"
"2026-05-25","033_vs_034","700_034","+700-034+","-","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","3","0"
"2026-05-25","033_vs_034","700_034","+700-034+","H","0","Harappa","TAB:I","rectangular-round","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","non_exact_or_longer","H","0","Harappa","ROD","cylindrical","Bone","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","700_034","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","4","0"
"2026-05-25","033_vs_034","700_034","non_exact_or_longer","M","0","Mohenjo-daro","ROD","-","Ivory","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","other","0","Allahdino","SEAL:S","square","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","other","0","Amri","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Bala-kot","POT:T:p","-","Ceramic","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","C","0","Chanhu-daro","SEAL:S","square","Steatite","0","0","0","0","4","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Derawar Ther","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","MISC","-","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","SEAL:R","cuboid-convex","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","SEAL:R","rectangular","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","SEAL:S","-","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","SEAL:S","square","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","SEAL:S","square","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","TAB:I","rectangular","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","TAG","-","Clay","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Dholavira","TAG","circular","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Gola Dhoro (Bagasra)","SEAL:S","square","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","BEAD","square","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","MISC","-","Stone","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","MISC","unusual","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","POsT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","POT:T:g","-","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","POT:T:g","-","Clay","0","0","0","0","25","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","POT:T:g","-","Clay","0","0","0","0","20","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","POT:T:s","-","Clay","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","POT:T:s","rectangular","Clay","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","ROD","rectangular","Ivory","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:CY","cylindrical","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:R","cuboid","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:R","cuboid-convex","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:R","cuboid-convex","Steatite","0","0","0","0","5","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:R","rectangular","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:S","square","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","SEAL:S","square","Steatite","0","0","0","0","18","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","-","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","-","Faience","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","circular","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","conical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","cylindrical","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","cylindrical","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","fish","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","prism","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","prism","Faience","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular","Faience","0","0","0","0","22","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular-round","Clay","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:B","rectangular-round","Faience","0","0","0","0","4","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","TAB:B","rectangular-rounded","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","-","-","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","-","Steatite","0","0","0","0","5","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","hare","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","oval","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","oval","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","prism","Steatite","0","0","0","0","3","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","14","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular","Steatite","0","0","0","1","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAB:I","rectangular-rounded","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAG:L","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","H","0","Harappa","TAG:R","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","POT:T:g","-","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","POT:T:g","-","Clay","0","0","0","0","9","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","POT:T:g","-","Terracotta","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","SEAL:R","rectangular","Terracotta","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","SEAL:S","square","Steatite","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","TAB:B","cuboid","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","K","0","Kalibangan","TAG:L","-","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Karzakan","SEAL:C","circular","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","other","0","Khirsara","SEAL:R","cuboid-convex","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","other","0","Kot-Diji","POT:T:g","-","Clay","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Lakhanjo-daro","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","L","0","Lothal","SEAL:S","square","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","L","0","Lothal","TAG","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","L","0","Lothal","TAG:O","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","BNGL","-","Stoneware","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","POT:T:g","-","Ceramic","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","POT:T:g","-","Clay","0","0","0","0","8","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Mohenjo-daro","POT:T:g","-","Clay","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","POT:T:s","-","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","ROD","-","Ivory","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL","-","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Mohenjo-daro","SEAL","-","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL","-","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","cuboid","Faience","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","cuboid","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","cuboid-convex","-","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","cuboid-convex","Steatite","0","0","0","0","6","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","rectangular","-","0","0","0","0","2","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","-","0","Mohenjo-daro","SEAL:R","rectangular","Steatite","0","0","0","0","1","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:R","rectangular","Steatite","0","0","0","0","7","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:S","square","-","0","0","0","0","9","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","SEAL:S","square","Steatite","0","0","0","0","57","0"
"2026-05-25","033_vs_034","target_sign_without_target_pair","non_exact_or_longer","M","0","Mohenjo-daro","TAB:B","-","Clay","0","0","0","0","1","0"
