cisi,id,site,type,symbol,cult,shape,text,position_index0,text_len,prev2,next2,terminal_125,immediate_after_861,immediate_after_002_861,in_390004_frame,class
M-1424,3709.1,Mohenjo-daro,TAB:B,Gaur,Trough,twisted cuboid,+875-700-384-125+,3,4,700 384,,True,False,False,False,other_125_context
-,3769.1,Ganweriwala,TAG,-,-,twisted rectangular-rounded,+740-400-061-299-350-125-176+,5,7,299 350,176,False,False,False,False,other_125_context
Sktd-1,3875.1,Surkotada,SEAL:S,Bull1,RAN,square,+390-004-002-390-125-820+,4,6,002 390,820,False,False,False,True,other_125_context
M-2055,4030.1,Mohenjo-daro,TAB:C,None,None,rectangular,+002-407-125-590-831+,2,5,002 407,590 831,False,False,False,False,other_125_context
H-1178,4031.2,Harappa,TAB:I,None,None,rectangular,+700-125+,1,2,700,,True,False,False,False,other_125_context
-,4155.1,Gonur Depe,SEAL:S,Elep,None,square,+740-390-590-125-220-235-002-285+,3,8,390 590,220 235,False,False,False,False,other_125_context
-,4163.1,Dholavira,SEAL:S,Bull1:W,SAF,square,+400-125-000+,1,3,400,000,False,False,False,False,other_125_context
-,4215.1,Dholavira,SEAL:S,Bull1:U,SAN,square,]267-125-000[,1,3,267,000,False,False,False,False,other_125_context
-,4218.1,Dholavira,SEAL:S,Bull1,-,-,]000-350-125-812-033+,2,5,000 350,812 033,False,False,False,False,other_125_context
-,4280.1,Dholavira,SEAL:R,None,None,rectangular,]000-125-001-742+,1,4,000,001 742,False,False,False,False,other_125_context
-,5219.1,Gola Dhoro (Bagasra),SEAL:S,Bull1:I,SAN,square,+292-352-125-741-900-322+,2,6,292 352,741 900,False,False,False,False,other_125_context
Ns-60,5361.1,Nausharo,SEAL:R,None,None,rectangular,+407-063-740-176-236-798-002-297-350-125-413+,9,11,297 350,413,False,False,False,False,other_125_context
