checked_date,head,frames,immediate_end_count,immediate_end_rate,takes_x_count,takes_x_rate,x_terminal_count,x_terminal_rate,x_continuing_count,x_continuing_rate,dominant_x,dominant_x_rate,x_distribution,sample_objects,head_class
2026-05-31,405,2,0,0/2,2,2/2,0,0/2,2,2/2,125,1/2,125:1;372:1,M-34;M-41,low_support_or_mixed
2026-05-31,416,1,0,0/1,1,1/1,1,1/1,0,0/1,000,1/1,000:1,M-1884,low_support_or_mixed
2026-05-31,455,1,0,0/1,1,1/1,1,1/1,0,0/1,511,1/1,511:1,M-1907,low_support_or_mixed
2026-05-31,456,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1150,low_support_or_mixed
2026-05-31,460,1,0,0/1,1,1/1,1,1/1,0,0/1,632,1/1,632:1,M-845,low_support_or_mixed
2026-05-31,504,1,0,0/1,1,1/1,1,1/1,0,0/1,717,1/1,717:1,M-52,low_support_or_mixed
2026-05-31,518,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1916,low_support_or_mixed
2026-05-31,527,1,0,0/1,1,1/1,0,0/1,1,1/1,475,1/1,475:1,M-40,low_support_or_mixed
2026-05-31,550,1,0,0/1,1,1/1,1,1/1,0,0/1,615,1/1,615:1,M-849,low_support_or_mixed
2026-05-31,564,1,0,0/1,1,1/1,0,0/1,1,1/1,617,1/1,617:1,M-4,low_support_or_mixed
2026-05-31,577,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-957,low_support_or_mixed
2026-05-31,595,2,0,0/2,2,2/2,1,1/2,1,1/2,504,1/2,504:1;906:1,M-1676;M-809,low_support_or_mixed
2026-05-31,610,1,0,0/1,1,1/1,0,0/1,1,1/1,125,1/1,125:1,M-1665,low_support_or_mixed
2026-05-31,617,1,0,0/1,1,1/1,1,1/1,0,0/1,070,1/1,070:1,M-81,low_support_or_mixed
2026-05-31,679,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-267,low_support_or_mixed
2026-05-31,693,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-57,low_support_or_mixed
2026-05-31,700,1,0,0/1,1,1/1,1,1/1,0,0/1,000,1/1,000:1,M-279,low_support_or_mixed
2026-05-31,703,1,0,0/1,1,1/1,1,1/1,0,0/1,000,1/1,000:1,M-1787,low_support_or_mixed
2026-05-31,705,1,0,0/1,1,1/1,1,1/1,0,0/1,590,1/1,590:1,M-248,low_support_or_mixed
2026-05-31,717,1,0,0/1,1,1/1,1,1/1,0,0/1,820,1/1,820:1,M-1667,low_support_or_mixed
2026-05-31,727,1,0,0/1,1,1/1,1,1/1,0,0/1,317,1/1,317:1,M-308,low_support_or_mixed
2026-05-31,735,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1733,low_support_or_mixed
2026-05-31,741,2,0,0/2,2,2/2,0,0/2,2,2/2,060,1/2,060:1;455:1,M-761;M-1114,low_support_or_mixed
2026-05-31,764,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-713,low_support_or_mixed
2026-05-31,768,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-1759,low_support_or_mixed
2026-05-31,798,1,0,0/1,1,1/1,0,0/1,1,1/1,435,1/1,435:1,M-1772,low_support_or_mixed
2026-05-31,803,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-177,low_support_or_mixed
2026-05-31,808,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-833,low_support_or_mixed
2026-05-31,812,1,0,0/1,1,1/1,1,1/1,0,0/1,031,1/1,031:1,M-756,low_support_or_mixed
2026-05-31,814,2,0,0/2,2,2/2,2,2/2,0,0/2,084,1/2,084:1;560:1,M-17;M-92,low_support_or_mixed
2026-05-31,817,65,61,61/65,4,4/65,1,1/65,3,3/65,<END>,61/65,<END>:61;000:1;090:1;192:1;690:1,M-1850;M-940;M-963;M-1709;M-1746;M-1711;M-1708;M-1914;M-1693;M-1927;M-1927;M-1844,terminal_default_head
2026-05-31,820,34,29,29/34,5,5/34,4,4/34,1,1/34,<END>,29/34,<END>:29;741:2;000:1;001:1;700:1,M-235;M-1675;M-1737;M-1677;M-1721;M-1706;M-1911;M-1728;M-1830;M-595;M-1716;M-1851,terminal_default_head
2026-05-31,824,3,3,3/3,0,0/3,0,0/3,0,0/3,<END>,3/3,<END>:3,M-309;M-701;M-1189,terminal_default_head
2026-05-31,840,1,0,0/1,1,1/1,1,1/1,0,0/1,032,1/1,032:1,M-1791,low_support_or_mixed
2026-05-31,850,2,0,0/2,2,2/2,2,2/2,0,0/2,491,1/2,491:1;493:1,M-325;M-325,low_support_or_mixed
2026-05-31,861,67,57,57/67,10,10/67,7,7/67,3,3/67,<END>,57/67,<END>:57;603:2;698:2;031:1;032:1;036:1;255:1;683:1,M-1696;M-1880;M-1697;M-1778;M-1674;M-1704;M-1753;M-656;M-1860;M-1726;M-1755;M-1661,terminal_default_head
2026-05-31,880,1,1,1/1,0,0/1,0,0/1,0,0/1,<END>,1/1,<END>:1,M-225,low_support_or_mixed
2026-05-31,900,2,0,0/2,2,2/2,1,1/2,1,1/2,003,1/2,003:1;615:1,M-937;M-958,low_support_or_mixed
2026-05-31,906,1,0,0/1,1,1/1,1,1/1,0,0/1,140,1/1,140:1,M-24,low_support_or_mixed
2026-05-31,920,1,0,0/1,1,1/1,1,1/1,0,0/1,317,1/1,317:1,M-44,low_support_or_mixed
2026-05-31,940,1,0,0/1,1,1/1,1,1/1,0,0/1,260,1/1,260:1,M-107,low_support_or_mixed
2026-05-31,944,1,0,0/1,1,1/1,0,0/1,1,1/1,920,1/1,920:1,M-280,low_support_or_mixed
