"cisi","source_path","side_id","description","description_family","description_series","description_kind","mayig_grapheme_count","analysis_set","audit_status","primary_category","flags","collation_priority","reconciliation_class","mayig_formula_pattern","mayig_collapsed_pattern","mayig_initial_at_start","mayig_terminal_at_end","mayig_I_T_scaffold","mayig_strong_IMT_scaffold","sensitivity_formula_pattern","sensitivity_I_T_scaffold","review_status"
"M-25","corpus/m001_m099/m025.json","M-25A","unicorn II seal","unicorn","II","seal","5","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-26","corpus/m001_m099/m026.json","M-26A","unicorn II seal","unicorn","II","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IISMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-27","corpus/m001_m099/m027.json","M-27A","unicorn II seal","unicorn","II","seal","7","manual_collation_required","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-28","corpus/m001_m099/m028.json","M-28A","unicorn II seal","unicorn","II","seal","8","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","mayig_unknown_p000","","","","","","","","","USIMWSMT","False","metadata_scope_only_not_semantic"
"M-29","corpus/m001_m099/m029.json","M-29A","unicorn II seal","unicorn","II","seal","9","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMMMSM","ISMSM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-30","corpus/m001_m099/m030.json","M-30A","unicorn II seal","unicorn","II","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMMMM","IMSM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-31","corpus/m001_m099/m031.json","M-31A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSMMD","ISMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-32","corpus/m001_m099/m032.json","M-32A","unicorn III seal","unicorn","III","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMMT","DMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-33","corpus/m001_m099/m033.json","M-33A","unicorn III seal","unicorn","III","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMSMMS","IMSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-34","corpus/m001_m099/m034.json","M-34A","unicorn III seal","unicorn","III","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMDSS","ISMDS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-35","corpus/m001_m099/m035.json","M-35A","unicorn III seal","unicorn","III","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IDSMMMS","IDSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-36","corpus/m001_m099/m036.json","M-36A","unicorn III seal","unicorn","III","seal","9","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSMMMMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-37","corpus/m001_m099/m037.json","M-37A","unicorn III seal","unicorn","III","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMM","IM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-38","corpus/m001_m099/m038.json","M-38A","unicorn III seal","unicorn","III","seal","13","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ITSMMMMMMDSSM","ITSMDSM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-39","corpus/m001_m099/m039.json","M-39A","unicorn III seal","unicorn","III","seal","7","manual_collation_required","manual_collation_required","lipi_boundary_fragment","lipi_boundary_fragment;mayig_unknown_p000","P1_source_image_required","damaged_boundary_fragment","","","","","","","","","metadata_scope_only_not_semantic"
"M-40","corpus/m001_m099/m040.json","M-40A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMISS","SMIS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-41","corpus/m001_m099/m041.json","M-41A","unicorn III seal","unicorn","III","seal","8","manual_count_disagreement","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-42","corpus/m001_m099/m042.json","M-42A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-43","corpus/m001_m099/m043.json","M-43A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMSS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-44","corpus/m001_m099/m044.json","M-44A","unicorn III seal","unicorn","III","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-45","corpus/m001_m099/m045.json","M-45A","unicorn III seal","unicorn","III","seal","7","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-46","corpus/m001_m099/m046.json","M-46A","unicorn III seal","unicorn","III","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-47","corpus/m001_m099/m047.json","M-47A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-48","corpus/m001_m099/m048.json","M-48A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DDSMMM","DSM","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-49","corpus/m001_m099/m049.json","M-49A","unicorn III seal","unicorn","III","seal","10","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","mayig_unknown_p000","","","","","","","","","UMMMMMMSMS","False","metadata_scope_only_not_semantic"
"M-50","corpus/m001_m099/m050.json","M-50A","unicorn III seal","unicorn","III","seal","9","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","mayig_unknown_p000","","","","","","","","","IUSMMMMMU","False","metadata_scope_only_not_semantic"
"M-51","corpus/m001_m099/m051.json","M-51A","unicorn III seal","unicorn","III","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSSMIDT","IMSMIDT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-52","corpus/m001_m099/m052.json","M-52A","unicorn III seal","unicorn","III","seal","10","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMMMMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-53","corpus/m001_m099/m053.json","M-53A","unicorn III seal","unicorn","III","seal","9","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMMMSMT","IMSMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-54","corpus/m001_m099/m054.json","M-54A","unicorn III seal","unicorn","III","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMMMMMD","SMD","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-55","corpus/m001_m099/m055.json","M-55A","unicorn III seal","unicorn","III","seal","6","manual_collation_required","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P1_source_image_required","ambiguous_unknown_policy_reconciles","","","","","","","","","metadata_scope_only_not_semantic"
"M-56","corpus/m001_m099/m056.json","M-56A","unicorn III seal","unicorn","III","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMMSW","ISMSW","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-57","corpus/m001_m099/m057.json","M-57A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMMMMS","SMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-58","corpus/m001_m099/m058.json","M-58A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMT","ISMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-59","corpus/m001_m099/m059.json","M-59A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","MMSMS","MSMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-60","corpus/m001_m099/m060.json","M-60A","unicorn III seal","unicorn","III","seal","2","manual_collation_required","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","ambiguous_unknown_policy_reconciles","","","","","","","","","metadata_scope_only_not_semantic"
"M-61","corpus/m001_m099/m061.json","M-61A","unicorn III seal","unicorn","III","seal","7","manual_collation_required","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-62","corpus/m001_m099/m062.json","M-62A","unicorn III seal","unicorn","III","seal","6","manual_collation_required","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P3_policy_check_candidate","lipi_unknown_zero_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-63","corpus/m001_m099/m063.json","M-63A","unicorn III seal","unicorn","III","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMM","IM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-64","corpus/m001_m099/m064.json","M-64A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-65","corpus/m001_m099/m065.json","M-65A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMWMMS","IMWMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-66","corpus/m001_m099/m066.json","M-66A","unicorn III seal","unicorn","III","seal","8","clean_but_not_strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","","","","","","","","","metadata_scope_only_not_semantic"
"M-67","corpus/m001_m099/m067.json","M-67A","unicorn III seal","unicorn","III","seal","7","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_compound_slash","","","","","","","","","ISMMSSU","False","metadata_scope_only_not_semantic"
"M-68","corpus/m001_m099/m068.json","M-68A","unicorn III seal","unicorn","III","seal","8","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_compound_slash","","","","","","","","","IIMSMSUU","False","metadata_scope_only_not_semantic"
"M-69","corpus/m001_m099/m069.json","M-69A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-70","corpus/m001_m099/m070.json","M-70A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SMMDT","SMDT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-71","corpus/m001_m099/m071.json","M-71A","unicorn III seal","unicorn","III","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSSMDS","SMDS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-72","corpus/m001_m099/m072.json","M-72A","unicorn III seal","unicorn","III","seal","6","manual_count_disagreement","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-73","corpus/m001_m099/m073.json","M-73A","unicorn III seal","unicorn","III","seal","4","manual_collation_required","manual_collation_required","mayig_unknown_p000","mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-74","corpus/m001_m099/m074.json","M-74A","unicorn III seal","unicorn","III","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSMT","SMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-75","corpus/m001_m099/m075.json","M-75A","unicorn III seal","unicorn","III","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMT","IMSMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-77","corpus/m001_m099/m077.json","M-77A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SDMMT","SDMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-78","corpus/m001_m099/m078.json","M-78A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-79","corpus/m001_m099/m079.json","M-79A","unicorn IV seal","unicorn","IV","seal","7","sensitivity_flag_subset","candidate_with_sensitivity_flag","count_match","lipi_compound_slash","","","","","","","","","IUMMMTU","False","metadata_scope_only_not_semantic"
"M-80","corpus/m001_m099/m080.json","M-80A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-81","corpus/m001_m099/m081.json","M-81A","unicorn IV seal","unicorn","IV","seal","7","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-82","corpus/m001_m099/m082.json","M-82A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMSMD","ISMSMD","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-83","corpus/m001_m099/m083.json","M-83A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSS","DS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-84","corpus/m001_m099/m084.json","M-84A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMM","ISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-85","corpus/m001_m099/m085.json","M-85A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMSS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-86","corpus/m001_m099/m086.json","M-86A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMMDS","IMDS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-87","corpus/m001_m099/m087.json","M-87A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SSS","S","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-88","corpus/m001_m099/m088.json","M-88A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISM","ISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-89","corpus/m001_m099/m089.json","M-89A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSMM","ISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-90","corpus/m001_m099/m090.json","M-90A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IWSWMT","IWSWMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-91","corpus/m001_m099/m091.json","M-91A","unicorn IV seal","unicorn","IV","seal","9","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMMTMS","ISMTMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-92","corpus/m001_m099/m092.json","M-92A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISSSMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-93","corpus/m001_m099/m093.json","M-93A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-94","corpus/m001_m099/m094.json","M-94A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IDSMM","IDSM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-95","corpus/m001_m099/m095.json","M-95A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMMSS","DMS","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-96","corpus/m001_m099/m096.json","M-96A","unicorn IV seal","unicorn","IV","seal","2","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IS","IS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-97","corpus/m001_m099/m097.json","M-97A","unicorn IV seal","unicorn","IV","seal","3","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISM","ISM","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-98","corpus/m001_m099/m098.json","M-98A","unicorn IV seal","unicorn","IV","seal","3","manual_count_disagreement","manual_count_disagreement","lipi_counts_more","","P2_standard_manual_review","unflagged_lipi_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-99","corpus/m001_m099/m099.json","M-99A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-100","corpus/m100_m199/m100.json","M-100A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMMT","IMT","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-101","corpus/m100_m199/m101.json","M-101A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DMISMT","DMISMT","False","True","False","False","","","metadata_scope_only_not_semantic"
"M-102","corpus/m100_m199/m102.json","M-102A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-103","corpus/m100_m199/m103.json","M-103A","unicorn IV seal","unicorn","IV","seal","4","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","DSMD","DSMD","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-104","corpus/m100_m199/m104.json","M-104A","unicorn IV seal","unicorn","IV","seal","5","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IIMMS","IMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-105","corpus/m100_m199/m105.json","M-105A","unicorn IV seal","unicorn","IV","seal","7","manual_collation_required","manual_collation_required","lipi_unknown_zero","lipi_unknown_zero","P1_source_image_required","lipi_unknown_zero_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-106","corpus/m100_m199/m106.json","M-106A","unicorn IV seal","unicorn","IV","seal","3","manual_collation_required","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P1_source_image_required","complex_manual_collation","","","","","","","","","metadata_scope_only_not_semantic"
"M-107","corpus/m100_m199/m107.json","M-107A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMSS","ISMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-108","corpus/m100_m199/m108.json","M-108A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","SDMMSMD","SDMSMD","False","False","False","False","","","metadata_scope_only_not_semantic"
"M-109","corpus/m100_m199/m109.json","M-109A","unicorn IV seal","unicorn","IV","seal","7","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","ISMMMST","ISMST","True","True","True","True","","","metadata_scope_only_not_semantic"
"M-110","corpus/m100_m199/m110.json","M-110A","unicorn IV seal","unicorn","IV","seal","3","manual_collation_required","manual_collation_required","shared_unknown_zero","lipi_unknown_zero;mayig_unknown_p000","P3_policy_check_candidate","mayig_unknown_p000_explains_count","","","","","","","","","metadata_scope_only_not_semantic"
"M-111","corpus/m100_m199/m111.json","M-111A","unicorn IV seal","unicorn","IV","seal","7","manual_count_disagreement","manual_count_disagreement","mayig_counts_more","","P2_standard_manual_review","unflagged_mayig_extra","","","","","","","","","metadata_scope_only_not_semantic"
"M-112","corpus/m100_m199/m112.json","M-112A","unicorn IV seal","unicorn","IV","seal","8","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMMMSMSS","IMSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-113","corpus/m100_m199/m113.json","M-113A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMWMMS","IMWMS","True","False","False","False","","","metadata_scope_only_not_semantic"
"M-114","corpus/m100_m199/m114.json","M-114A","unicorn IV seal","unicorn","IV","seal","6","strict_formula_subset","candidate_for_pre_crosswalk_structure_tests","count_match","","","","IMSMMS","IMSMS","True","False","False","False","","","metadata_scope_only_not_semantic"
