checked_date,object,row_id,site,type,text,token_index,prev2,prev1,next1,next2,zero_role,terminal_after_000,continuation_after_000
2026-05-31,C-71,78.1,Chanhu-daro,SEAL:S,+000-000-000/000-861-002-906-003+,3,000,000,861,002,prefix_before_002_frame,false,861 002 906 003
2026-05-31,C-57,82.1,Chanhu-daro,SEAL:S,+740-032-840-002-296-530-000+,6,296,530,<END>,<END>,post_frame_non_x_payload,true,<END>
2026-05-31,-:4234.1,4234.1,Dholavira,SEAL:S,]000-000-002-820+,0,<START>,<START>,000,002,prefix_before_002_frame,false,000 002 820
2026-05-31,-:4234.1,4234.1,Dholavira,SEAL:S,]000-000-002-820+,1,<START>,000,002,820,prefix_before_002_frame,false,002 820
2026-05-31,C-7,95.1,Chanhu-daro,SEAL:S,+520-033-705-240-798-002-000[,6,798,002,<END>,<END>,head_slot_after_002,true,<END>
2026-05-31,C-13,101.1,Chanhu-daro,SEAL:S,]000-220-032-060-766+,0,<START>,<START>,220,032,no_002_context,false,220 032 060 766
2026-05-31,H-907,1789.1,Harappa,TAB:I,]000-235+,0,<START>,<START>,235,<END>,no_002_context,false,235
2026-05-31,C-18,106.1,Chanhu-daro,SEAL:S,]000-031-002-817+,0,<START>,<START>,031,002,prefix_before_002_frame,false,031 002 817
2026-05-31,C-29,112.1,Chanhu-daro,SEAL:S,+032-031-740-384-032/000-000-840-634-032+,5,384,032,000,840,no_002_context,false,000 840 634 032
2026-05-31,C-29,112.1,Chanhu-daro,SEAL:S,+032-031-740-384-032/000-000-840-634-032+,6,032,000,840,634,no_002_context,false,840 634 032
2026-05-31,C-33,115.1,Chanhu-daro,MISC,+220-000-740/741-255+,1,<START>,220,740,741,no_002_context,false,740 741 255
2026-05-31,C-34,116.1,Chanhu-daro,TAB:B,+032-031-390-844-000-000-032-803-220+,4,390,844,000,032,no_002_context,false,000 032 803 220
2026-05-31,C-34,116.1,Chanhu-daro,TAB:B,+032-031-390-844-000-000-032-803-220+,5,844,000,032,803,no_002_context,false,032 803 220
2026-05-31,C-38,119.1,Chanhu-daro,MISC,+220-063-706-000+,3,063,706,<END>,<END>,no_002_context,true,<END>
2026-05-31,C-40,121.2,Chanhu-daro,IMPL,+740-000-835-240-235-031-900-066+,1,<START>,740,835,240,no_002_context,false,835 240 235 031 900 066
2026-05-31,-:126.1,126.1,Dholavira,SEAL:S,+740-760-000-742-013/742-552+,2,740,760,742,013,no_002_context,false,742 013 742 552
2026-05-31,-:4332.1,4332.1,Dholavira,TAG,+090-740-000[,2,090,740,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:143.1,143.1,Dholavira,TAB:B,+000-400-350-031-002-817+,0,<START>,<START>,400,350,prefix_before_002_frame,false,400 350 031 002 817
2026-05-31,Dlv-2,146.1,Dholavira,SEAL:R,]000-002-817+,0,<START>,<START>,002,817,prefix_before_002_frame,false,002 817
2026-05-31,-:147.1,147.1,Failaka,SEAL:C,+317-817-000-090+,2,317,817,090,<END>,no_002_context,false,090
2026-05-31,H-692,1597.1,Harappa,POT:T:s,]000-615+,0,<START>,<START>,615,<END>,no_002_context,false,615
2026-05-31,H-1189,162.1,Harappa,TAB:I,]033-000-000+,1,<START>,033,000,<END>,no_002_context,false,000
2026-05-31,H-1189,162.1,Harappa,TAB:I,]033-000-000+,2,033,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,Ns-71,5372.1,Nausharo,POT:T:g,]000-032[,0,<START>,<START>,032,<END>,no_002_context,false,032
2026-05-31,H-1507,164.1,Harappa,MISC,+520-001-090-000[,3,001,090,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:165.1,165.1,Harappa,POT:T:g,+031-463-000+,2,031,463,<END>,<END>,no_002_context,true,<END>
2026-05-31,K-46,1408.1,Kalibangan,SEAL,]000-220-000[,0,<START>,<START>,220,000,no_002_context,false,220 000
2026-05-31,K-46,1408.1,Kalibangan,SEAL,]000-220-000[,2,000,220,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1417,167.1,Harappa,POT:T:g,]000-803-000[,0,<START>,<START>,803,000,no_002_context,false,803 000
2026-05-31,H-1417,167.1,Harappa,POT:T:g,]000-803-000[,2,000,803,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1441,168.1,Harappa,POT:T:g,+745-000[,1,<START>,745,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:4952.1,4952.1,Mohenjo-daro,TAG:C,+034-000+,1,<START>,034,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:177.1,177.1,Harappa,POT:T:g,]000-055-033-033+,0,<START>,<START>,055,033,no_002_context,false,055 033 033
2026-05-31,H-2261,704.1,Harappa,POT:T:g,+000-000/033[,0,<START>,<START>,000,033,no_002_context,false,000 033
2026-05-31,H-2261,704.1,Harappa,POT:T:g,+000-000/033[,1,<START>,000,033,<END>,no_002_context,false,033
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,+740-900-000-407-000-000-000+,2,740,900,407,000,no_002_context,false,407 000 000 000
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,+740-900-000-407-000-000-000+,4,000,407,000,000,no_002_context,false,000 000
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,+740-900-000-407-000-000-000+,5,407,000,000,<END>,no_002_context,false,000
2026-05-31,M-584,180.1,Mohenjo-daro,TAB:C,+740-900-000-407-000-000-000+,6,000,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:183.1,183.1,Harappa,POT:T:g,+415-000-160+,1,<START>,415,160,<END>,no_002_context,false,160
2026-05-31,H-222,5409.1,Harappa,TAB:B,+000-176[,0,<START>,<START>,176,<END>,no_002_context,false,176
2026-05-31,K-166,5291.1,Kalibangan,POT:T:g,]000-700+,0,<START>,<START>,700,<END>,no_002_context,false,700
2026-05-31,-:5397.1,5397.1,Harappa,POT:T:g,]000-000-220+,0,<START>,<START>,000,220,no_002_context,false,000 220
2026-05-31,-:5397.1,5397.1,Harappa,POT:T:g,]000-000-220+,1,<START>,000,220,<END>,no_002_context,false,220
2026-05-31,H-1412,188.1,Harappa,POT:T:g,]000-550-231[,0,<START>,<START>,550,231,no_002_context,false,550 231
2026-05-31,H-1401,192.1,Harappa,POT:T:g,+000-000-000-000-405[,0,<START>,<START>,000,000,no_002_context,false,000 000 000 405
2026-05-31,H-1401,192.1,Harappa,POT:T:g,+000-000-000-000-405[,1,<START>,000,000,000,no_002_context,false,000 000 405
2026-05-31,H-1401,192.1,Harappa,POT:T:g,+000-000-000-000-405[,2,000,000,000,405,no_002_context,false,000 405
2026-05-31,H-1401,192.1,Harappa,POT:T:g,+000-000-000-000-405[,3,000,000,405,<END>,no_002_context,false,405
2026-05-31,K-411,5328.1,Kalibangan,POT:T:g,+400-740-000[,2,400,740,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1404,206.1,Harappa,POT:T:g,]000-220-840[,0,<START>,<START>,220,840,no_002_context,false,220 840
2026-05-31,H-974,1851.1,Harappa,TAB:I,+740-000-892+,1,<START>,740,892,<END>,no_002_context,false,892
2026-05-31,M-1428,5447.1,Mohenjo-daro,TAB:B,+000-000-000-000+,0,<START>,<START>,000,000,no_002_context,false,000 000 000
2026-05-31,M-1428,5447.1,Mohenjo-daro,TAB:B,+000-000-000-000+,1,<START>,000,000,000,no_002_context,false,000 000
2026-05-31,M-1428,5447.1,Mohenjo-daro,TAB:B,+000-000-000-000+,2,000,000,000,<END>,no_002_context,false,000
2026-05-31,M-1428,5447.1,Mohenjo-daro,TAB:B,+000-000-000-000+,3,000,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1369,213.1,Harappa,POT:T:g,+034-000-033+,1,<START>,034,033,<END>,no_002_context,false,033
2026-05-31,K-172,5297.1,Kalibangan,POT:T:g,]000-033+,0,<START>,<START>,033,<END>,no_002_context,false,033
2026-05-31,H-740,1635.1,Harappa,TAB:B,+400-740-100-176-000+,4,100,176,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:216.1,216.1,Baror,SEAL:S,+000-000-002-257-550+,0,<START>,<START>,000,002,prefix_before_002_frame,false,000 002 257 550
2026-05-31,-:216.1,216.1,Baror,SEAL:S,+000-000-002-257-550+,1,<START>,000,002,257,prefix_before_002_frame,false,002 257 550
2026-05-31,H-1177,218.1,Harappa,TAB:I,+000-000-740-519+,0,<START>,<START>,000,740,no_002_context,false,000 740 519
2026-05-31,H-1177,218.1,Harappa,TAB:I,+000-000-740-519+,1,<START>,000,740,519,no_002_context,false,740 519
2026-05-31,M-1140,219.1,Mohenjo-daro,SEAL:S,+151-000-060-000+,1,<START>,151,060,000,no_002_context,false,060 000
2026-05-31,M-1140,219.1,Mohenjo-daro,SEAL:S,+151-000-060-000+,3,000,060,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1042,223.1,Harappa,SEAL:S,+740-923-000-220-002-817+,2,740,923,220,002,prefix_before_002_frame,false,220 002 817
2026-05-31,H-1119,226.2,Harappa,TAB:B,+400-032-000+,2,400,032,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:228.2,228.2,Harappa,TAB:I,+700-031-000-032+,2,700,031,032,<END>,no_002_context,false,032
2026-05-31,H-1393,231.1,Harappa,POT:T:g,]000-904-790-550-740-000[,0,<START>,<START>,904,790,no_002_context,false,904 790 550 740 000
2026-05-31,H-1393,231.1,Harappa,POT:T:g,]000-904-790-550-740-000[,5,550,740,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1054,238.1,Harappa,SEAL:S,]000-503+,0,<START>,<START>,503,<END>,no_002_context,false,503
2026-05-31,H-1339,239.1,Harappa,TAB:B,]400-090-000[,2,400,090,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1173,241.2,Harappa,TAB:I,+400-575-000[,2,400,575,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1053,245.1,Harappa,SEAL:S,+151-504-000[,2,151,504,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1165,253.1,Harappa,TAB:I,+520-400-000+,2,520,400,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1038,256.1,Harappa,SEAL:S,+740-519-002-297-000[,4,002,297,<END>,<END>,x_slot_after_002_head,true,<END>
2026-05-31,H-1121,258.2,Harappa,TAB:B,+700-033-711-817-000+,4,711,817,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1196,262.1,Harappa,TAB:I,]000-001-031-790+,0,<START>,<START>,001,031,no_002_context,false,001 031 790
2026-05-31,H-1188,268.2,Harappa,TAB:I,+869-000+,1,<START>,869,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1184,277.1,Harappa,TAB:I,]000-892-413+,0,<START>,<START>,892,413,no_002_context,false,892 413
2026-05-31,H-1167,279.1,Harappa,TAB:I,]817-000+,1,<START>,817,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1349,283.2,Harappa,TAB:I,+080-000[,1,<START>,080,<END>,<END>,no_002_context,true,<END>
2026-05-31,M-891,5515.1,Mohenjo-daro,SEAL:S,+000-000[,0,<START>,<START>,000,<END>,no_002_context,false,000
2026-05-31,M-891,5515.1,Mohenjo-daro,SEAL:S,+000-000[,1,<START>,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1179,287.2,Harappa,TAB:I,+868-435-255-000[,3,435,255,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:289.1,289.1,Harappa,POT:T:g,+740-000-828+,1,<START>,740,828,<END>,no_002_context,false,828
2026-05-31,H-1112,290.2,Harappa,TAB:B,+520-000-255+,1,<START>,520,255,<END>,no_002_context,false,255
2026-05-31,H-1058,296.1,Harappa,SEAL,]740-019-002-000[,3,019,002,<END>,<END>,head_slot_after_002,true,<END>
2026-05-31,-:298.1,298.1,Harappa,TAB:I,+400-740-000-000+,2,400,740,000,<END>,no_002_context,false,000
2026-05-31,-:298.1,298.1,Harappa,TAB:I,+400-740-000-000+,3,740,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1122,307.1,Harappa,TAB:B,]000-760-382+,0,<START>,<START>,760,382,no_002_context,false,760 382
2026-05-31,-:5562.1,5562.1,Rakhigarhi,TAB:I,]000-220+,0,<START>,<START>,220,<END>,no_002_context,false,220
2026-05-31,-:5417.1,5417.1,Rappwala Ther,POT:T:g,]000-740[,0,<START>,<START>,740,<END>,no_002_context,false,740
2026-05-31,H-1746,500.1,Harappa,POT:T:S,]003-000+,1,<START>,003,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:5561.1,5561.1,Rakhigarhi,TAB:I,+400-520-000[,2,400,520,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1893,374.1,Harappa,TAB:B,+000-151-097-001-820+,0,<START>,<START>,151,097,no_002_context,false,151 097 001 820
2026-05-31,H-1800,376.2,Harappa,TAB:B,+400-740-390-000[,3,740,390,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-977,1854.2,Harappa,TAB:I,]000-034+,0,<START>,<START>,034,<END>,no_002_context,false,034
2026-05-31,H-1848,380.2,Harappa,TAB:B,+740-636-000[,2,740,636,<END>,<END>,no_002_context,true,<END>
2026-05-31,M-2032,4021.1,Mohenjo-daro,TAB:B,+000-060-692+,0,<START>,<START>,060,692,no_002_context,false,060 692
2026-05-31,H-1874,388.2,Harappa,TAB:B,+002-220-455-000+,3,220,455,<END>,<END>,post_frame_non_x_payload,true,<END>
2026-05-31,H-2041,391.1,Harappa,TAB:I,]100-000+,1,<START>,100,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1981,393.2,Harappa,TAB:B,+000-004-745-590+,0,<START>,<START>,004,745,no_002_context,false,004 745 590
2026-05-31,H-1962,398.1,Harappa,TAB:B,]000-740-904-240+,0,<START>,<START>,740,904,no_002_context,false,740 904 240
2026-05-31,H-2015,402.1,Harappa,TAB:B,+033-705-235-000+,3,705,235,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2574,408.1,Harappa,BNGL,+540-000[,1,<START>,540,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1865,411.2,Harappa,TAB:B,+740-702-061-002-000+,4,061,002,<END>,<END>,head_slot_after_002,true,<END>
2026-05-31,M-1914,2341.1,Mohenjo-daro,SEAL:S,]000-832-002-817+,0,<START>,<START>,832,002,prefix_before_002_frame,false,832 002 817
2026-05-31,H-1725,431.1,Harappa,TAG:P,]000-590-832-741-003+,0,<START>,<START>,590,832,no_002_context,false,590 832 741 003
2026-05-31,M-1122,3493.1,Mohenjo-daro,SEAL:S,]000-100-415+,0,<START>,<START>,100,415,no_002_context,false,100 415
2026-05-31,-:441.1,441.1,Harappa,POT:T:g,+000-700/700-000+,0,<START>,<START>,700,700,no_002_context,false,700 700 000
2026-05-31,-:441.1,441.1,Harappa,POT:T:g,+000-700/700-000+,3,700,700,<END>,<END>,no_002_context,true,<END>
2026-05-31,L-188,2110.3,Lothal,TAG,+033-000[,1,<START>,033,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2047,763.1,Harappa,TAB:I,]000-090+,0,<START>,<START>,090,<END>,no_002_context,false,090
2026-05-31,H-1843,451.2,Harappa,TAB:B,+740-690-000[,2,740,690,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1910,474.2,Harappa,TAB:B,]740-176-000[,2,740,176,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1804,477.2,Harappa,TAB:B,+000-591+,0,<START>,<START>,591,<END>,no_002_context,false,591
2026-05-31,H-2351,482.1,Harappa,POT:T:g,+154-032-000+,2,154,032,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2244,492.2,Harappa,TAB:I,]000-240-031-032-171[,0,<START>,<START>,240,031,no_002_context,false,240 031 032 171
2026-05-31,H-1798,495.2,Harappa,TAB:B,+400-711-000-000-000+,2,400,711,000,000,no_002_context,false,000 000
2026-05-31,H-1798,495.2,Harappa,TAB:B,+400-711-000-000-000+,3,711,000,000,<END>,no_002_context,false,000
2026-05-31,H-1798,495.2,Harappa,TAB:B,+400-711-000-000-000+,4,000,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1836,497.2,Harappa,TAB:B,+400-740-000-792+,2,400,740,792,<END>,no_002_context,false,792
2026-05-31,H-1921,498.2,Harappa,TAB:B,]000-740-233-240+,0,<START>,<START>,740,233,no_002_context,false,740 233 240
2026-05-31,H-1744,503.1,Harappa,POT:T:s,+550-000+,1,<START>,550,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1932,504.2,Harappa,TAB:B,+400-740-000-832-000+,2,400,740,832,000,no_002_context,false,832 000
2026-05-31,H-1932,504.2,Harappa,TAB:B,+400-740-000-832-000+,4,000,832,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-507,1485.1,Harappa,SEAL:S,]000-032-002-820+,0,<START>,<START>,032,002,prefix_before_002_frame,false,032 002 820
2026-05-31,H-1816,512.1,Harappa,TAB:B,+740-033-000-335-575-413+,2,740,033,335,575,no_002_context,false,335 575 413
2026-05-31,H-2048,514.1,Harappa,TAB:I,]000-171-067+,0,<START>,<START>,171,067,no_002_context,false,171 067
2026-05-31,H-1722,517.1,Harappa,TAG,+520-220-415-000[,3,220,415,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2341,522.1,Harappa,POT:T:g,+000-335-000-090-480+,0,<START>,<START>,335,000,no_002_context,false,335 000 090 480
2026-05-31,H-2341,522.1,Harappa,POT:T:g,+000-335-000-090-480+,2,000,335,090,480,no_002_context,false,090 480
2026-05-31,-:524.1,524.1,Harappa,POT:T:g,+000-000-014+,0,<START>,<START>,000,014,no_002_context,false,000 014
2026-05-31,-:524.1,524.1,Harappa,POT:T:g,+000-000-014+,1,<START>,000,014,<END>,no_002_context,false,014
2026-05-31,H-202,1233.2,Harappa,TAB:B,]000-745+,0,<START>,<START>,745,<END>,no_002_context,false,745
2026-05-31,H-1723,536.1,Harappa,TAG:L,]000-880-002-000[,0,<START>,<START>,880,002,prefix_before_002_frame,false,880 002 000
2026-05-31,H-1723,536.1,Harappa,TAG:L,]000-880-002-000[,3,880,002,<END>,<END>,head_slot_after_002,true,<END>
2026-05-31,H-2343,538.1,Harappa,POT:T:g,]220-032-176-000+,3,032,176,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:541.1,541.1,Harappa,POT:T:g,+063-700-176-000+,3,700,176,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:543.1,543.1,Harappa,POT:T:g,+000-480-003-064-002-003-861+,0,<START>,<START>,480,003,prefix_before_002_frame,false,480 003 064 002 003 861
2026-05-31,H-1663,551.1,Harappa,SEAL:S,+625-368-257-000[,3,368,257,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1171,4432.1,Harappa,TAB:I,+400-000+,1,<START>,400,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1815,561.1,Harappa,TAB:B,]525-550-033-705-000+,4,033,705,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1803,562.2,Harappa,TAB:B,]590-000[,1,<START>,590,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2250,565.1,Harappa,TAB:B,+000-176-790+,0,<START>,<START>,176,790,no_002_context,false,176 790
2026-05-31,H-1685,576.1,Harappa,SEAL:S,+090-740-220-000-000-000-000+,3,740,220,000,000,no_002_context,false,000 000 000
2026-05-31,H-1685,576.1,Harappa,SEAL:S,+090-740-220-000-000-000-000+,4,220,000,000,000,no_002_context,false,000 000
2026-05-31,H-1685,576.1,Harappa,SEAL:S,+090-740-220-000-000-000-000+,5,000,000,000,<END>,no_002_context,false,000
2026-05-31,H-1685,576.1,Harappa,SEAL:S,+090-740-220-000-000-000-000+,6,000,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2006,580.2,Harappa,TAB:B,+740-752-175-000-000+,3,752,175,000,<END>,no_002_context,false,000
2026-05-31,H-2006,580.2,Harappa,TAB:B,+740-752-175-000-000+,4,175,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-890,1772.2,Harappa,TAB:I,+000-711-335-575-413+,0,<START>,<START>,711,335,no_002_context,false,711 335 575 413
2026-05-31,H-2193,632.2,Harappa,TAB:I,+000-740-242-235+,0,<START>,<START>,740,242,no_002_context,false,740 242 235
2026-05-31,-:588.1,588.1,Harappa,SEAL:R,+158-000-470+,1,<START>,158,470,<END>,no_002_context,false,470
2026-05-31,H-1837,928.1,Harappa,TAB:B,+220-000-700[,1,<START>,220,700,<END>,no_002_context,false,700
2026-05-31,H-2005,600.1,Harappa,TAB:B,+740-752-175-000-861+,3,752,175,861,<END>,no_002_context,false,861
2026-05-31,H-2338,604.1,Harappa,POT:T:g,]740-061-002-575-000[,4,002,575,<END>,<END>,x_slot_after_002_head,true,<END>
2026-05-31,H-2265,605.1,Harappa,POT:T:g,]300-490-999-390-033-000[,5,390,033,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-2334,606.1,Harappa,POT:T:g,+090-740-400-000-000[,3,740,400,000,<END>,no_002_context,false,000
2026-05-31,H-2334,606.1,Harappa,POT:T:g,+090-740-400-000-000[,4,400,000,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1415,4115.1,Harappa,POT:T:g,+032-000+,1,<START>,032,<END>,<END>,no_002_context,true,<END>
2026-05-31,M-1022,3407.1,Mohenjo-daro,SEAL,+390-000[,1,<START>,390,<END>,<END>,no_002_context,true,<END>
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,1,<START>,740,000,002,prefix_before_002_frame,false,000 002 575 000
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,2,740,000,002,575,prefix_before_002_frame,false,002 575 000
2026-05-31,-:617.1,617.1,Harappa,POT:T:g,]740-000-000-002-575-000[,5,002,575,<END>,<END>,x_slot_after_002_head,true,<END>
2026-05-31,H-2008,620.1,Harappa,TAB:B,]000-140-000+,0,<START>,<START>,140,000,no_002_context,false,140 000
2026-05-31,H-2008,620.1,Harappa,TAB:B,]000-140-000+,2,000,140,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-1801,629.2,Harappa,TAB:B,]000-033-605+,0,<START>,<START>,033,605,no_002_context,false,033 605
2026-05-31,H-1884,636.1,Harappa,TAB:B,]000-490+,0,<START>,<START>,490,<END>,no_002_context,false,490
2026-05-31,H-2151,651.2,Harappa,TAB:I,]000-645-003+,0,<START>,<START>,645,003,no_002_context,false,645 003
2026-05-31,H-2007,661.1,Harappa,TAB:B,+000-000-140+,0,<START>,<START>,000,140,no_002_context,false,000 140
2026-05-31,H-2007,661.1,Harappa,TAB:B,+000-000-140+,1,<START>,000,140,<END>,no_002_context,false,140
2026-05-31,H-2007,661.2,Harappa,TAB:B,+000-705-590+,0,<START>,<START>,705,590,no_002_context,false,705 590
2026-05-31,H-2129,674.2,Harappa,TAB:I,]000-590-231+,0,<START>,<START>,590,231,no_002_context,false,590 231
2026-05-31,H-1982,690.2,Harappa,TAB:B,+390-000-742-000+,1,<START>,390,742,000,no_002_context,false,742 000
2026-05-31,H-1982,690.2,Harappa,TAB:B,+390-000-742-000+,3,000,742,<END>,<END>,no_002_context,true,<END>
2026-05-31,H-961,1838.1,Harappa,TAB:I,+000-740-176+,0,<START>,<START>,740,176,no_002_context,false,740 176
2026-05-31,H-2000,697.1,Harappa,TAB:B,+700-032-000-091+,2,700,032,091,<END>,no_002_context,false,091
2026-05-31,H-2122,896.2,Harappa,TAB:I,]000-061+,0,<START>,<START>,061,<END>,no_002_context,false,061
2026-05-31,H-2264,705.1,Harappa,POT:T:g,]000-231-060-820[,0,<START>,<START>,231,060,no_002_context,false,231 060 820
2026-05-31,H-2268,708.1,Harappa,POT:T:g,+740-495-000-034+,2,740,495,034,<END>,no_002_context,false,034
