"second","site","type","count","exact_pair_count","exact_triplet_count","damaged_or_open_count","examples"
"240","Harappa","SEAL:R","1","0","1","0","1189.1"
"240","Harappa","TAB:B","33","4","0","0","437.2;515.2;743.1;1277.1;1278.1;1279.1;1280.1;1281.1"
"240","Harappa","TAB:I","1","0","1","0","1342.1"
"240","Mohenjo-daro","SEAL","1","0","1","0","3182.1"
"240","Mohenjo-daro","SEAL:S","7","3","0","0","2312.1;2414.1;2711.1;2732.1;2763.1;3098.1;3355.1"
"240","Nausharo","SEAL:S","1","0","0","0","3854.1"
"315","Lothal","SEAL:S","1","0","0","0","2012.1"
"382","Mohenjo-daro","SEAL:S","2","0","1","0","2236.1;3230.1"
"400","Harappa","SEAL:S","1","0","0","0","1501.1"
"400","Harappa","TAB:I","2","0","1","1","253.1;4530.1"
"400","Mohenjo-daro","SEAL:R","1","0","0","0","3616.1"
"400","Mohenjo-daro","SEAL:S","2","0","0","0","2451.1;3156.1"
"442","Mohenjo-daro","SEAL:S","1","0","0","0","2315.1"
"460","Dholavira","SEAL:S","2","1","1","0","131.1;133.1"
"460","Harappa","POT:T:g","1","0","0","1","716.1"
"460","Harappa","SEAL:S","1","0","1","0","1142.1"
"460","Mohenjo-daro","SEAL:S","2","1","0","0","3222.1;3331.1"
"463","Bhirrana","SEAL:S","1","0","1","0","5220.1"
"515","Chanhu-daro","POT:T:g","1","0","0","1","118.1"
"515","Mohenjo-daro","POT:T:g","1","0","0","1","3816.1"
"515","Mohenjo-daro","SEAL:S","1","0","1","0","3193.1"
"552","Mohenjo-daro","SEAL:S","1","0","0","0","2653.1"
"742","Dholavira","SEAL:S","1","0","1","0","4220.1"
"920","Dholavira","SEAL:S","1","0","0","0","1316.1"
"920","Mohenjo-daro","SEAL:S","2","0","0","1","3186.1;3311.1"
