date,id,cisi,site,type,material,shape,symbol,cult,sides,dir,class,signs,terminal_after_520_220,tail_after_terminal,has_034_terminal,text,research_use,accepted_claim
2026-05-25,913.1,H-1992,Harappa,TAB:B,Faience,cylindrical,Bull1,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,913.2,H-1992,Harappa,TAB:B,Faience,cylindrical,Bull1,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1677.2,H-786,Harappa,TAB:B,-,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,4069.1,H-1284,Harappa,TAB:I,-,rectangular,None,None,2,L/R,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,221.1,H-1326,Harappa,TAB:I,Steatite,rectangular-round,Bult,None,1,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,841.1,H-2146,Harappa,TAB:I,Steatite,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,481.1,H-2148,Harappa,TAB:I,Steatite,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,848.1,H-2149,Harappa,TAB:I,Steatite,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,816.1,H-2240,Harappa,TAB:I,Steatite,rectangular,Bult,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1341.1,H-319,Harappa,TAB:I,Steatite,oval,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1366.1,H-346,Harappa,TAB:I,Steatite,circular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1383.1,H-364,Harappa,TAB:I,Steatite,cuboid,Fish,None,1,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1818.1,H-938,Harappa,TAB:I,Steatite,rectangular,None,None,2,L/R,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1819.2,H-939,Harappa,TAB:I,Steatite,rectangular,None,None,2,L/R,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1820.1,H-940,Harappa,TAB:I,Steatite,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,1821.2,H-941,Harappa,TAB:I,Steatite,rectangular,None,None,2,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,517.1,H-1722,Harappa,TAG,-,-,None,None,2,R/L,??,3,415,000,false,+520-220-415-000[,520_220_terminal_comparator,0
2026-05-25,2052.1,L-98,Lothal,SEAL:R,Steatite,rectangular,None,None,1,R/L,MT,4,415,519,false,+520-220-415-519+,520_220_terminal_comparator,0
2026-05-25,2891.1,M-395,Mohenjo-daro,SEAL:R,Steatite,cuboid-convex,None,None,1,R/L,MT,4,415,798,false,+520-220-415-798+,520_220_terminal_comparator,0
2026-05-25,3413.1,M-1031,Mohenjo-daro,SEAL:S,-,square,Bull,-,1,R/L,UC,4,415,817,false,+520-220-415-817[,520_220_terminal_comparator,0
2026-05-25,2689.1,M-163,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:J,SAF,1,R/L,SP,5,415,060-820,false,+520-220-415-060-820+,520_220_terminal_comparator,0
2026-05-25,2420.1,M-1814,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:S,SAN,1,R/L,MT,4,415,240,false,+520-220-415-240+,520_220_terminal_comparator,0
2026-05-25,2800.1,M-279,Mohenjo-daro,SEAL:S,Steatite,square,Elep,None,1,R/L,??,5,415,002-700-000,false,+520-220-415-002-700-000+,520_220_terminal_comparator,0
2026-05-25,2841.1,M-323,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:L,SAN,1,R/L,MT,4,415,235,false,+520-220-415-235+,520_220_terminal_comparator,0
2026-05-25,2565.1,M-37,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:S,SAN,1,R/L,MT,3,415,,false,+520-220-415+,520_220_terminal_comparator,0
2026-05-25,3094.1,M-650,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:W,SAN,1,R/L,SP,6,415,519-002-817,false,+520-220-415-519-002-817+,520_220_terminal_comparator,0
2026-05-25,2681.1,M-154,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:J,RBF,1,R/L,2L,7,621,415-002-257-898,false,+520-220-621-415-002-257-898+,520_220_terminal_comparator,0
2026-05-25,5360.1,Ns-59,Nausharo,SEAL:S,Steatite,square,Zebu,None,1,R/L,SP,5,742,060-920,false,+520-220-742-060-920+,520_220_terminal_comparator,0
2026-05-25,2513.1,M-1776,Mohenjo-daro,SEAL:S,Steatite,square,Bull1:U,SAN,1,R/L,SP,5,803,741-262,false,+520-220-803-741-262+,520_220_terminal_comparator,0
