"tokenization","scope","control","metric","iterations","observed_value","null_mean","null_sd","null_min","null_median","null_max","observed_minus_null_mean","null_ge_observed_share"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","unique_tokens","50","100","100","0","100","100","100","0","1"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_sequence_groups","50","490","512.5","0.640312","511","513","513","-22.5","1"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_duplicate_groups","50","17","0.5","0.640312","0","0","2","16.5","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_duplicate_rows","50","40","1","1.280625","0","0","4","39","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","top_sequence_count","50","5","1.42","0.493559","1","1","2","3.58","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","collapsed_rows","50","490","512.5","0.640312","511","513","513","-22.5","1"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","stored_higher_share","50","0.995918","0.987161","0.003174","0.978516","0.986355","0.992203","0.008757","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","frequency_top1_accuracy","50","0.09917","0.101512","0.000148","0.101049","0.101618","0.101618","-0.002342","1"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","position_top1_accuracy","50","0.127504","0.110705","0.005743","0.095431","0.112686","0.118838","0.016799","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","length_position_top1_accuracy","50","0.170738","0.102127","0.005276","0.090433","0.102451","0.114395","0.068611","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","bidirectional_top1_accuracy","50","0.4702","0.107864","0.003122","0.100666","0.107726","0.113993","0.362336","0"
"sign_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","bidirectional_top5_accuracy","50","0.746458","0.323576","0.004833","0.312455","0.32258","0.334842","0.422882","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","unique_tokens","50","100","100","0","100","100","100","0","1"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_sequence_groups","50","490","512.62","0.596322","511","513","513","-22.62","1"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_duplicate_groups","50","17","0.36","0.557136","0","0","2","16.64","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_duplicate_rows","50","40","0.74","1.1456","0","0","4","39.26","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","top_sequence_count","50","5","1.34","0.514198","1","1","3","3.66","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","collapsed_rows","50","490","512.62","0.596322","511","513","513","-22.62","1"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","stored_higher_share","50","0.995918","0.989349","0.004002","0.978516","0.990234","0.998051","0.006569","0.06"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","frequency_top1_accuracy","50","0.09917","0.10156","0.000101","0.101239","0.101618","0.101691","-0.00239","1"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","position_top1_accuracy","50","0.127504","0.119795","0.001189","0.111482","0.119943","0.120114","0.007709","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","length_position_top1_accuracy","50","0.170738","0.173575","0.000396","0.172307","0.173727","0.173851","-0.002837","1"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","bidirectional_top1_accuracy","50","0.4702","0.136725","0.003605","0.128986","0.136769","0.144558","0.333475","0"
"sign_tokens","real_series_d_513_all_lengths","position_slot_shuffle","bidirectional_top5_accuracy","50","0.746458","0.380896","0.005353","0.371014","0.38009","0.393384","0.365562","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","unique_tokens","50","91","91","0","91","91","91","0","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_sequence_groups","50","278","298.96","0.195959","298","299","299","-20.96","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_duplicate_groups","50","15","0.04","0.195959","0","0","1","14.96","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_duplicate_rows","50","36","0.08","0.391918","0","0","2","35.92","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","top_sequence_count","50","5","1.04","0.195959","1","1","2","3.96","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","collapsed_rows","50","278","298.96","0.195959","298","299","299","-20.96","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","stored_higher_share","50","0.992806","0.486356","0.037117","0.394649","0.483278","0.555184","0.50645","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","frequency_top1_accuracy","50","0.120228","0.124567","0.000132","0.123706","0.124592","0.124592","-0.004339","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","position_top1_accuracy","50","0.144729","0.123446","0.004112","0.102829","0.124592","0.127312","0.021283","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","length_position_top1_accuracy","50","0.156125","0.107036","0.006797","0.09086","0.10827","0.120239","0.049089","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","bidirectional_top1_accuracy","50","0.435897","0.110094","0.003624","0.102829","0.109358","0.119695","0.325803","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","bidirectional_top5_accuracy","50","0.698006","0.269343","0.008567","0.250272","0.271491","0.28346","0.428663","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","unique_tokens","50","91","91","0","91","91","91","0","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_sequence_groups","50","278","298.18","0.792212","296","298","299","-20.18","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_duplicate_groups","50","15","0.8","0.774597","0","1","3","14.2","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_duplicate_rows","50","36","1.62","1.560641","0","2","6","34.38","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","top_sequence_count","50","5","1.64","0.52","1","2","3","3.36","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","collapsed_rows","50","278","298.18","0.792212","296","298","299","-20.18","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","stored_higher_share","50","0.992806","0.977929","0.00638","0.959732","0.976589","0.993311","0.014877","0.02"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","frequency_top1_accuracy","50","0.120228","0.124226","0.000413","0.122817","0.124251","0.124592","-0.003998","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","position_top1_accuracy","50","0.144729","0.136912","0.007615","0.115343","0.139282","0.150438","0.007817","0.06"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","length_position_top1_accuracy","50","0.156125","0.128641","0.00881","0.106267","0.131121","0.142779","0.027484","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","bidirectional_top1_accuracy","50","0.435897","0.128736","0.005433","0.114255","0.129595","0.13842","0.307161","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","bidirectional_top5_accuracy","50","0.698006","0.320096","0.006867","0.301415","0.320698","0.334059","0.37791","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","unique_tokens","50","91","91","0","91","91","91","0","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_sequence_groups","50","278","298.46","0.753923","296","299","299","-20.46","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_duplicate_groups","50","15","0.54","0.753923","0","0","3","14.46","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_duplicate_rows","50","36","1.08","1.507846","0","0","6","34.92","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","top_sequence_count","50","5","1.42","0.493559","1","1","2","3.58","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","collapsed_rows","50","278","298.46","0.753923","296","299","299","-20.46","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","stored_higher_share","50","0.992806","0.981705","0.006676","0.963087","0.979933","0.996644","0.011101","0.06"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","frequency_top1_accuracy","50","0.120228","0.124405","0.000266","0.123565","0.124592","0.124592","-0.004177","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","position_top1_accuracy","50","0.144729","0.145829","0.000241","0.145038","0.145811","0.146528","-0.0011","1"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","length_position_top1_accuracy","50","0.156125","0.159715","0.001471","0.15372","0.160501","0.160501","-0.00359","0.98"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","bidirectional_top1_accuracy","50","0.435897","0.141961","0.005176","0.129226","0.142078","0.15506","0.293936","0"
"sign_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","bidirectional_top5_accuracy","50","0.698006","0.345955","0.010299","0.328074","0.344396","0.377112","0.352051","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","unique_tokens","50","428","428","0","428","428","428","0","1"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_sequence_groups","50","490","495.68","3.09477","490","496","502","-5.68","1"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_duplicate_groups","50","17","8.68","1.725572","5","8","13","8.32","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","exact_duplicate_rows","50","40","26","4.16173","17","25.5","34","14","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","top_sequence_count","50","5","6.3","1.7","3","6","10","-1.3","0.88"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","collapsed_rows","50","490","495.68","3.09477","490","496","502","-5.68","1"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","stored_higher_share","50","0.948276","0.458255","0.026403","0.389006","0.45895","0.514706","0.490021","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","frequency_top1_accuracy","50","0.21688","0.21534","0.001883","0.21097","0.21515","0.218963","0.00154","0.22"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","position_top1_accuracy","50","0.240385","0.214255","0.002306","0.209916","0.214041","0.221582","0.02613","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","length_position_top1_accuracy","50","0.275641","0.204949","0.006257","0.182443","0.205642","0.215296","0.070692","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","bidirectional_top1_accuracy","50","0.375","0.208328","0.003834","0.19905","0.209026","0.215748","0.166672","0"
"word_tokens","real_series_d_513_all_lengths","length_frequency_shuffle","bidirectional_top5_accuracy","50","0.542735","0.374792","0.007196","0.360379","0.374274","0.390666","0.167943","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","unique_tokens","50","428","428","0","428","428","428","0","1"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_sequence_groups","50","490","495.32","0.76","493","495","496","-5.32","1"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_duplicate_groups","50","17","11.68","0.76","11","12","14","5.32","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","exact_duplicate_rows","50","40","29.36","1.52","28","30","34","10.64","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","top_sequence_count","50","5","5","0","5","5","5","0","1"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","collapsed_rows","50","490","495.32","0.76","493","495","496","-5.32","1"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","stored_higher_share","50","0.948276","0.934458","0.003294","0.929638","0.933902","0.942553","0.013818","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","frequency_top1_accuracy","50","0.21688","0.217065","0.000383","0.215686","0.2173","0.217874","-0.000185","0.76"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","position_top1_accuracy","50","0.240385","0.217901","0.015334","0.167722","0.225917","0.232595","0.022484","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","length_position_top1_accuracy","50","0.275641","0.24109","0.003926","0.227321","0.241152","0.248811","0.034551","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","bidirectional_top1_accuracy","50","0.375","0.212261","0.00304","0.204641","0.211929","0.219048","0.162739","0"
"word_tokens","real_series_d_513_all_lengths","edge_frame_shuffle","bidirectional_top5_accuracy","50","0.542735","0.418819","0.005514","0.404649","0.419133","0.430907","0.123916","0"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","unique_tokens","50","428","428","0","428","428","428","0","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_sequence_groups","50","490","501.16","2.072293","496","501","505","-11.16","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_duplicate_groups","50","17","9.5","1.676305","6","10","14","7.5","0"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","exact_duplicate_rows","50","40","21.34","3.54745","15","21","31","18.66","0"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","top_sequence_count","50","5","3.4","0.774597","2","3","5","1.6","0.08"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","collapsed_rows","50","490","501.16","2.072293","496","501","505","-11.16","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","stored_higher_share","50","0.948276","0.955377","0.005184","0.944681","0.955696","0.96603","-0.007101","0.88"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","frequency_top1_accuracy","50","0.21688","0.218854","0.000621","0.217895","0.218807","0.220481","-0.001974","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","position_top1_accuracy","50","0.240385","0.243405","0.003165","0.240546","0.242551","0.261717","-0.00302","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","length_position_top1_accuracy","50","0.275641","0.292163","0.00185","0.283088","0.291929","0.295193","-0.016522","1"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","bidirectional_top1_accuracy","50","0.375","0.233778","0.004548","0.218783","0.23363","0.245669","0.141222","0"
"word_tokens","real_series_d_513_all_lengths","position_slot_shuffle","bidirectional_top5_accuracy","50","0.542735","0.454755","0.004916","0.44392","0.454117","0.468454","0.08798","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","unique_tokens","50","251","251","0","251","251","251","0","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_sequence_groups","50","278","280.06","3.791622","273","281","288","-2.06","0.7"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_duplicate_groups","50","15","8.32","1.859462","3","8.5","11","6.68","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","exact_duplicate_rows","50","36","27.26","5.007235","16","27","37","8.74","0.04"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","top_sequence_count","50","5","7.08","1.730202","4","7","12","-2.08","0.96"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","collapsed_rows","50","278","280.06","3.791622","273","281","288","-2.06","0.7"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","stored_higher_share","50","0.936508","0.421726","0.053494","0.250951","0.426948","0.522727","0.514782","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","frequency_top1_accuracy","50","0.249115","0.240335","0.004587","0.229044","0.24104","0.249428","0.00878","0.02"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","position_top1_accuracy","50","0.327037","0.239316","0.004953","0.225581","0.240322","0.249428","0.087721","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","length_position_top1_accuracy","50","0.319953","0.235052","0.006689","0.214702","0.235294","0.245413","0.084901","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","bidirectional_top1_accuracy","50","0.338843","0.233443","0.005722","0.219883","0.233737","0.24656","0.1054","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","length_frequency_shuffle","bidirectional_top5_accuracy","50","0.485242","0.368948","0.009553","0.347368","0.367283","0.39016","0.116294","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","unique_tokens","50","251","251","0","251","251","251","0","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_sequence_groups","50","278","281.46","0.669627","280","282","282","-3.46","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_duplicate_groups","50","15","11.54","0.669627","11","11","13","3.46","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","exact_duplicate_rows","50","36","29.08","1.339254","28","28","32","6.92","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","top_sequence_count","50","5","5","0","5","5","5","0","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","collapsed_rows","50","278","281.46","0.669627","280","282","282","-3.46","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","stored_higher_share","50","0.936508","0.910044","0.005105","0.898438","0.910156","0.917969","0.026464","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","frequency_top1_accuracy","50","0.249115","0.248049","0.000878","0.245614","0.248548","0.249417","0.001066","0.04"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","position_top1_accuracy","50","0.327037","0.296038","0.004147","0.280702","0.29714","0.304297","0.030999","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","length_position_top1_accuracy","50","0.319953","0.295411","0.003093","0.284382","0.297266","0.29849","0.024542","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","bidirectional_top1_accuracy","50","0.338843","0.242486","0.002969","0.235363","0.242741","0.24971","0.096357","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","edge_frame_shuffle","bidirectional_top5_accuracy","50","0.485242","0.418806","0.00879","0.399767","0.41943","0.437863","0.066436","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","unique_tokens","50","251","251","0","251","251","251","0","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_sequence_groups","50","278","287.08","2.008382","283","287","291","-9.08","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_duplicate_groups","50","15","9.28","1.649727","6","9","13","5.72","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","exact_duplicate_rows","50","36","21.2","3.44093","14","21","28","14.8","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","top_sequence_count","50","5","3.48","0.699714","2","3","5","1.52","0.1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","collapsed_rows","50","278","287.08","2.008382","283","287","291","-9.08","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","stored_higher_share","50","0.936508","0.938687","0.008352","0.91954","0.939163","0.954717","-0.002179","0.62"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","frequency_top1_accuracy","50","0.249115","0.251775","0.001139","0.249131","0.251724","0.253714","-0.00266","1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","position_top1_accuracy","50","0.327037","0.321309","0.002327","0.318605","0.320711","0.328751","0.005728","0.1"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","length_position_top1_accuracy","50","0.319953","0.321215","0.001857","0.318605","0.320711","0.326507","-0.001262","0.76"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","bidirectional_top1_accuracy","50","0.338843","0.263623","0.010384","0.248843","0.261466","0.299886","0.07522","0"
"word_tokens","real_series_d_513_ivc_p95_length_cap","position_slot_shuffle","bidirectional_top5_accuracy","50","0.485242","0.437839","0.009474","0.41008","0.439152","0.457143","0.047403","0"
