id,object,site,type,symbol,cult,prev_before_002,after_002_head,after_002_tail,is_adjacent_002390,branch_after_390,tail_after_branch,terminal_class,source_status,source_tier,text
1993.1,L-15,Lothal,SEAL:S,None,None,032,415,415,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+000-000-000-000/032-832-032-002-415+
2081.1,L-139,Lothal,TAG,-,-,032,880,880,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]390-590-032-002-880[
2116.1,L-196,Lothal,TAG,-,-,032,000,000,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]390-590-032-002-000[
2118.2,L-198,Lothal,TAG,-,-,032,000,000,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-390-590-032-002-000[
2229.1,M-1737,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-760-072-921-032-002-820+
2236.1,M-1677,Mohenjo-daro,SEAL:S,Bull1:W,-,032,820,820 001 440 012,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+520-382-032-002-820-001-440-012+
2313.1,M-1763,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+416-001-565-740-220-032-002-861+
2381.1,M-1686,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,142,142,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-904-220-032-002-142+
2417.1,M-1728,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+161-055-240-220-032-002-820+
2418.1,M-1844,Mohenjo-daro,SEAL:S,Bull1:U,SAN,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-817+
2430.1,M-1872,Mohenjo-daro,SEAL,-,-,032,<END>,<END>,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,]904-220-032-002[
2450.1,M-1750,Mohenjo-daro,SEAL:S,Bull1:W,SAN,004,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-861+
2453.1,M-984,Mohenjo-daro,SEAL:S,Bull1,-,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-817+
2490.1,M-1667,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,717,717 820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-690-435-255-220-032-002-717-820+
2549.1,M-21,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+350-001-740-362-692-032-002-861+
2564.1,M-36,Mohenjo-daro,SEAL:S,Bull1:S,SAN,032,368,368 906 329,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-794-630-220-032-002-368-906-329+
2577.1,M-49,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,300,300 350 032 190,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+527-550-240-220-032-002-300-350-032-190+
2598.1,M-70,Mohenjo-daro,SEAL:S,Bull1:T,SAF,032,390,390 692,yes,692,<END>,terminal,checkpoint_strict_source_visible,strict_visible,+226-032-002-390-692+
2603.1,M-75,Mohenjo-daro,SEAL:S,Bull1:W,SAN,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+520-220-004-002-817+
2618.1,M-91,Mohenjo-daro,SEAL:S,Bull1:S,SAN,032,861,861 255 416,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-100-798-220-032-002-861-255-416+
2630.1,M-103,Mohenjo-daro,SEAL:S,Bull1:W,SAN,004,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-820+
2657.1,M-130,Mohenjo-daro,SEAL:S,Bull1:J,SAN,032,144,144,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-094-220-032-002-144+
2670.1,M-143,Mohenjo-daro,SEAL:S,Bull1:J,RAF,032,252,252 840,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-205-032-002-252-840+
2699.1,M-174,Mohenjo-daro,SEAL:S,Bull1:T,SAN,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-923-220-032-002-820+
2745.1,M-221,Mohenjo-daro,SEAL:S,Bull1:I,SAN,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-760-335-220-032-002-820+
2763.1,M-240,Mohenjo-daro,SEAL:S,Gaur,Trough,032,861,861 603,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+520-240-220-032-002-861-603+
2799.1,M-278,Mohenjo-daro,SEAL:S,Elep,None,004,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+621-390-004-002-817+
2863.1,M-367,Mohenjo-daro,SEAL:R,None,None,032,454,454,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+001-226-032-002-454+
2871.1,M-375,Mohenjo-daro,SEAL:R,None,None,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-100-233-220-032-002-820+
2881.1,M-385,Mohenjo-daro,SEAL:R,None,None,004,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+407-004-002-820+
3047.1,M-577,Mohenjo-daro,TAB:C,Othr,None,004,365,365 460 495,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+617-142-597-032-905/407-004-002-365-460-495+
3085.1,M-636,Mohenjo-daro,SEAL:S,Bull1:W,SAN,032,000,000 216,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+527-555-235-220-032-002-000-216+
3123.1,M-692,Mohenjo-daro,SEAL:S,Bull1,-,004,817,817 000,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+000-004-002-817-000[
3144.1,M-720,Mohenjo-daro,SEAL:S,Bull1,-,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+000-740-923-220-032-002-817+
3146.1,M-722,Mohenjo-daro,SEAL:S,Bull1,-,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-585-240-220-032-002-817+
3147.1,M-723,Mohenjo-daro,SEAL:S,Bull1,-,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-460-510-235-220-032-002-861+
3335.1,-,Unknown,SEAL:S,Bull1:J,RAF,032,390,390 590 032,yes,590,032,continuing,metadata_only_unbound,metadata_or_blocked,+740-205-032-002-390-590-032+
3421.1,M-1044,Mohenjo-daro,SEAL:S,Bull,-,032,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+520-220-032-002-861+
3422.1,M-1045,Mohenjo-daro,SEAL:S,-,-,032,820,820 000,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-100-415-070-032-002-820-000+
3437.1,M-1063,Mohenjo-daro,SEAL:S,-,-,004,861,861,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+407-004-002-861+
3519.1,M-1159,Mohenjo-daro,SEAL:S,Elep,None,032,168,168 032,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+232-220-032-002-168-032+
3657.1,M-1358,Mohenjo-daro,SEAL:R,None,None,032,900,900 285,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+032-002-900-285+
3681.1,M-1385,Mohenjo-daro,TAG:P,Bull1,-,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-760-032-002-817+
3681.2,M-1385,Mohenjo-daro,TAG:P,Bull1,-,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-760-032-002-817[
3681.3,M-1385,Mohenjo-daro,TAG:P,Bull1,-,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-760-032-002-817+
3782.1,M-1532,Mohenjo-daro,TAB:C,Othr,None,004,365,365 460 495,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+407-004-002-365-460-495+
3875.1,Sktd-1,Surkotada,SEAL:S,Bull1,RAN,004,390,390 125 820,yes,125,820,continuing,checkpoint_permissive_public_panel,public_panel_downweighted,+390-004-002-390-125-820+
3884.1,-,Tell Umma,TAG:L,Bull1,SAN,004,705,705 127,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-705-127+
3922.1,H-1037,Harappa,SEAL:S,Bull1:U,SAN,032,000,000,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-904-032-002-000+
3926.1,H-1049,Harappa,SEAL:S,Bull1:W,SAN,004,933,933,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+405-004-002-933+
3989.1,M-1788,Mohenjo-daro,SEAL:S,Bull1:I,RAN,032,817,817,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+000-220-032-002-817+
3991.1,M-1823,Mohenjo-daro,SEAL:S,Bull1:S,RAN,004,031,031 376,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+390-004-002-031-376+
4173.1,-,Salut,SEAL:S,Gaur,Trough,004,278,278 595,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+392-004-002-278-595+
5273.1,K-145,Kalibangan,SEAL:S,Bull1:J,SAF,032,820,820,no,<NOT_002390>,<NOT_002390>,<NOT_002390>,not_in_adjacent_002390_frame_local_metadata_only,not_adjacent_002390,+740-585-231-220-032-002-820+
