"control","planted_structure","iteration","scope","coverage_fraction","rows","tokens","unique_signs","label_symmetry_log2_bits","context_equiv_log2_bits","context_equiv_class_count","context_equiv_signs","largest_context_equiv_class","profile_singleton_share","masked_tokens","masked_sampled","masked_top1_accuracy","masked_top5_accuracy","masked_mean_rank","masked_mrr","masked_mean_true_probability","masked_mean_entropy_bits","masked_mean_effective_candidates","masked_mean_mass90_candidates","context_equiv_examples"
"global_token_shuffle","pure_noise_matched_unigram_and_length","59","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.094166667","0.2075","66.923333333","0.168767731","0.060341305","3.456784405","25.977493723","59.646666667","119 814; 319 698; 371 408; 436 783; 560 600"
"global_token_shuffle","pure_noise_matched_unigram_and_length","60","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.101666667","0.231666667","66.343333333","0.176820986","0.066078508","3.396256945","24.896834762","59.809166667","062 269; 577 632"
"global_token_shuffle","pure_noise_matched_unigram_and_length","61","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.1025","0.218333333","69.505","0.177803744","0.06665619","3.522562112","28.174139593","64.034166667","687 797"
"global_token_shuffle","pure_noise_matched_unigram_and_length","62","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.115","0.245","64.931666667","0.18886363","0.073937809","3.387802855","23.626388287","56.580833333","179 560; 262 545; 504 513"
"global_token_shuffle","pure_noise_matched_unigram_and_length","63","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.105833333","0.2225","65.608333333","0.178416481","0.066884668","3.401857055","27.437904293","60.61","592 734; 596 869"
"global_token_shuffle","pure_noise_matched_unigram_and_length","64","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.1","0.21","67.378333333","0.170466332","0.067495931","3.488180674","26.587041269","60.419166667","268 465; 269 759"
"global_token_shuffle","pure_noise_matched_unigram_and_length","65","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.108333333","0.224166667","63.8775","0.178728934","0.070577944","3.441327528","26.445741493","60.993333333","084 791; 643 890"
"global_token_shuffle","pure_noise_matched_unigram_and_length","66","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.100833333","0.230833333","63.02","0.180318315","0.066130931","3.381441114","25.71333544","56.360833333","006 924; 025 807; 545 776"
"global_token_shuffle","pure_noise_matched_unigram_and_length","67","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.1025","0.224166667","66.039166667","0.177351048","0.067806556","3.523320637","27.487151979","62.833333333","084 122; 155 337; 268 693; 402 764; 411 902"
"global_token_shuffle","pure_noise_matched_unigram_and_length","68","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.105833333","0.225833333","64.854166667","0.181419798","0.070649245","3.380672314","26.243819656","59.471666667","012 410; 286 577; 718 910"
"global_token_shuffle","pure_noise_matched_unigram_and_length","69","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.106666667","0.226666667","64.164166667","0.179640124","0.069154058","3.373819146","25.675462533","59.091666667","200 573"
"global_token_shuffle","pure_noise_matched_unigram_and_length","70","forger_null","0.25","450","2017","311","2132.108071818","5.584962501","4","9","3","0.971061093","1200","true","0.095833333","0.22","68.5","0.170636013","0.06275121","3.502034156","29.17999952","64.148333333","552 636 764; 168 354; 389 592; 411 494"
"global_token_shuffle","pure_noise_matched_unigram_and_length","71","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.1","0.208333333","65.855","0.170286103","0.063027367","3.496063918","27.543909501","61.688333333","278 315; 822 956"
"global_token_shuffle","pure_noise_matched_unigram_and_length","72","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.0975","0.209166667","64.04","0.171150466","0.058965443","3.493856081","26.890996421","63.006666667","203 278; 221 910; 257 797; 375 815; 693 922"
"global_token_shuffle","pure_noise_matched_unigram_and_length","73","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.103333333","0.200833333","64.8375","0.170476489","0.06449283","3.567700263","28.208781333","62.421666667","542 759 783; 122 812; 260 511"
"global_token_shuffle","pure_noise_matched_unigram_and_length","74","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.110833333","0.2325","64.6525","0.183068958","0.07072533","3.459764156","25.730403813","60.503333333","179 807; 391 545"
"global_token_shuffle","pure_noise_matched_unigram_and_length","75","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.0975","0.2225","64.178333333","0.174227419","0.062834293","3.464241456","24.923954933","60.421666667","234 531 822; 006 922; 260 518"
"global_token_shuffle","pure_noise_matched_unigram_and_length","76","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.1","0.24","67.6475","0.180124273","0.06448338","3.543138204","28.135220338","64.59","084 796"
"global_token_shuffle","pure_noise_matched_unigram_and_length","77","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.099166667","0.208333333","64.114166667","0.169687226","0.061671631","3.518127597","27.538413973","63.1375","300 510 879; 006 153; 084 155"
"global_token_shuffle","pure_noise_matched_unigram_and_length","78","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.103333333","0.215833333","64.353333333","0.173376693","0.060849662","3.428299541","25.499531629","59.403333333","179 678"
"global_token_shuffle","pure_noise_matched_unigram_and_length","79","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.1","0.225833333","66.000833333","0.178816959","0.066070457","3.507310964","26.169338111","59.939166667","423 689; 456 869; 545 693; 592 862; 640 647"
"global_token_shuffle","pure_noise_matched_unigram_and_length","80","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.0975","0.205","64.885833333","0.171318828","0.064518953","3.348947934","25.852517625","58.586666667","122 354"
"global_token_shuffle","pure_noise_matched_unigram_and_length","81","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.099166667","0.2375","62.873333333","0.180763484","0.066053154","3.454387596","25.451797702","58.0375","703 807"
"global_token_shuffle","pure_noise_matched_unigram_and_length","82","forger_null","0.25","450","2017","311","2132.108071818","2","2","4","2","0.987138264","1200","true","0.105","0.215","64.590833333","0.175170445","0.070025538","3.421564156","27.34849772","61.6475","278 381; 322 890"
"global_token_shuffle","pure_noise_matched_unigram_and_length","83","forger_null","0.25","450","2017","311","2132.108071818","6.584962501","5","11","3","0.964630225","1200","true","0.1025","0.219166667","62.215","0.178334375","0.060354377","3.522018115","25.663036401","59.6775","421 577 812; 336 530; 371 866; 531 924; 808 922"
"global_token_shuffle","pure_noise_matched_unigram_and_length","84","forger_null","0.25","450","2017","311","2132.108071818","1","1","2","2","0.993569132","1200","true","0.098333333","0.208333333","68.208333333","0.171024445","0.064671295","3.548489961","26.891484774","61.386666667","812 815"
"global_token_shuffle","pure_noise_matched_unigram_and_length","85","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.095833333","0.2075","67.235833333","0.168357018","0.060579959","3.52190514","25.596991882","59.883333333","081 698 807; 122 636; 410 545"
"global_token_shuffle","pure_noise_matched_unigram_and_length","86","forger_null","0.25","450","2017","311","2132.108071818","6.584962501","5","11","3","0.964630225","1200","true","0.100833333","0.240833333","63.9075","0.179666562","0.068656444","3.423588993","26.546559578","61.635","263 467 560; 103 634; 389 647; 456 718; 504 869"
"global_token_shuffle","pure_noise_matched_unigram_and_length","87","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.099166667","0.22","68.645833333","0.174670938","0.067497372","3.427278975","26.464030653","60.2025","269 531; 409 890; 643 764; 647 815"
"global_token_shuffle","pure_noise_matched_unigram_and_length","88","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.105833333","0.225","64.3275","0.181059434","0.067250145","3.381527325","24.328353006","56.145","200 905; 542 770; 601 808"
"global_token_shuffle","pure_noise_matched_unigram_and_length","89","forger_null","0.25","450","2017","311","2132.108071818","6","6","12","2","0.961414791","1200","true","0.091666667","0.22","65.575833333","0.166234084","0.05904555","3.510861728","25.997068711","61.32","084 869; 098 243; 103 689; 317 402; 336 592; 467 560"
"global_token_shuffle","pure_noise_matched_unigram_and_length","90","forger_null","0.25","450","2017","311","2132.108071818","3.584962501","2","5","3","0.98392283","1200","true","0.105833333","0.218333333","66.099166667","0.178741474","0.067086972","3.531717272","27.654872414","62.438333333","041 203 409; 317 783"
"global_token_shuffle","pure_noise_matched_unigram_and_length","91","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.104166667","0.2325","65.113333333","0.181163892","0.067604639","3.515668373","26.480899792","63.060833333","264 681 778; 203 698; 542 545"
"global_token_shuffle","pure_noise_matched_unigram_and_length","92","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.095833333","0.221666667","64.848333333","0.170636886","0.063964778","3.46641963","26.809772651","61.805","221 389; 417 561; 577 678; 693 822"
"global_token_shuffle","pure_noise_matched_unigram_and_length","93","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.103333333","0.213333333","64.918333333","0.176980516","0.066754744","3.479878151","26.947853514","61.806666667","028 545; 098 596; 257 642; 734 852"
"global_token_shuffle","pure_noise_matched_unigram_and_length","94","forger_null","0.25","450","2017","311","2132.108071818","4.584962501","3","7","3","0.977491961","1200","true","0.105","0.224166667","62.595","0.17987344","0.062370761","3.504269529","24.80581803","59.594166667","257 411 734; 392 687; 718 862"
"global_token_shuffle","pure_noise_matched_unigram_and_length","95","forger_null","0.25","450","2017","311","2132.108071818","6.584962501","3","8","4","0.974276527","1200","true","0.0975","0.214166667","65.329166667","0.173761558","0.066243471","3.40660965","25.181062335","59.914166667","025 260 269 681; 098 383; 518 822"
"global_token_shuffle","pure_noise_matched_unigram_and_length","96","forger_null","0.25","450","2017","311","2132.108071818","5","5","10","2","0.967845659","1200","true","0.095833333","0.21","65.225","0.169982152","0.061831087","3.399096741","24.455731685","56.5075","402 909; 421 689; 511 518; 573 870; 822 862"
"global_token_shuffle","pure_noise_matched_unigram_and_length","97","forger_null","0.25","450","2017","311","2132.108071818","3","3","6","2","0.980707395","1200","true","0.093333333","0.224166667","65.076666667","0.170356996","0.060328476","3.54669439","26.773359726","61.581666667","012 153; 402 542; 579 759"
"global_token_shuffle","pure_noise_matched_unigram_and_length","98","forger_null","0.25","450","2017","311","2132.108071818","4","4","8","2","0.974276527","1200","true","0.089166667","0.2225","68.555833333","0.16702328","0.057568697","3.598758752","26.417973436","61.311666667","012 905; 059 260; 122 852; 703 870"
"global_token_shuffle","pure_noise_matched_unigram_and_length","99","forger_null","0.25","450","2017","311","2132.108071818","0","0","0","1","1","1200","true","0.0875","0.1925","68.2525","0.157271272","0.058749086","3.468668677","26.128844692","60.050833333",""
"row_internal_shuffle","nonphonetic_row_bag_structure","0","forger_null","0.25","450","2017","311","2132.108071818","9.169925001","6","14","3","0.954983923","1200","true","0.111666667","0.236666667","65.730833333","0.187888995","0.073844739","3.652404865","27.320351705","60.000833333","028 059 636; 098 234 852; 067 643; 191 797; 383 791; 491 552"
