"class","site","count","share_within_class"
"SS","Farmana","1","0.00141"
"SS","Gharo Bhiro","1","0.00141"
"SS","Hajar","1","0.00141"
"SS","Hulas","1","0.00141"
"SS","Kanmer","1","0.00141"
"SS","Karanpura","1","0.00141"
"SS","Khirsara","1","0.00141"
"SS","Miri Qalat","1","0.00141"
"SS","Rahman-deri","1","0.00141"
"SS","Rajanpur","1","0.00141"
"TS","Mohenjo-daro","60","0.357143"
"TS","Harappa","58","0.345238"
"TS","Kalibangan","18","0.107143"
"TS","Lothal","7","0.041667"
"TS","Karanpura","6","0.035714"
"TS","Dholavira","4","0.02381"
"TS","Amri","2","0.011905"
"TS","Chanhu-daro","2","0.011905"
"TS","Lakhanjo-daro","2","0.011905"
"TS","Banawali","1","0.005952"
"TS","Bhirrana","1","0.005952"
"TS","Daimabad","1","0.005952"
"TS","Gumla","1","0.005952"
"TS","Kalba","1","0.005952"
"TS","Karzakan","1","0.005952"
"TS","Kot-Diji","1","0.005952"
"TS","Rahman-deri","1","0.005952"
"TS","Tarkhanewala-dera","1","0.005952"
"UC","Harappa","384","0.576577"
"UC","Mohenjo-daro","147","0.220721"
"UC","Dholavira","33","0.04955"
"UC","Kalibangan","32","0.048048"
"UC","Lothal","27","0.040541"
"UC","Chanhu-daro","5","0.007508"
"UC","Kot-Diji","5","0.007508"
"UC","Farmana","3","0.004505"
"UC","Rodji","3","0.004505"
"UC","Shikarpur","3","0.004505"
"UC","Surkotada","3","0.004505"
"UC","Banawali","2","0.003003"
"UC","Kanmer","2","0.003003"
"UC","Lakhanjo-daro","2","0.003003"
"UC","Rakhigarhi","2","0.003003"
"UC","Amri","1","0.001502"
"UC","Failaka","1","0.001502"
"UC","Ganweriwala","1","0.001502"
"UC","Guddal A","1","0.001502"
"UC","Hissam-dheri","1","0.001502"
"UC","Karanpura","1","0.001502"
"UC","Khirsara","1","0.001502"
"UC","Nausharo","1","0.001502"
"UC","Nuhato","1","0.001502"
"UC","Pirak","1","0.001502"
"UC","Ra's al-Junayz","1","0.001502"
"UC","Unknown","1","0.001502"
"UC","Ur","1","0.001502"
"VN","Harappa","350","0.985915"
"VN","Kalibangan","1","0.002817"
"VN","Lothal","1","0.002817"
"VN","Nuhato","1","0.002817"
"VN","Rajanpur","1","0.002817"
"VN","Unknown","1","0.002817"
"VX","Harappa","18","0.666667"
"VX","Mohenjo-daro","8","0.296296"
"VX","Kalibangan","1","0.037037"
"ZN","Harappa","18","0.409091"
"ZN","Mohenjo-daro","17","0.386364"
"ZN","Banawali","2","0.045455"
"ZN","Farmana","1","0.022727"
"ZN","Gumla","1","0.022727"
"ZN","Kalibangan","1","0.022727"
"ZN","Kanmer","1","0.022727"
"ZN","Lothal","1","0.022727"
"ZN","Nausharo","1","0.022727"
"ZN","Tarkhanewala-dera","1","0.022727"
