scope,object,id,site,region,type,shape,symbol,position_class,order,text
local_090_740,M-1883,2398.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Gaur,initial,090_before_740,+090-740-035-171-061-031-002-069+
local_090_740,M-15,2543.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-176-002-861+
local_090_740,M-24,2552.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-240-235-002-906-140+
local_090_740,M-26,2554.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-531-060-692+
local_090_740,M-53,2581.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-220-016-002-297-190-920-140+
local_090_740,M-68,2596.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,internal,090_before_740,+690-518/090-740-176-742-060-920+
local_090_740,M-100,2627.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-255-705-002-861+
local_090_740,M-104,2631.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-220-235-853+
local_090_740,M-136,2663.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-220-016-031-908-545+
local_090_740,M-184,2709.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-101-853+
local_090_740,M-194,2719.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-900-005+
local_090_740,M-199,2724.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-100-415-240-002-861+
local_090_740,M-211,2735.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-100-220-002-031-165+
local_090_740,M-230,2754.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:I,initial,090_before_740,+090-740-176-233+
local_090_740,M-241,2764.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Gaur,initial,090_before_740,+090-740-032-840-741-572-683+
local_090_740,M-260,2783.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Zebu,initial,090_before_740,+090-740-220-014-002-820+
local_090_740,M-263,2786.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Zebu,initial,090_before_740,+090-740-400-350-031-545+
local_090_740,M-275,2796.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Rhin,initial,090_before_740,+090-740-760-717-853+
local_090_740,M-288,2808.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Tigr,internal,090_before_740,+820/090-740-176-741-065-123+
local_090_740,M-295,2815.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Comp,internal,090_before_740,+621/090-740/002-861+
local_090_740,M-297,2817.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Othr,initial,090_before_740,+090-740-240-575-703-060+
local_090_740,M-304,2823.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Scene,initial,090_before_740,+090-740-220-742-534-550-090+
local_090_740,M-360,2856.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,NA,initial,090_before_740,+090-740-717-770-235+
local_090_740,M-428,2922.1,Mohenjo-daro,Lower Indus,TAB:B,circular,Bull1,initial,090_before_740,+090-740-176-000-000+
local_090_740,M-486,2969.3,Mohenjo-daro,Lower Indus,TAB:B,prism,Mult,initial,090_before_740,+090-740-615+
local_090_740,M-492,2974.2,Mohenjo-daro,Lower Indus,TAB:B,prism,Mult,initial,090_before_740,+090-740-585-803-240+
local_090_740,M-644,3089.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,near_terminal,740_before_090,+740-585-017-740-240-002-817-090-370+
local_090_740,M-648,3092.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-100-220-032-741-361+
local_090_740,M-725,3149.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-220-003-741-252-530+
local_090_740,M-730,3154.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,internal,740_before_090,+740-384-090-351-741-033-272+
local_090_740,M-737,3161.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:I,internal,090_before_740,+706-000/090-740-220-000[
local_090_740,M-739,3163.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-100-415-002-031-350-550-692+
local_090_740,M-744,3167.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:I,initial,090_before_740,+090-740-543-000[
local_090_740,M-835,3247.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1,initial,090_before_740,+090-740-035-171-000-002-817+
local_090_740,M-853,3265.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-792-002-817+
local_090_740,M-865,3276.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-240-235-001-820+
local_090_740,M-902,3307.1,Mohenjo-daro,Lower Indus,SEAL:S,square,NA,terminal,740_before_090,+740-798-002-000-090+
local_090_740,M-944,3339.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-233-060-368-817+
local_090_740,M-947,3342.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1,internal,090_before_740,+400-090-740-035-171-061+
local_090_740,M-1165,3525.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Tigr,initial,090_before_740,+090-740-920-140-060-692+
local_090_740,M-1186,3538.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Scene,internal,090_before_740,+621/090-740-231-740-560-534+
local_090_740,M-1221,3557.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1,initial,090_before_740,+090-740-100-320-001-300-632+
local_090_740,M-1224,3559.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Mult,internal,090_before_740,+400-090-740-032-840+
local_090_740,M-1288,3593.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,NA,initial,090_before_740,+090-740-900-100[
local_090_740,M-1342,3647.1,Mohenjo-daro,Lower Indus,SEAL:R,cuboid-convex,NA,internal,740_before_090,+740-680-090-585-017+
local_090_740,M-1429,3713.1,Mohenjo-daro,Lower Indus,TAB:B,prism,Mult,initial,090_before_740,+090-740-792-740-220-003-803+
local_090_740,Ns-5,3853.1,Nausharo,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-220-016-002-820+
local_090_740,H-1021,3915.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-235-741-572-368+
local_090_740,H-1342,4084.1,Harappa,Inter-Riverine,TAB:I,prism,Gavi+Bult,initial,090_before_740,+090-740-220+
local_090_740,4331.1,4331.1,Dholavira,Gujarat/Kutch,TAG,rectangular,NA,initial,090_before_740,+090-740-055-000[
local_090_740,5216.1,5216.1,Gola Dhoro (Bagasra),Gujarat/Kutch,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-100-415-240-820-033+
local_090_740,Ns-65,5366.1,Nausharo,Lower Indus,POT:T:g,NA,NA,internal,740_before_090,+740-090-413-000+
local_090_740,Ns-66,5367.1,Nausharo,Lower Indus,POT:T:g,NA,NA,internal,090_before_740,+033-999-400-090-740-100-000-002-892-000-002+
external_circular_090,147.1,147.1,Failaka,Persian Gulf,SEAL:C,circular,Gaur,terminal,no_740,+317-817-000-090+
external_circular_090,148.1,148.1,Failaka,Persian Gulf,SEAL:C,circular,NA,initial,no_740,]090-001-350-716+
external_circular_090,3863.1,3863.1,Qala'at al-Bahrain,Persian Gulf,SEAL:C,circular,Gaur,internal,no_740,+160-090-055-060-190+
external_circular_090,3881.1,3881.1,Susa,Iranian Plateau,SEAL:C,circular,Gaur,internal,no_740,+700-604-407-090-365-000+
external_circular_090,3899.1,3899.1,Ur,Mesopotamia,SEAL:C,circular,Gaur,near_terminal,no_740,+000-000-004-090-350+
external_circular_090,5225.1,5225.1,Ur,Mesopotamia,SEAL:C,circular,NA,near_terminal,no_740,]000-001-000-090-000[
external_circular_090,5231.1,5231.1,Ur,Mesopotamia,SEAL:C,NA,NA,terminal,no_740,]405-090[
