auto_id,ngram,token_count,lead_class_guess,context_count,same_line_context_count,adjacent_context_count,artifact_count,artifact_ps,example_artifact_p,example_line,example_previous_line,example_following_line
auto_2dd571a0589b6a2d,amar masz-da3,2,unclassified_context,7,2,5,5,P100284|P123439|P123621|P125864|P469955,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_54cf1edf11438726,amar,1,unclassified_context,7,2,5,5,P100284|P123439|P123621|P125864|P469955,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_613e02cb3651389c,masz-da3,1,unclassified_context,7,2,5,5,P100284|P123439|P123621|P125864|P469955,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_fceae300d4e2df84,udu,1,unclassified_context,6,1,5,5,P115266|P125864|P201332|P248901|P326408,P115266,gu2-ab-ba{ki}-ka e2-duru5 me-luh-ha-ta,2. sze-ba gab2-us2 udu gukkal,4. ki ur-{gesz}gigir ka-guru7-ta
auto_bb1d8f2e18d68234,e2-duru5,1,estate_land,5,5,0,5,P115266|P218242|P235705|P374962|P378169,P115266,gu2-ab-ba{ki}-ka e2-duru5 me-luh-ha-ta,2. sze-ba gab2-us2 udu gukkal,4. ki ur-{gesz}gigir ka-guru7-ta
auto_3dab421df7ff3e0b,ma2-gan{ki},1,ship_labor,5,1,4,5,P227509|P232277|P431886|P461937|P469516,P227509,_ma2_ me-luh-ha{ki},11. _za3 a-ab-ba-ka-sze3_,13. _ma2_ ma2-gan{ki}
auto_e5e067783eed5176,(disz) sila4 lu2-sun2-zi-da,3,title_role,4,4,0,4,P100284|P101445|P248901|P390252,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_6ba57637fca68cc6,(disz) sila4,2,unclassified_context,4,4,0,4,P100284|P101445|P248901|P390252,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_eda0b20d5cdc9679,kiszib3,1,onomastic_or_patronymic,5,1,4,4,P108448|P123177|P136196|P378169,P108448,mu ur-{d}lamma dumu me-luh-ha-sze3,2. kiszib3 ur-e2-ninnu dumu du-du,4. mu amar-{d}suen lugal
auto_143c34939104dffb,mu-kux(du),1,unclassified_context,5,2,3,4,P123295|P123440|P123621|P469955,P123295,mu-kux(DU) lu2-sun2-zi-da,7. 1(disz) sila4 {d}nin-urta,9. 1(disz) sila4 {d}inanna
auto_7c8ebbf8b560bce9,sila4 lu2-sun2-zi-da,2,title_role,4,4,0,4,P100284|P101445|P248901|P390252,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_8cd9133c9bb7ebf7,ur-{d}lamma,1,onomastic_or_patronymic,5,4,1,4,P102519|P108448|P123177|P136196,P102519,ki ur-{d}lamma dumu me-luh-ha-ta,2. 3(u) gur,4. 3(asz) 3(barig) ziz2 gur
auto_b5ad4b8df126a089,gug,1,commodity_material,4,4,0,4,P232300|P232301|P431881|P431882,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_8322292c78904118,ku3,1,commodity_material,4,2,2,4,P232300|P232301|P431881|P431882,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_2f95e91737fc14fa,niga,1,unclassified_context,5,0,5,3,P123440|P201332|P248901,P123440,lu2-sun2-zi-da,4. 1(disz) {munus}asz2-gar3 niga 1(disz) masz2 niga,6. mu-kux(DU)
auto_3947e752fba81e57,sila3 a-li-a-hi dam-a-ni,3,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_93138d67a6d0ef80,ur-{d}lamma dumu,2,onomastic_or_patronymic,4,4,0,3,P102519|P108448|P136196,P102519,ki ur-{d}lamma dumu me-luh-ha-ta,2. 3(u) gur,4. 3(asz) 3(barig) ziz2 gur
auto_6d703d6576431083,a-li-a-hi dam-a-ni,2,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_9ffececfa5d98476,a-ru-a lugal,2,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_d9eb20bca60f1c87,i3-ba lu2,2,title_role,3,3,0,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_8b31780303f53afb,sila3 a-li-a-hi,2,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_41f8d15f45b884d4,uruda,1,commodity_material,4,3,1,3,P136689|P232301|P431882,P136689,6(disz) ma-na uruda me-luh-ha,1. 2/3(disz){sza} 5(disz) gin2 nagga,3. 6(disz) gin2 uruda nig2 til-la#
auto_80a69e71d37496bf,(asz),1,unclassified_context,3,3,0,3,P135969|P454137|P500263,P135969,1(asz) e2-ta sze me-<luh>-ha{ki},4. 2(asz) sze gir2-nun SAR munu4 e3,6. 3(barig) me-luh-ha-ta
auto_a85dcc86763d10ce,a-li-a-hi,1,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_3f03986a74539264,a-ru-a,1,onomastic_or_patronymic,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_f223c4113eb438d8,dam-a-ni,1,unclassified_context,3,0,3,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_cadc225edd1a3ede,erin2,1,unclassified_context,3,1,2,3,P135727|P374962|P454137,P135727,dumu me-luh-ha erin2 e2 {d}nansze-ta,21. 1(asz@c) 1(barig) ma2-gur8-re im-e tak4-a,23. gu2 i7 e3-ta
auto_83994a1a3a5966c8,gu2,1,unclassified_context,3,0,3,3,P135727|P346242|P469516,P135727,dumu me-luh-ha erin2 e2 {d}nansze-ta,21. 1(asz@c) 1(barig) ma2-gur8-re im-e tak4-a,23. gu2 i7 e3-ta
auto_79e477cc935faafc,i3-ba,1,unclassified_context,3,3,0,3,P453801|P516138|P516366,P453801,i3-ba lu2 me-luh-ha{ki}-me,4. 1/2(disz) sila3 a-li-a-hi dam-a-ni,1. a-ru-a lugal
auto_e11ef1b399dc48d1,ku3-sig17,1,commodity_material,3,0,3,3,P232275|P431884|P469516,P232275,kur me-luh-ha-ta,38. ku3-sig17 sahar-ba,40. im-ta-e11
auto_aa1b69ee28d6c7fe,masz2,1,unclassified_context,3,0,3,3,P123440|P248901|P469679,P123440,lu2-sun2-zi-da,4. 1(disz) {munus}asz2-gar3 niga 1(disz) masz2 niga,6. mu-kux(DU)
auto_cd5803ef9709fa3a,nagga,1,commodity_material,3,2,1,3,P136689|P232301|P431882,P136689,6(disz) ma-na uruda me-luh-ha,1. 2/3(disz){sza} 5(disz) gin2 nagga,3. 6(disz) gin2 uruda nig2 til-la#
auto_bb8ad2b252d9fb50,nig2,1,unclassified_context,3,2,1,3,P136689|P346086|P469514,P136689,6(disz) ma-na uruda me-luh-ha,1. 2/3(disz){sza} 5(disz) gin2 nagga,3. 6(disz) gin2 uruda nig2 til-la#
auto_9af7202c1427f85e,sze-ba,1,unclassified_context,3,1,2,3,P100892|P115266|P217502,P100892,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta
auto_c53388e1ad902b66,szu,1,unclassified_context,3,0,3,3,P110574|P232300|P431881,P110574,i3-dub me-luh-ha,1. szu ba-ti,3. iti sze-il2-la
auto_6ed86f6bb4d332b1,ugula,1,title_role,3,1,2,3,P112283|P115261|P391626,P112283,1(disz) me-luh-ha,6. ugula ur-nig2,8. dumu ur-{d}na-ru2-a
auto_70871c58500f645f,ur-{d}ba-ba6,1,onomastic_or_patronymic,3,0,3,3,P100892|P218242|P378169,P100892,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta
auto_9c04b756a9e3beba,zi3,1,unclassified_context,3,1,2,3,P102031|P116995|P346242,P102031,i3-dub me-luh-ha,2. sze zi3 KA-sze3,4. ki ur-{d}nansze-ta
auto_55528be339938480,ur5-ra,1,unclassified_context,5,0,5,2,P116633|P123010,P116633,i3-dub me#-luh#-ha#-ta,1. 4(u) sze gur e2-kin-ga2# sze ur5-ra,3. 1(u) 2(asz) 1(barig) gur sze [nig2]-gal2#-la sze ur5-ra
auto_47aea5a86cf28019,(disz) amar masz-da3,3,unclassified_context,2,2,0,2,P123439|P469955,P123439,2(disz) amar masz-da3 lu2-sun2-zi-da,6. 1(disz) sila4 ensi2 urumx(|UR2xU2|){ki},1. 2(disz) amar masz-da3 i-di3-{d}suen
auto_229781edb8313fb7,{na4}gug nig2 al,3,commodity_material,2,2,0,2,P346086|P469514,P346086,kur me-luh-ha{ki} {na4}gug nig2 al di kal-la#?-[...],2. {na4}za#-gin3 x x saga#?-ga hu-mu-ra-bala-bala-[...],4. {gesz}mes sza3-gan gesz-ab-ba saga{+ga}-[...]
auto_3313f462c1d6388c,{uruda}szen mah {uruda}uri,3,commodity_material,2,0,2,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_81a37b3743017a30,gu3-de2-a ku3 ne-a,3,commodity_material,2,0,2,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_6968a9c8b2434700,ku3 gug gi-rin,3,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_98f0db5809c4c940,ku3 ne-a kur-bi-ta,3,commodity_material,2,0,2,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_36d40290857151c6,kur {na4}gug nig2,3,commodity_material,2,2,0,2,P346086|P469514,P346086,kur me-luh-ha{ki} {na4}gug nig2 al di kal-la#?-[...],2. {na4}za#-gin3 x x saga#?-ga hu-mu-ra-bala-bala-[...],4. {gesz}mes sza3-gan gesz-ab-ba saga{+ga}-[...]
auto_e2d4584b12b00037,lagab za-gin3-na ku3,3,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_7cc7fe3920f12f56,lugal an-ub-da limmu2-ba-ke4,3,unclassified_context,2,0,2,2,P226318|P432309,P226318,ur# gun3#-a me-luh-ha{ki},8. lugal an-ub-da# limmu2-ba-ke4,10. mar#-ha#!-szi{ki!}-[ta]
auto_990a75c805a00b7b,mah,1,unclassified_context,4,0,4,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_09b1638f809037a3,mah {uruda}uri mah,3,commodity_material,2,0,2,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_4ddb38a397783412,nagga lagab za-gin3-na,3,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_d864c9a736fa6722,ne-a kur-bi-ta mu-na-ta-e11-de3,3,commodity_material,2,0,2,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_502ab3ec622ef850,nig2 al di,3,unclassified_context,2,2,0,2,P346086|P469514,P346086,kur me-luh-ha{ki} {na4}gug nig2 al di kal-la#?-[...],2. {na4}za#-gin3 x x saga#?-ga hu-mu-ra-bala-bala-[...],4. {gesz}mes sza3-gan gesz-ab-ba saga{+ga}-[...]
auto_98c3100f162b0cf4,udu niga sila4,3,unclassified_context,2,0,2,2,P201332|P248901,P201332,lu2-sun2-zi-da,3. 2(disz) {munus}asz2-gar3 niga,5. 1(u) udu niga 1(disz) sila4
auto_26cfe773cba17889,uruda nagga lagab,3,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_c98903f3f83daf69,za-gin3-na ku3 gug,3,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_699d6c2cc37ebe54,(disz) amar,2,unclassified_context,2,2,0,2,P123439|P469955,P123439,2(disz) amar masz-da3 lu2-sun2-zi-da,6. 1(disz) sila4 ensi2 urumx(|UR2xU2|){ki},1. 2(disz) amar masz-da3 i-di3-{d}suen
auto_14bddd7cb9353852,{munus}asz2-gar3 niga,2,unclassified_context,2,0,2,2,P123440|P201332,P123440,lu2-sun2-zi-da,4. 1(disz) {munus}asz2-gar3 niga 1(disz) masz2 niga,6. mu-kux(DU)
auto_2e4b98b30da75984,{na4}gug nig2,2,commodity_material,2,2,0,2,P346086|P469514,P346086,kur me-luh-ha{ki} {na4}gug nig2 al di kal-la#?-[...],2. {na4}za#-gin3 x x saga#?-ga hu-mu-ra-bala-bala-[...],4. {gesz}mes sza3-gan gesz-ab-ba saga{+ga}-[...]
auto_75329edc17db21d9,{uruda}szen mah,2,commodity_material,2,0,2,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_71f6df62f56e368e,{uruda}uri mah,2,commodity_material,2,0,2,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_e93189d929f86bb5,al di,2,unclassified_context,2,2,0,2,P346086|P469514,P346086,kur me-luh-ha{ki} {na4}gug nig2 al di kal-la#?-[...],2. {na4}za#-gin3 x x saga#?-ga hu-mu-ra-bala-bala-[...],4. {gesz}mes sza3-gan gesz-ab-ba saga{+ga}-[...]
auto_3662636e2b1cf225,an-ub-da limmu2-ba-ke4,2,unclassified_context,2,0,2,2,P226318|P432309,P226318,ur# gun3#-a me-luh-ha{ki},8. lugal an-ub-da# limmu2-ba-ke4,10. mar#-ha#!-szi{ki!}-[ta]
auto_e6171c158fbfd5eb,gu3-de2-a ku3,2,commodity_material,2,0,2,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_edc55d354308c88d,gug gi-rin,2,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_3aa0254179d391da,gug gi-rin-e,2,commodity_material,2,2,0,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_e7250a3a65020c97,kiszib3 ur-{d}lamma,2,onomastic_or_patronymic,2,1,1,2,P123177|P136196,P123177,dumu me-luh-ha,9. kiszib3 ur-{d}lamma,11. 1(gesz2) 2(u) 4(asz) 3(barig) 5(ban2) gur
auto_0885aab9272ab3b1,ku3 gug,2,commodity_material,2,2,0,2,P232301|P431882,P232301,uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da,12. sa12 im-mi-ib2-rig7-ge,14. {uruda}szen mah {uruda}uri mah
auto_eabef9b3f83adb5f,ku3 ne-a,2,commodity_material,2,0,2,2,P232300|P431881,P232300,gug gi-rin-e me-luh-ha-ta,21. gu3-de2-a ku3 NE-a kur-bi-ta mu-na-ta-e11-de3,23. szu mu-na-pesz-e
auto_bf71cd97170c5ede,ku3-sig17 sahar-ba,2,commodity_material,2,0,2,2,P232275|P431884,P232275,kur me-luh-ha-ta,38. ku3-sig17 sahar-ba,40. im-ta-e11
