query_id,query_text,lead_label,query_role,artifact_p,artifact_id,designation,museum_no,provenience,period,dates_referenced,query_line_count,meluhha_line_count,min_query_to_meluhha_distance,has_meluhha_anywhere,query_line_same_as_meluhha,query_line_adjacent_to_meluhha,inscription_hash,source_url,query_lines,meluhha_lines
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213189,213189,"OIP 104, 040 (Manistusu obelisk)",Sb 00020,"{""id"":12,""provenience"":""Susa (mod. Shush)"",""location_id"":482,""place_id"":128,""region_id"":9}",Old Akkadian,Manishtusu.00.00.00,1,0,,false,false,false,70cb90e2539b50d8bbba9a7ff9e73ecabb633c2cebeffdd7de38515df40dd5c3,https://cdli.earth/P213189,8. 1(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213190,213190,"OIP 104, 041",Ist EŞEM 01022; UM L-29-644 (cast; = CBS 09444 ?),"{""id"":25,""provenience"":""Sippar-Yahrurum (mod. Tell Abu Habbah)"",""location_id"":431,""place_id"":118,""region_id"":7}",Old Akkadian,,0,0,,false,false,false,6c189bc698c64bc47b5503ca8362bd4c2bfb410870906e80d6b3492054ec69cc,https://cdli.earth/P213190,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213297,213297,"HSS 10, 031",SM 1998.04.015,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,0,0,,false,false,false,cf4936ddda0bcb0c101869d5d86f04b89dba2f1cd46cdcbea8c59cb8bf2e24df,https://cdli.earth/P213297,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213315,213315,"HSS 10, 049",SM 1998.04.024,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,3a6bfc985d49058e880a7328a01b73c741b0bc827a79e0de8e8295b9aae53079,https://cdli.earth/P213315,2. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213334,213334,"HSS 10, 068",SM 1998.04.034,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,0,0,,false,false,false,eb495f72927fa482dcc53bda5f9d7839048aada5dd0d290bcd60729e5810ff27,https://cdli.earth/P213334,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213370,213370,"HSS 10, 104",SM 1998.04.059,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,016866d5b7b54e9b11901c33c62eeb2c23ee0cd0cf2afb0c302804c9042ad7e4,https://cdli.earth/P213370,4. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213374,213374,"HSS 10, 108",IM 050653,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,71a7181abac983099767155d105f239e8804b8bc9fe021a70f300d8313aa6ec7,https://cdli.earth/P213374,9. 2(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213404,213404,"HSS 10, 139",IM 050636,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,94fb4b5b4130d4b5a32395bd10e703069dd0fbf22a941395dacffedd7c762f69,https://cdli.earth/P213404,9'. szu#-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213407,213407,"HSS 10, 142",SM 1998.04.083,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,12c8931893a8fc5faca1e3a9693beab7d2e425066e483d82e3d6665eba9befd5,https://cdli.earth/P213407,3. 2(barig@c) szu-i3-li2-su abba2 [iri{ki}],
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213418,213418,"HSS 10, 153",IM 050712,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,3,0,,false,false,false,1c492136173d5d27f8fa9e5c1c99af37e0ab2dccc21ffc067933675898bf1ada,https://cdli.earth/P213418,13. szu-i3-li2-su | 30. szu-i3-li2-su | 13. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213419,213419,"HSS 10, 154",IM 050698,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,98241dd40cb7ba6efe62920981c2885a0d302b87e32f9488f9cfabcc0df8212e,https://cdli.earth/P213419,20. 1(barig@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213420,213420,"HSS 10, 155",IM 050697,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,c12174ba42cc613081665cf43e6bc059d97cd189926969592e6fa86ccb6f192e,https://cdli.earth/P213420,4. 2(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213423,213423,"HSS 10, 158",SM 1998.04.088,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,2,0,,false,false,false,782b9f66e3b62c727c2be2427cee51189c531c780c515753fbdb258541d632d1,https://cdli.earth/P213423,17. 1(asz@c) szu-i3-li2-su | 6. 1(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213425,213425,"HSS 10, 160",IM 050676,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,9c2c486f55b69fe8d1cd20b36272d894f3139fcbca85d21949b0cec342b80341,https://cdli.earth/P213425,11. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213426,213426,"HSS 10, 161",IM 050674,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,64b07d38697c484fafbaa5368632f0413602dcb40a8735de8e5327e2ac7125f6,https://cdli.earth/P213426,10. 4(asz@c) szu#-i3#-li2-su abba2 iri{ki},
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213427,213427,"HSS 10, 162",IM 050686,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,161fe673f93922a8f830aa411276d1789042a97e5cf9ec59b29c14af3a76ec60,https://cdli.earth/P213427,3. szu-i3-li2-su _abba2 iri{ki}_,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213432,213432,"HSS 10, 167",IM 050692,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,ae9936e152f71f02e1470e3bf3d1cc660d2b3a67dadef8c5ca53933c28244d46,https://cdli.earth/P213432,3. 1(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213434,213434,"HSS 10, 169",IM 050680,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,7eb9bc5139539e725b7808ba70f9cd0ae9428395389f0f459bb555df3b8ae52c,https://cdli.earth/P213434,2. 1(asz@c) _sila3_ szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213438,213438,"HSS 10, 173",SM 1998.04.091,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,0,0,,false,false,false,d49910bab88cff89ad741c50f827da97d531ac99cea2e4121839af568ab5f467,https://cdli.earth/P213438,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213444,213444,"HSS 10, 179",SM 1998.04.094,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,f8c1c178a9f81512d77f10c13299af98a3c3642db0c22a61e315244c6339689d,https://cdli.earth/P213444,3. 1(u@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213450,213450,"HSS 10, 185",IM 050665,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,c1acbaf0cd58b56a16ab2ed6914e531cffefd4676943076ae239c19359e024af,https://cdli.earth/P213450,11. 1(asz@c) szu-i3-li2-su 3(barig@c),
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213452,213452,"HSS 10, 187",IM 050659,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,ddef5959ebc319fd4e8a31c03390ec0a282df34c6ff9392d55eacd1dd6502183,https://cdli.earth/P213452,18. 1(asz@c) szu-i3-li2-su 2(ban2@c),
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213453,213453,"HSS 10, 188",IM 050664,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,2fecb93acf63cbc5c6f1779708612cb8e65a6debb7c1b4ac89bcfcb8e0a86d24,https://cdli.earth/P213453,18. ugula szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213458,213458,"HSS 10, 193",SM 1998.04.098,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,2,0,,false,false,false,c5eac90ca94b61a95748a91df2bdf0dbc79e79129f367cdb85128f7094ed1938,https://cdli.earth/P213458,9'. szu-i3-li2-su u3 i#-zu-zu | 10'. [...] szu#-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213468,213468,"HSS 10, 203",SM 1998.04.104,"{""id"":222,""provenience"":""Gasur/Nuzi (mod. Yorgan Tepe)"",""location_id"":380,""place_id"":105,""region_id"":6}",Old Akkadian,,1,0,,false,false,false,993f9fcfc6123851b410cca5f625e1f496fb2c9bd392fbf9efa2864114882d0e,https://cdli.earth/P213468,7. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P214880,214880,"JCS 28, 097",Anonymous 214880,"{""id"":154,""provenience"":""Umma (mod. Tell Jokha)"",""location_id"":238,""place_id"":71,""region_id"":8}",Old Akkadian,,1,0,,false,false,false,9ea0c5c7ecd502d53d303454db0b08d6ccd6162ab371f263d97d77b96531a5b8,https://cdli.earth/P214880,14. 1(ban2@c) kasz 5(ban2@c) szu-i3-li2-su#,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P214881,214881,"JCS 28, 098",Anonymous 214881,,Old Akkadian,,0,0,,false,false,false,105ff2b684ee061e403cc9645559fab3c72d30be0bacbf3bfd0a3ba52b872738,https://cdli.earth/P214881,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P214895,214895,"JCS 35, 168, 01",IA 004,,Old Akkadian,,0,0,,false,false,false,f87ea7a268bc2744c960345d6c5e46d39454e3877e4e348b335453eb5ad62894,https://cdli.earth/P214895,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P214958,214958,L'uomo 23,Michail —,,Old Akkadian,,1,0,,false,false,false,953025d3f9a65eff53dcd1c1f6c809b243cffdf0de60cea2858a72a499c4a157,https://cdli.earth/P214958,2. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P214995,214995,"MAD 1, 031",OIM A—,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,0,0,,false,false,false,f6d9e59bb13fa9a6038c29058d8f45827b17785eab21bdd7ee27f24ff53c9376,https://cdli.earth/P214995,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215053,215053,"MAD 1, 126",OIM A—,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,0,0,,false,false,false,3989e3dea359fa5c2d855380c1a96326a6121fb55862723ec81ced0c85854ce8,https://cdli.earth/P215053,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215067,215067,"MAD 1, 145",OIM A—,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,0,0,,false,false,false,2a9b2c4fac26201c5703fe31099a6cf8e273859a94e9dd3cb5137e709fe92729,https://cdli.earth/P215067,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215089,215089,"MAD 1, 179",unknown,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,47a7161f504595cad0a53929c6664920859d7563a05d47cd32070ab1a4cabd5f,https://cdli.earth/P215089,2. 1(asz) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215091,215091,"MAD 1, 183",unknown,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,8a7b46af106a4b4749879dabc9246eedb40b058bcf4b327599931f08f82e9e8c,https://cdli.earth/P215091,10. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215109,215109,"MAD 1, 280",OIM A07786,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,bd3daaffecf4f479a9bf64d500984a271bf054cde4bd5599fde6ee3cd7d66995,https://cdli.earth/P215109,2. szu szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215135,215135,"MAD 1, 307",OIM A07846,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,714fa6e46f774aeadb2f65571aafa0b685cf7055c58e0738885c747890d00fa5,https://cdli.earth/P215135,2. 1(barig@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215151,215151,"MAD 1, 323",OIM A07866,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,bd6c20094761ae2afcb3b5aebdf4ea007056ad46ec520425465e0094eb4db263,https://cdli.earth/P215151,6. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215159,215159,"MAD 1, 332",OIM A07883,"{""id"":91,""provenience"":""Ešnunna (mod. Tell Asmar)"",""location_id"":144,""place_id"":54,""region_id"":7}",Old Akkadian,,1,0,,false,false,false,fa1f4547ac08367912666e8e22d4d1c40adc2108b2215e5d44d75c260cbae45d,https://cdli.earth/P215159,6. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215333,215333,"MAD 5, 005",Ashm 1930-0140,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,1,0,,false,false,false,4d9f648ca763073eb0b4b4d47a09f6fe3582bceccec6929d3d8e92841d5833d1,https://cdli.earth/P215333,7. 1(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215336,215336,"MAD 5, 009",Ashm 1930-0144a + b + c,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,3,0,,false,false,false,eab3439952c827e218cd4f2eab9fb9fb5a48d86d45a41c147bd766beb5ac94f2,https://cdli.earth/P215336,3. 1(asz@c) szu-i3-li2-su | 2. 1(asz@c) szu-i3-li2-su | 13. 3(ban2@c) 1(asz@c) szu-i3-li2-su szu _lu2 kar_,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215345,215345,"MAD 5, 018",Ashm 1930-0170a,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,1,0,,false,false,false,62a76c1185e2f063cba9025d7baea3d5266e4bc997d281d34b26b5f9e3dd5dba,https://cdli.earth/P215345,10. 1(u@c) 5(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215348,215348,"MAD 5, 022",Ashm 1930-0170e,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,1,0,,false,false,false,166108ee936ceefe5e5408060d6b36d3c7d47b4a912f5aefe52f41917239a871,https://cdli.earth/P215348,4. szi szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215369,215369,"MAD 5, 045",Ashm 1930-0406,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,2,0,,false,false,false,1922bbcfc528b78cf0e4de98067319b1faefbf6e918065bb49ce46ef1f663c38,https://cdli.earth/P215369,10. 1(asz@c) szu#-i3-li2-su _hal_ | 10. szu# szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215379,215379,"MAD 5, 056",Ashm 1931-0121,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,1,0,,false,false,false,a56201d32560767f382aca7ebfe863a0cdc0e0af537599ed093f70ce154177aa,https://cdli.earth/P215379,10. 1(asz@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215385,215385,"MAD 5, 062",Ashm 1931-0143,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,0,0,,false,false,false,0ed9e8f1be5730ea3281266ecf802b05b5587446b430ef4b6bef7320c8ca1f99,https://cdli.earth/P215385,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215389,215389,"MAD 5, 066",Ashm 1932-0345,"{""id"":3,""provenience"":""Mugdan (mod. Umm al-Jir)"",""location_id"":353,""place_id"":97,""region_id"":8}",Old Akkadian,,2,0,,false,false,false,fb182e90f99d3c27bac2a02dca650f8ebe07fac4d21ef495892b5bc8a300cd36,https://cdli.earth/P215389,3. szu!-i3-li2-su# | 8. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215390,215390,"MAD 5, 067",Ashm 1932-0346,"{""id"":3,""provenience"":""Mugdan (mod. Umm al-Jir)"",""location_id"":353,""place_id"":97,""region_id"":8}",Old Akkadian,,1,0,,false,false,false,fa2d17c8ea5100dad4cd921e0060f790dd293996f7a653885e29290909889075,https://cdli.earth/P215390,5. a-na szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P215391,215391,"MAD 5, 068",Ashm 1932-0347,"{""id"":3,""provenience"":""Mugdan (mod. Umm al-Jir)"",""location_id"":353,""place_id"":97,""region_id"":8}",Old Akkadian,,2,0,,false,false,false,093ac0ea3dc9b8c99bce27ced17add86850a0e5f905f140c41e49344717a2a6b,https://cdli.earth/P215391,9. 1(ban2@c) szu-i3-li2-su | 4. 1(ban2@c) szu-i3-li2-su,
