sign_id,orientation_policy,sample_count,modal_brahmi_label,v3_cisi_modal_label,impostor_ge_observed_share,original_shape_null_share,original_label_null_share,unique_sha256_count,unique_cisi_count,review_packet_eligible,fail_original_shape_null,fail_original_label_null,fail_v3_preflight,fail_min_independence,fail_duplicate_unanimity,fail_modal_label_stability,replacement_decision,blocked_reasons
798,visual_ltr_catalog_reverse,12,ra,ra,0.000000,0.100000,0.000000,5,2,false,true,false,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
806,visual_ltr_catalog_reverse,7,ba,ca,0.000000,0.397143,0.073000,4,3,false,true,true,true,false,true,true,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;modal_label_changes_after_collapse;not_accepted_in_v2_gate
820,visual_ltr_catalog_order,6,tha,tha,0.000000,0.483333,1.000000,3,1,false,true,true,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
861,visual_ltr_catalog_order,9,ra,ra,0.000000,0.145556,0.074000,6,5,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
861,visual_ltr_catalog_reverse,9,a,a,0.000000,0.151667,0.078000,6,5,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
555,visual_ltr_catalog_reverse,6,tha,tha,0.001000,0.395000,1.000000,2,1,false,true,true,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
032,visual_ltr_catalog_reverse,15,ra,tha,0.002000,0.208667,0.086000,8,4,false,true,true,true,false,true,true,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;modal_label_changes_after_collapse;not_accepted_in_v2_gate
055,visual_ltr_catalog_reverse,11,ra,ra,0.002000,0.097727,0.000000,5,2,false,true,false,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
820,visual_ltr_catalog_reverse,6,ra,ra,0.003000,0.078333,1.000000,3,1,false,true,true,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
061,visual_ltr_catalog_order,4,ra,ra,0.008000,0.047500,0.020000,2,1,false,true,true,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
405,visual_ltr_catalog_order,9,ra,ra,0.009000,0.245000,0.050000,5,3,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
