sign_id,orientation_policy,sample_count,modal_brahmi_label,modal_count,observed_mean_modal_distance,v3_raw_modal_label,v3_sha_modal_label,v3_cisi_modal_label,v3_cisi_modal_share,original_shape_null_share,original_label_null_share,v3_preflight_decision,impostor_pool_size,iterations,impostor_ge_observed_share,impostor_best_modal_count,impostor_best_mean_distance,impostor_best_label,gate_decision,accepted_phonetic_anchor,blocked_reason
390,visual_ltr_catalog_order,10,ra,5,0.387458,ra,ra,ra,0.500000,0.146500,0.004000,blocked_before_review,85,1000,0.411000,9,0.253889,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
405,visual_ltr_catalog_order,9,ra,5,0.282675,ra,ra,ra,0.666667,0.245000,0.050000,blocked_before_review,48,1000,0.009000,6,0.179414,kha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
226,visual_ltr_catalog_order,8,ra,5,0.384307,ra,ra,ra,1.000000,0.163750,0.055000,blocked_before_review,174,1000,0.411000,8,0.295300,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
803,visual_ltr_catalog_reverse,7,ra,5,0.364989,ra,ra,ra,1.000000,0.207857,1.000000,blocked_before_review,104,1000,0.122000,7,0.234826,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
590,visual_ltr_catalog_order,7,ra,5,0.559456,ra,ra,ra,0.666667,0.267143,0.047000,blocked_before_review,152,1000,0.726000,7,0.255269,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
617,visual_ltr_catalog_order,6,ra,5,0.493146,ra,ra,dra,0.500000,0.123333,0.001000,blocked_before_review,116,1000,0.824000,6,0.276239,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
407,visual_ltr_catalog_order,13,ra,4,0.314602,ra,u,u,0.333333,0.279231,0.290000,blocked_before_review,73,1000,0.493000,8,0.211680,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
240,visual_ltr_catalog_reverse,11,ra,4,0.488478,ra,ra,ra,0.500000,0.222273,1.000000,blocked_before_review,48,1000,0.073000,6,0.172493,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
226,visual_ltr_catalog_reverse,8,ba,4,0.502495,ba,ṭha,ṭha,0.500000,0.335000,1.000000,blocked_before_review,8,1000,1.000000,4,0.322649,e,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
806,visual_ltr_catalog_reverse,7,ba,4,0.264534,ba,ba,ca,0.333333,0.397143,0.073000,blocked_before_review,25,1000,0.000000,5,0.350979,ba,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
803,visual_ltr_catalog_order,7,ba,4,0.502495,ba,ra,ra,0.500000,0.328571,1.000000,blocked_before_review,280,1000,0.366000,7,0.253835,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
527,visual_ltr_catalog_reverse,6,o,4,0.180896,o,o,o,1.000000,0.065000,1.000000,blocked_before_review,27,1000,0.036000,5,0.171948,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
603,visual_ltr_catalog_reverse,6,i,4,0.181957,i,ra,ra,0.500000,0.285833,1.000000,blocked_before_review,15,1000,0.000000,4,0.220096,a,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
603,visual_ltr_catalog_order,6,kha,4,0.170199,kha,ja,ja,0.500000,0.144167,1.000000,blocked_before_review,70,1000,0.011000,5,0.124891,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
555,visual_ltr_catalog_order,6,e,4,0.322649,e,e,e,1.000000,0.455000,1.000000,blocked_before_review,14,1000,0.000000,5,0.410007,ba,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
231,visual_ltr_catalog_order,6,ta,4,0.391903,ta,ta,ta,1.000000,0.255000,1.000000,blocked_before_review,14,1000,0.000000,6,0.459228,ba,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
231,visual_ltr_catalog_reverse,6,ta,4,0.391903,ta,ta,ta,1.000000,0.290833,1.000000,blocked_before_review,14,1000,0.000000,6,0.459228,ba,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
061,visual_ltr_catalog_order,4,ra,4,0.269581,ra,ra,ra,1.000000,0.047500,0.020000,blocked_before_review,179,1000,0.008000,4,0.200278,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
405,visual_ltr_catalog_reverse,9,o,3,0.350411,o,ba,ba,0.333333,0.335556,1.000000,blocked_before_review,89,1000,0.813000,8,0.302010,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
590,visual_ltr_catalog_reverse,7,ra,3,0.444789,ra,ra,ra,0.666667,0.300714,0.119000,blocked_before_review,47,1000,0.139000,4,0.171454,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
806,visual_ltr_catalog_order,7,o,3,0.350411,o,ca,ca,0.333333,0.447143,1.000000,blocked_before_review,97,1000,0.615000,7,0.250897,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
235,visual_ltr_catalog_reverse,5,ra,3,0.287614,ra,ra,ra,1.000000,0.249000,0.062000,blocked_before_review,71,1000,0.039000,4,0.229837,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
061,visual_ltr_catalog_reverse,4,ja,3,0.380900,ja,o,o,1.000000,0.171250,1.000000,blocked_before_review,82,1000,0.103000,4,0.214627,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
139,visual_ltr_catalog_reverse,3,ra,3,0.401488,ra,ra,ra,1.000000,0.105000,0.015000,blocked_before_review,146,1000,0.333000,3,0.161990,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
142,visual_ltr_catalog_order,6,ka,2,0.442394,ka,kha,kha,0.500000,0.128333,1.000000,blocked_before_review,110,1000,0.948000,6,0.210752,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
142,visual_ltr_catalog_reverse,6,ka,2,0.442394,ka,u,u,0.500000,0.265000,1.000000,blocked_before_review,109,1000,0.945000,6,0.220021,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
235,visual_ltr_catalog_order,5,kha,2,0.174572,kha,ra,ra,0.500000,0.303000,1.000000,blocked_before_review,32,1000,0.203000,5,0.288316,dha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
692,visual_ltr_catalog_reverse,4,ja,2,0.329001,ja,ra,ra,0.500000,0.420000,1.000000,blocked_before_review,99,1000,0.560000,4,0.125150,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
692,visual_ltr_catalog_order,4,ra,2,0.664785,ra,ṭha,ṭha,0.500000,0.365000,1.000000,blocked_before_review,54,1000,0.377000,3,0.171872,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
003,visual_ltr_catalog_reverse,3,ca,2,0.168873,ca,ra,ra,0.500000,0.211667,1.000000,blocked_before_review,96,1000,0.025000,3,0.144760,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
139,visual_ltr_catalog_order,3,ṇa,2,0.295682,ṇa,ṇa,ṇa,1.000000,0.043333,1.000000,blocked_before_review,71,1000,0.167000,3,0.170199,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
154,visual_ltr_catalog_reverse,3,ra,2,0.301172,ra,dha,dha,0.500000,0.085000,1.000000,blocked_before_review,177,1000,0.141000,3,0.153055,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
154,visual_ltr_catalog_order,3,ra,2,0.378009,ra,tha,tha,0.500000,0.126667,1.000000,blocked_before_review,85,1000,0.289000,3,0.173330,kha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
003,visual_ltr_catalog_order,3,bha,2,0.318605,bha,ra,ra,0.500000,0.236667,1.000000,blocked_before_review,109,1000,0.321000,3,0.108604,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
923,visual_ltr_catalog_order,2,ra,2,0.243601,ra,ra,ra,1.000000,0.087500,1.000000,blocked_before_review,142,1000,0.054000,2,0.165260,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
923,visual_ltr_catalog_reverse,2,ra,2,0.243601,ra,ra,ra,1.000000,0.090000,1.000000,blocked_before_review,142,1000,0.055000,2,0.148908,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
016,visual_ltr_catalog_order,2,ba,2,0.247833,ba,ba,ba,1.000000,0.050000,1.000000,blocked_before_review,23,1000,0.025000,2,0.181957,i,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
814,visual_ltr_catalog_reverse,2,ba,2,0.247833,ba,ba,ba,1.000000,0.070000,1.000000,blocked_before_review,23,1000,0.026000,2,0.181957,i,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
031,visual_ltr_catalog_order,2,ra,2,0.264231,ra,ra,ra,1.000000,0.060000,1.000000,blocked_before_review,163,1000,0.056000,2,0.132273,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
560,visual_ltr_catalog_order,2,dha,2,0.297923,dha,dha,dha,1.000000,0.117500,1.000000,blocked_before_review,99,1000,0.147000,2,0.110680,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
560,visual_ltr_catalog_reverse,2,ra,2,0.327113,ra,ra,ra,1.000000,0.112500,1.000000,blocked_before_review,172,1000,0.175000,2,0.110680,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
817,visual_ltr_catalog_order,2,dha,2,0.336773,dha,dha,dha,1.000000,0.132500,1.000000,blocked_before_review,109,1000,0.169000,2,0.110680,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
706,visual_ltr_catalog_order,2,ra,2,0.352586,ra,ra,ra,1.000000,0.075000,1.000000,blocked_before_review,147,1000,0.240000,2,0.132273,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
472,visual_ltr_catalog_reverse,2,ra,2,0.367504,ra,ra,ra,1.000000,0.040000,1.000000,blocked_before_review,168,1000,0.248000,2,0.124252,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
817,visual_ltr_catalog_reverse,2,dhya,2,0.388752,dhya,dhya,dhya,1.000000,0.025000,1.000000,blocked_before_review,124,1000,0.264000,2,0.131541,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
060,visual_ltr_catalog_reverse,2,ka,2,0.405066,ka,ka,ka,1.000000,0.040000,1.000000,blocked_before_review,162,1000,0.367000,2,0.165260,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
033,visual_ltr_catalog_reverse,2,ra,2,0.409445,ra,ra,ra,1.000000,0.085000,1.000000,blocked_before_review,171,1000,0.332000,2,0.137427,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
016,visual_ltr_catalog_reverse,2,ra,2,0.433691,ra,ra,ra,1.000000,0.052500,1.000000,blocked_before_review,163,1000,0.404000,2,0.123855,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
814,visual_ltr_catalog_order,2,ra,2,0.433691,ra,ra,ra,1.000000,0.060000,1.000000,blocked_before_review,163,1000,0.404000,2,0.110680,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
472,visual_ltr_catalog_order,2,ra,2,0.448726,ra,ra,ra,1.000000,0.117500,1.000000,blocked_before_review,133,1000,0.530000,2,0.155831,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
033,visual_ltr_catalog_order,2,vya,2,0.502573,vya,vya,vya,1.000000,0.162500,1.000000,blocked_before_review,162,1000,0.488000,2,0.153802,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
060,visual_ltr_catalog_order,2,ra,2,0.541070,ra,ra,ra,1.000000,0.080000,1.000000,blocked_before_review,139,1000,0.701000,2,0.185211,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
706,visual_ltr_catalog_reverse,2,ra,2,0.577220,ra,ra,ra,1.000000,0.165000,1.000000,blocked_before_review,127,1000,0.757000,2,0.185211,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
220,legacy_token_isolated,4,dhaṃ,1,0.316611,dhaṃ,dhaṃ,dhaṃ,0.250000,0.411250,1.000000,blocked_before_review,1,0,,,,,failed_real_token_impostor_forger,false,insufficient_impostor_pool;failed_v3_independence_preflight;not_accepted_in_v2_gate
368,visual_ltr_catalog_reverse,2,na,1,0.266598,na,na,na,0.500000,0.045000,1.000000,blocked_before_review,168,1000,0.319000,2,0.123855,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
031,visual_ltr_catalog_reverse,2,ra,1,0.435107,ra,ra,ra,0.500000,0.150000,1.000000,blocked_before_review,83,1000,1.000000,2,0.169734,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
368,visual_ltr_catalog_order,2,na,1,0.470155,na,na,na,0.500000,0.217500,1.000000,blocked_before_review,62,1000,1.000000,2,0.142407,na,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
