"source_path","side_id","artifact_base","description","grapheme_count","graphemes"
"corpus/m001_m099/m049.json","M-49A","M-49","unicorn III seal","10","P000 P230 P062 P050 P145 P122 P205 P091 P145 P076"
"corpus/m001_m099/m050.json","M-50A","M-50","unicorn III seal","9","P324 P288 P127 P147 P316 P062 P230 P122 P000"
"corpus/m001_m099/m051.json","M-51A","M-51","unicorn III seal","8","P324 P230 P215 P091 P060 P324 P086 P011"
"corpus/m001_m099/m052.json","M-52A","M-52","unicorn III seal","10","P324 P172 P145 P050 P092 P060 P364 P122 P211 P320"
"corpus/m001_m099/m053.json","M-53A","M-53","unicorn III seal","9","P013 P324 P050 P126 P122 P205 P076 P154 P011"
"corpus/m001_m099/m054.json","M-54A","M-54","unicorn III seal","7","P051 P062 P147 P316 P230 P122 P378"
"corpus/m001_m099/m055.json","M-55A","M-55","unicorn III seal","6","P000 P332 P215 P275 P121 P256"
"corpus/m001_m099/m056.json","M-56A","M-56","unicorn III seal","8","P324 P382 P145 P060 P120 P230 P281 P349"
"corpus/m001_m099/m057.json","M-57A","M-57","unicorn III seal","6","P051 P145 P056 P230 P122 P258"
"corpus/m001_m099/m058.json","M-58A","M-58","unicorn III seal","5","P324 P215 P210 P122 P385"
"corpus/m001_m099/m059.json","M-59A","M-59","unicorn III seal","5","P202 P123 P326 P120 P160"
"corpus/m001_m099/m060.json","M-60A","M-60","unicorn III seal","2","P001 P000"
"corpus/m001_m099/m061.json","M-61A","M-61","unicorn III seal","7","P324 P251 P056 P050 P221 P268 P246"
"corpus/m001_m099/m062.json","M-62A","M-62","unicorn III seal","6","P051 P122 P325 P230 P310 P234"
"corpus/m001_m099/m063.json","M-63A","M-63","unicorn III seal","4","P301 P230 P120 P230"
"corpus/m001_m099/m064.json","M-64A","M-64","unicorn III seal","6","P217 P147 P316 P120 P050 P124"
"corpus/m001_m099/m065.json","M-65A","M-65","unicorn III seal","6","P217 P050 P144 P121 P316 P289"
"corpus/m001_m099/m066.json","M-66A","M-66","unicorn III seal","8","P086 P276 P060 P122 P103 P206 P091 P324"
"corpus/m001_m099/m067.json","M-67A","M-67","unicorn III seal","7","P324 P342 P154 P120 P040 P289 P223"
"corpus/m001_m099/m068.json","M-68A","M-68","unicorn III seal","8","P013 P324 P194 P326 P120 P160 P260 P047"
"corpus/m001_m099/m069.json","M-69A","M-69","unicorn III seal","5","P324 P364 P056 P120 P256"
"corpus/m001_m099/m070.json","M-70A","M-70","unicorn III seal","5","P051 P145 P122 P086 P256"
"corpus/m001_m099/m071.json","M-71A","M-71","unicorn III seal","6","P001 P108 P031 P122 P086 P023"
"corpus/m001_m099/m072.json","M-72A","M-72","unicorn III seal","6","P324 P073 P316 P011 P125 P385"
"corpus/m001_m099/m073.json","M-73A","M-73","unicorn III seal","4","P098 P217 P181 P000"
"corpus/m001_m099/m074.json","M-74A","M-74","unicorn III seal","4","P280 P289 P316 P011"
"corpus/m001_m099/m075.json","M-75A","M-75","unicorn III seal","5","P217 P050 P124 P122 P385"
"corpus/m001_m099/m077.json","M-77A","M-77","unicorn IV seal","5","P366 P086 P364 P122 P385"
"corpus/m001_m099/m078.json","M-78A","M-78","unicorn IV seal","4","P324 P043 P145 P226"
"corpus/m001_m099/m079.json","M-79A","M-79","unicorn IV seal","7","P324 P012 P062 P058 P122 P385 P247"
"corpus/m001_m099/m080.json","M-80A","M-80","unicorn IV seal","5","P004 P123 P120 P202 P385"
"corpus/m001_m099/m081.json","M-81A","M-81","unicorn IV seal","7","P301 P230 P062 P122 P268 P268 P217"
"corpus/m001_m099/m082.json","M-82A","M-82","unicorn IV seal","6","P324 P053 P122 P082 P230 P086"
"corpus/m001_m099/m083.json","M-83A","M-83","unicorn IV seal","3","P086 P128 P180"
"corpus/m001_m099/m084.json","M-84A","M-84","unicorn IV seal","6","P324 P335 P062 P121 P202 P154"
"corpus/m001_m099/m085.json","M-85A","M-85","unicorn IV seal","5","P217 P058 P325 P251 P070"
"corpus/m001_m099/m086.json","M-86A","M-86","unicorn IV seal","7","P217 P147 P316 P056 P122 P378 P310"
"corpus/m001_m099/m087.json","M-87A","M-87","unicorn IV seal","3","P098 P178 P020"
"corpus/m001_m099/m088.json","M-88A","M-88","unicorn IV seal","3","P301 P110 P058"
"corpus/m001_m099/m089.json","M-89A","M-89","unicorn IV seal","5","P324 P358 P313 P145 P060"
"corpus/m001_m099/m090.json","M-90A","M-90","unicorn IV seal","6","P324 P349 P139 P144 P122 P385"
"corpus/m001_m099/m091.json","M-91A","M-91","unicorn IV seal","9","P324 P009 P230 P050 P145 P122 P385 P073 P095"
"corpus/m001_m099/m092.json","M-92A","M-92","unicorn IV seal","7","P324 P075 P215 P091 P122 P369 P253"
"corpus/m001_m099/m093.json","M-93A","M-93","unicorn IV seal","5","P004 P123 P062 P325 P043"
"corpus/m001_m099/m094.json","M-94A","M-94","unicorn IV seal","5","P324 P086 P276 P050 P123"
"corpus/m001_m099/m095.json","M-95A","M-95","unicorn IV seal","5","P086 P123 P122 P040 P342"
"corpus/m001_m099/m096.json","M-96A","M-96","unicorn IV seal","2","P004 P124"
"corpus/m001_m099/m097.json","M-97A","M-97","unicorn IV seal","3","P004 P188 P073"
"corpus/m001_m099/m098.json","M-98A","M-98","unicorn IV seal","3","P324 P288 P127"
"corpus/m001_m099/m099.json","M-99A","M-99","unicorn IV seal","5","P324 P353 P122 P202 P038"
"corpus/m100_m199/m100.json","M-100A","M-100","unicorn IV seal","6","P013 P324 P073 P316 P122 P385"
"corpus/m100_m199/m101.json","M-101A","M-101","unicorn IV seal","6","P086 P210 P324 P003 P122 P385"
"corpus/m100_m199/m102.json","M-102A","M-102","unicorn IV seal","4","P004 P123 P154 P226"
"corpus/m100_m199/m103.json","M-103A","M-103","unicorn IV seal","4","P086 P124 P122 P378"
"corpus/m100_m199/m104.json","M-104A","M-104","unicorn IV seal","5","P013 P324 P050 P060 P359"
"corpus/m100_m199/m105.json","M-105A","M-105","unicorn IV seal","7","P324 P324 P364 P056 P326 P120 P154"
"corpus/m100_m199/m106.json","M-106A","M-106","unicorn IV seal","3","P324 P332 P000"
"corpus/m100_m199/m107.json","M-107A","M-107","unicorn IV seal","6","P324 P238 P058 P122 P054 P071"
"corpus/m100_m199/m108.json","M-108A","M-108","unicorn IV seal","7","P099 P378 P050 P201 P075 P230 P378"
"corpus/m100_m199/m109.json","M-109A","M-109","unicorn IV seal","7","P324 P381 P050 P092 P122 P084 P011"
"corpus/m100_m199/m110.json","M-110A","M-110","unicorn IV seal","3","P000 P122 P385"
"corpus/m100_m199/m111.json","M-111A","M-111","unicorn IV seal","7","P324 P160 P303 P058 P121 P378 P378"
"corpus/m100_m199/m112.json","M-112A","M-112","unicorn IV seal","8","P324 P332 P056 P126 P111 P325 P285 P254"
"corpus/m100_m199/m113.json","M-113A","M-113","unicorn IV seal","6","P324 P145 P349 P325 P120 P156"
"corpus/m100_m199/m114.json","M-114A","M-114","unicorn IV seal","6","P324 P332 P283 P122 P205 P095"
"corpus/m100_m199/m115.json","M-115A","M-115","unicorn IV seal","8","P086 P352 P011 P194 P364 P122 P205 P076"
"corpus/m100_m199/m116.json","M-116A","M-116","unicorn IV seal","7","P324 P009 P194 P349 P139 P122 P385"
"corpus/m100_m199/m117.json","M-117A","M-117","unicorn IV seal","8","P217 P147 P316 P050 P364 P142 P122 P378"
"corpus/m100_m199/m118.json","M-118A","M-118","unicorn IV seal","8","P324 P096 P147 P316 P058 P364 P122 P385"
"corpus/m100_m199/m119.json","M-119A","M-119","unicorn IV seal","10","P001 P309 P195 P122 P086 P035 P270 P145 P154 P230"
"corpus/m100_m199/m120.json","M-120A","M-120","unicorn IV seal","6","P324 P009 P288 P325 P349 P044"
"corpus/m100_m199/m121.json","M-121A","M-121","unicorn IV seal","5","P324 P154 P355 P058 P075"
"corpus/m100_m199/m122.json","M-122A","M-122","unicorn IV seal","3","P217 P147 P316"
"corpus/m100_m199/m123.json","M-123A","M-123","unicorn IV seal","4","P098 P014 P202 P114"
"corpus/m100_m199/m124.json","M-124A","M-124","unicorn IV seal","4","P324 P175 P050 P145"
"corpus/m100_m199/m125.json","M-125A","M-125","unicorn IV seal","3","P000 P144 P108"
"corpus/m100_m199/m126.json","M-126A","M-126","unicorn IV seal","5","P000 P230 P234 P120 P256"
"corpus/m100_m199/m127.json","M-127A","M-127","unicorn IV seal","5","P238 P324 P060 P324 P194"
"corpus/m100_m199/m128.json","M-128A","M-128","unicorn IV seal","6","P324 P175 P364 P324 P208 P316"
"corpus/m100_m199/m129.json","M-129A","M-129","unicorn IV seal","6","P217 P058 P062 P060 P325 P293"
"corpus/m100_m199/m130.json","M-130A","M-130","unicorn IV seal","6","P324 P003 P050 P145 P122 P032"
"corpus/m100_m199/m131.json","M-131A","M-131","unicorn IV seal","6","P324 P086 P276 P325 P086 P355"
"corpus/m100_m199/m132.json","M-132A","M-132","unicorn IV seal","3","P004 P123 P226"
"corpus/m100_m199/m133.json","M-133A","M-133","unicorn IV seal","8","P301 P230 P062 P050 P073 P369 P174 P110"
"corpus/m100_m199/m134.json","M-134A","M-134","unicorn IV seal","3","P390 P145 P256"
"corpus/m100_m199/m135.json","M-135A","M-135","unicorn IV seal","4","P217 P147 P316 P144"
"corpus/m100_m199/m136.json","M-136A","M-136","unicorn IV seal","7","P013 P324 P050 P126 P144 P177 P226"
"corpus/m100_m199/m137.json","M-137A","M-137","unicorn IV seal","1","P379"
"corpus/m100_m199/m138.json","M-138A","M-138","unicorn IV seal","3","P324 P154 P125"
"corpus/m100_m199/m139.json","M-139A","M-139","unicorn IV seal","5","P147 P368 P061 P325 P294"
"corpus/m100_m199/m140.json","M-140A","M-140","unicorn IV seal","7","P324 P309 P145 P050 P201 P283 P221"
"corpus/m100_m199/m141.json","M-141A","M-141","unicorn IV seal","3","P000 P122 P000"
"corpus/m100_m199/m142.json","M-142A","M-142","unicorn IV seal","4","P022 P011 P122 P385"
"corpus/m100_m199/m143.json","M-143A","M-143","unicorn IV seal","6","P324 P082 P122 P145 P170 P349"
"corpus/m100_m199/m144.json","M-144A","M-144","unicorn IV seal","6","P324 P009 P092 P062 P122 P385"
"corpus/m100_m199/m145.json","M-145A","M-145","unicorn IV seal","4","P324 P098 P031 P384"
"corpus/m100_m199/m146.json","M-146A","M-146","unicorn IV seal","5","P324 P073 P160 P120 P256"
"corpus/m100_m199/m147.json","M-147A","M-147","unicorn IV seal","6","P051 P364 P122 P050 P221 P217"
"corpus/m100_m199/m148.json","M-148A","M-148","unicorn IV seal","3","P324 P385 P231"
"corpus/m100_m199/m149.json","M-149A","M-149","unicorn IV seal","5","P324 P332 P283 P120 P230"
"corpus/m100_m199/m150.json","M-150A","M-150","unicorn IV seal","2","P324 P368"
"corpus/m100_m199/m151.json","M-151A","M-151","unicorn IV seal","3","P050 P201 P393"
"corpus/m100_m199/m152.json","M-152A","M-152","unicorn IV seal","4","P324 P096 P122 P385"
"corpus/m100_m199/m153.json","M-153A","M-153","unicorn IV seal","3","P067 P026 P076"
"corpus/m100_m199/m154.json","M-154A","M-154","unicorn IV seal","7","P217 P050 P092 P122 P300 P182 P265"
"corpus/m100_m199/m155.json","M-155A","M-155","unicorn IV seal","3","P324 P194 P144"
"corpus/m100_m199/m157.json","M-157A","M-157","unicorn IV seal","7","P324 P154 P355 P058 P075 P121 P378"
"corpus/m100_m199/m158.json","M-158A","M-158","unicorn IV seal","4","P086 P126 P120 P230"
"corpus/m100_m199/m159.json","M-159A","M-159","unicorn IV seal","5","P324 P136 P325 P166 P290"
"corpus/m100_m199/m160.json","M-160A","M-160","unicorn IV seal","6","P001 P048 P144 P122 P378 P325"
"corpus/m100_m199/m161.json","M-161A","M-161","unicorn IV seal","4","P268 P268 P037 P123"
"corpus/m100_m199/m162.json","M-162A","M-162","unicorn IV seal","6","P324 P332 P349 P230 P234 P123"
"corpus/m100_m199/m163.json","M-163A","M-163","unicorn IV seal","5","P217 P050 P092 P120 P378"
"corpus/m100_m199/m164.json","M-164A","M-164","unicorn IV seal","5","P324 P031 P204 P122 P385"
"corpus/m100_m199/m165.json","M-165A","M-165","unicorn IV seal","9","P324 P332 P121 P325 P086 P122 P385 P324 P076"
"corpus/m100_m199/m166.json","M-166A","M-166","unicorn IV seal","6","P086 P349 P062 P364 P122 P385"
"corpus/m100_m199/m167.json","M-167A","M-167","unicorn IV seal","3","P324 P000 P385"
"corpus/m100_m199/m169.json","M-169A","M-169","unicorn IV seal","5","P324 P289 P127 P000 P145"
"corpus/m100_m199/m170.json","M-170A","M-170","unicorn IV seal","8","P324 P175 P086 P204 P114 P145 P325 P385"
"corpus/m100_m199/m171.json","M-171A","M-171","unicorn IV seal","8","P086 P204 P324 P175 P058 P364 P120 P256"
"corpus/m100_m199/m172.json","M-172A","M-172","unicorn IV seal","6","P086 P128 P121 P050 P117 P355"
"corpus/m100_m199/m173.json","M-173A","M-173","unicorn IV seal","5","P324 P110 P160 P303 P364"
"corpus/m100_m199/m174.json","M-174A","M-174","unicorn IV seal","6","P324 P175 P050 P145 P122 P378"
"corpus/m100_m199/m175.json","M-175A","M-175","unicorn V seal","3","P000 P122 P385"
"corpus/m100_m199/m176.json","M-176A","M-176","unicorn V seal","2","P000 P255"
"corpus/m100_m199/m177.json","M-177A","M-177","unicorn V seal","4","P086 P123 P122 P385"
"corpus/m100_m199/m178.json","M-178A","M-178","unicorn V seal","2","P086 P126"
"corpus/m100_m199/m179.json","M-179A","M-179","unicorn V seal","2","P086 P123"
"corpus/m100_m199/m180.json","M-180A","M-180","unicorn V seal","2","P324 P265"
"corpus/m100_m199/m181.json","M-181A","M-181","unicorn V seal","5","P217 P193 P122 P205 P207"
"corpus/m100_m199/m182.json","M-182A","M-182","unicorn V seal","2","P324 P095"
"corpus/m100_m199/m183.json","M-183A","M-183","unicorn V seal","4","P217 P058 P120 P205"
"corpus/m100_m199/m184.json","M-184A","M-184","unicorn V seal","4","P013 P324 P010 P359"
