edge_id,from_sign_uid,to_sign_uid,mapping_state,evidence_types,support_count,counterexample_count,aligned_positions,top_share,example_witnesses,counterexample_witnesses,confidence,review_status,accepted_for_analysis
edge_00072,lipi_numeric:269,mayig_p:P067,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-31;M-153,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00073,lipi_numeric:336,mayig_p:P309,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-34;M-140,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00074,lipi_numeric:371,mayig_p:P108,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-1;M-12,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00075,lipi_numeric:382,mayig_p:P111,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-33;M-112,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00076,lipi_numeric:405,mayig_p:P086,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-34;M-172,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00077,lipi_numeric:435,mayig_p:P188,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-38;M-97,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00078,lipi_numeric:565,mayig_p:P238,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-107;M-127,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00079,lipi_numeric:575,mayig_p:P289,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-65;M-74,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00080,lipi_numeric:621,mayig_p:P092,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,1,2,0.500000,M-154;M-180,P265:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00081,lipi_numeric:717,mayig_p:P320,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-3;M-52,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00082,lipi_numeric:772,mayig_p:P096,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-118;M-152,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00083,lipi_numeric:794,mayig_p:P358,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-36;M-89,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00084,lipi_numeric:814,mayig_p:P369,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-17;M-92,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00085,lipi_numeric:844,mayig_p:P349,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,1,2,0.500000,M-115;M-166,P352:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00086,lipi_numeric:853,mayig_p:P359,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-104;M-184,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00087,lipi_numeric:880,mayig_p:P384,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-6;M-145,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00088,lipi_numeric:017,mayig_p:P127,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-30,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00089,lipi_numeric:035,mayig_p:P151,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-16,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00090,lipi_numeric:048,mayig_p:P136,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-159,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00091,lipi_numeric:070,mayig_p:P114,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-170,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00092,lipi_numeric:072,mayig_p:P114,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-123,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00093,lipi_numeric:081,mayig_p:P251,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-85,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00094,lipi_numeric:084,mayig_p:P253,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-92,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00095,lipi_numeric:093,mayig_p:P014,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-123,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00096,lipi_numeric:094,mayig_p:P003,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-130,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00097,lipi_numeric:095,mayig_p:P023,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-71,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00098,lipi_numeric:101,mayig_p:P010,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-184,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00099,lipi_numeric:104,mayig_p:P020,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-87,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00100,lipi_numeric:107,mayig_p:P007,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-35,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00101,lipi_numeric:111,mayig_p:P040,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-95,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00102,lipi_numeric:112,mayig_p:P041,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-33,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00103,lipi_numeric:119,mayig_p:P038,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-99,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00104,lipi_numeric:136,mayig_p:P022,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-142,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00105,lipi_numeric:144,mayig_p:P032,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-130,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00106,lipi_numeric:154,mayig_p:P004,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-102,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00107,lipi_numeric:165,mayig_p:P342,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-95,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00108,lipi_numeric:168,mayig_p:P003,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-101,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00109,lipi_numeric:171,mayig_p:P346,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,0,1,1.000000,M-16,,very_low,needs_image_or_authoritative_sign_list_validation,false
