run_id,arm,corpus,model,seed,initialization,parameter_count,optimizer_steps,masked_positions_seen,total_records,train_records,train_tokens,null_attrition_fraction,test_records,test_positions,masked_nll,masked_perplexity,masked_top1,masked_top5,multiclass_brier,stored_order_win_share,authentic_corruption_win_share,elapsed_seconds
pretrain_nonwriting__micro__seed20260713,pretrain_nonwriting,nonwriting,micro,20260713,random_initialization,853310,1000,327399,593,414,1882,0.0,89,383,2.9769471171008077,19.627803698863822,0.19321148825065274,0.6240208877284595,0.8940125706924159,0.620253164556962,0.4050632911392405,114.71795657200005
ivc_transfer_nonwriting__micro__seed20260713,ivc_transfer_nonwriting,ivc,micro,20260713,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361345,1796,661,3657,0.0,999,751,3.7994439217761733,44.67633404806092,0.2929427430093209,0.5059920106524634,0.8273617354594915,0.9513888888888888,0.9027777777777778,113.84236652900017
pretrain_ivc_position_slot_shuffle__micro__seed20260713,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260713,random_initialization,867758,1000,423345,661,469,2556,0.0,96,563,4.532657548758742,93.00539932803932,0.13321492007104796,0.30728241563055064,0.9474632032811112,0.9583333333333334,0.875,126.36339532900001
ivc_transfer_ivc_position_slot_shuffle__micro__seed20260713,ivc_transfer_ivc_position_slot_shuffle,ivc,micro,20260713,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,361345,1796,661,3657,0.0,999,751,3.8340901909433254,46.251328642135064,0.3155792276964048,0.5233022636484687,0.8164178921919212,0.9444444444444444,0.9166666666666666,114.643158718
ivc__micro__seed20260714,ivc,ivc,micro,20260714,random_initialization,886850,900,358542,1796,663,3603,0.0,993,768,4.101715882619222,60.44391332745868,0.2526041666666667,0.4427083333333333,0.8686059912045797,0.8695652173913043,0.8478260869565217,115.27077239799996
pretrain_known_writing__micro__seed20260714,pretrain_known_writing,known_writing,micro,20260714,random_initialization,860534,1000,417313,663,465,2508,0.0,98,545,4.464507104716169,86.87819713103981,0.13394495412844037,0.28440366972477066,0.951823495287414,0.8775510204081632,0.7244897959183674,128.7105208150001
ivc_transfer_known_writing__micro__seed20260714,ivc_transfer_known_writing,ivc,micro,20260714,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358542,1796,663,3603,0.0,993,768,4.049703280131022,57.380428605975126,0.26953125,0.4505208333333333,0.853576640288035,0.8768115942028986,0.8623188405797102,118.27905642899987
pretrain_nonwriting__micro__seed20260714,pretrain_nonwriting,nonwriting,micro,20260714,random_initialization,853310,1000,326703,593,411,1874,0.0,88,393,3.1947992921785544,24.40527487114453,0.16793893129770993,0.5343511450381679,0.9088234743695829,0.46835443037974683,0.45569620253164556,117.2996744059999
ivc_transfer_nonwriting__micro__seed20260714,ivc_transfer_nonwriting,ivc,micro,20260714,shared_transformer_body_only_fresh_token_embeddings_and_task_heads,886850,900,358542,1796,663,3603,0.0,993,768,4.063398361206055,58.17166387679054,0.265625,0.4557291666666667,0.8549593885739645,0.9057971014492754,0.8840579710144928,117.86133608499995
pretrain_ivc_position_slot_shuffle__micro__seed20260714,pretrain_ivc_position_slot_shuffle,ivc_position_slot_shuffle,micro,20260714,random_initialization,864920,1000,426092,663,471,2569,0.0,97,508,4.723570816160187,112.56950084247809,0.10433070866141732,0.2677165354330709,0.9607843113696481,0.8969072164948454,0.8556701030927835,128.83756256200013
